from date,NO2,NH3,NO,NOx,CO,Ozone,SO2,Benzene,Eth-Benzene,Toluene,PM2.5,PM10,AT,SR,RH,RF,WD,WS,Temp,to date,station
23-Jul-2018 - 00:00,4.14,21.72,2.18,3.97,0.3,24.44,8.58,0.11,0.3,5.23,23.1,52.38,15.99,48.44,92.8,0.27,266.97,6.0,28.05,24-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
24-Jul-2018 - 00:00,3.87,21.44,2.28,3.91,0.3,25.3,9.0,0.09,0.6,6.43,63.62,50.64,16.71,69.54,91.82,0.2,252.89,5.23,28.04,25-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
25-Jul-2018 - 00:00,4.65,21.3,2.44,4.45,0.27,24.39,10.85,0.07,0.39,3.34,24.49,70.16,16.14,66.19,92.04,0.05,253.41,6.34,28.09,26-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
26-Jul-2018 - 00:00,4.93,21.58,2.66,4.78,0.23,26.83,15.37,0.06,0.27,2.11,24.08,79.56,16.68,86.59,86.32,0.0,250.78,7.96,28.35,27-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
27-Jul-2018 - 00:00,5.59,22.18,2.76,5.22,0.24,27.4,16.05,0.06,0.2,2.74,21.32,62.48,16.73,71.58,87.02,0.0,247.98,6.65,28.36,28-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
28-Jul-2018 - 00:00,5.0,24.02,2.09,4.35,0.28,34.65,11.97,0.09,0.18,2.3,27.56,87.18,21.17,171.57,80.43,0.0,251.16,6.48,28.75,29-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
29-Jul-2018 - 00:00,4.16,23.72,1.98,3.83,0.36,32.34,9.8,0.08,0.2,2.14,25.12,88.58,23.67,162.03,79.51,0.0,260.3,5.61,28.77,30-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
30-Jul-2018 - 00:00,4.44,24.17,2.0,3.99,0.4,25.54,9.23,0.1,0.31,3.83,27.3,85.2,22.76,111.17,84.49,0.03,272.17,4.28,28.54,31-Jul-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
31-Jul-2018 - 00:00,5.97,23.06,2.47,5.18,0.39,26.02,13.29,0.11,0.48,5.42,33.91,134.97,23.51,132.39,79.59,0.0,259.12,5.25,28.38,01-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
01-Aug-2018 - 00:00,5.74,24.7,2.46,5.06,0.4,28.65,10.84,0.11,0.38,4.96,50.42,214.81,24.15,159.43,77.45,0.0,264.07,5.97,28.35,02-Aug-2018 - 00:00,"Sector-2 Industrial Area, Pithampur - MPPCB"
