from date,AT,PM10,PM2.5,BP,WD,WS,RH,SR,VWS,Benzene,Toluene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
04-May-2018 - 00:00,30.69,142.62,55.71,983.59,172.44,1.32,51.36,180.17,0.0,0.28,1.35,0.0,39.63,5.79,39.45,40.31,47.39,16.51,1.01,05-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-May-2018 - 00:00,33.16,278.21,116.96,982.66,173.75,0.66,41.34,178.79,0.0,0.37,2.41,0.05,40.38,16.17,75.67,88.42,52.65,23.76,1.7,06-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-May-2018 - 00:00,32.42,372.96,162.75,983.54,92.71,0.87,38.14,160.3,0.0,0.84,3.41,0.11,50.85,28.15,73.59,93.67,39.54,30.11,1.78,07-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-May-2018 - 00:00,32.97,414.29,171.67,981.39,112.2,0.53,34.58,166.69,0.0,0.76,2.53,0.08,45.28,34.34,92.75,94.54,45.71,32.68,1.87,08-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-May-2018 - 00:00,29.86,183.04,82.96,982.11,82.12,1.16,40.54,167.08,0.0,0.33,2.12,0.09,36.51,4.34,35.4,36.48,44.11,12.5,0.94,09-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-May-2018 - 00:00,27.57,207.42,111.71,983.97,108.84,0.47,59.11,144.97,0.01,0.74,2.13,0.05,46.58,25.7,86.48,76.96,34.13,21.75,1.74,10-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-May-2018 - 00:00,31.32,275.9,131.71,984.57,149.94,0.44,44.74,178.24,0.0,0.92,3.49,0.13,58.92,30.85,90.91,107.97,47.47,23.51,1.87,11-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-May-2018 - 00:00,34.24,415.17,195.98,981.43,186.78,0.46,36.68,161.45,0.0,0.92,3.04,0.16,54.77,44.38,125.83,120.16,54.43,34.68,2.46,12-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-May-2018 - 00:00,34.85,396.23,184.93,980.59,158.55,0.75,41.8,123.92,0.0,0.87,2.79,0.15,63.85,38.16,101.19,99.47,67.76,35.47,2.09,13-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-May-2018 - 00:00,32.18,270.26,85.0,980.95,159.27,1.42,50.26,147.19,0.0,0.5,1.41,0.02,58.86,3.6,27.57,34.46,63.4,20.45,1.35,14-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-May-2018 - 00:00,30.03,184.56,62.47,982.56,188.8,0.93,47.0,155.52,0.0,0.26,1.71,0.02,37.61,6.5,50.9,51.52,56.36,26.78,1.35,15-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-May-2018 - 00:00,32.25,223.69,86.8,981.01,170.45,0.92,48.73,148.23,0.0,0.3,1.83,0.03,49.85,5.53,48.84,49.09,69.06,32.63,1.53,16-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-May-2018 - 00:00,33.84,266.89,92.77,980.0,91.67,0.94,38.9,173.49,0.0,0.48,2.45,0.06,43.07,14.17,55.22,56.72,49.71,20.93,1.64,17-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-May-2018 - 00:00,34.89,355.15,121.49,979.97,90.39,0.62,29.82,163.15,0.0,0.36,2.61,0.05,45.67,14.14,60.77,73.4,55.46,34.73,1.68,18-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-May-2018 - 00:00,34.02,297.22,116.44,979.91,104.33,0.55,33.45,163.57,0.0,0.53,2.1,0.06,47.88,13.83,55.21,67.12,44.18,29.41,1.67,19-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-May-2018 - 00:00,34.35,356.76,138.11,979.7,175.17,0.54,35.4,178.81,0.0,0.79,2.26,0.07,50.23,36.59,115.67,95.28,53.73,28.28,2.12,20-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-May-2018 - 00:00,34.84,308.81,116.28,981.05,96.11,0.81,25.84,188.4,0.0,0.57,2.39,0.09,37.97,15.5,59.93,72.25,41.43,27.76,1.67,21-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-May-2018 - 00:00,36.13,281.59,83.7,981.33,46.2,1.11,17.33,214.3,0.0,0.31,2.52,0.06,42.87,11.6,65.51,70.87,40.8,24.59,1.48,22-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-May-2018 - 00:00,36.67,331.73,117.76,980.15,102.46,0.66,18.89,207.08,0.0,0.52,2.21,0.06,45.74,24.45,77.82,89.17,48.53,28.74,2.02,23-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
23-May-2018 - 00:00,36.05,404.7,145.47,979.11,81.65,0.42,28.28,189.86,0.0,1.43,2.26,0.06,62.58,44.26,117.61,99.07,53.66,32.29,2.3,24-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-May-2018 - 00:00,35.4,371.2,135.97,978.44,74.29,0.58,26.78,172.28,0.0,0.86,2.58,0.05,58.2,18.85,70.04,85.73,40.22,34.73,2.07,25-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-May-2018 - 00:00,36.23,330.67,106.01,978.48,134.87,0.62,17.51,216.08,0.0,0.81,2.91,0.07,39.41,42.22,87.77,117.28,46.65,29.61,1.85,26-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-May-2018 - 00:00,36.24,344.99,130.11,977.36,201.09,0.46,19.41,179.36,0.0,1.28,2.79,0.08,48.6,51.94,117.37,104.14,49.17,27.2,2.18,27-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
27-May-2018 - 00:00,37.1,378.54,103.73,976.75,231.29,0.54,18.94,193.02,0.0,0.87,2.79,0.09,46.91,29.8,102.24,79.6,46.62,28.02,1.9,28-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
28-May-2018 - 00:00,34.87,382.36,164.63,975.61,121.68,0.47,32.17,153.47,0.0,0.7,2.02,0.07,56.99,26.38,90.29,82.86,46.75,34.7,2.47,29-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
29-May-2018 - 00:00,36.53,425.0,128.71,974.32,171.53,1.02,35.11,190.33,0.0,1.43,2.17,0.08,65.31,41.82,109.2,67.42,69.53,21.3,2.17,30-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
30-May-2018 - 00:00,34.8,353.0,53.69,976.2,195.82,1.81,42.17,178.74,0.0,0.24,0.82,0.0,69.64,3.46,35.27,47.59,50.32,19.35,1.42,31-May-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
31-May-2018 - 00:00,35.62,276.83,71.79,977.89,184.81,1.09,41.43,183.7,0.0,0.27,1.03,0.01,60.31,11.25,49.55,57.55,43.97,19.58,1.65,01-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
01-Jun-2018 - 00:00,34.05,259.83,73.58,979.15,180.12,1.73,49.42,187.89,0.0,0.24,0.97,0.0,64.29,5.29,30.48,35.79,43.82,18.7,1.35,02-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-Jun-2018 - 00:00,31.88,176.71,41.62,979.84,193.44,1.62,47.12,179.3,0.0,0.17,0.85,0.0,33.72,5.08,36.06,38.55,62.14,21.87,1.29,03-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Jun-2018 - 00:00,33.31,171.96,63.96,977.57,179.78,1.27,52.1,181.27,0.0,0.25,0.66,0.01,34.74,3.7,26.32,33.37,59.47,16.32,1.38,04-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Jun-2018 - 00:00,35.57,207.27,60.67,976.53,189.23,1.67,48.01,173.06,0.0,0.21,0.72,0.0,65.2,4.52,25.77,34.73,55.28,16.74,1.31,05-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Jun-2018 - 00:00,36.0,178.71,51.31,978.8,186.01,1.59,46.38,171.14,0.0,0.29,0.79,0.0,45.14,5.16,26.25,34.96,51.03,16.55,1.37,06-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Jun-2018 - 00:00,32.18,170.46,54.31,980.7,123.69,1.04,60.33,112.06,0.0,0.3,0.89,0.0,38.45,5.33,24.8,29.5,40.5,15.66,1.34,07-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-Jun-2018 - 00:00,34.5,198.76,90.64,976.72,172.92,0.84,55.44,187.59,0.0,0.25,1.23,0.0,48.96,8.34,38.37,45.05,52.32,24.42,1.57,08-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-Jun-2018 - 00:00,35.49,237.32,73.44,973.03,190.31,1.73,54.0,161.26,0.0,0.22,1.0,0.0,48.43,5.42,29.79,34.59,47.14,20.37,1.44,09-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Jun-2018 - 00:00,31.81,145.36,56.43,972.79,172.52,1.42,69.31,152.17,0.03,0.3,0.75,0.0,27.33,6.46,28.89,36.81,28.1,10.74,1.38,10-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Jun-2018 - 00:00,32.48,205.78,91.65,973.15,95.32,0.58,65.27,195.32,0.0,0.47,1.39,0.0,56.51,13.47,42.99,54.46,34.01,14.83,1.59,11-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Jun-2018 - 00:00,35.71,311.04,98.92,970.99,88.59,0.83,50.27,197.88,0.0,0.33,1.25,0.0,61.58,8.21,43.24,48.42,33.12,18.52,1.59,12-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Jun-2018 - 00:00,37.67,552.75,227.83,968.56,169.58,0.72,40.79,181.52,0.0,0.32,1.45,0.01,57.26,7.17,41.85,48.81,24.65,25.11,1.51,13-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-Jun-2018 - 00:00,38.41,915.0,387.9,968.68,208.34,0.88,36.15,160.55,0.0,0.25,1.36,0.0,45.9,7.54,23.78,35.09,16.26,17.1,1.31,14-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Jun-2018 - 00:00,37.64,928.87,313.55,970.67,301.6,0.94,33.48,159.76,0.0,0.21,1.13,0.01,33.5,8.22,24.26,34.23,20.69,17.19,1.24,15-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Jun-2018 - 00:00,36.62,689.24,262.71,973.05,253.98,0.85,35.3,162.48,0.0,0.38,0.73,0.01,25.27,6.2,21.62,30.31,25.01,15.81,1.2,16-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Jun-2018 - 00:00,34.88,654.12,209.54,975.38,146.61,0.89,47.69,151.92,0.0,0.26,0.54,0.01,24.89,6.03,21.38,31.18,25.38,16.76,1.14,17-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Jun-2018 - 00:00,31.47,286.83,96.38,976.82,97.24,1.09,58.83,180.95,0.0,0.29,0.41,0.0,24.27,5.63,17.43,28.02,26.79,14.07,1.1,18-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-Jun-2018 - 00:00,32.17,214.21,79.88,976.66,58.44,0.78,52.26,136.11,0.0,0.24,0.7,0.0,32.25,7.58,25.87,36.23,32.96,20.24,1.41,19-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Jun-2018 - 00:00,33.52,205.18,72.09,976.69,61.7,0.78,50.49,201.28,0.0,0.29,0.8,0.0,30.68,5.59,26.04,34.35,44.92,14.56,1.4,20-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Jun-2018 - 00:00,35.7,235.63,81.71,977.25,100.72,1.03,46.84,166.39,0.0,0.23,0.79,0.0,30.56,8.83,35.38,42.95,55.67,21.93,1.44,21-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Jun-2018 - 00:00,36.4,365.99,113.88,977.1,100.4,0.58,43.37,185.96,0.0,0.24,0.71,0.01,32.28,6.29,37.54,45.92,54.72,17.72,1.48,22-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Jun-2018 - 00:00,37.3,354.45,109.07,975.98,110.03,0.52,40.98,174.33,0.0,0.39,1.34,0.04,40.98,27.08,53.85,73.35,66.19,20.49,1.91,23-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
23-Jun-2018 - 00:00,37.63,311.45,98.99,975.46,110.59,0.76,39.39,165.09,0.0,0.33,1.09,0.04,42.94,15.49,50.45,56.04,58.05,22.8,1.64,24-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Jun-2018 - 00:00,37.35,237.64,63.43,974.75,74.55,1.27,37.88,184.55,0.0,0.28,0.81,0.01,37.48,6.14,34.54,42.47,45.18,23.92,1.52,25-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Jun-2018 - 00:00,37.99,188.41,33.68,973.34,91.08,3.45,45.42,132.58,0.0,0.44,0.69,0.02,33.23,7.94,31.43,32.33,30.65,18.6,1.35,26-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Jun-2018 - 00:00,32.29,69.68,18.41,973.68,159.39,3.69,47.08,37.31,,6.99,63.26,,43.14,5.36,30.2,20.42,27.62,19.12,1.27,27-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
27-Jun-2018 - 00:00,30.73,126.51,54.84,975.69,151.06,0.95,74.93,151.93,,5.52,56.97,,64.46,2.3,41.39,23.18,36.44,17.05,1.36,28-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
28-Jun-2018 - 00:00,29.93,61.29,21.75,977.11,161.17,1.22,80.06,141.9,,3.09,36.36,,34.67,3.12,39.45,22.83,29.46,12.79,1.16,29-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
29-Jun-2018 - 00:00,30.85,91.54,35.75,977.01,178.29,1.42,75.7,123.86,,2.76,30.13,,32.27,2.55,42.31,24.0,20.36,12.38,1.25,30-Jun-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
30-Jun-2018 - 00:00,31.28,108.62,47.29,977.33,204.6,0.76,77.05,126.58,,4.36,50.93,,22.8,4.77,49.46,29.67,17.52,10.37,1.49,01-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
01-Jul-2018 - 00:00,32.99,100.04,34.79,975.86,197.73,0.58,69.87,163.86,,4.54,51.25,,166.73,3.91,37.17,22.25,10.92,10.28,1.24,02-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-Jul-2018 - 00:00,32.95,115.23,27.5,973.48,260.23,0.88,63.43,166.15,,3.19,32.87,,73.23,1.71,38.94,21.44,18.49,10.38,0.93,03-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Jul-2018 - 00:00,31.32,110.72,40.24,974.09,149.79,0.69,71.74,160.97,,2.81,35.12,,40.49,5.56,44.07,27.33,24.48,10.47,1.21,04-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Jul-2018 - 00:00,30.87,107.19,44.12,974.42,142.42,0.68,75.27,160.65,,3.64,34.09,,51.03,3.15,36.61,21.67,33.14,11.17,1.09,05-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Jul-2018 - 00:00,32.5,157.57,58.17,975.75,103.49,0.73,65.79,172.64,,4.2,47.89,,44.01,4.6,50.01,30.04,23.33,13.16,1.3,06-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Jul-2018 - 00:00,33.46,217.12,77.17,975.85,63.95,0.81,60.03,169.35,,4.86,58.29,,63.64,4.95,47.84,29.3,24.76,14.97,1.48,07-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-Jul-2018 - 00:00,34.17,212.12,81.71,975.32,55.55,0.77,57.31,193.09,,4.18,44.91,,68.05,1.69,46.03,25.13,35.67,13.69,1.41,08-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-Jul-2018 - 00:00,35.39,192.12,63.54,974.47,92.54,0.59,52.58,200.23,,3.49,40.24,,68.26,4.62,46.95,26.95,48.28,15.67,1.34,09-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Jul-2018 - 00:00,34.61,176.56,56.41,974.38,191.39,1.08,64.36,161.67,,2.89,28.58,,46.64,1.87,39.31,21.7,44.94,12.36,1.3,10-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Jul-2018 - 00:00,34.05,115.22,33.47,974.95,193.35,1.06,69.88,175.73,,2.51,26.25,,40.99,2.96,32.41,18.78,35.12,11.72,1.2,11-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Jul-2018 - 00:00,32.54,130.61,33.85,974.44,207.08,1.04,72.51,136.02,,2.71,29.08,,30.5,3.02,39.91,23.44,23.47,11.82,1.3,12-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Jul-2018 - 00:00,33.0,184.07,44.72,973.91,174.49,0.72,68.59,136.83,,4.01,46.14,,38.62,4.01,41.49,25.01,39.4,17.45,1.35,13-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-Jul-2018 - 00:00,29.16,86.8,23.16,975.34,173.52,0.82,86.66,83.38,,3.43,36.2,,22.6,5.31,36.25,23.28,24.74,12.44,1.42,14-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Jul-2018 - 00:00,29.11,83.79,24.29,975.06,134.5,0.63,89.21,149.41,,3.78,39.94,,30.04,5.06,32.53,21.44,10.5,10.51,1.34,15-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Jul-2018 - 00:00,30.97,99.94,26.3,974.58,178.34,0.79,83.49,192.69,,3.84,34.76,,31.56,5.6,35.05,22.72,24.23,11.91,1.43,16-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Jul-2018 - 00:00,29.87,102.42,36.91,975.21,166.81,0.82,90.82,81.09,,5.47,59.67,,37.77,9.07,42.21,28.94,17.25,11.94,1.54,17-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Jul-2018 - 00:00,31.79,114.1,47.64,975.46,141.39,0.58,82.8,135.07,,5.81,62.71,,65.83,9.74,38.51,28.39,18.12,14.15,1.6,18-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-Jul-2018 - 00:00,31.9,112.01,46.81,976.12,130.17,0.77,79.83,156.84,,4.81,47.16,,58.18,9.24,31.27,23.98,17.86,14.82,1.43,19-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Jul-2018 - 00:00,32.12,99.95,33.07,975.8,148.37,0.63,75.92,177.93,,3.76,41.76,,46.94,6.86,29.84,21.47,16.35,11.6,1.51,20-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Jul-2018 - 00:00,30.22,123.84,54.0,975.38,95.91,0.37,86.37,76.82,,5.02,60.41,,51.81,6.65,32.26,22.58,12.5,12.69,1.56,21-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Jul-2018 - 00:00,29.25,101.95,47.24,975.63,149.99,0.59,90.17,103.85,,5.8,58.67,,53.98,10.13,37.98,28.41,15.88,12.83,1.8,22-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Jul-2018 - 00:00,28.55,55.65,29.65,976.22,161.57,0.47,92.86,108.55,,4.15,53.93,,38.54,5.93,30.24,20.92,17.91,10.46,1.48,23-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
23-Jul-2018 - 00:00,30.35,78.25,28.79,975.98,147.68,0.59,83.48,136.7,,3.23,44.29,,39.49,6.06,28.76,20.21,16.37,11.97,1.53,24-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Jul-2018 - 00:00,31.99,137.96,57.17,976.41,137.71,0.32,78.46,148.35,,4.78,54.03,,48.66,9.28,36.1,26.8,21.61,14.11,1.82,25-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
25-Jul-2018 - 00:00,29.83,108.08,38.33,975.79,246.85,0.47,87.39,61.98,,6.15,59.6,,44.16,8.67,36.9,26.7,10.41,11.06,1.69,26-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
26-Jul-2018 - 00:00,27.23,55.5,29.71,976.0,75.83,0.55,97.32,36.9,,4.39,56.19,,37.44,7.68,28.14,21.22,7.09,6.76,1.52,27-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
27-Jul-2018 - 00:00,26.76,54.58,35.25,975.21,43.67,0.83,98.6,35.54,,3.89,54.59,,34.86,8.34,25.65,20.45,6.66,6.66,1.65,28-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
28-Jul-2018 - 00:00,26.3,40.0,18.0,975.47,35.7,0.65,99.4,2.57,,5.1,56.02,,34.48,8.75,26.47,21.2,7.0,6.17,1.25,29-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
29-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
30-Jul-2018 - 00:00,32.97,203.83,51.31,975.03,97.74,0.54,69.18,265.75,,3.38,54.37,,151.24,21.37,54.2,46.28,6.93,7.12,2.03,31-Jul-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
31-Jul-2018 - 00:00,31.47,206.25,49.0,974.71,121.07,0.61,71.71,98.94,,4.07,51.6,,124.01,21.86,58.82,49.1,8.76,6.38,2.13,01-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
01-Aug-2018 - 00:00,31.92,259.83,57.79,975.34,104.24,0.53,64.32,179.0,,4.06,46.81,,44.81,12.94,37.48,30.49,16.3,9.01,1.79,02-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
02-Aug-2018 - 00:00,32.76,323.38,89.42,976.61,185.03,0.62,61.31,162.65,,6.99,50.78,,37.82,10.0,31.99,25.16,9.89,11.05,1.64,03-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
03-Aug-2018 - 00:00,32.52,295.96,100.23,977.13,184.55,0.64,59.12,158.03,,5.15,43.07,,50.32,12.76,27.75,25.14,8.68,8.74,1.48,04-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
04-Aug-2018 - 00:00,32.14,319.88,100.75,976.81,238.61,0.5,59.56,153.77,,3.99,47.84,,95.35,23.41,36.12,38.29,4.34,6.44,1.68,05-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
05-Aug-2018 - 00:00,30.53,282.92,81.33,976.97,253.91,0.89,70.93,80.93,,3.14,41.1,,110.97,22.53,32.73,35.78,4.06,6.49,1.71,06-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
06-Aug-2018 - 00:00,27.92,134.79,42.75,977.55,145.36,0.51,88.07,56.83,,2.91,34.82,,106.06,23.93,27.26,34.02,3.83,6.48,1.7,07-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
07-Aug-2018 - 00:00,29.13,103.04,31.62,977.46,120.44,0.45,84.6,98.6,,3.0,35.29,,106.41,19.52,29.56,31.63,3.84,6.41,1.81,08-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
08-Aug-2018 - 00:00,29.86,105.65,32.57,977.93,153.67,0.67,84.8,139.91,,3.8,38.23,,97.51,19.78,24.64,29.22,7.05,7.44,1.96,09-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
09-Aug-2018 - 00:00,31.82,101.64,36.42,980.22,183.01,0.86,73.34,184.98,,3.03,33.54,,102.51,15.73,22.98,24.82,6.42,7.99,1.89,10-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
10-Aug-2018 - 00:00,32.22,154.21,46.46,978.95,195.61,0.45,72.84,113.69,,4.01,50.32,,104.08,23.27,30.1,34.97,4.84,7.03,2.06,11-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
11-Aug-2018 - 00:00,32.96,136.58,29.42,975.24,187.1,0.58,70.03,178.62,,3.58,44.72,,106.09,18.64,32.14,32.28,3.66,6.91,1.79,12-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
12-Aug-2018 - 00:00,31.04,117.0,29.65,973.71,204.56,0.57,73.78,70.52,,2.96,38.99,,94.92,21.97,31.28,34.54,3.47,6.63,1.71,13-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
13-Aug-2018 - 00:00,30.68,105.94,34.92,975.15,163.28,0.49,75.76,105.89,,2.63,36.56,,107.83,17.31,30.89,30.55,3.13,7.08,1.24,14-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
14-Aug-2018 - 00:00,31.81,142.25,53.62,976.17,137.81,0.44,75.89,137.46,,2.85,38.95,,104.62,16.8,30.43,29.88,3.52,7.19,1.25,15-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
15-Aug-2018 - 00:00,31.98,143.04,48.92,977.76,177.96,0.83,72.13,161.53,,2.7,37.87,,93.33,11.92,26.08,23.6,3.53,6.76,1.21,16-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
16-Aug-2018 - 00:00,30.59,107.83,43.88,979.46,162.58,0.4,82.24,135.67,,3.61,42.1,,86.43,16.36,35.58,32.27,4.85,8.21,1.64,17-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
17-Aug-2018 - 00:00,31.34,71.02,25.22,977.21,158.07,0.82,81.08,166.64,,1.79,23.87,,60.11,9.06,28.19,22.38,23.26,9.56,1.1,18-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
18-Aug-2018 - 00:00,30.63,93.38,29.82,976.71,186.4,0.69,83.63,148.32,,2.56,23.1,,50.81,11.51,34.02,27.5,23.62,15.24,1.24,19-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
19-Aug-2018 - 00:00,29.44,123.16,34.82,976.61,149.67,0.35,89.56,70.38,,3.34,36.39,,43.99,13.74,45.54,35.42,12.85,17.05,1.62,20-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
20-Aug-2018 - 00:00,31.48,147.07,38.59,978.06,153.52,0.43,80.88,157.4,,3.84,36.75,,54.74,24.66,40.12,41.48,26.15,12.35,1.61,21-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
21-Aug-2018 - 00:00,31.89,94.4,25.86,977.9,194.3,0.76,75.16,178.35,,2.16,20.71,,38.79,7.97,31.54,23.27,38.27,14.58,1.25,22-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
22-Aug-2018 - 00:00,30.8,87.29,28.91,977.36,188.16,0.67,82.59,124.54,,2.37,24.21,,36.05,9.64,32.32,25.05,25.88,15.29,1.29,23-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
23-Aug-2018 - 00:00,29.56,87.54,30.17,978.04,150.22,0.59,87.89,109.35,,2.36,31.32,,32.39,8.96,28.81,22.64,6.37,8.96,1.18,24-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
24-Aug-2018 - 00:00,30.88,113.46,33.71,977.26,128.59,0.52,77.42,119.15,,2.78,27.49,,32.74,10.68,27.03,23.08,13.76,9.09,1.17,25-Aug-2018 - 00:00,"Jahangirpuri, Delhi - DPCC"
