from date,CO,Ozone,NO2,NO,NOx,SO2,RH,VWS,WS,WD,PM2.5,SR,Benzene,MP-Xylene,Toluene,O Xylene,Eth-Benzene,to date,BP,station
06-Feb-2018 - 00:00,0.71,15.15,21.28,15.2,18.24,5.09,71.62,0.16,1.14,89.57,28.83,183.63,0.27,0.0,3.96,0.13,0.49,07-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
07-Feb-2018 - 00:00,0.98,16.05,20.31,14.51,17.41,4.69,74.82,0.15,0.93,107.99,23.06,164.17,0.25,0.0,3.03,0.19,0.41,08-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
08-Feb-2018 - 00:00,1.09,20.74,20.56,14.68,17.62,4.42,72.7,0.14,0.83,138.26,21.59,168.9,0.23,0.08,3.2,0.23,0.46,09-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
09-Feb-2018 - 00:00,1.01,10.91,21.94,15.67,18.8,4.79,71.26,0.17,1.17,154.52,13.12,197.82,0.44,0.11,3.61,0.39,0.49,10-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
10-Feb-2018 - 00:00,0.96,27.58,21.48,15.35,18.41,5.02,66.52,0.15,0.83,142.46,17.97,188.5,0.17,0.0,2.86,0.36,0.57,11-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
11-Feb-2018 - 00:00,0.96,20.12,21.98,15.7,18.84,4.59,66.13,0.15,0.96,134.31,17.6,198.92,0.26,0.04,2.43,0.24,0.3,12-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
12-Feb-2018 - 00:00,0.9,25.45,20.45,14.61,17.53,4.94,65.62,0.15,0.93,65.56,21.87,166.23,0.11,0.0,2.91,0.08,0.14,13-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
13-Feb-2018 - 00:00,0.89,22.45,20.48,14.63,17.56,4.97,68.64,0.15,1.1,93.45,62.05,166.76,0.27,0.0,2.61,0.13,0.17,14-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
14-Feb-2018 - 00:00,0.96,40.26,21.82,15.58,18.7,5.27,69.31,0.17,1.27,30.7,46.51,195.7,0.11,,2.07,0.0,0.0,15-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
15-Feb-2018 - 00:00,1.0,40.94,21.97,15.69,18.83,6.27,66.5,0.19,1.49,42.03,57.04,199.11,0.19,,3.33,0.04,0.19,16-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
16-Feb-2018 - 00:00,0.84,32.86,16.86,12.14,14.29,5.38,67.92,0.15,1.01,95.81,51.44,221.53,0.25,,3.18,0.14,0.28,17-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
17-Feb-2018 - 00:00,0.87,35.98,10.26,5.9,7.61,5.22,68.54,0.15,0.88,162.29,48.39,193.82,0.37,,3.14,0.36,0.47,18-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
18-Feb-2018 - 00:00,0.81,35.81,17.38,14.16,15.23,4.9,65.57,0.14,0.86,173.43,56.18,220.03,0.11,,0.55,0.31,0.41,19-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
19-Feb-2018 - 00:00,0.74,25.27,11.35,8.45,9.91,4.08,65.05,0.15,0.85,172.39,56.82,210.56,0.08,,0.31,0.06,0.05,20-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
20-Feb-2018 - 00:00,0.64,26.83,10.64,7.17,8.77,5.35,63.49,0.14,0.89,145.68,55.83,199.33,0.07,,1.37,0.0,0.0,21-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
21-Feb-2018 - 00:00,0.58,22.15,6.46,3.43,4.79,5.41,65.14,0.14,0.93,150.33,59.11,208.35,0.46,,2.83,0.24,0.03,22-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
22-Feb-2018 - 00:00,0.57,18.67,8.36,6.52,7.34,6.79,67.42,0.15,0.88,134.56,47.98,214.94,0.61,,5.15,0.41,0.22,23-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
23-Feb-2018 - 00:00,0.51,16.93,6.12,5.48,4.73,5.33,62.3,0.15,0.88,136.0,37.08,229.55,0.48,,4.14,0.48,0.38,24-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
24-Feb-2018 - 00:00,0.59,19.48,6.42,4.18,5.29,4.85,62.56,0.16,1.04,117.35,42.89,207.16,0.53,,3.41,0.37,0.45,25-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
25-Feb-2018 - 00:00,0.51,16.39,6.13,4.0,5.06,6.07,66.15,0.17,1.28,105.27,27.92,228.87,0.17,,2.2,0.12,0.05,26-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
26-Feb-2018 - 00:00,0.66,22.29,6.3,5.95,6.13,5.21,64.24,0.16,1.16,115.02,40.51,232.96,0.23,,3.08,0.21,0.15,27-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
27-Feb-2018 - 00:00,0.6,45.25,6.12,3.69,4.79,5.99,65.62,0.15,0.91,145.87,54.88,229.84,0.47,,3.14,0.32,0.46,28-Feb-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
28-Feb-2018 - 00:00,0.64,32.23,5.47,10.69,9.03,5.41,68.98,0.15,0.96,156.2,56.08,218.17,0.89,,3.31,0.35,0.5,01-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
01-Mar-2018 - 00:00,0.63,48.01,3.44,13.25,9.47,5.41,67.92,0.16,0.99,171.46,50.84,219.87,0.52,,3.42,0.47,0.65,02-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
02-Mar-2018 - 00:00,0.52,39.32,4.76,6.43,6.06,5.18,63.11,0.15,0.87,158.46,37.38,228.71,0.57,,3.58,0.43,0.93,03-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
03-Mar-2018 - 00:00,0.6,52.37,6.44,3.41,4.75,5.76,53.5,0.17,1.11,181.79,45.51,235.65,0.58,,4.94,1.05,1.6,04-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
04-Mar-2018 - 00:00,0.4,31.0,6.36,3.66,4.86,6.07,56.05,0.2,1.53,186.1,56.93,237.97,0.54,,4.37,0.76,1.28,05-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
05-Mar-2018 - 00:00,0.37,23.05,6.42,3.63,4.93,5.12,64.32,0.16,1.01,170.3,35.0,244.38,0.39,,3.33,0.29,0.64,06-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
06-Mar-2018 - 00:00,0.41,26.34,11.58,7.53,9.46,4.9,65.28,0.17,1.16,180.55,47.6,234.43,0.68,,4.65,0.61,1.04,07-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
07-Mar-2018 - 00:00,0.4,30.61,19.37,7.83,12.17,5.15,62.88,0.15,0.89,185.49,60.19,223.56,0.44,,4.31,0.71,1.04,08-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
08-Mar-2018 - 00:00,0.44,26.34,29.01,27.19,32.58,5.44,66.93,0.15,0.93,157.53,66.53,224.18,1.11,,6.06,1.43,1.62,09-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
09-Mar-2018 - 00:00,0.62,23.31,12.65,10.22,13.76,4.79,75.08,0.14,0.88,105.69,54.22,183.17,0.08,,6.04,0.25,0.58,10-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
10-Mar-2018 - 00:00,0.56,32.01,14.92,12.82,14.15,4.13,75.54,0.14,0.89,142.03,57.82,189.14,0.36,,9.53,0.31,0.68,11-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
11-Mar-2018 - 00:00,0.34,52.34,14.48,3.98,7.73,4.92,69.83,0.15,0.92,126.97,42.0,210.94,0.0,,0.0,0.0,0.0,12-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
12-Mar-2018 - 00:00,0.9,17.2,14.49,3.39,7.55,5.26,71.34,0.15,0.89,132.96,36.34,202.72,0.92,,0.96,1.72,-0.0,13-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
13-Mar-2018 - 00:00,0.91,19.38,14.58,1.18,5.63,4.69,73.01,0.16,1.03,55.39,23.04,185.56,1.41,,1.48,2.74,0.0,14-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
14-Mar-2018 - 00:00,1.11,12.88,23.68,4.45,13.11,4.98,68.56,0.21,1.7,133.51,24.47,190.09,1.42,,1.49,2.76,0.0,15-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
15-Mar-2018 - 00:00,1.09,10.16,29.14,7.79,18.48,4.63,73.44,0.25,2.24,163.78,36.3,175.79,1.38,,1.45,2.69,0.0,16-Mar-2018 - 00:00,,"Velachery Res. Area, Chennai - CPCB"
