from date,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM10,PM2.5,NH3,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
02-Mar-2018 - 00:00,,201.57,70.12,160.46,38.79,38.69,51.62,,23.73,,0.31,,,158.16,38.33,,,,,,03-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
03-Mar-2018 - 00:00,,221.7,67.2,143.59,36.28,37.9,49.18,,23.98,,0.34,,,121.96,37.57,,,,,,04-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
04-Mar-2018 - 00:00,,231.58,64.85,126.31,33.91,38.82,47.78,,23.76,,0.41,,,83.27,37.11,,,,,,05-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
05-Mar-2018 - 00:00,,247.84,65.62,183.33,31.48,38.34,45.59,,23.57,,0.54,,,94.97,36.59,,,,,,06-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
06-Mar-2018 - 00:00,,241.42,64.83,181.82,27.87,37.42,42.21,,23.48,,0.68,,,99.59,35.82,,,,,,07-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
07-Mar-2018 - 00:00,,233.38,62.94,183.29,32.16,37.33,45.59,,23.7,,0.5,,,127.28,36.76,,,,,,08-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
08-Mar-2018 - 00:00,,198.14,65.97,154.97,41.77,40.66,55.04,,23.77,,0.31,,,193.33,39.14,,,,,,09-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
09-Mar-2018 - 00:00,,218.35,62.69,169.27,43.8,38.81,55.68,,24.08,,0.39,,,132.73,39.67,,,,,,10-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
10-Mar-2018 - 00:00,,255.93,54.08,183.36,29.33,39.62,44.54,,24.71,,0.64,,,92.52,35.56,,,,,,11-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
11-Mar-2018 - 00:00,,245.03,59.69,178.2,27.87,39.49,43.31,,24.38,,0.5,,,122.35,35.51,,,,,,12-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
12-Mar-2018 - 00:00,,207.55,59.18,176.81,27.72,38.8,42.81,,24.62,,0.57,,,131.84,35.23,,,,,,13-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
13-Mar-2018 - 00:00,,193.89,52.48,179.89,27.6,36.84,41.65,,25.39,,0.46,,,151.51,35.24,,,,,,14-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
14-Mar-2018 - 00:00,,192.1,46.77,148.04,38.92,33.19,48.8,,25.44,,0.39,,,147.32,37.98,,,,,,15-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
15-Mar-2018 - 00:00,,216.42,53.83,124.99,14.67,19.24,21.32,,24.76,,0.51,,,127.33,35.19,,,,,,16-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
16-Mar-2018 - 00:00,,260.7,59.5,153.57,12.55,9.83,14.13,,24.32,,0.37,,,154.0,36.26,,,,,,17-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
17-Mar-2018 - 00:00,,254.55,44.64,182.7,10.99,8.07,12.17,,25.08,,0.55,,,123.09,34.3,,,,,,18-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
18-Mar-2018 - 00:00,,247.0,44.37,185.76,10.21,7.23,10.44,,25.15,,0.49,,,156.59,34.13,,,,,,19-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
19-Mar-2018 - 00:00,,216.34,45.26,159.53,12.12,5.86,11.33,,25.27,,0.43,,,105.98,34.99,,,,,,20-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
20-Mar-2018 - 00:00,,214.6,47.58,152.37,13.03,6.32,11.7,,25.55,,0.3,,,135.3,35.04,,,,,,21-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
21-Mar-2018 - 00:00,,219.09,54.88,150.18,11.5,5.26,9.82,,25.02,,0.45,,,120.23,34.3,,,,,,22-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
22-Mar-2018 - 00:00,,270.71,64.02,157.22,11.4,6.05,10.51,,24.29,,0.38,,,87.23,33.05,,,,,,23-Mar-2018 - 00:00,"DTU, Delhi - CPCB"
