from date,Rack Temp,AT,CO,SO2,NO,NO2,NOx,Ozone,WS,WD,RH,BP,SR,VWS,RF,PM2.5,Benzene,Toluene,Xylene,to date,station
21-Mar-2018 - 00:00,,31.81,2.06,34.47,8.49,124.52,41.63,49.59,0.71,224.01,55.79,750.0,137.03,-0.3,0.0,145.88,4.61,33.39,23.75,22-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
22-Mar-2018 - 00:00,,32.77,1.84,29.28,4.9,103.72,33.16,68.0,0.68,206.15,59.94,750.0,130.95,-0.31,0.0,127.42,4.21,25.37,14.16,23-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
23-Mar-2018 - 00:00,,33.82,1.72,30.86,5.22,98.19,31.74,97.54,1.09,117.74,50.97,750.0,149.94,-0.3,0.0,120.67,3.81,24.14,12.14,24-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
24-Mar-2018 - 00:00,,33.54,1.65,34.76,4.37,102.33,32.45,87.44,1.48,202.38,47.89,750.0,162.85,-0.31,0.0,88.7,3.44,18.24,8.22,25-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
25-Mar-2018 - 00:00,,32.7,1.8,34.79,4.42,106.52,33.54,61.51,1.05,222.69,48.69,750.0,167.74,-0.3,0.0,86.82,3.45,19.14,8.54,26-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
26-Mar-2018 - 00:00,,32.79,1.88,35.03,11.15,112.21,39.74,64.15,1.13,202.94,48.77,750.0,158.71,-0.32,0.0,45.12,3.68,25.9,17.28,27-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
27-Mar-2018 - 00:00,,33.07,1.87,27.34,9.65,116.71,40.27,35.31,0.9,179.25,52.62,750.0,113.33,-0.29,0.0,87.73,4.15,32.63,24.73,28-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
28-Mar-2018 - 00:00,,32.38,1.71,35.09,2.47,79.98,24.64,81.23,0.84,227.29,64.99,750.0,137.95,-0.3,0.0,96.75,3.63,23.18,13.64,29-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
29-Mar-2018 - 00:00,,33.47,1.86,42.25,2.53,80.69,24.84,75.53,0.69,220.72,65.76,750.0,132.04,-0.27,0.0,106.75,3.78,22.02,12.63,30-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
30-Mar-2018 - 00:00,,30.15,1.62,36.78,2.79,66.35,20.87,113.54,2.78,175.02,68.5,750.0,124.14,-0.29,0.0,64.71,2.92,14.74,5.49,31-Mar-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
31-Mar-2018 - 00:00,,28.78,1.53,36.33,2.03,67.56,20.71,115.47,2.42,144.46,64.24,750.0,138.17,-0.3,0.0,36.83,2.54,15.31,6.51,01-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
01-Apr-2018 - 00:00,,30.57,1.59,33.53,1.78,66.46,20.7,115.83,2.15,110.29,63.49,750.0,130.27,-0.29,0.0,64.38,2.99,15.46,5.3,02-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
02-Apr-2018 - 00:00,,32.72,1.6,34.54,3.19,77.28,24.36,98.58,1.08,113.49,57.61,750.0,143.32,-0.28,0.0,69.29,3.27,18.2,7.55,03-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
03-Apr-2018 - 00:00,,33.6,1.74,38.96,2.83,85.21,26.39,96.85,0.79,85.02,54.46,750.0,148.74,-0.29,0.0,72.33,3.47,25.48,12.95,04-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
04-Apr-2018 - 00:00,,34.12,1.77,45.43,2.18,64.22,19.85,79.09,1.04,108.15,55.55,750.0,142.78,-0.3,0.0,92.18,3.54,25.19,11.08,05-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
05-Apr-2018 - 00:00,,26.1,1.6,57.28,2.19,56.43,18.08,80.33,1.32,169.09,76.78,750.0,35.05,-0.31,0.03,42.14,3.67,25.06,6.37,06-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
06-Apr-2018 - 00:00,,29.7,1.6,97.94,1.99,64.41,19.74,87.33,1.47,149.64,73.01,750.0,168.82,-0.31,0.01,56.21,4.62,33.09,11.55,07-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
07-Apr-2018 - 00:00,,30.24,1.66,82.03,3.87,80.91,25.65,67.03,0.72,143.33,74.67,750.0,100.77,-0.33,0.01,73.67,4.51,31.87,17.19,08-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
08-Apr-2018 - 00:00,,31.94,1.7,98.43,1.82,73.55,22.14,83.17,0.48,165.9,67.96,750.0,135.31,-0.31,0.0,102.35,3.98,24.34,9.24,09-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
09-Apr-2018 - 00:00,,31.78,1.34,124.04,3.3,75.54,27.55,103.01,1.24,181.36,68.38,750.0,155.49,-0.29,0.0,44.88,3.51,24.14,13.87,10-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
10-Apr-2018 - 00:00,,30.1,0.85,122.22,3.04,73.4,22.99,75.38,0.42,131.92,76.77,750.0,109.57,-0.32,0.26,59.74,3.61,20.46,6.91,11-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
11-Apr-2018 - 00:00,,32.06,0.99,124.7,5.86,84.2,31.61,64.27,0.3,167.55,71.2,750.0,176.17,-0.47,0.0,63.0,3.86,26.93,15.28,12-Apr-2018 - 00:00,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
