from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
23-Mar-2018 - 00:00,,,,,,95.69,41.16,,,,,,,1.06,12.52,,33.32,,,7.36,24-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Mar-2018 - 00:00,,,,,,111.1,61.21,,,,,,,1.0,14.13,,44.43,,,13.41,25-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Mar-2018 - 00:00,,,,,,127.83,66.78,,,,,,,,8.15,,38.86,,,10.12,26-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Mar-2018 - 00:00,,,,,,158.82,110.17,,,,,,,,23.44,,39.28,,,9.61,27-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Mar-2018 - 00:00,,,,,,107.48,47.27,,,,,,,0.63,12.23,,17.3,,,,28-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Mar-2018 - 00:00,,,,,,124.72,55.27,,,,,,,1.9,23.6,,35.11,,,9.75,29-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Mar-2018 - 00:00,,,,,,105.06,46.56,,,,,,,1.43,23.07,,28.86,,,12.25,30-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-Mar-2018 - 00:00,,,,,,92.98,43.4,,,,,,,1.3,19.89,,27.77,,,12.2,31-Mar-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
31-Mar-2018 - 00:00,,,,,,100.39,48.01,,,,,,,1.1,18.91,,25.73,,,5.3,01-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Apr-2018 - 00:00,,,,,,118.99,59.5,,,,,,,1.47,16.23,,26.48,,,11.52,02-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Apr-2018 - 00:00,,,,,,104.37,65.33,,,,,,,1.15,17.49,,35.31,,,10.61,03-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Apr-2018 - 00:00,,,,,,90.06,43.86,,,,,,,1.16,22.1,,29.43,,,8.54,04-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Apr-2018 - 00:00,,,,,,97.08,34.12,,,,,,,1.05,27.86,,25.75,,,9.71,05-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Apr-2018 - 00:00,,,,,,130.2,53.84,,,,,,,1.15,28.29,,24.18,,,11.51,06-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Apr-2018 - 00:00,,,,,,130.78,63.61,,,,,,,0.93,24.13,,23.91,,,11.79,07-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Apr-2018 - 00:00,,,,,,156.63,44.11,,,,,,,1.19,27.12,,27.07,,,11.95,08-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Apr-2018 - 00:00,,,,,,127.91,42.79,,,,,,,1.17,24.09,,20.19,,,9.51,09-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Apr-2018 - 00:00,,,,,,144.81,60.89,,,,,,,0.91,28.3,,28.6,,,22.22,10-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Apr-2018 - 00:00,,,,,,124.24,40.18,,,,,,,1.14,29.1,,32.49,,,14.59,11-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Apr-2018 - 00:00,,,,,,159.22,61.7,,,,,,,0.84,24.3,,32.34,,,16.45,12-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Apr-2018 - 00:00,,,,,,157.41,63.5,,,,,,,1.59,24.08,,32.75,,,11.48,13-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Apr-2018 - 00:00,,,,,,144.05,50.13,,,,,,,1.07,18.78,,29.95,,,12.31,14-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Apr-2018 - 00:00,,,,,,135.94,45.48,,,,,,,1.01,26.36,,28.06,,,6.86,15-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Apr-2018 - 00:00,,,,,,147.13,62.14,,,,,,,0.83,40.03,,30.98,,,8.9,16-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Apr-2018 - 00:00,,,,,,173.54,33.4,,,,,,,1.37,21.89,,23.88,,,5.99,17-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Apr-2018 - 00:00,,,,,,154.76,148.03,,,,,,,1.34,24.37,,25.6,,,8.82,18-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Apr-2018 - 00:00,,,,,,181.7,60.1,,,,,,,1.26,21.17,,34.48,,,10.41,19-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Apr-2018 - 00:00,,,,,,179.79,70.2,,,,,,,1.2,22.44,,32.45,,,10.75,20-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Apr-2018 - 00:00,,,,,,193.15,61.48,,,,,,,0.95,22.19,,18.9,,,8.39,21-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Apr-2018 - 00:00,,,,,,196.6,73.01,,,,,,,1.05,22.37,,26.25,,,10.77,22-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Apr-2018 - 00:00,,,,,,184.82,67.05,,,,,,,0.97,25.03,,24.91,,,13.26,23-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Apr-2018 - 00:00,,,,,,177.85,60.42,,,,,,,1.38,21.7,,34.34,,,11.23,24-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Apr-2018 - 00:00,,,,,,171.57,58.05,,,,,,,1.77,21.33,,33.53,,,10.02,25-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Apr-2018 - 00:00,,,,,,169.21,59.27,,,,,,,1.36,22.42,,17.11,,,12.34,26-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Apr-2018 - 00:00,,,,,,182.41,70.06,,,,,,,1.27,19.99,,15.59,,,8.93,27-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Apr-2018 - 00:00,,,,,,181.19,77.71,,,,,,,1.27,19.77,,16.56,,,11.51,28-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Apr-2018 - 00:00,,,,,,198.6,77.26,,,,,,,1.11,20.64,,15.28,,,9.75,29-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Apr-2018 - 00:00,,,,,,227.86,83.94,,,,,,,0.95,20.8,,15.06,,,9.22,30-Apr-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-Apr-2018 - 00:00,,,,,,310.75,73.07,,,,,,,0.97,20.19,,18.15,,,8.28,01-May-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-May-2018 - 00:00,,,,,,163.55,66.55,,,,,,,1.09,19.53,,16.38,,,7.07,02-May-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-May-2018 - 00:00,,,,,,182.64,57.69,,,,,,,1.07,19.01,,23.75,,,10.84,03-May-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-May-2018 - 00:00,,,,,,158.11,65.63,,,,,,,1.44,19.13,,30.99,,,9.72,04-May-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-May-2018 - 00:00,,,,,,202.86,70.81,,,,,,,1.43,22.97,,28.16,,,10.67,05-May-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-May-2018 - 00:00,,,,,,221.54,72.33,,,,,,,0.94,24.18,,23.41,,,20.5,06-May-2018 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
