from date,CH4,PM10,CO,NO,NO2,NOx,Ozone,SO2,to date,station
22-Feb-2018 - 00:00,,156.41,0.42,5.09,25.25,30.85,19.81,17.24,23-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
23-Feb-2018 - 00:00,,100.66,0.32,3.64,16.63,21.66,21.53,15.54,24-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
24-Feb-2018 - 00:00,,134.27,0.32,3.81,18.77,23.07,24.8,27.19,25-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
25-Feb-2018 - 00:00,,116.32,0.32,3.73,18.22,22.45,23.52,19.41,26-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
26-Feb-2018 - 00:00,,119.88,0.37,4.08,23.06,27.64,24.51,20.45,27-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
27-Feb-2018 - 00:00,,152.14,0.46,4.01,26.79,31.3,18.97,26.53,28-Feb-2018 - 00:00,"Haldia, Haldia - WBPCB"
28-Feb-2018 - 00:00,,119.0,0.35,3.11,17.14,21.2,23.67,22.96,01-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
01-Mar-2018 - 00:00,,127.46,0.43,3.28,17.56,21.36,24.36,20.5,02-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
02-Mar-2018 - 00:00,,101.67,0.34,3.45,16.74,20.7,19.31,24.26,03-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
03-Mar-2018 - 00:00,,91.03,0.32,3.44,18.52,22.93,23.55,29.01,04-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
04-Mar-2018 - 00:00,,110.69,0.44,3.6,17.59,21.69,23.56,15.26,05-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
05-Mar-2018 - 00:00,,98.0,0.37,3.07,16.14,20.11,23.61,17.19,06-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
06-Mar-2018 - 00:00,,124.33,0.49,2.07,18.2,30.25,29.89,25.66,07-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
07-Mar-2018 - 00:00,,127.85,0.53,2.6,21.07,37.13,25.1,22.43,08-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
08-Mar-2018 - 00:00,,168.97,0.47,4.76,33.91,40.84,25.31,25.23,09-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
09-Mar-2018 - 00:00,,169.22,0.53,4.26,34.35,39.12,30.87,27.61,10-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
10-Mar-2018 - 00:00,,136.75,0.53,3.96,30.74,35.19,27.63,21.12,11-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
11-Mar-2018 - 00:00,,125.47,0.44,3.25,31.62,35.35,26.86,21.05,12-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
12-Mar-2018 - 00:00,,83.12,0.44,2.76,11.74,14.99,23.6,14.04,13-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
13-Mar-2018 - 00:00,,100.22,0.52,3.68,24.01,28.18,26.07,34.7,14-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
14-Mar-2018 - 00:00,,122.49,0.52,4.69,24.06,29.25,22.94,17.17,15-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
15-Mar-2018 - 00:00,,68.44,0.41,2.94,15.78,20.03,21.77,22.36,16-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
16-Mar-2018 - 00:00,,94.69,0.58,3.11,33.66,37.18,20.84,34.86,17-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
17-Mar-2018 - 00:00,,92.47,0.38,2.88,24.03,27.42,30.77,25.52,18-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
18-Mar-2018 - 00:00,,113.83,0.44,2.8,19.8,23.07,32.12,19.43,19-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
19-Mar-2018 - 00:00,,118.25,0.54,3.29,23.32,28.27,27.66,12.77,20-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
20-Mar-2018 - 00:00,,107.26,0.58,3.06,17.94,21.51,23.25,14.51,21-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
21-Mar-2018 - 00:00,,95.99,0.48,3.72,17.57,22.73,19.47,16.79,22-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
22-Mar-2018 - 00:00,,92.61,0.41,2.65,14.19,17.33,22.27,20.11,23-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
23-Mar-2018 - 00:00,,74.85,0.45,2.59,12.42,15.83,17.48,23.5,24-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
24-Mar-2018 - 00:00,,80.17,0.43,2.56,9.58,12.65,21.13,14.34,25-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
25-Mar-2018 - 00:00,,83.97,0.43,3.42,12.66,16.58,18.2,13.17,26-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
26-Mar-2018 - 00:00,,87.39,0.4,2.85,14.71,18.07,18.12,11.91,27-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
27-Mar-2018 - 00:00,,111.23,0.43,2.56,18.89,21.93,24.74,19.52,28-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
28-Mar-2018 - 00:00,,70.09,0.38,2.43,9.55,13.0,20.28,10.32,29-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
29-Mar-2018 - 00:00,,60.94,0.4,2.4,7.97,10.89,18.72,11.34,30-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
30-Mar-2018 - 00:00,,50.42,0.34,2.43,8.55,11.48,17.9,15.02,31-Mar-2018 - 00:00,"Haldia, Haldia - WBPCB"
31-Mar-2018 - 00:00,,52.81,0.35,2.58,14.27,18.08,18.72,14.51,01-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
01-Apr-2018 - 00:00,,75.9,0.28,3.08,21.96,25.52,22.83,14.97,02-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
02-Apr-2018 - 00:00,,56.52,0.34,2.72,26.88,31.41,25.18,17.99,03-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
03-Apr-2018 - 00:00,,59.35,0.32,2.82,21.91,25.26,24.2,13.72,04-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
04-Apr-2018 - 00:00,,38.0,0.25,2.98,16.65,20.53,19.31,12.28,05-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
05-Apr-2018 - 00:00,,47.64,0.32,2.62,13.15,16.26,24.36,11.96,06-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
06-Apr-2018 - 00:00,,69.02,0.39,3.27,16.65,20.41,19.18,11.83,07-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
07-Apr-2018 - 00:00,,62.13,0.29,2.47,11.4,14.98,17.01,12.28,08-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
08-Apr-2018 - 00:00,,45.96,0.31,2.49,17.37,20.37,30.12,21.34,09-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
09-Apr-2018 - 00:00,,51.39,0.31,2.47,13.32,16.27,23.33,19.71,10-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
10-Apr-2018 - 00:00,,52.9,0.32,2.69,15.88,19.05,18.5,15.92,11-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
11-Apr-2018 - 00:00,,63.31,0.28,2.58,14.56,18.05,14.15,25.54,12-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
12-Apr-2018 - 00:00,,40.93,0.0,3.01,19.52,23.03,20.09,12.95,13-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
13-Apr-2018 - 00:00,,31.64,0.21,3.65,20.27,24.42,17.35,17.12,14-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
14-Apr-2018 - 00:00,,42.69,0.33,3.24,18.71,22.46,17.59,28.32,15-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
15-Apr-2018 - 00:00,,54.98,0.28,2.61,17.93,21.04,25.79,14.99,16-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
16-Apr-2018 - 00:00,,44.75,0.4,2.5,12.75,16.08,20.77,15.91,17-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
17-Apr-2018 - 00:00,,49.67,0.39,2.59,10.67,13.77,20.63,11.03,18-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
18-Apr-2018 - 00:00,,45.8,0.32,2.6,12.23,15.33,18.63,13.92,19-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
19-Apr-2018 - 00:00,,48.68,0.33,2.86,16.45,19.82,15.72,22.49,20-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
20-Apr-2018 - 00:00,,44.21,0.33,2.58,9.39,12.71,14.56,11.02,21-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
21-Apr-2018 - 00:00,,41.49,0.31,2.72,10.12,13.3,14.14,11.41,22-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
22-Apr-2018 - 00:00,,42.86,0.35,2.41,10.5,13.37,15.12,12.64,23-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
23-Apr-2018 - 00:00,,52.0,0.31,2.52,12.07,15.36,16.68,17.83,24-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
24-Apr-2018 - 00:00,,71.81,0.36,2.51,20.83,23.83,27.58,29.52,25-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
25-Apr-2018 - 00:00,,58.66,0.38,2.43,12.36,15.27,25.42,14.92,26-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
26-Apr-2018 - 00:00,,55.05,0.3,2.71,12.71,15.91,18.19,10.34,27-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
27-Apr-2018 - 00:00,,46.21,0.26,2.53,19.04,22.54,28.14,22.84,28-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
28-Apr-2018 - 00:00,,77.12,0.29,2.75,21.53,24.77,28.3,28.91,29-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
29-Apr-2018 - 00:00,,200.39,0.31,2.4,9.6,12.52,21.08,14.25,30-Apr-2018 - 00:00,"Haldia, Haldia - WBPCB"
30-Apr-2018 - 00:00,,38.11,0.33,2.65,9.83,13.52,21.04,15.86,01-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
01-May-2018 - 00:00,,40.44,0.32,2.23,9.53,12.26,26.06,16.14,02-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
02-May-2018 - 00:00,,32.59,0.31,2.56,11.1,14.48,23.03,16.15,03-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
03-May-2018 - 00:00,,39.52,0.24,2.85,14.62,17.96,26.17,18.81,04-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
04-May-2018 - 00:00,,40.23,0.25,2.58,11.09,14.14,23.6,22.43,05-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
05-May-2018 - 00:00,,53.53,0.33,2.35,9.71,12.56,17.78,22.3,06-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
06-May-2018 - 00:00,,48.94,0.29,1.0,9.38,10.87,13.19,15.83,07-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
07-May-2018 - 00:00,,43.59,0.38,0.0,12.84,13.33,13.38,15.76,08-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
08-May-2018 - 00:00,,48.11,0.4,0.0,11.26,11.76,13.83,14.87,09-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
09-May-2018 - 00:00,,47.79,0.37,0.02,1.85,8.95,13.94,14.75,10-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
10-May-2018 - 00:00,,43.7,0.45,0.0,0.0,,16.21,14.21,11-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
11-May-2018 - 00:00,,34.93,0.33,0.0,0.0,,17.25,14.17,12-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
12-May-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
13-May-2018 - 00:00,,,,,,,,,14-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
14-May-2018 - 00:00,,,,,,,,,15-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
15-May-2018 - 00:00,,35.75,0.25,0.0,0.0,,14.45,13.56,16-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
16-May-2018 - 00:00,,49.74,0.31,0.0,0.0,,19.22,19.9,17-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
17-May-2018 - 00:00,,61.42,0.4,0.0,0.0,,19.53,17.74,18-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
18-May-2018 - 00:00,,45.14,0.41,0.0,0.0,,13.49,16.85,19-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
19-May-2018 - 00:00,,56.46,0.4,0.0,0.0,,23.82,16.38,20-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
20-May-2018 - 00:00,,57.32,0.45,0.0,0.0,,12.26,14.0,21-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
21-May-2018 - 00:00,,53.07,0.51,0.0,0.0,,15.03,22.68,22-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
22-May-2018 - 00:00,,47.87,0.38,0.0,0.0,,10.79,14.94,23-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
23-May-2018 - 00:00,,25.71,0.33,0.0,0.0,,22.71,14.43,24-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
24-May-2018 - 00:00,,21.02,0.37,0.0,0.0,,8.26,14.86,25-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
25-May-2018 - 00:00,,31.79,0.31,,,,6.14,16.74,26-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
26-May-2018 - 00:00,,23.2,0.38,,,,6.62,14.93,27-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
27-May-2018 - 00:00,,23.9,0.37,,,,6.19,15.06,28-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
28-May-2018 - 00:00,,19.56,0.34,3.12,11.83,18.45,8.62,18.51,29-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
29-May-2018 - 00:00,,27.11,0.4,2.63,12.92,16.04,13.08,14.96,30-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
30-May-2018 - 00:00,,37.76,0.45,2.37,12.32,15.83,14.53,12.55,31-May-2018 - 00:00,"Haldia, Haldia - WBPCB"
31-May-2018 - 00:00,,56.37,0.51,2.05,12.4,14.94,21.73,13.34,01-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
01-Jun-2018 - 00:00,,33.8,0.49,2.06,13.26,15.8,23.08,12.51,02-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
02-Jun-2018 - 00:00,,30.42,0.41,2.03,13.28,16.82,19.17,16.0,03-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
03-Jun-2018 - 00:00,,43.26,0.41,1.78,12.54,14.81,19.54,13.38,04-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
04-Jun-2018 - 00:00,0.0,51.39,0.45,1.82,13.4,16.02,19.59,11.72,05-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
05-Jun-2018 - 00:00,0.0,61.44,0.37,1.93,12.43,14.21,20.35,14.61,06-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
06-Jun-2018 - 00:00,0.0,40.18,0.41,2.14,14.78,17.4,16.06,13.56,07-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
07-Jun-2018 - 00:00,0.0,41.46,0.44,2.5,15.88,18.87,14.95,22.83,08-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
08-Jun-2018 - 00:00,0.0,31.13,0.45,2.48,17.33,21.15,16.16,27.34,09-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
09-Jun-2018 - 00:00,0.0,60.1,0.59,2.43,23.73,26.63,18.62,15.84,10-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
10-Jun-2018 - 00:00,0.0,53.68,0.52,1.76,20.19,22.25,22.51,16.86,11-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
11-Jun-2018 - 00:00,0.0,61.46,0.35,1.85,23.66,25.94,27.8,34.49,12-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
12-Jun-2018 - 00:00,0.0,53.86,0.47,2.0,24.18,25.96,26.17,24.36,13-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
13-Jun-2018 - 00:00,0.0,68.21,0.51,1.82,21.71,24.52,26.93,32.92,14-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
14-Jun-2018 - 00:00,0.0,112.43,0.46,1.76,21.01,22.75,24.97,43.29,15-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
15-Jun-2018 - 00:00,0.0,115.22,0.5,1.69,16.54,18.68,27.95,19.59,16-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
16-Jun-2018 - 00:00,0.0,112.93,0.57,1.31,12.72,14.63,26.3,13.43,17-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
17-Jun-2018 - 00:00,0.0,111.99,0.51,1.51,15.63,17.39,28.7,16.26,18-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
18-Jun-2018 - 00:00,0.0,121.11,0.53,1.8,19.95,22.38,31.16,16.99,19-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
19-Jun-2018 - 00:00,0.0,107.59,0.45,1.61,17.32,18.54,30.23,20.72,20-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
20-Jun-2018 - 00:00,0.0,61.39,0.45,1.85,18.25,20.08,22.87,21.2,21-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
21-Jun-2018 - 00:00,0.0,69.49,0.45,1.91,19.27,20.84,18.24,15.63,22-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
22-Jun-2018 - 00:00,0.0,56.2,0.3,1.58,13.4,14.2,23.84,16.16,23-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
23-Jun-2018 - 00:00,0.0,40.71,0.43,1.54,17.59,19.43,21.52,19.42,24-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
24-Jun-2018 - 00:00,0.0,53.87,0.44,1.86,27.52,29.62,19.42,34.31,25-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
25-Jun-2018 - 00:00,0.0,53.28,0.44,1.74,25.42,27.16,21.76,32.96,26-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
26-Jun-2018 - 00:00,0.0,37.69,0.33,1.59,12.02,14.09,23.51,17.02,27-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
27-Jun-2018 - 00:00,0.0,11.1,0.03,1.59,14.9,11.23,24.0,11.34,28-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
28-Jun-2018 - 00:00,0.0,19.36,0.0,2.16,13.65,16.13,,13.53,29-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
29-Jun-2018 - 00:00,0.0,36.7,0.0,1.76,13.4,15.64,,21.35,30-Jun-2018 - 00:00,"Haldia, Haldia - WBPCB"
30-Jun-2018 - 00:00,0.0,57.01,0.0,1.75,17.63,19.17,,36.84,01-Jul-2018 - 00:00,"Haldia, Haldia - WBPCB"
01-Jul-2018 - 00:00,0.0,49.4,0.0,1.43,11.77,13.62,,17.25,02-Jul-2018 - 00:00,"Haldia, Haldia - WBPCB"
02-Jul-2018 - 00:00,0.0,51.97,0.18,1.57,14.16,15.05,28.23,24.76,03-Jul-2018 - 00:00,"Haldia, Haldia - WBPCB"
