from date,Ozone,NO,NO2,NOx,SO2,Benzene,Xylene,Toluene,WS,RH,WD,SR,PM2.5,PM10,Temp,RF,AP,CO,to date,station
11-Aug-2018 - 00:00,7.14,8.92,10.35,18.91,27.83,0.16,,0.06,0.28,,82.98,0.25,18.23,31.69,59.09,0.01,33.34,1.02,12-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
12-Aug-2018 - 00:00,7.04,8.8,10.21,18.66,27.47,0.1,,0.03,0.28,,73.1,0.25,18.47,29.17,58.97,0.01,39.47,1.0,13-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
13-Aug-2018 - 00:00,6.95,8.69,10.08,18.42,27.12,0.23,,0.08,0.28,,42.45,0.25,17.3,17.24,,0.02,21.61,1.08,14-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
14-Aug-2018 - 00:00,7.14,8.93,10.35,18.33,27.85,0.16,,0.07,0.28,,83.69,,26.84,31.31,58.73,0.02,7.69,1.02,15-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
15-Aug-2018 - 00:00,6.89,8.61,9.99,18.25,26.86,0.08,,0.03,0.28,,78.12,0.25,21.46,34.5,58.45,0.01,3.75,0.99,16-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
16-Aug-2018 - 00:00,6.85,8.57,9.94,18.16,26.73,0.15,,0.08,0.28,,62.63,0.25,22.42,29.44,,0.01,1.58,1.03,17-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
17-Aug-2018 - 00:00,6.86,8.57,9.95,18.18,26.75,0.17,,0.07,0.28,,100.15,0.25,22.0,29.58,58.8,0.01,1.15,1.07,18-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
18-Aug-2018 - 00:00,7.05,8.81,10.23,18.69,27.5,0.25,,0.13,0.28,,75.94,0.25,18.54,20.8,,0.02,0.88,1.12,19-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
19-Aug-2018 - 00:00,6.86,8.58,9.95,18.18,26.76,0.13,,0.05,0.48,,74.79,0.25,18.16,23.45,57.95,0.01,12.62,1.04,20-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
20-Aug-2018 - 00:00,6.9,8.63,10.01,18.23,26.91,0.29,,0.12,0.28,,54.08,0.25,21.55,21.17,,0.02,57.04,1.1,21-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
21-Aug-2018 - 00:00,6.94,8.68,10.07,18.4,27.08,0.48,,0.21,0.28,,41.76,0.25,21.09,19.04,,0.03,44.0,1.18,22-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
22-Aug-2018 - 00:00,6.9,8.63,10.01,18.26,26.93,0.27,,0.1,0.28,,67.66,0.25,19.68,20.52,59.15,0.02,20.49,1.12,23-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
23-Aug-2018 - 00:00,6.91,8.63,10.01,18.3,26.94,0.34,,0.13,0.28,,76.81,,20.67,27.82,59.04,0.02,9.3,1.16,24-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
24-Aug-2018 - 00:00,6.86,8.57,9.94,18.17,26.75,0.23,,0.08,0.28,,75.33,0.25,17.25,26.08,57.07,0.02,14.09,1.09,25-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
25-Aug-2018 - 00:00,6.91,8.64,10.02,18.29,26.95,0.21,,0.08,0.28,,63.2,0.25,18.26,20.35,59.22,0.02,13.82,1.09,26-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
26-Aug-2018 - 00:00,6.93,8.67,10.05,18.37,27.04,0.15,,0.05,0.28,,67.37,0.25,16.07,14.16,,0.01,5.73,1.05,27-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
27-Aug-2018 - 00:00,7.05,8.82,10.23,18.69,27.51,0.3,,0.11,0.28,,72.14,0.25,23.01,36.54,59.14,0.02,3.74,1.13,28-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
28-Aug-2018 - 00:00,6.93,8.67,10.05,18.37,27.04,0.32,,0.1,0.28,,64.71,0.25,24.6,42.68,57.07,0.02,3.62,1.15,29-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
29-Aug-2018 - 00:00,15.8,25.44,24.88,30.16,39.33,0.21,,0.07,0.28,,102.26,,25.33,57.7,54.33,0.02,9.01,1.13,30-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
30-Aug-2018 - 00:00,19.26,25.06,29.07,37.73,38.21,0.17,,0.05,0.28,,111.23,,29.05,64.56,54.48,0.01,15.79,0.98,31-Aug-2018 - 00:00,"Karve Road, Pune - MPCB"
31-Aug-2018 - 00:00,7.03,8.78,10.19,18.62,27.39,0.17,,0.06,0.28,,145.11,,23.71,57.45,54.09,0.01,19.4,1.0,01-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
01-Sep-2018 - 00:00,7.17,8.96,10.39,18.83,27.94,0.18,,0.06,0.28,,91.3,0.25,23.98,49.52,52.63,0.02,28.43,1.01,02-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
02-Sep-2018 - 00:00,7.19,8.98,10.42,19.04,28.03,0.15,,0.05,0.28,,64.65,0.25,18.04,25.89,57.64,0.01,13.19,0.97,03-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
03-Sep-2018 - 00:00,7.5,9.38,10.88,19.63,29.24,0.21,,0.07,0.28,,75.1,0.25,19.5,30.76,58.38,0.02,11.04,1.04,04-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
04-Sep-2018 - 00:00,7.81,9.76,11.32,19.82,29.74,0.19,,0.07,0.28,,91.69,,23.04,44.93,55.11,0.02,26.6,1.02,05-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
05-Sep-2018 - 00:00,10.6,13.25,15.37,27.21,41.14,0.14,,0.05,0.28,,99.04,,23.54,53.03,50.8,0.01,34.3,1.03,06-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
06-Sep-2018 - 00:00,6.9,8.63,10.01,18.26,26.91,0.15,,0.06,0.28,,174.18,,23.37,53.63,49.94,0.01,35.8,1.01,07-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
07-Sep-2018 - 00:00,7.11,8.89,10.31,18.72,27.73,0.18,,0.06,0.28,,160.46,,21.88,44.68,55.76,0.02,36.57,1.02,08-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
08-Sep-2018 - 00:00,7.02,8.78,10.18,18.49,27.39,0.19,,0.06,0.28,,155.71,,24.75,54.14,49.47,0.02,36.53,1.0,09-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
09-Sep-2018 - 00:00,7.05,8.82,10.23,18.68,27.51,0.12,,0.04,0.28,,175.93,,24.41,50.59,42.08,0.01,36.61,1.0,10-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
10-Sep-2018 - 00:00,7.02,8.78,10.18,18.6,27.38,0.13,,0.04,0.28,,176.73,,24.18,49.19,41.91,0.01,36.77,1.02,11-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
11-Sep-2018 - 00:00,7.07,8.84,10.25,18.74,27.58,0.22,,0.06,0.28,,178.14,,32.77,65.79,41.23,0.03,36.8,1.05,12-Sep-2018 - 00:00,"Karve Road, Pune - MPCB"
