from date,PM2.5,BP,Temp,SR,RH,RF,WS,WD,PM10,VWS,SO2,NO,NOx,NO2,CO,Benzene,Toluene,MP-Xylene,Xylene,Eth-Benzene,Ozone,to date,station
31-Jan-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0,01-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
01-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.01,0.0,1.47,0.0,0.0,4.44,0.0,2.25,0.0,02-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
02-Feb-2018 - 00:00,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.35,0.0,1.31,0.0,0.0,2.58,0.0,0.99,0.16,03-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
03-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.7,0.0,1.08,0.0,0.0,1.58,0.0,0.67,0.0,04-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
04-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.42,0.0,1.79,0.0,0.0,1.15,0.0,2.53,29.19,05-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
05-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.34,0.0,1.57,0.0,0.0,2.49,0.0,1.05,0.0,06-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
06-Feb-2018 - 00:00,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,1.69,0.0,0.0,1.66,0.0,1.86,0.0,07-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
07-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.14,0.0,1.61,0.0,0.0,1.02,0.0,1.11,0.0,08-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
08-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.98,0.0,1.59,0.0,0.0,1.27,0.0,1.27,0.0,09-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
09-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.33,0.0,1.38,0.0,0.0,1.19,0.0,0.63,0.0,10-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
10-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.8,0.0,1.53,0.0,0.0,1.48,0.0,1.25,0.0,11-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
11-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.28,0.0,1.33,0.0,0.0,0.99,0.0,0.38,0.0,12-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
12-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.29,0.0,1.05,0.0,0.0,1.05,0.0,0.36,0.0,13-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
13-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.92,0.0,1.43,0.0,0.0,0.67,0.0,1.43,0.0,14-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
14-Feb-2018 - 00:00,0.0,0.0,0.09,8.2,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,93.57,0.0,1.5,0.0,0.0,1.65,0.0,,0.19,15-Feb-2018 - 00:00,"Bandra, Mumbai - MPCB"
