from date,PM2.5,PM10,AT,VWS,RH,RF,BP,SR,Temp,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,WS,WD,to date,station
12-Apr-2018 - 00:00,22.05,54.1,28.19,0.01,73.33,0.0,748.88,194.02,30.21,11.07,10.24,29.5,23.81,10.95,0.5,18.03,3.81,8.78,2.15,2.49,299.32,13-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
13-Apr-2018 - 00:00,28.0,85.47,28.31,0.01,70.12,0.0,749.98,190.84,29.25,17.51,13.46,35.13,29.6,8.5,0.51,16.96,5.42,11.0,3.99,2.42,265.21,14-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
14-Apr-2018 - 00:00,19.13,55.73,29.48,-0.01,73.11,0.0,749.62,189.71,29.2,15.57,12.24,24.69,23.08,9.07,0.55,12.76,4.27,7.8,2.56,2.96,292.4,15-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
15-Apr-2018 - 00:00,15.78,55.24,29.53,0.01,70.76,0.0,748.76,89.32,29.8,9.66,9.1,26.13,21.05,10.22,0.47,14.5,3.31,6.71,1.94,2.33,237.18,16-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
16-Apr-2018 - 00:00,18.6,59.7,31.59,0.01,72.18,0.0,749.48,197.79,29.15,17.9,10.14,31.13,24.8,9.63,0.5,20.89,3.61,7.68,2.21,2.53,272.65,17-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
17-Apr-2018 - 00:00,24.74,82.98,32.93,-0.01,71.48,0.0,750.82,199.4,29.38,30.14,13.1,32.21,27.77,12.03,0.62,12.96,5.83,12.36,3.0,3.08,268.57,18-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
18-Apr-2018 - 00:00,20.23,68.1,32.12,0.03,72.02,0.24,748.72,190.08,29.24,24.23,15.74,32.2,29.93,10.77,0.51,17.15,4.44,9.12,2.83,3.13,280.65,19-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
19-Apr-2018 - 00:00,17.32,63.68,32.06,0.06,70.01,0.0,745.77,198.56,28.37,12.58,9.28,27.85,22.34,9.03,0.48,21.73,3.72,8.41,2.28,4.05,277.83,20-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
20-Apr-2018 - 00:00,16.35,70.55,33.38,0.08,73.41,0.0,746.6,181.95,29.17,16.55,10.07,24.31,21.12,10.95,0.57,11.2,4.26,8.19,2.95,4.26,288.95,21-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
21-Apr-2018 - 00:00,21.75,83.9,34.09,0.04,73.92,0.0,745.35,187.0,29.13,8.28,6.37,22.99,17.39,9.44,0.6,15.8,4.5,7.78,2.59,3.61,295.41,22-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
22-Apr-2018 - 00:00,16.12,64.02,33.1,0.08,72.58,0.0,746.54,225.42,28.82,36.95,13.92,24.12,24.15,7.65,0.3,12.0,2.92,5.57,1.59,4.0,292.88,23-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
23-Apr-2018 - 00:00,27.45,109.13,35.13,0.05,71.74,0.0,740.65,183.61,31.87,18.92,9.89,31.12,22.95,9.17,0.67,11.05,6.19,10.05,3.79,3.46,316.67,24-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
24-Apr-2018 - 00:00,29.87,86.21,29.34,0.02,77.53,0.17,746.27,82.85,30.05,15.99,8.19,35.43,25.31,10.7,0.59,21.42,4.2,7.73,2.66,2.38,305.14,25-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
25-Apr-2018 - 00:00,24.85,86.74,33.66,0.04,70.09,0.0,742.73,260.81,29.96,16.54,11.27,26.5,22.72,8.03,1.59,18.99,5.55,12.01,3.65,3.35,256.99,26-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
26-Apr-2018 - 00:00,21.99,81.57,32.71,0.02,73.33,0.0,743.86,206.37,29.59,21.07,13.05,26.5,24.81,8.4,0.5,13.29,4.79,8.45,2.69,3.19,280.01,27-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
27-Apr-2018 - 00:00,16.21,51.32,32.73,0.01,73.6,0.0,746.93,199.84,29.94,9.6,7.23,18.41,15.68,11.1,0.38,14.87,3.83,8.56,1.96,2.94,312.29,28-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
28-Apr-2018 - 00:00,13.52,54.2,33.47,0.02,71.26,0.0,746.81,196.92,30.76,12.08,8.06,19.57,16.48,9.53,0.45,12.63,3.18,6.11,1.99,3.21,297.69,29-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
29-Apr-2018 - 00:00,17.37,68.91,32.92,0.02,72.12,0.0,744.88,189.71,29.14,12.01,9.19,23.01,19.72,9.37,0.43,13.09,3.33,7.92,1.61,3.4,309.78,30-Apr-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
30-Apr-2018 - 00:00,14.69,60.5,32.78,0.02,75.08,0.0,742.81,159.24,29.27,11.81,8.93,21.28,18.71,10.79,0.39,14.38,3.43,7.1,2.35,3.54,319.4,01-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
01-May-2018 - 00:00,15.07,60.4,27.49,0.03,78.96,0.48,747.16,34.14,28.7,4.36,6.64,31.74,22.29,9.48,0.44,37.39,3.2,7.02,2.28,2.38,290.41,02-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
02-May-2018 - 00:00,32.21,131.42,29.76,0.02,74.75,0.0,746.67,214.44,28.21,13.55,16.05,50.35,39.82,11.6,0.59,26.25,6.38,13.39,4.17,1.48,349.23,03-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
03-May-2018 - 00:00,24.62,78.09,28.77,0.01,70.81,0.0,748.91,159.14,28.16,9.11,15.76,65.02,47.59,7.14,0.68,38.14,6.95,15.49,6.03,1.83,293.95,04-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
04-May-2018 - 00:00,22.03,81.02,30.84,-0.01,75.36,0.0,748.24,183.57,28.68,17.25,7.87,38.45,26.85,9.36,0.42,23.23,5.23,16.92,3.21,2.03,324.96,05-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
05-May-2018 - 00:00,18.58,71.89,33.2,0.03,74.55,0.0,747.97,209.61,29.66,4.37,9.88,25.53,21.61,8.97,0.46,16.25,3.87,9.52,2.41,3.37,318.06,06-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
06-May-2018 - 00:00,14.88,78.92,33.17,0.03,73.89,0.0,747.47,208.56,29.25,11.56,10.56,23.14,20.89,7.72,0.5,12.96,3.56,7.76,1.83,3.53,316.5,07-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
07-May-2018 - 00:00,17.11,71.81,33.56,0.03,73.71,0.0,744.93,202.27,29.19,15.33,11.72,27.63,24.36,7.98,0.52,15.16,4.18,8.11,2.6,3.83,313.32,08-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
08-May-2018 - 00:00,20.1,89.17,34.14,0.03,74.12,0.0,743.45,194.74,29.76,14.07,8.49,27.15,21.48,9.44,0.61,18.91,4.63,7.8,2.56,4.01,326.56,09-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
09-May-2018 - 00:00,19.54,80.54,34.25,0.03,74.05,0.0,744.54,192.1,29.4,7.22,9.91,28.8,23.37,8.01,0.61,12.8,4.67,8.78,2.78,3.6,305.39,10-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
10-May-2018 - 00:00,19.74,93.42,34.51,0.03,69.73,0.0,746.71,201.27,29.42,20.31,12.76,34.73,28.85,9.06,0.53,13.33,5.65,11.09,2.91,3.21,315.65,11-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
11-May-2018 - 00:00,9.09,57.16,32.78,0.04,75.08,0.11,746.15,181.54,29.59,10.06,6.15,22.79,17.1,8.71,0.39,25.39,3.28,6.38,1.97,3.68,273.22,12-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
12-May-2018 - 00:00,62.16,66.16,31.12,-0.0,71.96,0.0,743.74,183.46,30.13,8.64,8.98,35.11,25.97,10.04,0.46,31.29,5.06,10.24,2.61,3.16,291.08,13-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
13-May-2018 - 00:00,16.12,72.0,31.77,0.04,78.53,0.0,744.48,92.2,29.77,8.01,7.86,25.99,20.22,10.68,0.5,7.77,3.38,5.19,1.41,3.17,335.3,14-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
14-May-2018 - 00:00,16.52,61.81,31.47,-0.01,74.97,0.01,743.76,238.98,29.9,6.82,15.15,33.47,29.02,8.32,0.47,15.05,4.67,10.3,3.61,2.02,213.78,15-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
15-May-2018 - 00:00,25.04,86.22,31.75,-0.01,69.89,0.0,743.49,242.95,29.01,13.61,16.7,46.65,38.4,9.77,0.4,22.06,5.28,13.07,3.93,1.95,242.5,16-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
16-May-2018 - 00:00,17.57,78.02,33.11,0.01,73.35,0.0,742.16,197.5,29.31,16.67,14.76,29.77,27.83,9.38,0.53,11.59,4.81,10.43,2.85,3.19,351.46,17-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
17-May-2018 - 00:00,11.88,70.43,33.53,0.04,73.71,0.07,743.32,180.07,29.72,11.73,10.78,19.75,19.27,9.8,0.49,12.5,4.34,7.27,2.18,3.1,293.64,18-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
18-May-2018 - 00:00,21.36,95.05,31.91,0.02,70.87,0.01,741.81,149.72,32.15,21.9,11.45,40.7,28.83,11.17,0.65,23.17,4.57,8.96,2.86,2.73,311.26,19-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
19-May-2018 - 00:00,20.81,83.3,33.84,0.02,74.08,0.0,742.11,164.17,29.62,8.45,9.36,29.35,23.35,10.16,0.44,18.55,4.6,8.66,2.41,2.79,306.62,20-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
20-May-2018 - 00:00,16.03,73.05,31.91,0.03,78.82,0.0,743.05,87.34,30.13,7.99,5.55,25.55,18.1,11.54,0.29,11.71,3.0,6.29,1.62,3.17,301.11,21-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
21-May-2018 - 00:00,18.63,75.11,34.07,0.01,73.89,0.0,739.95,102.23,31.23,8.39,11.51,28.19,22.86,9.35,0.42,12.26,5.27,11.15,3.71,2.05,308.57,22-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
22-May-2018 - 00:00,15.19,66.44,33.63,0.01,75.55,0.0,742.66,180.35,30.35,4.53,9.4,25.1,20.99,9.94,0.35,15.5,4.23,12.74,2.04,2.5,293.95,23-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
23-May-2018 - 00:00,10.46,50.18,33.42,0.01,74.82,0.0,743.34,135.43,29.88,7.29,7.86,20.81,17.46,9.23,0.37,11.92,4.02,6.89,1.78,2.29,277.32,24-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
24-May-2018 - 00:00,13.0,50.64,34.03,-0.0,72.36,0.0,741.3,173.3,30.61,8.04,11.0,22.68,21.01,9.97,0.34,10.73,3.86,9.91,2.22,2.36,286.95,25-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
25-May-2018 - 00:00,11.83,40.98,34.52,0.02,72.36,0.0,741.12,277.45,30.26,5.76,7.36,21.27,17.3,10.42,0.27,13.7,3.18,14.85,1.09,2.22,279.33,26-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
26-May-2018 - 00:00,12.36,30.72,36.06,0.0,71.79,0.0,741.53,259.55,31.25,2.15,4.99,13.66,11.33,9.66,0.3,21.07,2.9,6.73,1.78,2.68,258.52,27-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
27-May-2018 - 00:00,14.73,44.36,34.85,0.01,72.2,0.0,739.82,158.92,30.38,4.81,6.41,21.3,16.31,10.15,0.34,17.58,3.16,9.95,1.28,2.41,283.95,28-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
28-May-2018 - 00:00,25.56,77.71,34.91,0.02,72.64,0.0,737.54,145.85,30.69,12.66,10.92,30.42,25.22,12.46,0.48,14.24,6.58,15.54,2.62,2.78,296.64,29-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
29-May-2018 - 00:00,27.91,82.75,35.16,0.02,72.15,0.0,735.34,172.88,29.85,12.02,6.17,28.55,20.21,11.34,0.41,23.27,4.32,7.8,2.37,3.26,292.64,30-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
30-May-2018 - 00:00,37.04,104.21,36.19,0.02,73.77,0.0,736.82,176.76,30.36,9.01,3.19,26.02,16.43,12.41,0.4,38.79,3.9,7.81,2.04,2.59,278.79,31-May-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
31-May-2018 - 00:00,34.41,107.0,35.82,0.02,74.03,0.0,740.85,153.91,30.12,3.42,2.99,21.87,14.07,12.92,0.43,42.49,3.25,6.49,1.76,1.92,271.41,01-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
01-Jun-2018 - 00:00,38.71,101.57,35.77,0.02,72.83,0.0,742.84,168.38,30.13,7.03,6.1,33.16,22.78,13.25,0.42,30.35,4.0,10.82,2.12,1.75,232.1,02-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
02-Jun-2018 - 00:00,31.45,88.74,33.83,0.03,71.82,0.03,742.61,153.85,29.94,4.83,7.48,37.72,26.12,13.83,0.54,30.97,4.38,10.18,2.74,2.1,220.26,03-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
03-Jun-2018 - 00:00,38.21,113.93,29.11,0.0,71.14,0.0,742.5,6.5,31.12,15.14,11.86,72.02,47.94,19.01,0.56,13.43,5.86,13.44,3.71,0.72,255.71,04-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
04-Jun-2018 - 00:00,47.17,91.46,37.28,0.02,71.8,0.0,732.86,243.02,32.56,4.23,3.14,28.04,16.86,14.41,1.02,65.91,3.81,8.75,1.88,2.09,255.89,05-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
05-Jun-2018 - 00:00,55.91,141.68,34.33,-0.01,72.94,0.0,738.15,92.98,29.6,11.75,6.11,48.48,30.56,11.38,0.48,42.46,5.58,13.47,3.55,1.7,275.52,06-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
06-Jun-2018 - 00:00,35.46,85.39,31.63,0.01,74.83,0.05,740.54,114.53,30.15,10.6,6.53,47.59,30.62,11.04,0.5,41.17,5.38,12.63,3.56,2.28,277.55,07-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
07-Jun-2018 - 00:00,28.27,65.91,39.18,0.04,65.59,0.0,730.73,520.41,34.18,4.56,2.82,22.7,13.9,15.83,0.36,72.04,3.29,8.96,1.98,3.25,260.86,08-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
08-Jun-2018 - 00:00,49.92,119.83,34.71,0.03,72.46,0.0,730.29,173.84,31.0,17.65,5.41,43.05,27.29,10.67,0.68,46.1,6.52,10.93,4.14,3.7,323.62,09-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
09-Jun-2018 - 00:00,37.0,83.0,31.57,0.02,76.24,0.01,730.31,143.57,29.72,14.25,7.35,44.84,29.78,11.34,0.46,36.86,4.49,11.27,2.88,3.02,286.69,10-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
10-Jun-2018 - 00:00,28.56,70.26,34.42,0.02,68.45,0.0,730.35,149.06,29.58,11.89,7.52,46.84,31.03,11.27,0.42,32.73,4.15,16.51,1.72,2.96,291.01,11-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
11-Jun-2018 - 00:00,30.82,85.1,33.7,0.05,67.51,0.0,730.59,183.19,29.95,11.71,7.92,44.11,29.91,10.67,0.41,30.72,4.49,10.34,2.04,3.43,299.35,12-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
12-Jun-2018 - 00:00,35.05,101.23,30.42,0.05,74.16,0.0,731.9,65.84,29.72,15.71,20.65,52.32,43.24,9.78,0.87,11.12,5.51,14.54,3.97,3.29,287.97,13-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
13-Jun-2018 - 00:00,35.03,135.09,31.83,0.03,73.74,0.06,734.24,112.94,28.99,18.89,9.32,44.68,31.47,12.71,0.63,28.45,5.49,9.67,3.0,3.16,296.7,14-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
14-Jun-2018 - 00:00,40.9,154.62,38.32,0.04,66.15,0.0,735.94,195.52,32.05,19.25,9.14,48.92,33.59,14.05,0.54,32.46,4.86,10.59,3.44,3.5,301.94,15-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
15-Jun-2018 - 00:00,52.31,184.53,36.42,0.01,69.99,0.0,737.4,194.71,31.63,25.78,7.22,52.29,32.66,13.62,0.51,31.46,5.38,9.08,2.77,2.49,280.22,16-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
16-Jun-2018 - 00:00,50.98,169.91,38.39,0.01,65.08,0.0,738.33,276.06,30.96,22.28,6.54,41.76,27.74,15.61,0.41,48.9,4.84,11.53,1.8,2.68,277.09,17-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
17-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
18-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
19-Jun-2018 - 00:00,17.59,77.61,34.42,0.05,60.0,0.0,730.33,381.44,32.82,3.83,1.76,28.84,15.53,12.35,0.36,46.47,3.09,7.14,1.59,2.68,262.02,20-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
20-Jun-2018 - 00:00,34.02,128.83,34.07,0.02,65.88,0.0,734.97,260.7,30.63,16.45,1.8,48.19,26.53,12.62,0.44,32.5,4.62,10.73,3.77,2.62,288.65,21-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
21-Jun-2018 - 00:00,27.06,105.36,29.98,0.05,71.09,0.0,734.01,117.45,29.38,14.78,1.36,37.14,20.44,12.15,0.35,27.83,3.54,8.84,2.35,1.0,296.05,22-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
22-Jun-2018 - 00:00,26.81,72.18,26.9,0.0,75.82,0.0,737.33,71.32,28.87,9.18,1.71,39.31,21.76,12.27,0.47,26.58,4.22,12.2,3.12,1.19,211.21,23-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
23-Jun-2018 - 00:00,26.54,97.98,28.69,0.01,74.98,0.0,738.8,134.53,29.13,12.1,1.41,36.86,20.54,12.35,0.56,25.07,4.92,17.55,2.53,2.36,300.92,24-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
24-Jun-2018 - 00:00,30.21,97.06,29.78,0.06,73.85,0.0,737.13,201.26,29.0,18.01,1.39,35.19,19.67,12.2,0.43,33.44,3.38,6.3,2.0,3.05,295.11,25-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
25-Jun-2018 - 00:00,29.08,113.08,35.4,0.05,61.0,0.0,735.33,456.5,26.99,10.95,1.22,36.13,19.79,11.19,0.46,41.04,4.61,11.94,3.38,4.0,293.58,26-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
26-Jun-2018 - 00:00,27.57,104.88,32.03,0.02,59.67,0.0,731.36,142.0,30.57,10.58,2.25,46.61,25.71,10.29,0.57,22.65,5.59,13.61,4.33,2.35,305.69,27-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
27-Jun-2018 - 00:00,33.95,108.48,24.63,0.01,76.08,0.0,731.7,86.32,28.16,18.22,2.49,42.1,23.3,9.6,0.58,12.76,6.02,13.64,5.19,2.23,296.48,28-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
28-Jun-2018 - 00:00,27.0,69.65,20.4,0.02,79.51,0.01,736.49,84.29,27.76,17.69,1.92,38.88,21.42,8.44,0.44,16.37,4.78,13.05,3.43,2.68,289.74,29-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
29-Jun-2018 - 00:00,32.96,82.89,21.13,0.0,82.62,0.03,740.82,65.49,28.74,11.05,1.92,44.42,24.35,9.65,0.7,12.31,6.03,16.06,4.85,1.99,271.16,30-Jun-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
30-Jun-2018 - 00:00,32.91,78.09,24.56,0.01,78.04,0.61,739.32,173.32,29.68,10.69,1.59,36.15,20.26,12.38,0.42,25.98,4.58,17.95,3.0,2.78,258.97,01-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
01-Jul-2018 - 00:00,32.51,92.71,23.67,0.03,76.82,0.02,738.72,147.03,29.02,13.25,1.48,37.08,20.67,10.49,0.56,22.29,4.8,13.09,3.72,3.12,276.74,02-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
02-Jul-2018 - 00:00,32.08,79.35,23.79,0.01,77.02,0.02,738.62,167.13,30.0,14.86,1.51,35.19,19.72,11.63,0.48,20.3,3.8,12.42,2.65,3.36,280.43,03-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
03-Jul-2018 - 00:00,39.55,87.85,23.9,0.01,77.17,0.04,738.9,92.61,30.18,12.81,2.43,44.87,25.33,11.73,0.5,18.06,4.62,14.56,4.22,2.52,277.52,04-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
04-Jul-2018 - 00:00,33.06,103.73,27.58,0.03,72.68,0.0,739.28,122.63,31.08,15.3,2.78,45.53,26.29,11.78,0.44,23.33,4.91,13.58,3.78,2.79,295.43,05-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
05-Jul-2018 - 00:00,24.4,89.56,29.96,0.01,68.2,0.0,738.52,114.22,29.62,10.23,2.77,40.79,23.6,9.72,0.44,16.08,4.89,12.8,3.95,2.04,292.36,06-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
06-Jul-2018 - 00:00,27.46,72.0,29.35,0.03,72.31,0.02,735.33,135.83,30.29,13.26,12.52,41.97,31.92,10.17,0.55,16.49,5.11,12.75,4.46,2.76,298.06,07-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
07-Jul-2018 - 00:00,34.64,99.95,28.49,0.01,75.39,0.0,732.4,89.11,29.76,21.89,12.38,42.53,32.7,9.72,0.58,14.21,6.21,13.03,4.18,2.51,286.79,08-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
08-Jul-2018 - 00:00,33.5,79.7,28.64,0.0,76.15,0.0,730.45,134.56,29.98,10.6,9.31,37.57,27.54,10.54,0.48,17.96,4.81,13.02,2.61,2.32,303.58,09-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
09-Jul-2018 - 00:00,34.42,89.68,29.18,0.03,72.93,0.0,730.72,110.29,29.75,17.87,9.04,41.46,29.4,10.1,0.49,20.49,4.61,12.58,3.22,3.48,315.59,10-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
10-Jul-2018 - 00:00,30.21,83.09,28.39,0.06,74.99,0.0,734.01,95.78,29.5,26.83,10.18,38.69,28.85,10.32,0.48,16.69,4.22,10.32,3.31,3.61,302.47,11-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
11-Jul-2018 - 00:00,31.22,83.66,27.48,0.05,78.26,0.0,734.54,49.67,31.11,27.77,22.83,43.11,41.52,14.33,0.4,9.07,5.13,10.86,4.18,3.23,302.45,12-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
12-Jul-2018 - 00:00,26.26,70.86,27.97,0.05,74.55,0.0,730.16,109.55,32.14,31.62,19.15,44.01,38.08,14.45,0.83,8.97,5.38,12.02,5.2,3.31,313.84,13-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
13-Jul-2018 - 00:00,28.2,82.16,28.45,0.03,74.02,0.0,730.47,130.0,29.1,17.53,14.22,36.35,30.9,11.69,0.46,13.16,4.52,11.12,3.84,3.25,300.0,14-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
14-Jul-2018 - 00:00,36.38,84.42,27.48,0.02,78.4,0.0,729.77,71.17,26.29,2.97,16.59,37.96,33.67,9.65,0.56,7.38,5.02,13.46,4.65,2.74,286.0,15-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
15-Jul-2018 - 00:00,21.67,48.15,26.9,0.03,80.32,0.02,727.79,69.17,26.87,3.94,13.74,35.04,29.8,6.88,0.41,5.98,4.6,11.34,3.69,3.15,277.62,16-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
16-Jul-2018 - 00:00,28.91,100.4,28.65,0.05,75.12,0.0,729.33,124.64,29.88,13.86,12.42,33.76,28.05,14.52,0.51,9.57,4.59,10.05,3.88,4.22,300.46,17-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
17-Jul-2018 - 00:00,23.62,78.44,30.34,0.04,67.43,0.01,728.51,159.28,30.38,11.42,11.86,32.91,26.62,16.8,0.37,13.96,4.51,12.9,3.52,3.75,295.81,18-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
18-Jul-2018 - 00:00,29.86,81.12,30.97,0.01,65.65,0.0,731.6,166.47,29.5,5.25,12.99,33.44,28.34,12.81,0.47,12.82,4.06,11.77,3.02,2.73,267.98,19-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
19-Jul-2018 - 00:00,22.29,58.27,28.81,0.01,73.41,0.09,730.48,87.18,30.48,6.95,12.25,33.78,27.94,13.35,0.4,13.59,3.86,14.63,3.21,1.36,274.64,20-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
20-Jul-2018 - 00:00,28.45,68.31,26.59,0.02,81.4,0.41,731.73,51.12,27.8,5.39,24.06,39.23,40.42,9.09,0.56,7.27,5.58,19.03,4.97,2.22,269.96,21-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
21-Jul-2018 - 00:00,27.94,59.68,26.95,0.0,80.67,0.03,733.43,56.95,27.36,4.57,21.37,40.23,38.77,7.5,0.59,7.93,5.78,17.38,5.67,2.15,271.46,22-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
22-Jul-2018 - 00:00,32.66,92.7,28.6,0.02,72.65,0.01,733.98,84.65,27.17,10.6,10.83,35.88,27.89,7.4,0.51,11.99,4.82,12.73,4.15,2.7,271.05,23-Jul-2018 - 00:00,"GVM Corporation, Visakhapatnam - APPCB"
