from date,AT,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,CO,NO,NO2,NOx,Ozone,PM2.5,RH,SO2,SR,VWS,WD,WS,to date,BP,station
26-Apr-2018 - 00:00,28.29,4.98,25.9,3.77,,,2.02,9.76,50.29,31.82,37.04,72.83,42.17,51.62,218.12,0.41,186.66,2.38,27-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
27-Apr-2018 - 00:00,28.52,8.34,37.84,5.86,,,2.35,25.26,47.83,42.12,26.33,80.36,55.08,39.52,206.92,0.41,229.35,2.1,28-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
28-Apr-2018 - 00:00,29.04,5.71,23.32,3.34,,,1.68,10.53,43.23,28.8,29.83,95.88,49.63,43.55,217.77,0.4,119.62,2.34,29-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
29-Apr-2018 - 00:00,28.72,2.58,14.89,3.21,,,1.39,5.74,32.03,19.07,36.54,37.92,52.97,27.66,225.6,0.39,115.33,2.37,30-Apr-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
30-Apr-2018 - 00:00,29.34,7.67,21.56,2.44,,,1.25,10.8,28.16,20.51,12.12,43.92,67.88,56.78,199.45,4.85,266.03,3.52,01-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
01-May-2018 - 00:00,33.78,8.84,28.29,0.65,,,1.3,13.64,28.45,24.02,25.9,62.43,85.78,69.7,228.47,13.65,248.19,2.04,02-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-May-2018 - 00:00,33.24,6.73,28.05,0.65,,,1.43,10.8,30.65,23.01,27.71,46.16,85.24,47.65,232.93,13.65,250.92,1.93,03-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-May-2018 - 00:00,32.72,8.66,31.7,0.65,,,1.78,13.64,34.49,26.98,1.4,60.47,84.72,80.72,233.25,13.7,257.29,1.6,04-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-May-2018 - 00:00,32.81,5.04,23.32,0.65,,,1.3,8.7,27.69,19.96,0.0,42.02,84.81,36.82,220.81,13.67,252.0,1.83,05-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-May-2018 - 00:00,34.42,15.47,33.6,1.79,,,1.32,15.96,35.42,29.19,0.0,56.15,86.42,61.74,223.47,13.54,237.42,1.53,06-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-May-2018 - 00:00,34.66,11.12,31.53,0.65,,,1.29,13.88,35.35,27.55,0.0,65.86,86.66,78.71,241.15,13.33,217.73,1.6,07-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-May-2018 - 00:00,33.24,4.83,20.19,0.65,,,1.01,7.3,27.89,19.05,0.0,40.21,85.24,50.92,260.34,13.38,215.29,2.05,08-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
08-May-2018 - 00:00,33.05,8.47,27.4,0.65,,,1.23,10.06,29.05,21.68,22.13,50.26,85.05,54.79,255.04,12.41,138.85,1.31,09-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
09-May-2018 - 00:00,34.67,7.13,26.22,1.04,,,1.39,10.0,29.59,21.78,28.27,44.06,86.67,65.95,267.46,10.84,0.96,0.53,10-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
10-May-2018 - 00:00,36.1,14.5,46.57,4.61,,,1.45,27.57,29.57,34.71,35.55,49.33,88.1,55.63,260.35,10.85,1.12,0.55,11-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
11-May-2018 - 00:00,35.93,6.81,29.48,0.65,,,1.34,7.5,33.55,21.97,32.53,71.0,87.93,84.7,250.0,10.76,1.09,0.54,12-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-May-2018 - 00:00,34.41,5.6,30.21,0.65,,,1.09,7.32,31.77,20.96,37.28,43.37,86.41,72.57,266.37,10.79,1.18,0.56,13-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
13-May-2018 - 00:00,34.56,7.87,31.73,0.65,,,1.53,14.67,28.29,24.75,28.4,50.92,86.56,53.26,271.8,10.77,1.89,0.65,14-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
14-May-2018 - 00:00,34.19,6.95,32.23,0.65,,,1.44,8.14,30.79,21.09,27.49,49.16,86.19,77.27,246.63,10.78,1.5,0.6,15-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
15-May-2018 - 00:00,34.98,5.14,26.92,0.65,,,0.87,6.67,27.53,18.41,32.6,45.27,86.98,52.11,249.73,10.72,1.95,0.66,16-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
16-May-2018 - 00:00,35.39,7.1,29.28,0.97,,,1.17,9.69,28.73,21.25,27.27,51.25,87.39,67.58,262.82,10.67,2.57,0.75,17-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-May-2018 - 00:00,36.74,6.1,32.01,0.82,,,1.24,7.2,30.19,20.07,31.81,53.48,88.74,51.95,269.41,10.6,2.21,0.7,18-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
18-May-2018 - 00:00,35.5,5.91,31.42,0.65,,,1.3,7.06,32.0,20.88,38.45,59.08,87.5,78.21,257.16,10.6,2.83,0.78,19-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
19-May-2018 - 00:00,34.4,8.77,34.83,0.93,,,1.41,6.98,37.76,23.63,8.82,70.94,86.4,84.04,280.18,10.66,5.29,1.12,20-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
20-May-2018 - 00:00,34.92,7.58,31.46,0.87,,,1.43,8.72,31.19,21.72,0.0,59.55,86.92,81.65,268.14,10.66,4.87,1.06,21-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
21-May-2018 - 00:00,34.49,6.92,32.68,0.65,,,1.31,8.71,33.75,22.94,30.86,50.79,86.49,12.07,295.25,10.7,4.52,1.01,22-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
22-May-2018 - 00:00,34.59,8.33,32.44,0.65,,,1.65,6.91,34.88,22.13,41.37,70.4,86.59,12.16,336.59,10.72,4.89,1.06,23-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
23-May-2018 - 00:00,35.55,10.01,39.02,1.37,,,1.68,10.62,43.61,29.2,47.73,61.77,87.55,16.34,274.5,10.67,5.37,1.13,24-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
24-May-2018 - 00:00,35.14,9.82,33.09,0.65,,,1.64,11.09,38.57,27.09,32.01,67.5,87.14,19.78,275.12,10.66,5.35,1.13,25-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
25-May-2018 - 00:00,32.99,8.26,43.77,3.43,,,1.42,19.38,35.47,31.76,40.52,44.67,72.61,56.59,297.49,5.14,5.49,1.15,26-May-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
26-May-2018 - 00:00,33.91,16.54,50.81,4.89,,,2.2,23.29,40.53,37.15,33.41,62.03,61.88,91.74,286.91,0.36,7.61,1.45,27-May-2018 - 00:00,999.98,"Maninagar, Ahmedabad - GPCB"
27-May-2018 - 00:00,34.41,6.68,33.03,0.76,,,1.73,10.27,30.38,22.44,37.17,53.9,63.06,98.57,284.45,0.36,6.29,1.27,28-May-2018 - 00:00,998.86,"Maninagar, Ahmedabad - GPCB"
28-May-2018 - 00:00,33.82,5.31,29.81,0.65,,,1.75,19.16,16.36,23.59,27.91,43.46,61.66,77.44,283.98,0.36,5.23,1.11,29-May-2018 - 00:00,997.47,"Maninagar, Ahmedabad - GPCB"
29-May-2018 - 00:00,32.75,4.43,30.64,0.65,,,1.64,24.83,6.12,20.8,0.0,,59.14,64.46,276.69,0.36,4.25,0.97,30-May-2018 - 00:00,997.21,"Maninagar, Ahmedabad - GPCB"
30-May-2018 - 00:00,33.92,4.37,28.06,1.43,,,1.97,16.6,61.93,25.98,17.78,,61.9,36.47,480.13,0.36,3.46,0.87,31-May-2018 - 00:00,997.45,"Maninagar, Ahmedabad - GPCB"
31-May-2018 - 00:00,33.82,4.29,28.3,0.87,,,1.69,12.91,69.91,40.22,17.88,16.58,61.67,61.24,321.18,0.36,3.15,0.83,01-Jun-2018 - 00:00,999.58,"Maninagar, Ahmedabad - GPCB"
01-Jun-2018 - 00:00,32.76,5.24,30.88,0.65,,,1.66,18.61,55.56,40.99,15.81,81.61,59.16,56.72,216.6,0.37,3.42,0.86,02-Jun-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Jun-2018 - 00:00,33.4,6.38,27.76,0.65,,,1.98,16.5,51.54,37.46,15.48,82.39,60.68,46.99,230.49,0.37,3.81,0.92,03-Jun-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Jun-2018 - 00:00,33.32,5.74,23.73,0.65,,,1.76,13.17,47.34,32.92,0.0,64.28,60.5,52.2,233.72,0.37,3.01,0.81,04-Jun-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Jun-2018 - 00:00,33.26,4.85,23.17,0.65,,,1.71,9.6,46.39,29.79,0.0,49.98,60.34,39.18,231.26,0.36,2.91,0.79,05-Jun-2018 - 00:00,999.14,"Maninagar, Ahmedabad - GPCB"
05-Jun-2018 - 00:00,33.51,6.1,31.8,0.65,,,1.92,13.88,52.35,35.9,1.85,52.42,60.94,34.9,251.45,0.36,2.73,0.77,06-Jun-2018 - 00:00,999.92,"Maninagar, Ahmedabad - GPCB"
06-Jun-2018 - 00:00,33.92,4.67,24.71,0.65,,,1.76,10.97,48.52,31.86,15.33,52.64,61.9,53.92,243.4,0.37,3.14,0.83,07-Jun-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
07-Jun-2018 - 00:00,33.22,4.82,23.0,0.65,,,1.91,10.24,45.41,29.79,17.63,54.91,60.25,52.08,248.64,0.36,3.59,0.89,08-Jun-2018 - 00:00,998.8,"Maninagar, Ahmedabad - GPCB"
08-Jun-2018 - 00:00,32.8,5.24,24.13,0.65,,,2.02,13.28,46.04,32.37,13.03,54.24,59.26,38.73,240.78,0.36,3.51,0.87,09-Jun-2018 - 00:00,995.62,"Maninagar, Ahmedabad - GPCB"
09-Jun-2018 - 00:00,32.85,6.99,29.76,0.65,,,1.99,14.25,43.85,32.02,2.56,65.02,59.38,62.06,191.94,0.36,3.71,0.9,10-Jun-2018 - 00:00,993.48,"Maninagar, Ahmedabad - GPCB"
10-Jun-2018 - 00:00,31.85,9.13,31.27,2.84,,,2.32,15.43,54.37,37.15,0.15,79.08,57.02,54.62,17.46,0.37,4.67,1.03,11-Jun-2018 - 00:00,994.61,"Maninagar, Ahmedabad - GPCB"
11-Jun-2018 - 00:00,32.93,4.98,46.21,1.11,,,1.26,25.87,33.79,35.79,15.13,81.43,59.56,45.52,220.43,0.36,3.63,0.89,12-Jun-2018 - 00:00,995.74,"Maninagar, Ahmedabad - GPCB"
12-Jun-2018 - 00:00,33.0,7.24,64.67,1.31,,,1.17,35.5,32.39,42.29,21.1,78.83,59.74,25.62,251.98,0.36,3.18,0.83,13-Jun-2018 - 00:00,995.97,"Maninagar, Ahmedabad - GPCB"
13-Jun-2018 - 00:00,33.05,7.49,57.24,0.8,,,0.89,39.51,44.19,51.04,21.6,69.56,59.84,25.96,275.05,0.36,3.26,0.84,14-Jun-2018 - 00:00,996.38,"Maninagar, Ahmedabad - GPCB"
14-Jun-2018 - 00:00,32.92,8.58,60.12,1.1,,,0.78,44.49,42.45,53.91,19.68,79.14,59.55,28.29,238.65,0.36,2.97,0.8,15-Jun-2018 - 00:00,998.24,"Maninagar, Ahmedabad - GPCB"
15-Jun-2018 - 00:00,32.28,8.22,63.21,0.85,,,0.8,42.92,36.59,49.87,17.78,57.76,58.03,35.02,234.37,0.36,2.74,0.77,16-Jun-2018 - 00:00,998.95,"Maninagar, Ahmedabad - GPCB"
16-Jun-2018 - 00:00,32.05,6.33,59.97,1.3,,,0.73,37.5,36.27,45.67,18.32,48.15,57.5,34.71,260.04,0.37,2.57,0.75,17-Jun-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
17-Jun-2018 - 00:00,32.0,4.95,62.31,0.94,,,0.73,41.24,35.26,47.98,0.0,50.72,57.38,37.67,232.5,0.37,3.49,0.87,18-Jun-2018 - 00:00,999.52,"Maninagar, Ahmedabad - GPCB"
18-Jun-2018 - 00:00,32.26,4.61,64.42,0.96,,,0.87,39.07,35.77,46.61,0.0,53.13,57.99,40.01,238.44,0.36,3.59,0.88,19-Jun-2018 - 00:00,998.79,"Maninagar, Ahmedabad - GPCB"
19-Jun-2018 - 00:00,32.58,4.36,62.66,0.87,,,0.76,29.47,44.82,43.86,0.0,36.9,58.73,31.46,275.04,0.36,4.08,0.95,20-Jun-2018 - 00:00,998.92,"Maninagar, Ahmedabad - GPCB"
20-Jun-2018 - 00:00,32.92,4.92,66.77,1.07,,,0.88,35.62,49.95,50.95,,43.24,59.55,44.46,298.13,0.36,4.34,0.99,21-Jun-2018 - 00:00,999.08,"Maninagar, Ahmedabad - GPCB"
21-Jun-2018 - 00:00,32.62,4.88,66.42,1.96,,,0.71,33.02,49.24,48.66,,39.3,58.84,40.44,289.05,0.36,4.05,0.95,22-Jun-2018 - 00:00,998.87,"Maninagar, Ahmedabad - GPCB"
22-Jun-2018 - 00:00,32.8,4.2,67.67,1.3,,,0.75,39.0,49.87,53.43,,32.13,59.25,41.73,299.9,0.36,4.51,1.01,23-Jun-2018 - 00:00,998.45,"Maninagar, Ahmedabad - GPCB"
23-Jun-2018 - 00:00,32.48,4.0,65.52,1.1,,,0.75,35.68,51.54,51.77,,39.12,58.51,47.05,199.99,0.36,4.58,1.02,24-Jun-2018 - 00:00,998.02,"Maninagar, Ahmedabad - GPCB"
24-Jun-2018 - 00:00,30.54,8.84,79.96,11.31,,,0.96,69.62,55.11,76.12,23.07,45.3,53.93,37.13,42.47,0.36,5.65,1.17,25-Jun-2018 - 00:00,997.83,"Maninagar, Ahmedabad - GPCB"
25-Jun-2018 - 00:00,30.87,7.07,63.6,2.47,,,0.82,43.47,42.47,53.16,,51.62,54.71,27.33,154.9,0.36,5.67,1.17,26-Jun-2018 - 00:00,996.03,"Maninagar, Ahmedabad - GPCB"
26-Jun-2018 - 00:00,30.58,6.43,58.43,0.65,,,1.32,40.88,45.85,52.87,,37.16,54.02,27.16,88.81,0.36,5.72,1.18,27-Jun-2018 - 00:00,994.8,"Maninagar, Ahmedabad - GPCB"
27-Jun-2018 - 00:00,31.1,6.61,55.38,1.17,,,1.02,36.2,41.74,47.38,13.15,28.98,55.25,39.55,130.9,0.36,5.14,1.1,28-Jun-2018 - 00:00,994.65,"Maninagar, Ahmedabad - GPCB"
28-Jun-2018 - 00:00,31.4,7.47,39.32,5.74,,,1.01,25.72,45.94,41.61,10.5,35.13,55.96,55.77,166.7,0.36,5.04,1.08,29-Jun-2018 - 00:00,995.43,"Maninagar, Ahmedabad - GPCB"
29-Jun-2018 - 00:00,31.05,6.01,41.75,1.4,,,1.47,26.09,52.07,44.87,1.75,77.66,55.13,42.03,108.13,0.36,5.46,1.14,30-Jun-2018 - 00:00,996.38,"Maninagar, Ahmedabad - GPCB"
30-Jun-2018 - 00:00,31.26,7.72,21.21,2.85,,,1.57,22.54,52.62,42.49,0.76,62.12,55.62,21.85,186.52,0.37,5.45,1.14,01-Jul-2018 - 00:00,999.27,"Maninagar, Ahmedabad - GPCB"
01-Jul-2018 - 00:00,31.36,4.82,21.11,1.19,,,1.55,18.4,59.66,42.83,1.07,47.94,55.85,24.98,202.43,0.37,5.25,1.11,02-Jul-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Jul-2018 - 00:00,30.92,5.06,35.23,1.11,,,1.67,21.32,53.47,41.99,1.11,37.09,54.82,25.03,117.41,0.36,5.79,1.12,03-Jul-2018 - 00:00,997.89,"Maninagar, Ahmedabad - GPCB"
03-Jul-2018 - 00:00,29.73,4.69,42.9,0.65,,,1.5,25.79,38.69,38.12,1.15,69.18,52.03,19.93,104.98,0.39,133.31,1.72,04-Jul-2018 - 00:00,997.68,"Maninagar, Ahmedabad - GPCB"
04-Jul-2018 - 00:00,29.18,5.36,43.44,0.65,,,1.48,27.37,27.18,33.69,0.81,399.0,50.73,47.46,53.53,0.41,246.93,1.68,05-Jul-2018 - 00:00,997.6,"Maninagar, Ahmedabad - GPCB"
05-Jul-2018 - 00:00,30.75,7.76,47.22,5.26,,,1.18,35.49,59.47,55.49,1.2,37.17,54.44,32.87,202.58,0.41,267.69,1.73,06-Jul-2018 - 00:00,998.92,"Maninagar, Ahmedabad - GPCB"
06-Jul-2018 - 00:00,30.72,6.51,45.28,0.8,,,1.91,28.83,58.25,49.93,1.99,60.2,54.35,17.65,240.64,0.41,232.51,1.59,07-Jul-2018 - 00:00,999.75,"Maninagar, Ahmedabad - GPCB"
07-Jul-2018 - 00:00,31.49,6.33,56.38,6.37,,,1.91,16.38,97.86,59.96,2.04,71.31,56.18,25.73,425.63,0.4,179.41,2.01,08-Jul-2018 - 00:00,998.35,"Maninagar, Ahmedabad - GPCB"
08-Jul-2018 - 00:00,31.57,4.52,105.37,2.98,,,1.96,17.41,153.3,88.5,2.51,47.36,56.35,26.04,973.81,0.42,199.63,1.85,09-Jul-2018 - 00:00,996.66,"Maninagar, Ahmedabad - GPCB"
09-Jul-2018 - 00:00,31.19,4.73,65.2,1.84,,,2.02,19.52,65.0,46.27,1.76,55.67,55.47,32.75,893.06,0.44,248.83,1.68,10-Jul-2018 - 00:00,996.43,"Maninagar, Ahmedabad - GPCB"
10-Jul-2018 - 00:00,30.41,6.86,29.61,0.75,,,2.21,25.09,61.66,48.8,1.24,81.12,53.62,32.43,147.15,0.44,235.55,1.36,11-Jul-2018 - 00:00,997.1,"Maninagar, Ahmedabad - GPCB"
11-Jul-2018 - 00:00,29.52,9.93,45.21,1.08,,,2.19,29.14,33.73,38.2,0.39,121.74,51.53,27.18,105.72,0.44,260.79,1.46,12-Jul-2018 - 00:00,997.43,"Maninagar, Ahmedabad - GPCB"
12-Jul-2018 - 00:00,29.23,9.47,40.94,2.52,,,2.32,25.53,40.69,38.91,2.41,124.48,50.84,33.88,94.04,0.44,271.94,1.68,13-Jul-2018 - 00:00,996.38,"Maninagar, Ahmedabad - GPCB"
13-Jul-2018 - 00:00,29.68,5.43,58.4,0.72,,,2.84,30.44,51.3,47.74,3.32,36.51,51.9,37.2,113.91,0.44,260.12,1.59,14-Jul-2018 - 00:00,995.64,"Maninagar, Ahmedabad - GPCB"
14-Jul-2018 - 00:00,29.66,7.94,50.29,0.87,,,2.95,30.08,119.89,80.93,3.72,41.48,51.85,22.75,76.23,0.44,251.38,1.62,15-Jul-2018 - 00:00,995.33,"Maninagar, Ahmedabad - GPCB"
15-Jul-2018 - 00:00,29.44,4.42,21.06,0.65,,,3.48,20.01,54.46,41.5,4.31,32.96,51.33,21.05,96.7,0.42,176.61,1.55,16-Jul-2018 - 00:00,993.97,"Maninagar, Ahmedabad - GPCB"
16-Jul-2018 - 00:00,29.62,4.91,20.5,0.65,,,3.21,18.43,41.22,33.86,5.53,34.63,51.75,28.87,100.09,0.42,176.48,1.71,17-Jul-2018 - 00:00,993.83,"Maninagar, Ahmedabad - GPCB"
17-Jul-2018 - 00:00,29.24,8.86,36.35,6.65,,,3.54,31.09,74.79,59.69,3.18,28.54,50.87,19.4,92.56,0.44,255.62,1.39,18-Jul-2018 - 00:00,995.11,"Maninagar, Ahmedabad - GPCB"
18-Jul-2018 - 00:00,29.05,5.85,30.18,0.65,,,2.05,27.66,65.28,52.49,3.02,22.29,50.4,16.55,85.97,0.43,218.03,1.56,19-Jul-2018 - 00:00,996.79,"Maninagar, Ahmedabad - GPCB"
19-Jul-2018 - 00:00,29.33,10.48,40.79,0.65,,,0.72,31.04,67.01,55.85,3.33,44.39,51.08,17.35,79.28,0.43,201.24,1.61,20-Jul-2018 - 00:00,997.62,"Maninagar, Ahmedabad - GPCB"
20-Jul-2018 - 00:00,28.7,11.65,38.21,1.16,,,0.54,31.3,54.22,49.8,4.44,33.95,49.59,16.99,52.82,0.43,201.26,1.54,21-Jul-2018 - 00:00,997.29,"Maninagar, Ahmedabad - GPCB"
21-Jul-2018 - 00:00,28.92,13.83,45.88,0.9,,,0.57,35.23,63.51,57.27,3.02,45.14,50.11,24.2,56.38,0.43,201.24,1.44,22-Jul-2018 - 00:00,998.4,"Maninagar, Ahmedabad - GPCB"
22-Jul-2018 - 00:00,29.57,9.83,57.97,1.04,,,0.48,25.31,61.6,48.94,3.05,49.54,51.64,18.82,143.35,0.43,201.24,1.77,23-Jul-2018 - 00:00,998.21,"Maninagar, Ahmedabad - GPCB"
23-Jul-2018 - 00:00,29.34,8.53,56.89,0.79,,,0.62,35.77,52.21,52.16,,42.61,51.09,19.79,86.95,0.43,201.24,1.64,24-Jul-2018 - 00:00,997.74,"Maninagar, Ahmedabad - GPCB"
24-Jul-2018 - 00:00,28.98,9.89,54.17,0.79,,,0.55,42.16,56.95,59.24,,48.82,50.25,21.23,60.14,0.43,201.24,1.24,25-Jul-2018 - 00:00,999.51,"Maninagar, Ahmedabad - GPCB"
25-Jul-2018 - 00:00,29.52,10.3,37.41,0.72,,,0.52,39.39,53.03,55.26,,51.84,51.51,20.26,110.42,0.43,201.24,1.86,26-Jul-2018 - 00:00,999.82,"Maninagar, Ahmedabad - GPCB"
26-Jul-2018 - 00:00,29.36,6.19,27.16,0.65,,,0.49,30.15,51.65,47.7,,41.97,51.14,17.93,115.02,0.43,201.24,2.32,27-Jul-2018 - 00:00,999.88,"Maninagar, Ahmedabad - GPCB"
27-Jul-2018 - 00:00,29.41,5.98,26.9,0.65,,,0.45,29.87,49.54,46.46,,35.93,51.27,20.16,105.59,0.43,201.24,2.01,28-Jul-2018 - 00:00,998.69,"Maninagar, Ahmedabad - GPCB"
28-Jul-2018 - 00:00,29.82,4.46,25.39,0.65,,,0.6,23.95,44.39,39.53,,37.99,52.24,19.89,180.06,0.43,201.24,2.34,29-Jul-2018 - 00:00,999.46,"Maninagar, Ahmedabad - GPCB"
29-Jul-2018 - 00:00,29.66,4.83,26.64,0.65,,,0.55,27.78,48.5,44.39,,37.76,51.86,25.31,172.43,0.43,201.24,2.13,30-Jul-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
30-Jul-2018 - 00:00,30.19,4.94,28.54,0.65,,,0.51,29.55,47.65,45.29,,39.75,53.09,23.99,645.0,0.43,201.24,2.1,31-Jul-2018 - 00:00,999.69,"Maninagar, Ahmedabad - GPCB"
31-Jul-2018 - 00:00,30.38,5.6,26.03,0.65,,,0.55,28.54,45.15,43.32,,52.3,53.55,64.37,,0.43,201.24,2.21,01-Aug-2018 - 00:00,999.59,"Maninagar, Ahmedabad - GPCB"
01-Aug-2018 - 00:00,30.53,5.58,24.68,0.65,,,0.53,26.32,47.9,43.01,,64.26,53.92,113.33,,0.43,201.24,2.29,02-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
02-Aug-2018 - 00:00,30.49,6.06,28.49,0.65,,,0.47,26.33,50.59,44.33,,56.46,53.82,107.52,,0.43,201.24,2.42,03-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
03-Aug-2018 - 00:00,30.66,6.12,23.7,0.65,,,0.48,24.67,48.4,42.02,3.11,48.12,54.21,109.27,,0.44,201.24,2.26,04-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
04-Aug-2018 - 00:00,30.9,4.5,21.94,0.65,,,0.56,22.66,52.73,42.2,2.87,54.27,54.78,97.78,959.1,0.43,201.24,2.09,05-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
05-Aug-2018 - 00:00,29.51,4.07,19.29,0.65,,,0.42,18.82,51.43,39.14,2.8,47.38,51.49,86.25,,0.43,201.24,2.19,06-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
06-Aug-2018 - 00:00,31.24,6.03,30.07,0.65,,,0.45,28.05,60.56,49.87,5.3,58.78,55.59,129.63,292.93,0.43,201.24,2.8,07-Aug-2018 - 00:00,996.4,"Maninagar, Ahmedabad - GPCB"
07-Aug-2018 - 00:00,29.94,4.34,26.4,0.65,,,0.41,25.39,39.3,38.12,9.9,40.06,52.52,80.94,208.61,0.43,201.25,2.18,08-Aug-2018 - 00:00,998.07,"Maninagar, Ahmedabad - GPCB"
08-Aug-2018 - 00:00,29.61,5.0,35.73,0.65,,,0.53,28.41,46.52,43.9,6.82,37.12,51.74,58.31,130.1,0.43,201.24,1.63,09-Aug-2018 - 00:00,998.36,"Maninagar, Ahmedabad - GPCB"
09-Aug-2018 - 00:00,29.66,5.65,25.46,0.65,,,0.59,26.32,46.58,42.36,21.93,29.17,51.86,41.58,317.42,0.43,201.24,1.34,10-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
10-Aug-2018 - 00:00,30.2,5.78,24.05,0.65,,,0.52,27.46,46.28,43.07,17.78,33.86,53.13,30.24,242.52,0.44,201.24,1.62,11-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
11-Aug-2018 - 00:00,30.43,5.57,20.91,0.65,,,0.5,21.03,52.42,41.26,16.39,28.45,53.66,26.69,163.5,0.43,201.24,2.2,12-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
12-Aug-2018 - 00:00,29.85,4.85,21.44,0.65,,,0.43,25.63,54.89,45.91,11.14,25.05,52.3,21.66,532.38,0.43,201.24,2.45,13-Aug-2018 - 00:00,996.76,"Maninagar, Ahmedabad - GPCB"
13-Aug-2018 - 00:00,30.17,5.43,21.74,0.65,,,0.46,28.24,49.4,45.17,10.18,32.94,53.05,42.14,311.36,0.43,201.24,2.06,14-Aug-2018 - 00:00,996.16,"Maninagar, Ahmedabad - GPCB"
14-Aug-2018 - 00:00,30.19,4.86,22.01,0.65,,,0.42,31.58,54.77,50.28,7.16,43.8,53.09,48.95,349.89,0.43,201.24,1.74,15-Aug-2018 - 00:00,998.31,"Maninagar, Ahmedabad - GPCB"
15-Aug-2018 - 00:00,30.1,5.75,22.1,0.65,,,0.51,27.73,46.84,43.54,10.87,49.19,52.89,30.82,352.02,0.43,201.24,1.32,16-Aug-2018 - 00:00,999.08,"Maninagar, Ahmedabad - GPCB"
16-Aug-2018 - 00:00,30.84,4.41,19.13,0.65,,,0.51,11.2,37.74,26.77,23.24,43.05,54.64,44.7,333.72,0.43,201.24,2.0,17-Aug-2018 - 00:00,998.45,"Maninagar, Ahmedabad - GPCB"
17-Aug-2018 - 00:00,28.43,4.92,19.58,0.65,,,0.55,19.22,57.93,42.6,15.54,28.46,48.95,32.52,358.59,0.43,201.29,2.19,18-Aug-2018 - 00:00,996.28,"Maninagar, Ahmedabad - GPCB"
18-Aug-2018 - 00:00,28.61,6.43,28.07,3.17,,,0.3,26.14,62.77,50.13,19.04,31.16,49.37,132.74,106.52,0.43,201.31,1.65,19-Aug-2018 - 00:00,998.49,"Maninagar, Ahmedabad - GPCB"
19-Aug-2018 - 00:00,28.55,8.26,52.02,16.89,,,0.23,31.19,67.51,56.2,15.06,33.84,49.22,144.29,69.74,0.43,201.31,1.39,20-Aug-2018 - 00:00,999.87,"Maninagar, Ahmedabad - GPCB"
20-Aug-2018 - 00:00,29.51,7.12,31.0,0.65,,,0.18,23.81,58.98,46.54,25.25,34.14,51.49,152.63,242.4,0.43,201.27,1.12,21-Aug-2018 - 00:00,,"Maninagar, Ahmedabad - GPCB"
