from date,PM10,PM2.5,NOx,CO,SO2,to date,station
08-Feb-2018 - 00:00,121.53,5.66,1.2,1.54,5.89,09-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Feb-2018 - 00:00,185.35,6.62,2.42,1.49,6.17,10-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Feb-2018 - 00:00,262.32,8.4,3.23,1.87,5.15,11-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Feb-2018 - 00:00,133.1,7.18,2.38,1.61,4.37,12-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Feb-2018 - 00:00,59.04,4.31,2.2,1.32,4.11,13-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Feb-2018 - 00:00,103.47,5.42,3.41,1.48,4.18,14-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Feb-2018 - 00:00,67.73,7.43,1.54,1.35,3.78,15-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Feb-2018 - 00:00,93.47,7.27,1.48,1.35,3.79,16-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Feb-2018 - 00:00,153.79,58.64,2.88,1.64,7.39,17-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Feb-2018 - 00:00,215.89,75.59,3.05,1.49,9.82,18-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Feb-2018 - 00:00,240.01,47.35,4.85,2.03,10.79,19-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Feb-2018 - 00:00,203.2,69.79,1.29,1.28,9.92,20-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Feb-2018 - 00:00,148.34,6.46,1.61,1.38,8.29,21-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Feb-2018 - 00:00,141.13,5.93,2.03,1.36,8.32,22-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-Feb-2018 - 00:00,149.05,6.82,1.14,1.4,8.49,23-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-Feb-2018 - 00:00,212.56,8.61,0.88,1.38,8.46,24-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Feb-2018 - 00:00,139.08,7.87,1.42,1.55,7.27,25-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Feb-2018 - 00:00,141.23,8.37,2.07,1.62,6.65,26-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Feb-2018 - 00:00,113.41,6.79,1.3,1.26,6.41,27-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Feb-2018 - 00:00,151.83,5.93,1.38,1.28,6.61,28-Feb-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Feb-2018 - 00:00,169.53,6.54,1.41,1.4,6.5,01-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Mar-2018 - 00:00,116.04,5.77,0.86,1.38,6.43,02-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Mar-2018 - 00:00,104.84,18.7,1.84,1.66,6.95,03-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Mar-2018 - 00:00,137.09,11.24,1.59,1.24,7.25,04-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Mar-2018 - 00:00,140.78,6.99,1.88,1.37,7.35,05-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Mar-2018 - 00:00,126.44,14.99,2.0,1.23,6.38,06-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Mar-2018 - 00:00,86.37,4.93,1.54,1.09,5.9,07-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Mar-2018 - 00:00,99.59,5.72,2.05,1.19,6.12,08-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Mar-2018 - 00:00,181.55,11.13,1.34,1.29,5.89,09-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Mar-2018 - 00:00,110.18,17.77,4.2,1.42,6.44,10-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Mar-2018 - 00:00,136.11,6.6,3.2,1.33,6.17,11-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Mar-2018 - 00:00,112.57,7.21,1.89,1.19,6.03,12-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Mar-2018 - 00:00,196.31,11.49,2.9,1.2,8.06,13-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Mar-2018 - 00:00,466.47,7.16,3.42,1.16,5.58,14-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Mar-2018 - 00:00,347.22,17.49,2.23,1.66,5.65,15-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Mar-2018 - 00:00,174.69,7.22,2.46,1.29,5.63,16-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Mar-2018 - 00:00,208.13,5.92,6.56,1.22,5.96,17-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Mar-2018 - 00:00,170.38,5.03,9.71,1.96,5.43,18-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Mar-2018 - 00:00,243.74,7.0,9.06,1.94,4.96,19-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Mar-2018 - 00:00,372.58,4.84,10.28,1.96,4.74,20-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Mar-2018 - 00:00,240.58,17.51,10.7,2.2,5.57,21-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Mar-2018 - 00:00,161.76,68.0,8.45,2.11,6.05,22-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-Mar-2018 - 00:00,197.13,101.16,16.1,1.84,6.54,23-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-Mar-2018 - 00:00,120.52,15.23,16.35,1.06,5.42,24-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Mar-2018 - 00:00,108.95,16.31,24.98,1.07,4.69,25-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Mar-2018 - 00:00,113.35,5.52,27.23,1.06,4.16,26-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Mar-2018 - 00:00,139.63,7.07,25.41,1.23,4.64,27-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Mar-2018 - 00:00,194.98,8.56,26.98,1.42,5.46,28-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Mar-2018 - 00:00,149.43,9.59,28.15,1.41,6.17,29-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-Mar-2018 - 00:00,160.78,9.52,25.59,1.21,6.56,30-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-Mar-2018 - 00:00,182.21,7.97,23.99,1.29,6.59,31-Mar-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
31-Mar-2018 - 00:00,158.9,5.35,13.41,0.52,6.81,01-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Apr-2018 - 00:00,86.67,17.16,20.19,0.99,5.53,02-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Apr-2018 - 00:00,78.44,7.04,19.65,1.07,5.29,03-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Apr-2018 - 00:00,135.67,8.52,19.28,1.05,5.77,04-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Apr-2018 - 00:00,170.03,12.92,21.27,1.05,6.4,05-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Apr-2018 - 00:00,102.6,6.38,20.34,1.09,6.74,06-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Apr-2018 - 00:00,136.67,9.15,18.52,1.09,6.72,07-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Apr-2018 - 00:00,108.59,8.28,19.03,1.02,5.76,08-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Apr-2018 - 00:00,63.89,5.12,21.38,0.95,5.22,09-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Apr-2018 - 00:00,106.32,19.94,20.21,1.0,5.49,10-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Apr-2018 - 00:00,127.75,6.63,22.25,1.04,5.88,11-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Apr-2018 - 00:00,85.35,13.19,20.55,1.11,6.04,12-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Apr-2018 - 00:00,50.05,3.73,23.81,1.13,5.91,13-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Apr-2018 - 00:00,171.98,18.41,,1.32,6.11,14-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Apr-2018 - 00:00,92.78,6.12,,1.15,6.75,15-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Apr-2018 - 00:00,65.68,6.4,,1.48,6.82,16-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Apr-2018 - 00:00,88.97,26.51,,1.07,6.76,17-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Apr-2018 - 00:00,117.08,10.14,,0.97,7.0,18-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Apr-2018 - 00:00,120.78,6.91,,1.04,6.65,19-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Apr-2018 - 00:00,159.19,8.81,,1.34,7.49,20-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Apr-2018 - 00:00,134.46,7.58,,1.42,7.91,21-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Apr-2018 - 00:00,124.87,19.65,,1.16,6.99,22-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-Apr-2018 - 00:00,205.21,24.26,,1.04,6.59,23-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-Apr-2018 - 00:00,122.17,12.58,,1.34,6.55,24-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Apr-2018 - 00:00,134.88,22.53,,1.7,6.91,25-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Apr-2018 - 00:00,266.86,47.2,,2.1,8.01,26-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Apr-2018 - 00:00,168.69,27.41,4.31,2.03,8.11,27-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Apr-2018 - 00:00,137.21,57.98,,1.68,6.84,28-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Apr-2018 - 00:00,160.18,74.02,,1.5,6.63,29-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-Apr-2018 - 00:00,114.46,97.28,,1.41,7.28,30-Apr-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-Apr-2018 - 00:00,178.19,60.09,,1.54,7.89,01-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-May-2018 - 00:00,50.73,12.26,,1.38,8.03,02-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-May-2018 - 00:00,74.77,53.19,,1.45,7.96,03-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-May-2018 - 00:00,51.45,10.24,1.92,1.3,6.25,04-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-May-2018 - 00:00,73.78,18.96,2.29,1.46,7.14,05-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-May-2018 - 00:00,151.35,27.88,2.47,1.71,7.55,06-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-May-2018 - 00:00,142.19,23.87,4.5,1.86,7.65,07-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-May-2018 - 00:00,137.42,12.83,8.99,1.3,7.78,08-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-May-2018 - 00:00,213.8,8.05,8.11,1.22,8.29,09-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-May-2018 - 00:00,109.46,18.34,2.02,0.86,7.3,10-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-May-2018 - 00:00,131.49,7.92,2.74,1.0,6.43,11-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-May-2018 - 00:00,194.54,97.24,48.71,1.35,6.85,12-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-May-2018 - 00:00,112.57,30.31,86.43,1.7,6.73,13-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-May-2018 - 00:00,128.67,31.4,47.47,1.93,7.35,14-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-May-2018 - 00:00,71.94,16.58,,1.69,8.29,15-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-May-2018 - 00:00,83.01,17.06,,1.6,8.64,16-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-May-2018 - 00:00,176.05,6.92,23.09,0.99,7.76,17-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-May-2018 - 00:00,182.04,26.07,38.46,1.15,7.99,18-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-May-2018 - 00:00,141.68,11.48,51.44,1.22,7.88,19-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-May-2018 - 00:00,132.68,11.13,60.83,1.36,7.68,20-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-May-2018 - 00:00,149.79,37.29,78.76,1.28,7.19,21-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-May-2018 - 00:00,158.51,53.67,89.35,1.72,6.93,22-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-May-2018 - 00:00,250.3,34.27,126.4,2.18,6.68,23-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-May-2018 - 00:00,326.41,76.03,154.05,2.3,7.35,24-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-May-2018 - 00:00,145.83,60.86,174.16,2.2,7.89,25-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-May-2018 - 00:00,628.03,847.24,78.97,1.88,9.61,26-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-May-2018 - 00:00,963.3,890.43,3.57,2.2,10.08,27-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-May-2018 - 00:00,971.22,922.78,2.17,2.03,9.72,28-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-May-2018 - 00:00,593.09,521.64,336.07,1.82,13.18,29-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-May-2018 - 00:00,155.66,34.25,243.31,1.42,8.34,30-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-May-2018 - 00:00,134.78,22.98,137.31,1.19,9.37,31-May-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
31-May-2018 - 00:00,76.74,39.98,78.78,1.2,8.97,01-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Jun-2018 - 00:00,83.27,9.56,65.44,1.16,8.4,02-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Jun-2018 - 00:00,161.96,26.44,25.31,1.83,9.15,03-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Jun-2018 - 00:00,102.59,14.03,33.86,1.5,10.38,04-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Jun-2018 - 00:00,133.6,21.77,21.09,1.29,9.41,05-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Jun-2018 - 00:00,88.27,26.45,52.16,1.29,8.46,06-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Jun-2018 - 00:00,121.85,9.29,10.32,1.33,8.9,07-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Jun-2018 - 00:00,114.36,8.56,85.49,1.36,10.11,08-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Jun-2018 - 00:00,166.27,8.73,32.26,1.39,10.91,09-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Jun-2018 - 00:00,171.74,7.21,3.95,1.42,12.43,10-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Jun-2018 - 00:00,48.83,4.13,,1.3,12.02,11-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Jun-2018 - 00:00,80.87,4.52,7.19,1.28,12.35,12-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Jun-2018 - 00:00,114.74,18.11,46.05,1.2,12.0,13-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Jun-2018 - 00:00,179.96,23.89,11.37,1.27,12.9,14-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Jun-2018 - 00:00,119.95,21.39,30.82,1.24,12.07,15-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Jun-2018 - 00:00,132.4,7.78,51.04,1.19,10.39,16-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Jun-2018 - 00:00,109.67,6.63,64.05,1.29,9.89,17-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
17-Jun-2018 - 00:00,91.49,11.69,82.65,1.27,9.6,18-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
18-Jun-2018 - 00:00,131.02,20.53,69.81,1.3,10.2,19-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
19-Jun-2018 - 00:00,107.4,6.58,27.46,1.33,10.77,20-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
20-Jun-2018 - 00:00,103.72,7.34,62.14,1.39,10.52,21-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
21-Jun-2018 - 00:00,204.96,18.83,54.26,1.54,10.26,22-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
22-Jun-2018 - 00:00,113.07,7.2,32.29,1.53,11.28,23-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
23-Jun-2018 - 00:00,131.42,6.86,1.62,1.7,12.32,24-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
24-Jun-2018 - 00:00,97.11,20.2,1.75,1.56,13.32,25-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
25-Jun-2018 - 00:00,59.3,4.93,3.06,1.42,13.1,26-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
26-Jun-2018 - 00:00,91.43,19.64,2.02,1.55,14.25,27-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
27-Jun-2018 - 00:00,41.07,20.33,2.89,1.34,18.47,28-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
28-Jun-2018 - 00:00,79.63,7.12,2.98,1.42,22.41,29-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
29-Jun-2018 - 00:00,64.52,4.86,3.87,1.56,23.83,30-Jun-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
30-Jun-2018 - 00:00,71.03,5.14,3.33,1.3,24.33,01-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
01-Jul-2018 - 00:00,68.62,21.87,1.75,1.19,24.54,02-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
02-Jul-2018 - 00:00,57.86,5.7,1.73,1.21,23.46,03-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
03-Jul-2018 - 00:00,40.53,3.05,2.17,1.35,23.45,04-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
04-Jul-2018 - 00:00,45.17,2.62,4.19,1.35,24.17,05-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
05-Jul-2018 - 00:00,47.01,1.95,3.49,1.26,24.15,06-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
06-Jul-2018 - 00:00,130.2,17.95,2.7,1.42,24.66,07-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
07-Jul-2018 - 00:00,88.63,19.35,1.0,1.37,26.02,08-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
08-Jul-2018 - 00:00,110.52,24.26,1.38,1.42,25.99,09-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
09-Jul-2018 - 00:00,36.62,12.55,6.24,1.23,25.57,10-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
10-Jul-2018 - 00:00,50.49,17.43,2.45,1.33,26.3,11-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
11-Jul-2018 - 00:00,43.45,17.02,3.22,1.41,27.46,12-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
12-Jul-2018 - 00:00,29.25,2.87,2.58,1.02,27.96,13-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
13-Jul-2018 - 00:00,84.2,3.47,4.1,1.15,27.94,14-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
14-Jul-2018 - 00:00,50.23,11.49,3.95,1.26,28.84,15-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
15-Jul-2018 - 00:00,40.69,18.2,3.61,1.15,29.13,16-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
16-Jul-2018 - 00:00,37.68,2.73,3.17,0.93,29.12,17-Jul-2018 - 00:00,"Bandhavgar Colony, Satna - Birla Cement"
