from date,PM2.5,Benzene,Temp,RH,SR,RF,Toluene,Eth-Benzene,MP-Xylene,O Xylene,WS,NO2,NO,WD,NOx,NH3,SO2,CO,Ozone,PM10,to date,station
12-Jan-2018 - 00:00,64.61,4.78,24.45,38.65,442.2,0.0,35.59,7.28,19.68,9.04,1.62,67.65,14.16,187.05,52.6,60.05,7.47,1.76,67.0,144.95,13-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
13-Jan-2018 - 00:00,71.55,4.5,26.06,33.95,547.75,0.0,35.1,9.76,20.49,9.07,1.96,70.36,16.16,185.03,51.54,62.73,7.02,1.19,57.01,153.89,14-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
14-Jan-2018 - 00:00,93.97,4.65,26.39,38.37,517.12,0.0,35.27,8.32,20.65,8.7,1.71,65.55,16.64,178.18,50.88,59.68,5.74,1.28,57.68,139.97,15-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
15-Jan-2018 - 00:00,82.47,3.7,27.06,36.63,494.06,0.0,22.78,3.59,11.34,5.07,1.44,53.06,7.05,227.83,33.93,51.83,6.94,0.99,72.32,112.66,16-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
16-Jan-2018 - 00:00,90.52,3.88,26.19,40.87,605.39,0.0,27.41,4.71,13.76,5.87,1.62,63.78,9.97,206.21,43.27,48.09,6.95,1.02,66.09,119.45,17-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
17-Jan-2018 - 00:00,58.69,2.09,25.98,37.06,626.24,0.0,20.4,2.36,8.52,3.71,1.69,51.62,9.09,233.59,34.76,42.07,7.35,0.78,55.29,126.14,18-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
18-Jan-2018 - 00:00,74.17,3.62,25.17,37.9,629.67,0.0,31.47,5.73,14.72,6.62,1.57,54.89,21.26,211.24,46.26,51.99,6.35,1.05,39.31,158.08,19-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
19-Jan-2018 - 00:00,70.58,4.35,24.24,38.22,628.52,0.0,32.84,5.79,16.59,7.46,1.63,57.84,18.46,185.07,45.09,50.66,6.41,1.14,43.97,180.61,20-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
20-Jan-2018 - 00:00,57.85,3.7,24.45,33.51,626.16,0.0,32.86,6.55,17.4,7.68,1.82,56.93,12.97,181.11,40.16,45.53,6.1,1.1,61.04,166.49,21-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
21-Jan-2018 - 00:00,41.16,4.5,23.94,35.23,584.92,0.0,36.48,5.83,15.49,7.13,1.58,59.9,12.58,202.73,41.58,42.65,5.35,1.23,51.35,187.27,22-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
22-Jan-2018 - 00:00,76.48,4.83,23.68,36.07,604.08,0.0,34.64,5.79,16.17,7.33,1.92,59.99,14.0,186.77,42.68,43.49,5.8,1.26,53.66,221.71,23-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
23-Jan-2018 - 00:00,92.15,5.47,23.92,40.12,609.79,0.0,38.0,9.05,17.92,7.49,2.14,55.35,11.97,173.5,38.64,49.57,6.21,1.25,70.2,205.17,24-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
24-Jan-2018 - 00:00,70.93,1.81,23.04,34.6,680.62,0.0,18.94,2.55,7.9,3.54,1.81,48.85,4.07,215.93,28.78,41.19,6.54,0.65,81.87,132.54,25-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
25-Jan-2018 - 00:00,66.86,4.03,21.55,32.47,640.84,0.0,32.97,5.81,13.79,6.32,1.64,57.75,14.55,156.95,41.92,41.07,6.14,1.21,58.98,162.27,26-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
26-Jan-2018 - 00:00,67.43,4.2,22.45,28.68,663.39,0.0,30.56,4.82,14.21,6.24,1.65,60.81,6.03,192.39,36.67,38.81,6.3,1.12,58.55,134.06,27-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
27-Jan-2018 - 00:00,40.19,4.71,22.83,28.52,630.44,0.0,34.29,5.07,13.78,6.28,1.88,60.59,12.03,174.94,41.51,41.02,6.6,1.23,59.62,164.25,28-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
28-Jan-2018 - 00:00,78.51,6.11,23.44,30.95,596.74,0.0,36.54,7.5,17.17,7.68,1.62,65.34,7.59,192.04,40.49,42.24,5.98,1.46,58.33,177.94,29-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
29-Jan-2018 - 00:00,102.06,4.83,24.47,34.61,646.92,0.0,30.6,5.18,14.62,6.71,1.59,60.1,6.41,193.57,36.88,45.14,6.47,1.24,66.69,169.82,30-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
30-Jan-2018 - 00:00,76.78,4.39,25.31,26.37,657.58,0.0,27.32,4.61,13.54,6.48,2.07,57.68,6.63,274.55,35.54,44.69,6.39,0.99,65.36,140.73,31-Jan-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
31-Jan-2018 - 00:00,45.55,5.24,24.99,28.3,651.7,0.0,36.07,6.05,15.59,6.67,1.78,63.09,14.42,216.29,45.15,44.36,5.51,1.15,54.71,119.98,01-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
01-Feb-2018 - 00:00,44.91,6.22,25.29,25.05,712.72,0.0,35.88,6.92,19.43,8.52,1.82,50.65,20.68,226.48,43.71,40.61,5.31,1.18,47.92,131.35,02-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
02-Feb-2018 - 00:00,47.08,6.76,24.89,27.93,721.84,0.0,41.17,7.97,21.21,9.91,1.97,62.77,14.15,132.1,44.21,39.79,4.28,1.45,52.04,134.15,03-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
03-Feb-2018 - 00:00,57.92,6.48,25.45,29.91,654.29,0.0,38.1,8.22,20.21,9.13,1.98,60.11,11.63,163.76,40.82,38.76,5.21,1.35,60.22,160.23,04-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
04-Feb-2018 - 00:00,56.99,6.18,25.3,33.87,690.95,0.0,37.51,8.12,20.25,9.04,2.07,53.74,11.94,161.81,37.67,40.98,4.84,1.48,68.63,146.42,05-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
05-Feb-2018 - 00:00,46.5,5.46,25.72,33.1,696.09,0.0,30.75,5.25,15.66,7.36,2.1,54.26,9.51,163.7,35.97,37.21,4.98,1.18,54.82,124.61,06-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
06-Feb-2018 - 00:00,43.52,5.76,26.12,30.44,574.2,0.0,32.68,6.79,19.42,9.31,1.7,52.05,17.2,194.9,41.45,41.03,4.99,1.28,60.38,124.35,07-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
07-Feb-2018 - 00:00,55.86,6.57,25.67,34.72,326.12,0.0,36.12,8.49,24.51,11.26,1.88,54.97,17.34,169.25,43.1,46.99,5.93,1.42,53.11,151.05,08-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
08-Feb-2018 - 00:00,59.09,5.45,24.99,35.51,796.73,0.0,31.17,7.02,16.52,7.37,2.49,57.22,12.73,147.06,41.0,42.88,5.21,1.1,60.59,172.93,09-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
09-Feb-2018 - 00:00,37.2,3.55,24.79,28.24,820.54,0.0,24.83,4.34,11.58,4.99,2.29,45.31,5.28,198.6,27.89,34.9,5.66,0.86,65.52,101.28,10-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
10-Feb-2018 - 00:00,50.58,7.0,23.88,33.55,558.81,0.0,37.49,9.38,22.41,12.75,1.86,48.42,26.95,146.08,46.94,36.93,5.54,1.45,34.9,132.54,11-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
11-Feb-2018 - 00:00,56.69,5.52,25.38,41.09,649.45,0.0,30.59,7.26,17.04,8.09,2.46,53.35,27.42,162.29,49.88,47.41,5.45,1.15,58.0,134.35,12-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
12-Feb-2018 - 00:00,54.15,4.47,25.3,45.31,773.59,0.0,28.57,5.83,14.35,6.53,2.12,36.03,23.04,156.26,37.18,35.12,5.87,1.08,50.68,151.09,13-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
13-Feb-2018 - 00:00,44.24,2.97,25.4,51.35,679.34,0.0,22.64,4.15,12.04,5.14,2.11,44.92,5.37,234.91,27.78,41.31,5.91,0.79,53.39,99.43,14-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
14-Feb-2018 - 00:00,39.32,1.45,25.67,57.5,666.68,0.0,14.81,2.26,9.69,4.36,2.78,40.02,3.66,289.82,24.05,40.22,5.91,0.63,65.45,83.39,15-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
15-Feb-2018 - 00:00,41.94,2.49,25.38,46.37,637.22,0.0,22.59,4.05,13.51,6.21,2.06,51.77,6.36,222.83,32.6,39.61,5.49,0.81,69.0,97.45,16-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
16-Feb-2018 - 00:00,41.35,3.52,26.83,38.92,776.7,0.0,27.53,3.95,13.15,5.91,1.48,59.46,6.7,219.86,38.08,43.39,4.29,0.89,58.16,110.19,17-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
17-Feb-2018 - 00:00,41.95,4.76,26.8,32.55,829.45,0.0,35.35,5.64,17.76,7.97,1.56,60.31,12.19,191.78,42.21,45.25,4.79,1.21,52.76,124.02,18-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
18-Feb-2018 - 00:00,46.55,5.95,26.77,30.51,788.14,0.0,38.36,6.59,19.22,8.56,1.81,56.74,16.78,181.23,43.38,41.68,5.49,1.39,51.21,119.92,19-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
19-Feb-2018 - 00:00,45.55,5.57,27.61,27.89,742.58,0.0,38.0,7.06,19.91,8.8,1.86,55.44,15.51,161.21,41.45,39.01,4.37,1.31,55.53,133.53,20-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
20-Feb-2018 - 00:00,39.14,5.07,28.27,25.43,691.91,0.0,34.82,6.44,18.25,8.11,1.94,50.47,14.67,177.06,38.2,36.74,4.08,1.14,62.08,141.8,21-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
21-Feb-2018 - 00:00,46.62,4.74,28.19,27.42,697.81,0.0,35.04,6.01,17.56,7.84,1.86,60.04,12.33,223.53,42.34,40.26,5.55,1.07,56.94,137.9,22-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
22-Feb-2018 - 00:00,58.0,4.62,28.33,28.65,698.59,0.0,38.19,7.07,19.05,8.41,1.87,59.16,11.66,174.12,41.71,41.64,5.4,1.23,50.15,149.74,23-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
23-Feb-2018 - 00:00,58.52,5.55,28.92,31.22,719.88,0.0,37.98,6.64,20.56,9.19,2.21,49.16,15.11,160.32,38.01,38.41,5.49,1.39,50.39,174.0,24-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
24-Feb-2018 - 00:00,57.83,5.67,28.41,36.09,721.72,0.0,36.2,7.96,23.87,10.71,2.32,51.25,10.78,115.75,35.43,41.68,5.49,1.42,50.06,146.33,25-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
25-Feb-2018 - 00:00,51.07,5.18,28.62,31.37,762.68,0.0,34.8,6.88,19.83,8.99,1.88,55.39,10.98,151.28,37.94,39.88,5.02,1.27,46.51,137.78,26-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
26-Feb-2018 - 00:00,62.58,6.28,29.18,30.25,788.73,0.0,39.39,7.78,23.64,10.69,1.92,46.82,18.19,160.1,38.67,38.26,4.29,1.58,48.93,142.49,27-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
27-Feb-2018 - 00:00,100.03,3.5,30.19,24.09,722.01,0.0,23.5,4.71,15.67,6.74,2.22,42.73,4.4,218.11,25.84,33.99,5.56,0.97,59.87,120.09,28-Feb-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
28-Feb-2018 - 00:00,113.52,5.97,29.58,25.57,741.32,0.0,38.11,8.99,24.74,11.04,1.96,47.14,14.07,159.05,35.97,33.82,6.26,1.39,54.25,157.54,01-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
01-Mar-2018 - 00:00,128.14,7.42,29.35,26.01,721.04,0.0,39.18,8.49,23.66,10.91,2.16,45.57,18.68,158.02,38.86,34.63,4.6,1.88,49.06,180.15,02-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
02-Mar-2018 - 00:00,98.85,7.1,29.55,25.1,717.65,0.0,34.07,7.2,18.86,8.53,1.99,40.86,8.42,142.43,28.06,32.34,4.55,1.65,58.79,149.78,03-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
03-Mar-2018 - 00:00,89.7,3.53,30.23,23.55,718.23,0.0,22.72,2.57,9.09,3.87,1.92,36.49,1.91,196.62,20.5,29.94,5.62,0.98,73.09,117.92,04-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
04-Mar-2018 - 00:00,80.76,2.78,29.96,21.92,676.09,0.0,21.26,3.74,12.01,5.28,1.93,39.08,3.69,216.2,23.41,27.62,5.82,0.9,61.13,113.39,05-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
05-Mar-2018 - 00:00,76.78,2.27,30.62,21.54,633.8,0.0,14.4,2.25,9.01,3.9,1.79,29.98,1.55,224.69,16.73,29.06,5.27,0.74,79.95,106.66,06-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
06-Mar-2018 - 00:00,62.66,2.68,30.33,23.95,730.56,0.0,23.28,3.7,11.34,4.81,2.02,34.18,3.64,171.05,20.61,30.8,5.63,0.8,71.76,109.91,07-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
07-Mar-2018 - 00:00,91.92,3.88,31.3,22.17,643.55,0.0,34.96,7.41,25.34,11.51,3.04,28.42,10.59,179.87,23.27,29.18,5.7,1.15,74.89,132.26,08-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
08-Mar-2018 - 00:00,85.44,2.82,30.49,25.3,702.46,0.0,23.97,4.26,13.08,5.68,1.9,36.25,2.12,170.36,20.52,27.62,5.17,0.89,70.77,118.43,09-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
09-Mar-2018 - 00:00,95.75,3.38,30.31,26.57,617.7,0.0,21.05,4.42,14.53,6.65,1.53,37.91,2.9,248.62,22.02,30.79,5.81,1.0,71.8,121.07,10-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
10-Mar-2018 - 00:00,108.89,4.08,31.41,22.28,686.42,0.0,24.9,6.24,23.76,10.95,2.06,32.92,12.79,226.18,27.29,30.22,4.98,1.18,79.6,156.55,11-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
11-Mar-2018 - 00:00,96.69,2.44,31.1,28.11,529.65,0.0,17.13,3.5,14.18,6.39,2.14,35.75,1.9,189.33,20.06,31.14,5.54,0.88,96.61,120.74,12-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
12-Mar-2018 - 00:00,92.88,4.44,30.66,33.57,634.45,0.0,24.99,4.82,15.37,6.99,1.52,44.31,5.62,212.01,27.45,30.7,5.24,1.27,62.42,147.88,13-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
13-Mar-2018 - 00:00,95.59,5.46,31.23,24.26,695.72,0.0,41.12,8.04,20.75,9.46,2.32,36.66,16.69,140.54,31.92,29.54,5.08,1.36,56.88,170.73,14-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
14-Mar-2018 - 00:00,86.47,4.65,31.43,18.51,708.51,0.0,22.67,4.33,13.16,5.92,2.25,35.82,4.19,186.84,21.94,25.26,5.23,0.75,82.26,137.43,15-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
15-Mar-2018 - 00:00,67.02,2.13,29.38,16.93,330.39,0.0,16.3,2.28,6.84,3.08,2.03,33.92,3.72,204.04,20.55,23.68,5.65,0.66,58.45,88.55,16-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
16-Mar-2018 - 00:00,65.13,2.34,26.4,41.22,326.6,0.0,15.9,2.12,7.09,3.09,2.51,33.52,1.62,159.55,18.73,23.57,4.83,0.81,54.36,86.36,17-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
17-Mar-2018 - 00:00,57.25,4.72,27.21,46.27,641.24,0.0,29.68,5.3,15.17,6.87,1.84,42.47,8.42,193.88,28.93,22.21,6.75,1.26,46.19,129.79,18-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
18-Mar-2018 - 00:00,53.17,3.29,30.39,31.36,699.0,0.0,20.4,3.5,12.29,5.43,2.05,39.24,4.39,202.07,23.95,22.55,5.56,0.83,63.78,105.3,19-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
19-Mar-2018 - 00:00,51.01,2.96,31.31,34.7,664.12,0.0,22.85,3.93,12.34,5.34,2.47,32.9,3.48,112.45,19.82,15.46,4.87,0.84,55.55,103.01,20-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
20-Mar-2018 - 00:00,61.47,3.17,31.42,25.81,749.15,0.0,20.85,5.56,10.06,4.2,2.29,34.46,4.59,159.97,21.38,16.88,4.74,0.87,67.1,114.91,21-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
21-Mar-2018 - 00:00,51.89,1.94,30.33,20.89,796.55,0.0,17.83,5.06,9.56,4.12,2.61,34.47,2.3,167.54,19.72,15.15,4.77,0.61,68.06,101.44,22-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
22-Mar-2018 - 00:00,62.77,3.73,28.78,18.9,802.33,0.0,24.78,5.03,14.59,6.55,2.25,37.68,13.55,168.61,29.69,17.11,6.23,0.92,59.31,118.39,23-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
23-Mar-2018 - 00:00,75.06,4.26,29.07,21.13,763.62,0.0,27.58,4.55,11.08,4.95,2.1,35.91,6.36,165.68,23.71,14.09,5.8,0.84,64.58,129.55,24-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
24-Mar-2018 - 00:00,99.71,5.01,30.52,18.67,677.75,0.0,28.63,7.02,18.13,8.51,2.01,35.08,16.24,192.46,30.32,14.63,6.71,1.19,55.92,139.7,25-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
25-Mar-2018 - 00:00,80.13,5.91,32.46,13.21,694.13,0.0,20.52,5.3,19.22,8.67,2.32,33.66,3.1,246.25,19.67,10.47,5.82,0.81,77.81,107.07,26-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
26-Mar-2018 - 00:00,94.71,3.78,32.08,15.71,724.31,0.0,24.14,6.17,21.06,9.16,2.03,37.43,5.4,201.31,23.07,9.94,5.44,1.04,70.7,131.49,27-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
27-Mar-2018 - 00:00,108.58,6.55,32.16,17.39,736.29,0.0,35.92,7.47,21.22,9.34,1.93,39.46,10.11,166.56,28.59,11.15,5.44,1.46,62.61,176.63,28-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
28-Mar-2018 - 00:00,92.32,3.28,33.33,14.38,708.57,0.0,14.19,3.58,12.23,5.42,2.23,34.06,1.82,189.33,18.67,4.65,5.05,0.78,95.2,148.6,29-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
29-Mar-2018 - 00:00,90.44,4.49,32.57,14.55,768.78,0.0,28.53,9.76,19.97,9.52,1.79,41.17,8.78,191.85,28.07,5.42,6.7,0.94,35.24,134.79,30-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
30-Mar-2018 - 00:00,79.5,4.91,32.61,14.24,773.44,0.0,31.88,9.15,23.62,10.78,1.63,44.64,9.38,157.62,30.23,5.27,5.62,1.1,28.5,159.93,31-Mar-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
31-Mar-2018 - 00:00,72.43,3.06,32.98,17.48,710.9,0.0,28.39,6.03,16.82,7.66,2.58,38.79,7.43,174.94,25.78,4.37,4.92,0.77,53.41,141.96,01-Apr-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
01-Apr-2018 - 00:00,59.91,3.45,32.94,22.3,758.11,0.0,29.59,5.17,13.46,5.91,1.89,57.39,3.85,188.87,33.25,6.38,7.68,1.02,59.58,119.0,02-Apr-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
02-Apr-2018 - 00:00,58.79,4.89,32.6,17.28,690.15,0.0,41.11,6.49,20.85,9.48,1.86,36.08,16.45,169.3,30.64,8.15,8.67,1.37,59.3,164.06,03-Apr-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
03-Apr-2018 - 00:00,55.49,3.31,33.14,14.06,747.02,0.0,23.57,5.51,16.02,7.07,1.92,23.24,2.49,186.81,13.6,2.86,4.44,0.73,73.12,121.23,04-Apr-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
04-Apr-2018 - 00:00,50.41,3.99,33.24,17.11,630.42,0.0,23.1,6.11,15.5,7.11,2.11,18.95,5.28,174.45,13.41,3.05,6.04,1.03,63.36,141.76,05-Apr-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
05-Apr-2018 - 00:00,59.02,3.3,33.45,18.27,630.4,0.0,23.7,4.71,11.04,4.15,2.13,19.4,2.89,126.74,12.11,2.43,4.8,0.84,72.77,137.6,06-Apr-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
06-Apr-2018 - 00:00,88.61,3.56,32.44,21.33,456.04,0.0,21.79,4.54,13.22,5.65,1.9,25.54,2.72,172.46,15.19,3.12,5.0,1.05,64.04,139.63,07-Apr-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
07-Apr-2018 - 00:00,73.11,2.65,32.06,22.15,526.67,0.01,18.96,4.36,12.95,5.62,2.2,22.54,2.64,178.95,13.67,2.5,6.45,0.76,63.04,144.84,08-Apr-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
08-Apr-2018 - 00:00,57.83,2.91,30.93,29.37,740.4,0.0,14.91,2.83,9.15,3.99,2.15,22.74,1.63,133.22,13.03,2.19,4.88,0.78,63.26,85.93,09-Apr-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
09-Apr-2018 - 00:00,44.79,2.71,30.42,31.66,834.89,0.0,15.48,2.41,8.1,3.54,1.95,21.5,1.78,153.72,12.5,2.13,4.34,0.79,65.63,80.11,10-Apr-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
10-Apr-2018 - 00:00,45.52,2.27,34.45,21.15,623.15,0.0,17.95,2.91,9.16,3.83,1.96,21.53,1.3,197.22,12.12,2.4,6.82,0.75,89.0,97.53,11-Apr-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
11-Apr-2018 - 00:00,45.02,2.91,31.72,29.33,753.83,0.0,19.71,4.36,13.37,5.8,2.16,23.49,2.29,150.3,13.98,2.88,5.89,0.87,60.12,90.38,12-Apr-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
12-Apr-2018 - 00:00,52.45,2.54,31.69,28.84,682.51,0.0,19.1,4.0,11.3,5.1,2.16,21.93,1.53,146.05,12.53,2.43,4.85,0.79,62.46,107.28,13-Apr-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
13-Apr-2018 - 00:00,56.93,2.67,31.98,30.96,875.59,0.0,15.7,3.82,9.13,4.11,2.19,22.42,4.11,161.48,14.81,3.07,4.51,0.77,47.62,122.46,14-Apr-2018 - 00:00,"More Chowk Waluj, Aurangabad - MPCB"
