from date,NO,NO2,NOx,CO,SO2,PM10,PM2.5,Temp,WS,WD,RH,SR,BP,RF,to date,station
15-Jan-2018 - 00:00,,,,,,,,,,,,,,,16-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Jan-2018 - 00:00,,,,,,,,,,,,,,,17-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Jan-2018 - 00:00,,,,,,,,,,,,,,,18-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Jan-2018 - 00:00,,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Feb-2018 - 00:00,,,,,,,,,,,,,,,08-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Feb-2018 - 00:00,,,,,,,,,,,,,,,09-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Feb-2018 - 00:00,,,,,,,,,,,,,,,10-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Feb-2018 - 00:00,,,,,,,,,,,,,,,11-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Feb-2018 - 00:00,,,,,,,,,,,,,,,12-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Feb-2018 - 00:00,,,,,,,,,,,,,,,13-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Feb-2018 - 00:00,,,,,,,,,,,,,,,14-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-Feb-2018 - 00:00,,,,,,,,,,,,,,,15-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Feb-2018 - 00:00,,,,,,,,,,,,,,,16-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Feb-2018 - 00:00,,,,,,,,,,,,,,,17-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Feb-2018 - 00:00,,,,,,,,,,,,,,,21-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Feb-2018 - 00:00,,,,,,,,,,,,,,,22-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Feb-2018 - 00:00,,,,,,,,,,,,,,,23-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-Feb-2018 - 00:00,,,,,,,,,,,,,,,01-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-Mar-2018 - 00:00,,,,,,,,,,,,,,,02-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Mar-2018 - 00:00,,,,,,,,,,,,,,,03-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Mar-2018 - 00:00,,,,,,,,,,,,,,,04-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Mar-2018 - 00:00,,,,,,,,,,,,,,,05-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Mar-2018 - 00:00,,,,,,,,,,,,,,,06-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Mar-2018 - 00:00,,,,,,,,,,,,,,,07-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Mar-2018 - 00:00,,,,,,,,,,,,,,,08-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Mar-2018 - 00:00,,,,,,,,,,,,,,,09-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Mar-2018 - 00:00,,,,,,,,,,,,,,,10-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Mar-2018 - 00:00,,,,,,,,,,,,,,,11-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Mar-2018 - 00:00,,,,,,,,,,,,,,,12-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Mar-2018 - 00:00,,,,,,,,,,,,,,,13-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Mar-2018 - 00:00,,,,,,,,,,,,,,,14-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-Mar-2018 - 00:00,,,,,,,,,,,,,,,15-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Mar-2018 - 00:00,,,,,,,,,,,,,,,16-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Mar-2018 - 00:00,,,,,,,,,,,,,,,17-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Mar-2018 - 00:00,,,,,,,,,,,,,,,18-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Mar-2018 - 00:00,,,,,,,,,,,,,,,19-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Mar-2018 - 00:00,,,,,,,,,,,,,,,21-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Mar-2018 - 00:00,,,,,,,,,,,,,,,22-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Mar-2018 - 00:00,,,,,,,,,,,,,,,23-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Mar-2018 - 00:00,,,,,,,,,,,,,,,24-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Mar-2018 - 00:00,,,,,,,,,,,,,,,25-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,,,,26-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Mar-2018 - 00:00,,,,,,,,,,,,,,,27-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Mar-2018 - 00:00,,,,,,,,,,,,,,,28-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-Mar-2018 - 00:00,,,,,,,,,,,,,,,29-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-Mar-2018 - 00:00,,,,,,,,,,,,,,,30-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-Mar-2018 - 00:00,,,,,,,,,,,,,,,31-Mar-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Apr-2018 - 00:00,,,,,,,,,,,,,,,03-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Apr-2018 - 00:00,,,,,,,,,,,,,,,05-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Apr-2018 - 00:00,,,,,,,,,,,,,,,06-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Apr-2018 - 00:00,,,,,,,,,,,,,,,07-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Apr-2018 - 00:00,,,,,,,,,,,,,,,08-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Apr-2018 - 00:00,,,,,,,,,,,,,,,11-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Apr-2018 - 00:00,,,,,,,,,,,,,,,12-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Apr-2018 - 00:00,,,,,,,,,,,,,,,13-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Apr-2018 - 00:00,,,,,,,,,,,,,,,14-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Apr-2018 - 00:00,,,,,,,,,,,,,,,20-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Apr-2018 - 00:00,,,,,,,,,,,,,,,21-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Apr-2018 - 00:00,,,,,,,,,,,,,,,22-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Apr-2018 - 00:00,,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Apr-2018 - 00:00,,,,,,,,,,,,,,,24-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Apr-2018 - 00:00,,,,,,,,,,,,,,,25-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Apr-2018 - 00:00,,,,,,,,,,,,,,,26-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Apr-2018 - 00:00,,,,,,,,,,,,,,,27-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Apr-2018 - 00:00,,,,,,,,,,,,,,,28-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-Apr-2018 - 00:00,,,,,,,,,,,,,,,29-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,,,,30-Apr-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-Apr-2018 - 00:00,,,,,,,,,,,,,,,01-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-May-2018 - 00:00,,,,,,,,,,,,,,,02-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-May-2018 - 00:00,,,,,,,,,,,,,,,03-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-May-2018 - 00:00,,,,,,,,,,,,,,,04-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-May-2018 - 00:00,,,,,,,,,,,,,,,05-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-May-2018 - 00:00,,,,,,,,,,,,,,,06-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-May-2018 - 00:00,,,,,,,,,,,,,,,07-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-May-2018 - 00:00,,,,,,,,,,,,,,,08-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-May-2018 - 00:00,,,,,,,,,,,,,,,09-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-May-2018 - 00:00,,,,,,,,,,,,,,,10-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-May-2018 - 00:00,,,,,,,,,,,,,,,11-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-May-2018 - 00:00,,,,,,,,,,,,,,,12-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-May-2018 - 00:00,,,,,,,,,,,,,,,13-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-May-2018 - 00:00,,,,,,,,,,,,,,,14-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-May-2018 - 00:00,,,,,,,,,,,,,,,15-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-May-2018 - 00:00,,,,,,,,,,,,,,,16-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-May-2018 - 00:00,,,,,,,,,,,,,,,17-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-May-2018 - 00:00,,,,,,,,,,,,,,,18-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-May-2018 - 00:00,,,,,,,,,,,,,,,19-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-May-2018 - 00:00,,,,,,,,,,,,,,,20-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-May-2018 - 00:00,,,,,,,,,,,,,,,21-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-May-2018 - 00:00,,,,,,,,,,,,,,,22-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-May-2018 - 00:00,,,,,,,,,,,,,,,23-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-May-2018 - 00:00,,,,,,,,,,,,,,,24-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-May-2018 - 00:00,,,,,,,,,,,,,,,25-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-May-2018 - 00:00,,,,,,,,,,,,,,,26-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-May-2018 - 00:00,,,,,,,,,,,,,,,27-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-May-2018 - 00:00,,,,,,,,,,,,,,,28-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-May-2018 - 00:00,,,,,,,,,,,,,,,29-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-May-2018 - 00:00,,,,,,,,,,,,,,,30-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-May-2018 - 00:00,,,,,,,,,,,,,,,31-May-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
31-May-2018 - 00:00,,,,,,,,,,,,,,,01-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-Jun-2018 - 00:00,,,,,,,,,,,,,,,02-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Jun-2018 - 00:00,,,,,,,,,,,,,,,03-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Jun-2018 - 00:00,,,,,,,,,,,,,,,04-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Jun-2018 - 00:00,,,,,,,,,,,,,,,05-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Jun-2018 - 00:00,,,,,,,,,,,,,,,06-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Jun-2018 - 00:00,11.94,16.91,28.84,0.86,11.79,71.22,39.23,35.96,1.49,66.66,3.21,115.26,810.5,0.0,07-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Jun-2018 - 00:00,11.63,17.39,28.72,0.87,10.19,76.15,64.64,36.5,1.37,104.46,3.22,128.12,810.5,,08-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Jun-2018 - 00:00,11.49,17.43,26.82,0.79,10.45,79.37,84.57,38.08,1.35,83.63,3.28,123.0,810.5,,09-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Jun-2018 - 00:00,11.54,17.37,28.03,0.76,9.78,81.24,90.38,31.87,1.32,128.17,3.2,186.21,810.5,,10-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Jun-2018 - 00:00,11.96,16.9,26.74,0.77,9.97,79.22,94.68,34.06,1.13,157.77,3.2,188.72,810.5,0.5,11-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
11-Jun-2018 - 00:00,11.94,16.91,27.65,0.75,9.85,94.08,95.44,35.78,1.35,245.86,22.39,360.4,810.5,,12-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
12-Jun-2018 - 00:00,11.66,17.27,27.41,0.83,9.14,179.27,28.41,38.05,1.31,175.28,48.72,208.19,810.5,,13-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
13-Jun-2018 - 00:00,11.85,17.04,21.89,0.71,10.84,98.9,25.15,34.86,1.39,172.36,57.88,289.56,810.5,,14-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
14-Jun-2018 - 00:00,11.67,17.22,27.09,0.77,9.62,95.86,38.54,38.35,1.32,180.91,58.69,156.36,810.5,,15-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
15-Jun-2018 - 00:00,11.94,16.91,25.54,0.56,9.51,284.71,181.14,37.46,1.28,161.75,58.07,137.36,810.5,,16-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
16-Jun-2018 - 00:00,11.74,17.18,21.51,0.54,10.42,428.79,217.17,36.5,1.23,160.59,59.41,158.5,810.5,,17-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
17-Jun-2018 - 00:00,11.94,16.93,27.35,0.48,10.11,120.9,80.73,28.25,1.42,93.62,61.86,402.57,810.5,2.75,18-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
18-Jun-2018 - 00:00,11.66,17.34,26.29,0.46,9.91,114.89,66.97,30.14,1.37,211.38,61.91,452.56,810.5,,19-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
19-Jun-2018 - 00:00,10.44,14.78,23.49,0.44,10.77,107.56,61.28,33.09,1.41,205.81,62.41,357.28,810.5,,20-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
20-Jun-2018 - 00:00,9.56,13.51,21.63,0.47,10.47,107.44,134.11,36.04,1.25,130.59,62.48,209.88,810.5,,21-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
21-Jun-2018 - 00:00,10.23,14.92,23.13,0.56,10.13,95.16,54.63,35.81,1.34,248.99,61.41,197.59,810.5,,22-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
22-Jun-2018 - 00:00,9.56,13.5,18.87,0.46,8.28,107.53,50.51,33.3,1.42,197.52,89.53,233.46,810.5,,23-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
23-Jun-2018 - 00:00,9.54,13.52,21.78,0.44,9.24,111.92,59.05,36.0,1.35,215.02,91.06,169.04,810.5,,24-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
24-Jun-2018 - 00:00,9.55,13.51,20.81,0.48,9.44,114.56,59.8,38.86,1.36,250.89,92.67,96.09,810.5,,25-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
25-Jun-2018 - 00:00,9.56,13.53,20.68,0.48,10.4,110.24,59.42,36.85,1.38,204.13,94.23,153.37,810.5,,26-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
26-Jun-2018 - 00:00,9.57,13.51,21.4,0.49,10.71,107.54,54.22,35.73,1.35,172.99,94.96,220.56,810.5,,27-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
27-Jun-2018 - 00:00,9.56,13.52,21.64,0.44,8.67,107.32,54.9,30.33,1.37,193.85,94.69,529.83,810.5,1.06,28-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
28-Jun-2018 - 00:00,9.56,13.54,22.61,0.47,9.4,84.25,42.89,30.27,1.37,164.96,95.04,554.32,810.5,0.83,29-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
29-Jun-2018 - 00:00,9.4,13.76,23.16,0.45,6.57,146.44,43.58,31.03,1.43,155.69,96.01,565.37,810.5,0.9,30-Jun-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
30-Jun-2018 - 00:00,9.51,13.58,21.87,0.46,10.78,144.41,36.68,33.88,1.44,146.76,99.8,562.37,810.5,0.56,01-Jul-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
01-Jul-2018 - 00:00,9.55,13.53,21.03,0.45,11.52,145.02,35.35,36.51,1.39,216.43,99.75,476.8,810.5,,02-Jul-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
02-Jul-2018 - 00:00,9.21,14.04,22.52,0.5,11.68,128.02,37.87,37.33,1.48,182.12,96.44,336.12,810.5,,03-Jul-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
03-Jul-2018 - 00:00,8.8,12.97,21.54,0.46,10.43,75.34,36.89,34.12,1.5,92.93,91.76,278.79,810.5,,04-Jul-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
04-Jul-2018 - 00:00,7.0,10.32,16.77,0.51,7.43,86.86,30.34,26.74,1.44,158.05,90.31,617.39,806.41,1.04,05-Jul-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
05-Jul-2018 - 00:00,7.0,10.45,15.99,0.48,6.85,208.36,32.55,28.93,1.57,271.77,89.17,528.84,803.03,1.56,06-Jul-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
06-Jul-2018 - 00:00,7.16,10.16,17.14,0.58,6.76,60.31,39.06,29.74,1.58,265.99,91.09,376.92,810.5,,07-Jul-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
07-Jul-2018 - 00:00,6.88,10.59,16.57,0.41,7.37,66.34,39.35,29.35,1.57,296.44,90.59,273.02,810.5,,08-Jul-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
08-Jul-2018 - 00:00,7.1,10.22,15.59,0.49,6.31,69.3,40.17,28.99,1.51,231.73,90.12,146.62,810.5,,09-Jul-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
09-Jul-2018 - 00:00,6.98,10.31,16.22,0.49,6.84,71.61,44.64,31.12,1.56,141.92,90.13,153.1,810.5,,10-Jul-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
10-Jul-2018 - 00:00,7.05,10.37,16.69,0.46,6.7,71.65,45.42,32.44,1.57,78.65,90.11,164.78,810.5,,11-Jul-2018 - 00:00,"Hardev Nagar, Bathinda - PPCB"
