from date,CO,Ozone,SO2,NO2,NO,NOx,NH3,PM10,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Temp,WS,VWS,WD,RH,BP,SR,RF,to date,station
03-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
04-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
05-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
06-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
07-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
08-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
09-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
10-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
11-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
12-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
13-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
14-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
15-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
17-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
18-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
19-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
20-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
21-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
22-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
23-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
24-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
25-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
26-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
27-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
28-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
29-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
30-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-Jul-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
31-Jul-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
01-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
02-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
03-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
04-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
05-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
06-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
07-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
08-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
09-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
10-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
11-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
12-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
13-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
14-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
15-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
17-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
18-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
19-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
20-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
21-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
22-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
23-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
24-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
25-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
26-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
27-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
28-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
29-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
30-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-Aug-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
31-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
01-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
02-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
03-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
04-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
05-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
06-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
07-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
08-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
09-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
10-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
11-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
12-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
13-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
14-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
15-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
17-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
18-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
19-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
20-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
21-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
22-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
23-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
24-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
25-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
26-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
27-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
28-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
29-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Sep-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
30-Sep-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
01-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
02-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
03-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
04-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
05-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
06-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
07-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
08-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
09-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
10-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
11-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
12-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
13-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
14-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
15-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
17-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
18-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
19-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
20-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
21-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
22-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
23-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
24-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
25-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
26-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
27-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
28-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
29-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
30-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-Oct-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
31-Oct-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
01-Nov-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
02-Nov-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
03-Nov-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
04-Nov-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
05-Nov-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
06-Nov-2018 - 00:00,0.85,69.69,25.11,51.65,6.13,57.76,16.31,233.45,196.42,6.88,19.12,2.53,4.68,28.71,0.16,0.03,191.74,52.13,958.08,191.11,0.0,07-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
07-Nov-2018 - 00:00,1.08,44.99,16.59,51.86,15.62,67.58,29.56,291.56,281.08,9.89,10.88,1.11,2.07,24.61,0.23,0.04,134.02,73.29,989.44,32.73,0.0,08-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
08-Nov-2018 - 00:00,1.3,65.71,21.22,61.93,6.54,68.46,26.64,368.09,212.84,7.46,11.9,0.75,1.78,24.73,0.15,0.04,201.11,60.72,999.25,76.15,0.0,09-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
09-Nov-2018 - 00:00,1.18,65.29,21.33,56.0,7.81,63.53,19.96,365.67,225.14,6.69,11.17,0.72,1.81,23.98,0.14,0.02,180.79,56.97,,77.6,0.0,10-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
10-Nov-2018 - 00:00,1.06,40.34,21.36,64.72,14.11,78.83,19.31,312.68,188.84,6.88,16.94,1.18,2.01,24.25,0.14,0.04,221.29,57.53,,81.48,0.0,11-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
11-Nov-2018 - 00:00,1.02,34.85,17.51,39.94,45.28,84.31,19.92,261.33,155.16,8.49,13.05,0.8,2.06,24.45,0.16,0.04,185.17,62.96,,87.79,0.0,12-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
12-Nov-2018 - 00:00,1.21,29.67,18.62,37.43,70.26,107.03,22.16,391.11,176.62,12.34,29.49,1.42,3.56,24.51,0.15,0.02,187.47,63.51,,82.9,0.0,13-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
13-Nov-2018 - 00:00,1.22,31.38,18.25,48.67,81.93,129.02,35.56,356.08,214.13,19.13,44.34,3.07,6.9,19.64,0.1,-0.0,175.74,58.63,998.78,74.77,0.0,14-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
14-Nov-2018 - 00:00,1.44,50.24,19.77,65.04,20.47,85.52,38.92,368.33,224.34,21.5,39.22,2.14,5.26,24.98,0.21,-0.0,206.98,64.18,996.58,128.24,0.0,15-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
15-Nov-2018 - 00:00,1.22,46.74,38.57,81.47,11.77,93.24,38.02,408.48,218.57,15.76,34.38,1.72,4.29,26.07,0.41,-0.0,229.63,63.74,,140.06,0.0,16-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
16-Nov-2018 - 00:00,2.25,47.85,29.88,79.84,23.43,103.18,90.58,340.44,171.87,21.81,38.27,1.83,4.82,26.4,0.36,-0.0,219.83,54.56,,153.31,0.0,17-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
17-Nov-2018 - 00:00,1.96,68.27,18.97,84.1,25.44,109.46,62.28,303.13,165.83,12.0,29.34,1.63,4.27,25.76,0.39,0.01,235.4,60.68,,135.57,0.0,18-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
18-Nov-2018 - 00:00,1.29,79.52,11.88,56.95,4.09,61.04,25.75,315.35,201.09,12.42,15.39,1.25,3.01,24.87,0.61,0.03,124.23,52.32,,123.51,0.0,19-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
19-Nov-2018 - 00:00,1.21,72.27,10.91,85.26,8.72,93.97,32.39,236.12,145.67,18.29,25.23,2.16,4.46,24.59,0.28,0.04,138.37,51.0,,115.44,0.0,20-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
20-Nov-2018 - 00:00,1.45,44.24,14.11,94.61,87.69,179.0,35.43,259.64,172.83,35.28,58.26,4.49,8.74,24.31,0.22,0.04,181.54,64.81,,97.9,0.0,21-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
21-Nov-2018 - 00:00,0.6,24.16,10.46,26.91,29.53,55.3,17.81,259.73,104.38,27.85,25.89,1.79,4.27,12.1,0.23,0.02,67.29,36.74,527.47,65.25,0.0,22-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
22-Nov-2018 - 00:00,0.98,69.5,17.44,41.71,76.11,114.22,72.97,406.09,206.39,20.11,44.64,6.16,6.08,25.56,0.24,0.03,253.62,42.98,,192.61,0.0,23-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
23-Nov-2018 - 00:00,0.91,42.96,15.67,55.88,50.42,104.82,72.01,351.64,217.44,14.31,34.09,1.95,3.76,22.97,0.24,0.03,228.93,54.98,,116.75,0.0,24-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
24-Nov-2018 - 00:00,0.99,41.53,19.58,50.15,87.4,129.17,79.38,513.97,231.0,25.12,42.49,3.37,5.65,22.26,0.27,0.04,229.63,56.29,,131.18,0.0,25-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
25-Nov-2018 - 00:00,0.88,42.14,11.71,74.63,75.83,150.35,28.55,473.08,266.85,21.57,35.91,2.69,5.92,22.69,0.23,0.04,249.19,64.16,,115.64,0.0,26-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
26-Nov-2018 - 00:00,0.49,45.89,8.3,58.99,9.71,68.71,26.06,304.92,175.32,17.67,22.17,1.95,4.08,23.21,0.25,0.04,141.31,60.7,,131.2,0.0,27-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
27-Nov-2018 - 00:00,0.42,40.43,7.38,52.75,25.76,78.51,23.47,213.87,119.8,17.83,22.54,2.75,4.15,23.05,0.33,0.04,115.6,60.64,,110.25,0.0,28-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
28-Nov-2018 - 00:00,0.36,36.04,8.0,51.71,35.81,87.52,24.0,190.01,116.26,18.51,34.93,2.3,4.93,23.82,0.22,0.04,132.12,58.77,,144.75,0.0,29-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
29-Nov-2018 - 00:00,0.38,33.85,9.47,43.48,69.3,112.45,23.7,251.91,125.67,23.75,36.1,2.77,5.79,23.47,0.25,0.03,132.68,57.41,,148.34,0.0,30-Nov-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
30-Nov-2018 - 00:00,0.42,37.79,12.27,55.17,52.52,107.67,26.14,276.68,142.9,26.83,40.86,5.3,8.24,23.74,0.27,0.02,136.86,56.53,,117.48,0.0,01-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
01-Dec-2018 - 00:00,0.51,42.11,23.45,60.71,53.1,112.55,24.95,292.99,181.93,24.56,43.56,2.84,6.7,23.93,0.28,0.03,214.98,54.74,,120.7,0.0,02-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
02-Dec-2018 - 00:00,0.31,52.96,11.62,40.99,27.84,68.82,24.36,335.75,195.19,16.47,18.44,1.59,3.97,21.97,0.34,0.03,131.08,60.08,,120.63,0.0,03-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
03-Dec-2018 - 00:00,0.41,54.46,14.68,58.76,12.92,71.67,25.41,358.7,184.24,18.89,20.56,5.89,8.17,21.01,0.37,-0.05,122.58,47.8,933.21,123.55,0.0,04-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
04-Dec-2018 - 00:00,0.9,64.59,15.39,46.56,57.1,100.6,22.71,457.39,219.81,18.06,47.23,2.1,5.01,20.8,0.18,0.02,180.4,48.48,935.27,135.8,0.0,05-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
05-Dec-2018 - 00:00,0.42,46.71,19.83,86.68,81.57,166.53,20.31,491.48,283.13,19.73,30.85,2.11,5.03,20.73,0.28,0.03,241.07,54.41,967.51,118.57,0.0,06-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
06-Dec-2018 - 00:00,0.6,59.4,14.45,105.23,53.26,158.49,14.96,403.33,239.84,21.51,38.82,2.3,5.43,21.29,0.24,0.03,237.27,54.8,998.12,111.41,0.0,07-Dec-2018 - 00:00,"Rabindra Bharati University, Kolkata - WBPCB"
