from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
02-Feb-2018 - 00:00,29.51,1.03,24.37,9.52,80.36,48.58,19.05,9.6,42.6,104.55,0.97,5.69,0.83,24.7,36.8,1.75,180.14,143.98,723.64,0.0,0.0,03-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
03-Feb-2018 - 00:00,30.35,0.97,34.2,8.02,71.18,42.79,22.01,7.95,39.75,101.31,0.49,3.13,0.23,23.95,41.29,2.12,205.69,139.82,723.64,0.0,0.0,04-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
04-Feb-2018 - 00:00,32.37,1.17,36.3,12.02,58.02,37.92,40.47,6.35,39.44,100.45,0.28,1.87,0.17,25.57,40.27,2.49,222.14,191.06,726.04,0.0,0.0,05-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
05-Feb-2018 - 00:00,31.91,1.11,61.29,13.14,53.74,44.56,41.97,6.73,42.44,111.64,0.34,1.49,0.09,25.82,41.97,2.59,224.73,185.21,727.23,0.01,0.0,06-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
06-Feb-2018 - 00:00,29.44,0.97,28.78,10.91,71.59,44.75,19.12,5.88,45.48,107.92,0.55,5.97,0.63,23.69,48.15,2.01,214.12,145.91,726.93,0.0,0.0,07-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
07-Feb-2018 - 00:00,29.29,1.19,11.24,9.26,91.84,54.47,18.48,8.06,48.47,108.19,0.64,4.05,0.92,22.29,51.49,1.2,201.8,49.89,725.61,0.0,0.0,08-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
08-Feb-2018 - 00:00,31.4,0.96,38.91,12.13,65.33,42.16,25.7,11.44,50.02,108.78,1.11,10.83,1.77,26.33,44.45,1.23,191.5,139.24,721.44,0.01,0.0,09-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
09-Feb-2018 - 00:00,29.31,0.96,15.79,10.7,79.22,48.69,20.33,10.37,46.93,113.49,0.69,9.31,3.29,25.59,43.0,1.89,220.5,122.32,721.86,0.0,0.0,10-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
10-Feb-2018 - 00:00,29.1,1.09,16.78,14.1,75.41,48.72,21.36,10.8,48.86,111.16,0.81,9.89,1.07,24.87,53.3,1.63,189.51,84.68,723.86,0.03,0.0,11-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
11-Feb-2018 - 00:00,37.42,1.07,15.21,19.5,54.18,35.66,52.62,4.63,40.83,90.64,0.17,2.06,0.37,24.85,54.44,2.93,205.34,140.14,725.22,0.02,0.0,12-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
12-Feb-2018 - 00:00,34.04,1.15,41.67,11.28,26.18,20.09,42.97,4.77,47.08,87.53,0.07,0.52,0.02,26.78,53.56,3.67,227.32,218.25,728.87,0.0,0.0,13-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
13-Feb-2018 - 00:00,29.19,0.9,29.44,7.78,45.23,28.83,16.24,4.23,45.02,80.94,0.14,1.16,0.16,24.45,54.95,2.18,217.1,151.28,731.24,0.0,0.0,14-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
14-Feb-2018 - 00:00,29.27,0.99,30.53,8.49,56.08,35.04,16.95,8.87,50.76,96.33,0.49,2.81,0.09,24.53,53.29,2.15,217.89,174.86,732.42,0.0,0.0,15-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
15-Feb-2018 - 00:00,29.11,1.19,20.71,13.76,76.85,49.28,21.39,16.3,58.82,126.03,1.04,13.39,0.52,24.95,50.95,1.67,144.19,169.21,732.94,0.0,0.0,16-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
16-Feb-2018 - 00:00,29.22,1.14,18.89,12.6,79.64,50.05,24.23,24.16,59.9,128.43,1.04,21.04,4.0,25.58,47.31,1.59,154.03,181.71,730.49,0.0,0.0,17-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
17-Feb-2018 - 00:00,29.26,1.1,20.75,11.16,86.04,52.59,25.58,22.7,52.0,126.09,1.52,24.3,1.09,26.2,41.04,1.59,145.55,191.68,724.17,0.0,0.0,18-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
18-Feb-2018 - 00:00,29.37,1.06,30.93,8.06,74.85,44.76,18.17,8.37,47.42,116.9,0.4,5.58,0.31,26.17,44.89,1.66,184.96,183.95,721.51,0.0,0.0,19-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
19-Feb-2018 - 00:00,29.45,0.95,38.8,7.53,62.51,37.87,18.16,5.34,42.85,134.66,0.17,2.59,0.0,26.33,48.95,1.95,194.68,177.89,722.29,0.0,0.0,20-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
20-Feb-2018 - 00:00,29.32,0.9,37.56,7.21,55.11,33.74,18.06,4.75,44.03,86.9,0.25,2.78,0.04,26.51,49.93,1.97,179.1,171.33,722.44,0.0,0.0,21-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
21-Feb-2018 - 00:00,29.25,0.93,38.8,7.28,57.79,35.22,17.39,5.12,50.79,101.53,0.41,2.23,0.01,26.17,48.73,1.96,184.56,172.26,721.01,0.0,0.0,22-Feb-2018 - 00:00,"IDA Pashamylaram, Hyderabad - TSPCB"
