from date,NO2,NOx,NH3,NO,SO2,CO,PM2.5,PM10,Benzene,O Xylene,MP-Xylene,Toluene,Ozone,Temp,VWS,SR,RH,RF,WD,WS,BP,to date,station
23-Oct-2018 - 00:00,32.05,43.91,10.01,12.59,3.39,0.73,57.48,106.52,3.52,2.63,3.74,12.65,28.02,24.34,0.01,200.33,76.61,0.0,192.57,0.33,,24-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
24-Oct-2018 - 00:00,30.38,45.18,10.79,14.97,4.12,0.78,47.38,108.18,3.39,1.57,2.82,10.83,33.34,23.75,0.01,204.05,75.61,0.0,213.42,0.31,,25-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
25-Oct-2018 - 00:00,38.61,58.33,9.93,24.0,7.5,0.86,50.41,125.91,5.05,2.82,4.8,12.42,23.53,22.8,0.01,174.98,76.0,0.0,209.12,0.37,,26-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
26-Oct-2018 - 00:00,35.47,52.83,8.1,17.36,5.55,0.68,34.43,94.4,3.22,1.7,3.33,10.98,23.03,23.87,0.01,222.36,67.08,0.0,194.56,0.39,,27-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
27-Oct-2018 - 00:00,37.64,60.66,9.41,23.02,5.72,0.77,31.21,97.25,3.86,2.02,3.99,12.24,23.94,24.14,0.01,234.36,64.02,0.0,183.75,0.51,,28-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
28-Oct-2018 - 00:00,24.91,32.69,10.05,8.69,6.95,0.67,28.14,73.53,2.52,1.39,2.4,10.79,30.26,24.3,0.0,220.53,71.42,0.0,142.34,0.63,,29-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
29-Oct-2018 - 00:00,31.69,43.3,10.36,11.61,5.01,0.8,33.48,98.95,4.11,2.45,4.14,12.14,24.6,23.49,0.01,211.29,77.94,0.0,161.44,0.43,,30-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
30-Oct-2018 - 00:00,33.62,43.9,8.64,10.55,4.95,0.64,30.12,87.38,5.13,3.66,5.48,13.41,29.49,24.69,0.01,214.05,66.81,0.0,116.84,0.6,,31-Oct-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
31-Oct-2018 - 00:00,33.87,47.83,8.69,13.91,12.82,0.8,33.84,100.0,4.17,2.15,4.02,13.7,28.13,23.93,0.01,217.19,72.85,0.0,176.21,0.46,,01-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
01-Nov-2018 - 00:00,32.35,45.48,9.63,13.56,4.38,0.61,29.84,88.83,3.53,1.72,3.26,11.24,25.92,23.83,0.01,214.05,69.79,0.0,206.39,0.38,,02-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
02-Nov-2018 - 00:00,33.97,51.83,9.9,19.39,4.25,0.78,33.88,105.59,5.17,2.67,4.99,13.02,28.74,23.94,0.01,199.84,75.32,0.0,195.47,0.3,,03-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
03-Nov-2018 - 00:00,29.89,38.09,7.83,8.2,3.69,0.64,41.26,100.59,3.5,2.07,3.76,10.83,31.71,23.96,0.01,176.6,76.83,0.02,159.69,0.46,,04-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
04-Nov-2018 - 00:00,30.08,40.3,8.17,10.18,4.2,0.82,60.94,128.49,4.35,2.29,3.32,11.77,34.27,23.06,0.01,178.81,78.99,0.0,198.42,0.31,,05-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
05-Nov-2018 - 00:00,38.91,49.83,7.55,10.92,4.01,0.87,81.95,146.75,6.59,3.68,5.68,13.21,33.58,22.91,0.02,150.1,79.86,0.0,139.04,0.42,,06-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
06-Nov-2018 - 00:00,28.65,43.4,12.7,14.77,4.91,0.86,135.9,207.57,6.06,2.16,4.29,12.2,33.17,22.46,0.01,144.86,82.32,0.0,133.8,0.45,,07-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
07-Nov-2018 - 00:00,35.39,48.12,9.15,11.9,12.45,0.72,287.78,304.93,5.81,2.4,4.96,11.76,29.12,22.03,0.01,183.32,77.75,0.0,118.73,0.46,,08-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
08-Nov-2018 - 00:00,33.48,42.89,10.68,10.07,6.64,0.66,139.48,214.57,4.61,1.72,3.59,11.84,27.46,22.08,0.01,172.93,77.63,0.0,226.87,0.29,,09-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
09-Nov-2018 - 00:00,33.61,47.37,8.75,13.75,4.13,0.66,78.11,140.84,4.49,1.97,4.01,12.86,24.01,22.01,0.01,193.8,74.27,0.0,216.55,0.34,,10-Nov-2018 - 00:00,"Ward-32 Bapupara, Siliguri - WBPCB"
