from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
17-Jan-2018 - 00:00,,,,,,,,,,316.74,197.96,5.17,76.53,17.18,0.65,,47.57,18-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
18-Jan-2018 - 00:00,,3.0,0.04,1.09,15.88,63.51,49.18,986.83,12.75,360.38,225.3,4.88,80.36,85.24,0.63,,53.05,19-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
19-Jan-2018 - 00:00,0.1,2.67,0.37,1.27,16.51,58.18,53.9,987.41,12.51,249.24,155.77,5.8,69.56,75.36,0.7,,39.13,20-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
20-Jan-2018 - 00:00,0.18,2.69,1.85,1.17,15.68,48.42,59.24,986.96,13.86,165.94,103.71,7.17,58.12,65.29,0.8,,28.74,21-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
21-Jan-2018 - 00:00,,2.8,0.12,0.98,15.62,46.56,73.22,985.78,13.85,199.21,124.5,6.6,63.47,70.06,0.76,,32.9,22-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
22-Jan-2018 - 00:00,0.1,2.92,0.52,0.73,14.8,52.33,56.28,985.79,13.87,220.0,137.5,6.04,66.53,72.58,0.72,,35.5,23-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
23-Jan-2018 - 00:00,,,,,,,,,,173.44,108.43,8.23,61.74,69.97,0.86,,28.64,24-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
24-Jan-2018 - 00:00,,,,,,,,,,120.61,75.38,8.69,49.51,58.2,0.92,,23.08,25-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
25-Jan-2018 - 00:00,,,,,,,,,,112.62,70.38,9.24,47.46,56.7,0.96,,22.08,26-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
26-Jan-2018 - 00:00,,,,,,,,,,127.2,79.5,8.8,50.59,59.39,0.92,,23.9,27-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
27-Jan-2018 - 00:00,,,,,,,,,,192.84,120.53,6.57,62.37,68.94,0.76,,32.11,28-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
28-Jan-2018 - 00:00,,,,,,,,,,150.36,93.98,8.43,54.34,62.76,0.9,,26.8,29-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
29-Jan-2018 - 00:00,,,,,,,,,,182.49,114.11,7.0,60.11,67.11,0.79,,30.78,30-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
30-Jan-2018 - 00:00,,,,,,,,,,131.7,82.31,8.44,51.37,59.81,0.9,,24.46,31-Jan-2018 - 00:00,"Burari Crossing, Delhi - IMD"
31-Jan-2018 - 00:00,,,,,,,,,,124.49,77.81,8.35,50.64,59.0,0.89,,23.56,01-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
01-Feb-2018 - 00:00,,,,,,,,,,188.5,117.86,7.57,59.57,67.14,0.77,,30.94,02-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
02-Feb-2018 - 00:00,,,,,,,,,,121.78,76.11,11.81,38.31,50.11,0.93,,23.22,03-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
03-Feb-2018 - 00:00,,,,,,,,,,111.39,69.65,12.52,37.87,50.39,0.96,,21.89,04-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
04-Feb-2018 - 00:00,,,,,,,,,,124.99,78.12,11.47,38.97,50.45,0.9,,23.62,05-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
05-Feb-2018 - 00:00,,,,,,,,,,169.07,105.67,10.72,42.22,52.94,0.84,,29.13,06-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
06-Feb-2018 - 00:00,,,,,,,,,,125.85,78.66,11.31,39.23,50.53,0.89,,23.73,07-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
07-Feb-2018 - 00:00,,,,,,,,,,139.14,86.96,11.13,40.22,51.35,0.87,,25.39,08-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
08-Feb-2018 - 00:00,,,,,,,,,,201.27,125.79,9.56,45.14,54.71,0.76,,33.16,09-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
09-Feb-2018 - 00:00,,,,,,,,,,182.29,113.93,9.89,43.87,53.76,0.78,,30.79,10-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
10-Feb-2018 - 00:00,,,,,,,,,,181.73,113.58,9.9,43.91,53.81,0.78,,30.72,11-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
11-Feb-2018 - 00:00,,,,,,,,,,131.56,82.22,12.15,38.72,50.87,0.95,,24.44,12-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
12-Feb-2018 - 00:00,,,,,,,,,,66.83,41.78,24.51,29.78,54.29,1.68,,16.07,13-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
13-Feb-2018 - 00:00,,,,,,,,,,102.46,64.04,14.7,34.86,49.56,1.14,,20.81,14-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
14-Feb-2018 - 00:00,,,,,,,,,,65.65,41.03,20.25,29.1,49.36,1.55,,16.21,15-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
15-Feb-2018 - 00:00,,,,,,,,,,88.08,55.05,13.67,34.05,47.73,1.07,,19.01,16-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
16-Feb-2018 - 00:00,,,,,,,,,,97.71,61.07,13.67,34.92,48.59,1.07,,20.21,17-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
17-Feb-2018 - 00:00,,,,,,,,,,106.29,66.43,12.44,36.69,49.13,0.97,,21.29,18-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
18-Feb-2018 - 00:00,,,,,,,,,,149.36,93.35,12.15,39.11,51.26,0.95,,26.67,19-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
19-Feb-2018 - 00:00,,,,,,,,,,237.32,148.33,9.46,46.18,55.63,0.75,,37.67,20-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
20-Feb-2018 - 00:00,,,,,,,,,,218.37,136.49,9.61,45.42,55.03,0.76,,35.3,21-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
21-Feb-2018 - 00:00,,,,,,,,,,209.83,131.15,9.27,46.07,55.34,0.74,,34.23,22-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
22-Feb-2018 - 00:00,,,,,,,,,,157.64,98.52,11.01,41.03,52.03,0.87,,27.7,23-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
23-Feb-2018 - 00:00,,,,,,,,,,177.95,111.22,9.98,43.55,53.53,0.79,,30.24,24-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
24-Feb-2018 - 00:00,,,,,,,,,,216.4,135.3,8.33,52.0,60.33,0.66,,27.89,25-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
25-Feb-2018 - 00:00,,,,,,,,,,176.89,110.55,8.24,55.43,63.66,0.66,,17.28,26-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
26-Feb-2018 - 00:00,,,,,,,,,,117.11,73.19,12.57,37.23,49.8,0.98,,22.64,27-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
27-Feb-2018 - 00:00,,,,,,,,,,137.73,86.08,10.99,40.34,51.33,0.86,,25.22,28-Feb-2018 - 00:00,"Burari Crossing, Delhi - IMD"
28-Feb-2018 - 00:00,,,,,,,,,,182.12,113.83,10.26,45.47,55.73,0.79,,28.86,01-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
01-Mar-2018 - 00:00,,,,,,,,,,181.22,113.72,11.9,44.47,56.38,0.84,,29.68,02-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
02-Mar-2018 - 00:00,,,,,,,,,,186.53,116.58,10.48,43.07,53.54,0.83,,31.32,03-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
03-Mar-2018 - 00:00,,,,,,,,,,144.95,90.6,10.97,40.65,51.62,0.86,,26.12,04-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
04-Mar-2018 - 00:00,,,,,,,,,,134.58,84.11,11.14,39.91,51.05,0.88,,24.82,05-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
05-Mar-2018 - 00:00,,,,,,,,,,119.23,74.52,11.71,38.33,50.04,0.92,,22.9,06-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
06-Mar-2018 - 00:00,,,,,,,,,,117.91,73.7,11.76,38.18,49.94,0.92,,22.74,07-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
07-Mar-2018 - 00:00,,,,,,,,,,133.23,83.27,11.37,39.57,50.94,0.89,,24.65,08-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
08-Mar-2018 - 00:00,,,,,,,,,,201.88,126.17,9.71,44.85,54.56,0.77,,33.23,09-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
09-Mar-2018 - 00:00,,,,,,,,,,193.23,120.77,10.31,43.26,53.57,0.81,,32.15,10-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
10-Mar-2018 - 00:00,,,,,,,,,,123.24,77.04,12.12,41.68,53.85,0.95,,21.71,11-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
11-Mar-2018 - 00:00,,,,,,,,,,135.56,85.02,12.13,41.75,53.94,0.91,,24.29,12-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
12-Mar-2018 - 00:00,,,,,,,,,,135.91,84.94,11.48,39.66,51.14,0.9,,24.99,13-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
13-Mar-2018 - 00:00,,,,,,,,,,173.18,108.3,10.37,43.6,54.03,0.82,,28.98,14-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
14-Mar-2018 - 00:00,,,,,,,,,,244.99,153.12,9.17,46.97,56.14,0.73,,38.62,15-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
15-Mar-2018 - 00:00,,,,,,,,,,216.5,135.31,9.54,45.44,54.98,0.76,,35.06,16-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
16-Mar-2018 - 00:00,,,,,,,,,,164.26,102.66,10.9,41.58,52.49,0.86,,28.53,17-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
17-Mar-2018 - 00:00,,,,,,,,,,140.57,87.86,12.24,42.54,54.77,0.88,,24.38,18-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
18-Mar-2018 - 00:00,,,,,,,,,,139.28,87.05,12.05,39.04,51.08,0.94,,25.41,19-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
19-Mar-2018 - 00:00,,,,,,,,,,139.79,87.37,11.0,40.34,51.34,0.87,,25.47,20-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
20-Mar-2018 - 00:00,,,,,,,,,,188.57,117.87,9.98,43.84,53.82,0.79,0.0,62.32,21-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
21-Mar-2018 - 00:00,,,,,,,,,,213.22,120.1,9.62,44.77,54.39,0.76,,112.83,22-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
22-Mar-2018 - 00:00,,,,,,,,,,,85.92,10.71,40.76,51.47,0.84,,44.08,23-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
23-Mar-2018 - 00:00,,,,,,,,,,,85.02,11.04,40.15,51.18,0.87,,48.54,24-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
24-Mar-2018 - 00:00,,,,,,,,,,,88.72,10.78,40.83,51.61,0.85,,57.89,25-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
25-Mar-2018 - 00:00,,,,,,,,,,,91.23,10.63,41.27,51.9,0.84,,72.65,26-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
26-Mar-2018 - 00:00,,,,,,,,,,,89.32,13.07,41.12,53.88,0.95,,68.04,27-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
27-Mar-2018 - 00:00,,,,,,,,,,,118.3,10.57,42.75,53.32,0.83,,70.99,28-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
28-Mar-2018 - 00:00,,,,,,,,,,,128.12,9.61,45.1,54.71,0.76,,79.65,29-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
29-Mar-2018 - 00:00,,,,,,,,,,,100.78,10.26,42.54,52.79,0.81,,77.5,30-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
30-Mar-2018 - 00:00,,,,,,,,,,,95.49,15.34,42.41,57.86,0.99,,85.22,31-Mar-2018 - 00:00,"Burari Crossing, Delhi - IMD"
31-Mar-2018 - 00:00,,,,,,,,,,,123.42,9.62,44.84,54.47,0.76,,107.08,01-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
01-Apr-2018 - 00:00,,,,,,,,,,,102.25,10.22,42.65,52.87,0.81,,119.25,02-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
02-Apr-2018 - 00:00,,,,,,,,,,,130.59,9.4,45.72,55.13,0.75,,126.04,03-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
03-Apr-2018 - 00:00,,,,,,,,,,,148.53,8.89,47.66,56.55,0.71,,142.49,04-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
04-Apr-2018 - 00:00,,,,,,,,,,,127.64,10.32,48.5,58.82,0.74,,74.08,05-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
05-Apr-2018 - 00:00,,,,,,,,,,,162.66,8.72,48.53,57.26,0.69,,79.02,06-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
06-Apr-2018 - 00:00,,,,,,,,,,,111.99,11.62,47.09,58.76,0.78,,65.26,07-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
07-Apr-2018 - 00:00,,,,,,,,,,,77.74,14.38,36.71,51.09,1.12,,70.22,08-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
08-Apr-2018 - 00:00,,,,,,,,,,,73.23,14.39,35.7,50.09,1.12,,68.95,09-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
09-Apr-2018 - 00:00,,,,,,,,,,,65.1,15.84,34.93,50.78,1.23,,90.34,10-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
10-Apr-2018 - 00:00,,,,,,,,,,,114.74,18.63,42.77,61.48,0.94,,91.13,11-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
11-Apr-2018 - 00:00,,,,,,,,,,,60.24,18.63,36.52,55.37,1.18,,76.64,12-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
12-Apr-2018 - 00:00,,,,,,,,,,,75.57,16.18,36.79,53.03,1.13,,69.02,13-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
13-Apr-2018 - 00:00,,,,,,,,,,,86.68,12.03,38.97,51.0,0.94,,50.63,14-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
14-Apr-2018 - 00:00,,,,,,,,,,,97.82,10.71,41.53,52.23,0.84,,48.67,15-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
15-Apr-2018 - 00:00,,,,,,,,,,,116.34,9.71,44.42,54.13,0.77,,57.57,16-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
16-Apr-2018 - 00:00,,,,,,,,,,,123.61,9.66,44.87,54.53,0.76,,62.49,17-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
17-Apr-2018 - 00:00,,,,,,,,,,,110.66,10.35,43.06,53.4,0.82,,51.74,18-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
18-Apr-2018 - 00:00,,,,,,,,,,,86.72,12.18,39.52,51.69,0.95,,40.71,19-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
19-Apr-2018 - 00:00,,,,,,,,,,,105.97,11.09,41.47,52.56,0.87,,46.7,20-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
20-Apr-2018 - 00:00,,,,,,,,,,,138.63,9.95,44.71,54.66,0.79,,43.4,21-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
21-Apr-2018 - 00:00,,,,,,,,,,,130.2,10.92,43.08,54.0,0.86,,54.59,22-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
22-Apr-2018 - 00:00,,,,,,,,,,,67.43,14.48,36.07,50.56,1.11,,44.9,23-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
23-Apr-2018 - 00:00,,,,,,,,,,,93.22,11.5,40.07,51.57,0.9,,43.36,24-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
24-Apr-2018 - 00:00,,,,,,,,,,,107.6,10.85,42.07,52.92,0.85,,49.97,25-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
25-Apr-2018 - 00:00,,,,,,,,,,,134.45,9.21,46.32,55.53,0.73,,46.54,26-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
26-Apr-2018 - 00:00,,,,,,,,,,,159.44,8.98,47.86,56.84,0.71,,57.99,27-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
27-Apr-2018 - 00:00,,,,,,,,,,,121.32,9.97,44.11,54.08,0.79,,85.11,28-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
28-Apr-2018 - 00:00,,,,,,,,,,,108.99,10.42,42.62,53.03,0.82,,83.6,29-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
29-Apr-2018 - 00:00,,,,,,,,,,,119.5,11.13,42.95,54.08,0.87,,84.29,30-Apr-2018 - 00:00,"Burari Crossing, Delhi - IMD"
30-Apr-2018 - 00:00,,,,,,,,,,,87.35,13.67,37.62,51.29,1.07,,71.18,01-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
01-May-2018 - 00:00,,,,,,,,,,,64.3,24.22,34.08,58.15,1.45,,87.03,02-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
02-May-2018 - 00:00,,,,,,,,,,,96.4,21.04,39.23,60.35,1.33,,85.56,03-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
03-May-2018 - 00:00,,,,,,,,,,,74.92,16.44,36.64,53.13,1.22,,77.77,04-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
04-May-2018 - 00:00,,,,,,,,,,,70.27,16.97,33.95,50.91,1.31,,86.23,05-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
05-May-2018 - 00:00,,,,,,,,,,,104.35,11.16,41.37,52.53,0.88,,78.9,06-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
06-May-2018 - 00:00,,,,,,,,,,,108.09,11.92,41.47,53.38,0.93,,72.74,07-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
07-May-2018 - 00:00,,,,,,,,,,,151.39,9.92,45.67,55.59,0.78,,71.19,08-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
08-May-2018 - 00:00,,,,,,,,,,,82.08,17.16,41.66,58.92,1.22,,58.23,09-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
09-May-2018 - 00:00,,,,,,,,,,,82.65,19.38,38.31,57.81,1.19,,83.07,10-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
10-May-2018 - 00:00,,,,,,,,,,,31.53,19.0,26.56,45.56,1.47,,,11-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
11-May-2018 - 00:00,,,,,,,,,,,30.0,19.33,26.1,45.44,1.49,,,12-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
12-May-2018 - 00:00,,,,,,,,,,,29.97,18.32,29.27,47.6,1.41,,,13-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
13-May-2018 - 00:00,,,,,,,,,,,,,,,,,,14-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
14-May-2018 - 00:00,,,,,,,,,,,,,,,,,,15-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
15-May-2018 - 00:00,,,,,,,,,,,,,,,,,,16-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
16-May-2018 - 00:00,,,,,,,,,,,,,,,,,,17-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
17-May-2018 - 00:00,,,,,,,,,,,,,,,,,,18-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
18-May-2018 - 00:00,,,,,,,,,,,,,,,,,,19-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
19-May-2018 - 00:00,,,,,,,,,,,,,,,,,,20-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
20-May-2018 - 00:00,,,,,,,,,,,,,,,,,,21-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
21-May-2018 - 00:00,,,,,,,,,,,,,,,,,,22-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
22-May-2018 - 00:00,,,,,,,,,,,,,,,,,,23-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
23-May-2018 - 00:00,,,,,,,,,,,,,,,,,,24-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
24-May-2018 - 00:00,,,,,,,,,,,,,,,,,,25-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
25-May-2018 - 00:00,,,,,,,,,,,,,,,,,,26-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
26-May-2018 - 00:00,,,,,,,,,,,,,,,,,,27-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
27-May-2018 - 00:00,,,,,,,,,,,,,,,,,,28-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
28-May-2018 - 00:00,0.2,2.33,0.39,1.48,33.56,24.51,21.33,973.06,8.5,,,,,,,,,29-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
29-May-2018 - 00:00,,,,,,,,,,,,,,,,,,30-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
30-May-2018 - 00:00,,,,,,,,,,,,,,,,,,31-May-2018 - 00:00,"Burari Crossing, Delhi - IMD"
31-May-2018 - 00:00,,,,,,,,,,,,,,,,,,01-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
01-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,02-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
02-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,03-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
03-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,04-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
04-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,05-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
05-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,06-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
06-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,07-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
07-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,08-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
08-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,09-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
09-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,10-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
10-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,11-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
11-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,12-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
12-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,13-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
13-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,14-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
14-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,15-Jun-2018 - 00:00,"Burari Crossing, Delhi - IMD"
