from date,PM10,PM2.5,NO2,NO,NOx,CO,to date,station
03-Jul-2018 - 00:00,,,,,,,04-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
04-Jul-2018 - 00:00,,,,,,,05-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
05-Jul-2018 - 00:00,,,,,,,06-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
06-Jul-2018 - 00:00,,,,,,,07-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
07-Jul-2018 - 00:00,,,,,,,08-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
08-Jul-2018 - 00:00,,,,,,,09-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
09-Jul-2018 - 00:00,,,,,,,10-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
10-Jul-2018 - 00:00,,,,,,,11-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
11-Jul-2018 - 00:00,,,,,,,12-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
12-Jul-2018 - 00:00,,,,,,,13-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
13-Jul-2018 - 00:00,,,,,,,14-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
14-Jul-2018 - 00:00,,,,,,,15-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
15-Jul-2018 - 00:00,,,,,,,16-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
16-Jul-2018 - 00:00,,,,,,,17-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
17-Jul-2018 - 00:00,,,,,,,18-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
18-Jul-2018 - 00:00,,,,,,,19-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
19-Jul-2018 - 00:00,,,,,,,20-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
20-Jul-2018 - 00:00,,,,,,,21-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
21-Jul-2018 - 00:00,,,,,,,22-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
22-Jul-2018 - 00:00,,,,,,,23-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
23-Jul-2018 - 00:00,,,,,,,24-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
24-Jul-2018 - 00:00,,,,,,,25-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
25-Jul-2018 - 00:00,,,,,,,26-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
26-Jul-2018 - 00:00,,,,,,,27-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
27-Jul-2018 - 00:00,,,,,,,28-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
28-Jul-2018 - 00:00,,,,,,,29-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
29-Jul-2018 - 00:00,,,,,,,30-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
30-Jul-2018 - 00:00,,,,,,,31-Jul-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
31-Jul-2018 - 00:00,,,,,,,01-Aug-2018 - 00:00,"Shrivastav Colony, Damoh - MPPCB"
