from date,MP-Xylene,Toluene,Benzene,AT,RH,ETH,SR,VWS,WS,WD,CO,NO,NO2,NOx,Ozone,PM2.5,SO2,to date,BP,station
02-May-2018 - 00:00,,0.0,0.0,28.45,63.93,0.05,32.26,0.05,0.44,105.09,0.0,0.0,0.0,24.39,0.0,0.0,0.0,03-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
03-May-2018 - 00:00,,0.0,0.0,26.48,69.93,0.05,95.95,0.15,0.39,116.14,0.0,0.0,0.0,23.75,0.0,0.0,0.0,04-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
04-May-2018 - 00:00,,0.0,0.0,28.67,58.34,0.05,90.9,0.07,0.4,100.2,0.0,0.0,0.0,26.02,0.0,0.0,0.0,05-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
05-May-2018 - 00:00,,0.0,0.0,30.9,58.08,0.05,88.88,0.07,0.38,115.41,0.0,0.0,0.0,27.7,0.0,0.0,0.0,06-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
06-May-2018 - 00:00,,0.0,0.0,32.84,51.32,0.05,81.29,0.06,0.34,127.21,0.0,0.0,0.0,30.75,0.0,0.0,0.0,07-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
07-May-2018 - 00:00,,0.0,0.0,34.35,39.06,0.05,87.36,0.05,0.4,281.1,0.0,0.0,0.0,52.2,0.0,0.0,0.0,08-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
08-May-2018 - 00:00,,0.0,0.0,33.53,34.64,0.05,89.5,0.05,0.36,285.15,0.0,0.0,0.0,43.17,0.0,0.0,0.0,09-May-2018 - 00:00,999.53,"Central School, Lucknow - CPCB"
09-May-2018 - 00:00,,0.0,0.0,32.28,32.08,0.02,98.03,0.04,0.36,268.83,0.0,0.0,0.0,29.66,0.0,0.0,0.0,10-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
10-May-2018 - 00:00,,0.0,0.0,32.59,28.61,0.0,100.86,0.02,0.4,277.02,0.0,0.0,0.0,34.35,0.0,0.0,0.0,11-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
11-May-2018 - 00:00,,0.0,0.0,33.43,33.63,0.0,90.26,0.01,0.39,202.19,0.0,0.0,0.0,40.96,0.0,0.0,0.0,12-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
12-May-2018 - 00:00,,0.0,0.0,32.19,51.14,0.0,81.36,0.05,0.39,107.42,0.0,0.0,0.0,23.76,0.0,0.0,0.0,13-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
13-May-2018 - 00:00,,0.0,0.0,31.25,57.25,0.0,81.67,0.17,0.37,115.12,0.0,0.0,0.0,22.4,0.0,0.0,0.0,14-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
14-May-2018 - 00:00,,0.0,0.0,27.38,66.0,0.0,82.62,0.06,0.33,118.86,0.0,0.0,0.0,23.37,0.0,0.0,0.0,15-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
15-May-2018 - 00:00,,0.0,0.0,29.8,62.85,0.0,80.66,0.05,0.36,118.35,0.0,0.0,0.0,26.64,0.0,0.0,0.0,16-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
16-May-2018 - 00:00,,0.0,0.0,31.9,56.21,0.0,74.44,0.04,0.38,127.7,0.0,0.0,0.0,26.95,0.0,0.0,0.0,17-May-2018 - 00:00,999.65,"Central School, Lucknow - CPCB"
17-May-2018 - 00:00,,0.0,0.0,31.16,64.58,0.0,78.59,0.05,0.39,121.18,0.0,0.0,0.0,23.66,0.0,0.0,0.0,18-May-2018 - 00:00,,"Central School, Lucknow - CPCB"
18-May-2018 - 00:00,,0.0,0.0,31.75,58.89,0.0,69.52,0.01,0.38,118.87,0.0,0.0,0.0,27.64,0.0,0.0,0.0,19-May-2018 - 00:00,999.28,"Central School, Lucknow - CPCB"
19-May-2018 - 00:00,,0.0,0.0,34.0,49.47,0.0,79.33,0.06,0.35,131.5,0.0,0.0,0.0,27.09,0.0,0.0,0.0,20-May-2018 - 00:00,998.74,"Central School, Lucknow - CPCB"
20-May-2018 - 00:00,,0.0,0.0,33.41,47.96,0.0,92.57,0.05,0.34,134.31,0.0,0.0,0.0,25.94,0.0,0.0,0.0,21-May-2018 - 00:00,999.01,"Central School, Lucknow - CPCB"
21-May-2018 - 00:00,,0.0,0.0,35.27,40.65,0.0,82.1,0.04,0.33,193.63,0.0,0.0,0.0,48.69,0.0,0.0,0.0,22-May-2018 - 00:00,999.28,"Central School, Lucknow - CPCB"
22-May-2018 - 00:00,,0.0,0.0,38.57,33.68,0.0,119.47,0.04,0.39,170.69,0.0,0.0,0.0,28.87,0.0,0.0,0.0,23-May-2018 - 00:00,998.58,"Central School, Lucknow - CPCB"
23-May-2018 - 00:00,,0.0,0.0,34.18,58.93,0.0,61.87,0.05,0.39,118.73,0.0,0.0,0.0,26.9,0.0,0.0,0.0,24-May-2018 - 00:00,998.6,"Central School, Lucknow - CPCB"
24-May-2018 - 00:00,,0.0,0.0,34.5,54.76,0.0,71.13,0.04,0.38,131.45,0.0,0.0,0.0,24.52,0.0,0.0,0.0,25-May-2018 - 00:00,997.29,"Central School, Lucknow - CPCB"
25-May-2018 - 00:00,,0.0,0.0,36.26,32.56,0.0,83.03,0.03,0.33,226.34,0.0,0.0,0.0,49.06,0.0,0.0,0.0,26-May-2018 - 00:00,996.98,"Central School, Lucknow - CPCB"
26-May-2018 - 00:00,,0.0,0.0,36.89,23.08,0.02,84.47,0.03,0.36,220.9,0.0,0.0,0.0,64.98,0.0,0.0,0.0,27-May-2018 - 00:00,996.24,"Central School, Lucknow - CPCB"
27-May-2018 - 00:00,,0.0,0.0,34.58,55.13,0.03,77.65,0.04,0.35,120.27,0.0,0.0,0.0,32.38,0.0,0.0,0.0,28-May-2018 - 00:00,996.55,"Central School, Lucknow - CPCB"
28-May-2018 - 00:00,,0.0,0.0,34.23,56.63,0.03,75.96,0.06,0.35,135.2,0.0,0.0,0.0,29.69,0.0,0.21,0.0,29-May-2018 - 00:00,993.91,"Central School, Lucknow - CPCB"
29-May-2018 - 00:00,,0.0,0.0,32.54,53.93,0.14,75.54,0.06,0.36,122.42,0.0,0.0,0.0,22.38,0.0,0.0,0.0,30-May-2018 - 00:00,995.24,"Central School, Lucknow - CPCB"
30-May-2018 - 00:00,,0.0,0.0,29.91,57.67,0.23,46.78,0.05,0.35,119.13,0.0,0.0,0.0,26.85,0.0,0.0,0.0,31-May-2018 - 00:00,996.8,"Central School, Lucknow - CPCB"
31-May-2018 - 00:00,,0.0,0.0,31.27,61.18,0.08,61.76,0.07,0.36,118.41,0.0,0.0,0.0,25.75,0.0,0.0,0.0,01-Jun-2018 - 00:00,999.12,"Central School, Lucknow - CPCB"
01-Jun-2018 - 00:00,,0.0,0.0,29.22,61.46,0.0,70.49,0.11,0.36,120.68,0.0,0.0,0.0,22.44,0.0,0.0,0.0,02-Jun-2018 - 00:00,,"Central School, Lucknow - CPCB"
02-Jun-2018 - 00:00,,0.0,0.0,28.15,74.09,0.02,50.21,0.11,0.34,126.98,0.0,0.0,0.0,23.3,0.28,0.0,0.0,03-Jun-2018 - 00:00,,"Central School, Lucknow - CPCB"
03-Jun-2018 - 00:00,,0.0,0.0,31.7,66.64,0.0,74.91,0.11,0.4,114.29,0.0,0.0,0.0,24.55,0.0,0.0,0.0,04-Jun-2018 - 00:00,997.62,"Central School, Lucknow - CPCB"
04-Jun-2018 - 00:00,,0.0,0.0,33.21,55.48,0.0,72.13,0.06,0.38,117.14,0.0,0.0,0.0,23.69,0.0,0.0,0.0,05-Jun-2018 - 00:00,996.95,"Central School, Lucknow - CPCB"
05-Jun-2018 - 00:00,,0.0,0.0,33.86,55.71,0.0,77.26,0.07,0.36,116.21,0.0,0.0,0.0,23.58,0.0,0.0,0.0,06-Jun-2018 - 00:00,999.01,"Central School, Lucknow - CPCB"
06-Jun-2018 - 00:00,,0.0,0.0,34.29,54.52,0.0,75.38,0.09,0.34,111.88,0.0,0.0,0.0,22.78,0.0,0.0,0.0,07-Jun-2018 - 00:00,999.52,"Central School, Lucknow - CPCB"
07-Jun-2018 - 00:00,,0.0,0.0,33.24,58.86,0.0,61.55,0.09,0.35,135.95,0.0,0.0,0.0,27.47,0.0,0.0,0.0,08-Jun-2018 - 00:00,995.54,"Central School, Lucknow - CPCB"
08-Jun-2018 - 00:00,,0.0,0.0,29.98,77.49,0.18,34.49,1.31,0.33,130.48,0.0,0.0,0.0,24.83,0.0,0.0,0.0,09-Jun-2018 - 00:00,993.31,"Central School, Lucknow - CPCB"
09-Jun-2018 - 00:00,,0.0,0.0,32.73,65.44,0.15,80.38,0.09,0.35,115.28,0.0,0.0,0.0,27.92,0.0,0.0,0.0,10-Jun-2018 - 00:00,990.6,"Central School, Lucknow - CPCB"
10-Jun-2018 - 00:00,,0.0,0.0,33.08,61.24,0.0,79.62,0.09,0.29,185.81,0.0,0.0,0.0,27.19,0.0,0.0,0.0,11-Jun-2018 - 00:00,990.02,"Central School, Lucknow - CPCB"
11-Jun-2018 - 00:00,,0.0,0.0,35.12,53.62,0.0,76.9,0.09,0.32,274.45,0.0,0.0,0.0,27.58,0.0,0.0,0.0,12-Jun-2018 - 00:00,987.31,"Central School, Lucknow - CPCB"
12-Jun-2018 - 00:00,,1.13,1.0,37.38,42.17,0.12,79.47,0.04,0.35,275.36,0.55,9.39,20.44,30.18,12.02,38.24,1.57,13-Jun-2018 - 00:00,984.69,"Central School, Lucknow - CPCB"
13-Jun-2018 - 00:00,,0.54,0.32,34.1,51.69,0.24,64.81,0.26,0.31,240.68,0.8,7.96,29.73,22.19,20.36,97.48,0.03,14-Jun-2018 - 00:00,985.53,"Central School, Lucknow - CPCB"
14-Jun-2018 - 00:00,,0.54,0.32,30.44,61.52,0.24,20.09,0.06,0.31,163.34,0.72,7.67,28.05,21.06,17.9,68.83,0.0,15-Jun-2018 - 00:00,988.6,"Central School, Lucknow - CPCB"
15-Jun-2018 - 00:00,,0.24,0.13,35.17,51.21,0.1,65.44,0.03,0.29,148.02,0.65,8.19,37.14,26.31,12.99,100.34,0.0,16-Jun-2018 - 00:00,991.82,"Central School, Lucknow - CPCB"
16-Jun-2018 - 00:00,,0.22,0.12,35.31,49.06,0.09,62.7,0.04,0.29,223.69,0.7,8.37,31.96,23.69,12.68,112.25,0.0,17-Jun-2018 - 00:00,993.36,"Central School, Lucknow - CPCB"
17-Jun-2018 - 00:00,,0.22,0.12,35.7,44.47,0.09,64.15,0.06,0.3,229.3,0.51,9.43,34.91,26.12,18.54,140.03,0.02,18-Jun-2018 - 00:00,993.49,"Central School, Lucknow - CPCB"
18-Jun-2018 - 00:00,,0.22,0.12,34.07,51.06,0.09,71.71,0.13,0.31,254.93,0.63,9.12,37.62,27.3,13.68,72.85,0.77,19-Jun-2018 - 00:00,993.96,"Central School, Lucknow - CPCB"
19-Jun-2018 - 00:00,,0.22,0.12,34.44,49.33,0.09,76.98,0.06,0.32,276.6,0.66,10.95,42.57,31.35,16.8,46.68,1.67,20-Jun-2018 - 00:00,994.68,"Central School, Lucknow - CPCB"
20-Jun-2018 - 00:00,,0.22,0.12,36.16,39.86,0.09,78.65,0.06,0.31,217.08,0.55,8.99,43.92,30.55,24.07,72.66,1.88,21-Jun-2018 - 00:00,995.53,"Central School, Lucknow - CPCB"
21-Jun-2018 - 00:00,,0.22,0.12,36.72,42.08,0.09,74.05,0.07,0.32,138.82,0.62,8.28,48.37,32.36,30.93,88.67,1.6,22-Jun-2018 - 00:00,994.92,"Central School, Lucknow - CPCB"
22-Jun-2018 - 00:00,,0.22,0.12,36.52,48.33,0.09,71.54,0.04,0.32,142.99,0.38,7.88,34.45,24.63,29.83,71.71,1.88,23-Jun-2018 - 00:00,993.7,"Central School, Lucknow - CPCB"
23-Jun-2018 - 00:00,,0.22,0.12,36.03,49.64,0.09,73.82,0.06,0.31,167.34,0.57,7.44,32.14,23.05,31.97,56.59,1.78,24-Jun-2018 - 00:00,993.61,"Central School, Lucknow - CPCB"
24-Jun-2018 - 00:00,,0.22,0.12,35.92,49.61,0.09,76.93,0.07,0.3,220.55,0.58,7.66,29.83,21.99,31.9,47.27,1.51,25-Jun-2018 - 00:00,992.03,"Central School, Lucknow - CPCB"
25-Jun-2018 - 00:00,,0.22,0.12,37.12,41.14,0.09,70.33,0.09,0.38,262.79,0.64,8.5,34.84,25.33,28.89,46.78,1.69,26-Jun-2018 - 00:00,989.43,"Central School, Lucknow - CPCB"
26-Jun-2018 - 00:00,,0.2,0.1,32.41,68.06,0.05,64.07,0.43,0.32,188.27,0.82,7.58,28.09,21.0,24.46,34.02,1.35,27-Jun-2018 - 00:00,991.42,"Central School, Lucknow - CPCB"
27-Jun-2018 - 00:00,,0.19,0.09,30.47,81.64,0.02,68.69,0.14,0.37,116.41,0.67,7.38,28.3,20.95,22.47,19.65,1.6,28-Jun-2018 - 00:00,994.73,"Central School, Lucknow - CPCB"
28-Jun-2018 - 00:00,,0.19,0.09,29.39,84.52,0.02,73.07,0.17,0.39,119.49,0.67,7.28,24.48,18.84,16.28,16.81,1.67,29-Jun-2018 - 00:00,996.2,"Central School, Lucknow - CPCB"
29-Jun-2018 - 00:00,,0.19,0.09,30.75,78.19,0.02,62.76,0.11,0.4,129.11,0.72,7.39,27.05,20.3,19.4,22.69,1.66,30-Jun-2018 - 00:00,996.75,"Central School, Lucknow - CPCB"
30-Jun-2018 - 00:00,,0.19,0.09,30.79,79.13,0.02,100.19,0.17,0.33,187.14,0.75,7.61,26.21,20.03,22.89,21.4,1.77,01-Jul-2018 - 00:00,997.12,"Central School, Lucknow - CPCB"
01-Jul-2018 - 00:00,,0.19,0.09,29.48,91.01,0.02,40.51,0.11,0.35,256.87,0.76,9.88,29.25,23.46,14.28,26.59,1.7,02-Jul-2018 - 00:00,995.73,"Central School, Lucknow - CPCB"
02-Jul-2018 - 00:00,,0.09,0.04,29.41,87.18,0.01,37.55,0.1,0.36,240.33,0.61,9.66,29.53,23.43,15.56,36.97,2.05,03-Jul-2018 - 00:00,994.21,"Central School, Lucknow - CPCB"
03-Jul-2018 - 00:00,,0.0,0.0,30.57,80.05,0.0,74.59,0.09,0.33,202.5,0.58,7.64,25.4,19.62,26.07,17.15,1.46,04-Jul-2018 - 00:00,993.48,"Central School, Lucknow - CPCB"
04-Jul-2018 - 00:00,,0.0,0.0,31.17,69.93,0.0,63.66,0.08,0.34,280.69,0.55,7.75,23.93,18.93,22.91,14.39,1.53,05-Jul-2018 - 00:00,992.65,"Central School, Lucknow - CPCB"
05-Jul-2018 - 00:00,,0.0,0.0,33.18,62.73,0.0,78.81,0.08,0.37,276.97,0.59,8.04,25.86,20.19,22.4,20.94,1.68,06-Jul-2018 - 00:00,993.49,"Central School, Lucknow - CPCB"
06-Jul-2018 - 00:00,,0.0,0.0,33.26,59.45,0.0,63.74,0.07,0.33,220.99,0.93,7.78,29.0,21.66,27.89,36.55,1.59,07-Jul-2018 - 00:00,993.22,"Central School, Lucknow - CPCB"
07-Jul-2018 - 00:00,,0.0,0.0,34.42,58.21,0.0,68.32,0.07,0.35,137.93,0.42,7.64,29.28,21.69,36.62,54.2,1.77,08-Jul-2018 - 00:00,992.21,"Central School, Lucknow - CPCB"
08-Jul-2018 - 00:00,,0.0,0.0,32.88,74.87,0.0,72.72,0.07,0.37,114.48,0.57,7.53,23.83,18.7,30.23,34.4,1.63,09-Jul-2018 - 00:00,991.52,"Central School, Lucknow - CPCB"
09-Jul-2018 - 00:00,,0.0,0.0,31.9,80.94,0.0,50.44,0.07,0.43,116.04,0.49,7.63,22.36,18.0,27.22,23.46,1.79,10-Jul-2018 - 00:00,991.37,"Central School, Lucknow - CPCB"
10-Jul-2018 - 00:00,,0.0,0.0,32.33,76.45,0.0,55.37,0.07,0.43,116.63,0.51,7.55,21.67,17.57,26.32,20.78,1.64,11-Jul-2018 - 00:00,992.33,"Central School, Lucknow - CPCB"
11-Jul-2018 - 00:00,,0.0,0.0,30.99,85.62,0.0,64.39,0.1,0.36,133.16,0.6,8.83,26.49,21.15,20.78,19.54,1.78,12-Jul-2018 - 00:00,991.92,"Central School, Lucknow - CPCB"
12-Jul-2018 - 00:00,,0.0,0.0,27.19,99.07,0.0,31.72,0.12,0.29,119.52,0.71,8.32,25.09,20.0,15.4,13.31,1.68,13-Jul-2018 - 00:00,992.39,"Central School, Lucknow - CPCB"
13-Jul-2018 - 00:00,,0.0,0.0,28.03,96.27,0.0,74.82,0.17,0.3,132.05,0.75,8.18,26.2,20.48,16.31,14.11,1.81,14-Jul-2018 - 00:00,992.59,"Central School, Lucknow - CPCB"
14-Jul-2018 - 00:00,,0.0,0.0,28.06,99.12,0.0,42.03,0.1,0.29,154.07,0.95,8.59,27.57,21.54,12.5,17.14,1.48,15-Jul-2018 - 00:00,992.02,"Central School, Lucknow - CPCB"
15-Jul-2018 - 00:00,,0.0,0.0,30.29,90.35,0.0,80.27,0.07,0.34,108.54,0.91,7.75,23.75,18.83,20.22,17.15,1.39,16-Jul-2018 - 00:00,991.61,"Central School, Lucknow - CPCB"
16-Jul-2018 - 00:00,,0.0,0.0,31.73,80.69,0.0,73.27,0.02,0.38,114.95,1.21,8.18,30.01,22.5,21.65,13.62,1.77,17-Jul-2018 - 00:00,992.23,"Central School, Lucknow - CPCB"
17-Jul-2018 - 00:00,,0.0,0.0,31.96,73.72,0.0,83.0,0.01,0.38,113.5,1.19,7.73,23.98,18.94,18.65,15.52,1.56,18-Jul-2018 - 00:00,992.43,"Central School, Lucknow - CPCB"
18-Jul-2018 - 00:00,,0.05,0.02,31.38,80.16,0.01,63.43,0.03,0.38,111.56,0.83,7.8,24.16,19.09,22.08,24.4,1.68,19-Jul-2018 - 00:00,993.07,"Central School, Lucknow - CPCB"
19-Jul-2018 - 00:00,,0.19,0.09,31.66,82.58,0.02,51.21,0.04,0.38,121.96,0.99,7.81,27.74,21.0,24.29,34.32,1.78,20-Jul-2018 - 00:00,992.69,"Central School, Lucknow - CPCB"
20-Jul-2018 - 00:00,,0.19,0.09,30.27,85.36,0.02,142.53,0.09,0.33,146.26,1.26,8.96,28.55,22.36,21.98,26.75,1.67,21-Jul-2018 - 00:00,991.87,"Central School, Lucknow - CPCB"
21-Jul-2018 - 00:00,,0.19,0.09,27.65,98.82,0.02,85.93,0.1,0.3,158.19,1.19,8.44,26.26,20.72,18.2,19.39,1.62,22-Jul-2018 - 00:00,994.08,"Central School, Lucknow - CPCB"
22-Jul-2018 - 00:00,,0.19,0.09,30.49,82.2,0.02,155.04,0.03,0.37,122.3,1.2,8.62,23.46,19.37,17.79,21.53,1.63,23-Jul-2018 - 00:00,993.26,"Central School, Lucknow - CPCB"
23-Jul-2018 - 00:00,,0.19,0.09,28.54,94.71,0.02,76.19,0.06,0.33,107.07,0.9,9.33,39.18,28.31,14.35,13.63,1.84,24-Jul-2018 - 00:00,992.71,"Central School, Lucknow - CPCB"
24-Jul-2018 - 00:00,,0.19,0.09,28.9,96.57,0.02,88.08,0.06,0.33,117.48,0.82,7.81,26.17,20.17,19.11,18.56,1.77,25-Jul-2018 - 00:00,993.19,"Central School, Lucknow - CPCB"
25-Jul-2018 - 00:00,,0.25,0.12,27.82,99.11,0.02,67.77,0.08,0.31,114.61,0.83,8.24,24.82,19.8,16.1,17.74,1.61,26-Jul-2018 - 00:00,993.1,"Central School, Lucknow - CPCB"
26-Jul-2018 - 00:00,,0.25,0.12,27.09,99.14,0.02,57.4,0.13,0.3,151.9,0.87,8.01,23.11,18.7,20.17,10.48,1.67,27-Jul-2018 - 00:00,992.84,"Central School, Lucknow - CPCB"
27-Jul-2018 - 00:00,,0.25,0.12,27.14,98.73,0.02,78.78,0.08,0.29,232.49,0.88,9.04,26.89,21.53,32.71,41.89,1.61,28-Jul-2018 - 00:00,994.68,"Central School, Lucknow - CPCB"
28-Jul-2018 - 00:00,,0.25,0.12,26.79,99.14,0.02,35.15,0.12,0.33,216.88,1.08,18.55,32.75,32.26,34.25,41.11,1.31,29-Jul-2018 - 00:00,995.57,"Central School, Lucknow - CPCB"
29-Jul-2018 - 00:00,,0.25,0.12,26.92,99.11,0.02,56.27,0.09,0.56,232.04,0.94,14.13,32.06,28.36,26.74,31.77,1.73,30-Jul-2018 - 00:00,994.56,"Central School, Lucknow - CPCB"
30-Jul-2018 - 00:00,,0.25,0.12,25.56,99.15,0.02,41.81,0.11,0.48,231.36,0.83,8.45,29.51,22.46,29.19,13.58,1.47,31-Jul-2018 - 00:00,993.28,"Central School, Lucknow - CPCB"
31-Jul-2018 - 00:00,,0.19,0.1,25.25,99.15,0.02,46.63,0.15,0.76,248.37,0.82,8.85,28.07,22.01,35.37,8.53,1.62,01-Aug-2018 - 00:00,993.02,"Central School, Lucknow - CPCB"
01-Aug-2018 - 00:00,,0.06,0.04,25.58,99.14,0.01,45.63,0.12,0.56,294.41,0.69,9.47,27.75,22.33,36.26,21.46,1.55,02-Aug-2018 - 00:00,993.99,"Central School, Lucknow - CPCB"
02-Aug-2018 - 00:00,,0.04,0.03,25.96,99.08,0.0,52.89,0.1,0.83,242.65,0.66,11.15,31.23,25.53,33.32,37.64,1.7,03-Aug-2018 - 00:00,996.12,"Central School, Lucknow - CPCB"
03-Aug-2018 - 00:00,,0.15,0.09,25.51,99.1,0.01,54.71,0.12,0.54,256.28,0.55,12.88,31.56,27.09,30.38,45.33,1.48,04-Aug-2018 - 00:00,996.98,"Central School, Lucknow - CPCB"
04-Aug-2018 - 00:00,,0.07,0.04,27.49,94.97,0.01,81.94,0.09,0.32,234.94,0.4,17.36,27.0,28.25,24.9,54.8,1.66,05-Aug-2018 - 00:00,996.03,"Central School, Lucknow - CPCB"
05-Aug-2018 - 00:00,,0.0,0.0,27.05,98.39,0.0,44.79,0.06,0.33,171.96,0.41,23.1,27.62,33.22,20.92,74.01,1.66,06-Aug-2018 - 00:00,996.96,"Central School, Lucknow - CPCB"
06-Aug-2018 - 00:00,,0.07,0.0,28.12,94.19,0.01,67.62,0.06,0.31,197.35,0.31,13.32,29.69,26.44,28.94,70.42,1.76,07-Aug-2018 - 00:00,995.46,"Central School, Lucknow - CPCB"
07-Aug-2018 - 00:00,,0.15,0.0,28.0,95.31,0.01,61.03,0.06,0.34,116.72,0.3,8.3,40.18,28.01,31.83,25.95,1.8,08-Aug-2018 - 00:00,994.37,"Central School, Lucknow - CPCB"
08-Aug-2018 - 00:00,,0.15,0.0,29.36,85.77,0.01,72.03,0.05,0.36,111.95,0.33,7.9,28.76,21.62,31.44,21.82,1.61,09-Aug-2018 - 00:00,995.24,"Central School, Lucknow - CPCB"
09-Aug-2018 - 00:00,,0.15,0.0,29.53,90.35,0.01,58.83,0.05,0.37,112.36,0.33,7.63,29.32,21.7,33.08,33.95,1.96,10-Aug-2018 - 00:00,998.24,"Central School, Lucknow - CPCB"
10-Aug-2018 - 00:00,,0.15,0.05,31.04,83.62,0.02,58.67,0.04,0.33,140.45,0.28,10.59,39.68,29.58,24.77,35.45,1.83,11-Aug-2018 - 00:00,997.17,"Central School, Lucknow - CPCB"
11-Aug-2018 - 00:00,,0.15,0.23,28.24,98.93,0.01,25.0,0.05,0.3,185.53,0.34,8.17,37.41,26.44,20.76,31.67,1.36,12-Aug-2018 - 00:00,994.08,"Central School, Lucknow - CPCB"
12-Aug-2018 - 00:00,,0.15,0.23,26.35,99.13,0.01,27.19,0.1,0.28,195.88,0.36,9.9,41.37,29.92,16.19,39.64,1.81,13-Aug-2018 - 00:00,992.27,"Central School, Lucknow - CPCB"
13-Aug-2018 - 00:00,,0.15,0.23,27.08,97.08,0.01,49.67,0.12,0.29,190.86,0.42,12.95,38.99,31.1,13.6,22.94,7.8,14-Aug-2018 - 00:00,993.44,"Central School, Lucknow - CPCB"
14-Aug-2018 - 00:00,,0.06,0.1,28.52,92.56,0.01,58.37,0.08,0.32,163.92,0.36,15.35,40.47,33.81,13.12,27.08,8.84,15-Aug-2018 - 00:00,994.09,"Central School, Lucknow - CPCB"
15-Aug-2018 - 00:00,,0.0,0.0,28.01,98.9,0.0,38.57,0.09,0.3,143.93,0.41,11.08,36.56,28.31,10.81,29.69,9.74,16-Aug-2018 - 00:00,996.38,"Central School, Lucknow - CPCB"
16-Aug-2018 - 00:00,,0.0,0.0,29.89,89.11,0.0,72.82,0.05,0.38,112.43,0.34,7.7,25.46,19.7,10.24,17.15,15.17,17-Aug-2018 - 00:00,996.38,"Central School, Lucknow - CPCB"
17-Aug-2018 - 00:00,,0.0,0.0,30.25,90.61,0.0,58.91,0.04,0.37,115.05,0.33,7.72,27.12,20.6,10.1,22.65,5.01,18-Aug-2018 - 00:00,994.25,"Central School, Lucknow - CPCB"
18-Aug-2018 - 00:00,,0.0,0.0,31.39,83.51,0.0,62.48,0.03,0.35,116.31,0.47,9.43,30.17,23.59,8.22,28.92,8.15,19-Aug-2018 - 00:00,993.74,"Central School, Lucknow - CPCB"
19-Aug-2018 - 00:00,,0.0,0.0,31.07,87.74,0.0,44.96,0.05,0.31,187.24,0.38,8.87,30.02,23.07,9.59,28.38,5.06,20-Aug-2018 - 00:00,993.35,"Central School, Lucknow - CPCB"
20-Aug-2018 - 00:00,,0.02,0.04,29.06,94.87,0.0,57.04,0.02,0.33,123.87,0.33,8.34,31.8,23.44,12.92,18.35,4.12,21-Aug-2018 - 00:00,995.64,"Central School, Lucknow - CPCB"
21-Aug-2018 - 00:00,,0.0,0.0,29.88,88.33,0.0,62.66,-0.04,0.35,111.05,0.49,7.85,27.37,20.84,17.54,15.57,2.98,22-Aug-2018 - 00:00,995.12,"Central School, Lucknow - CPCB"
22-Aug-2018 - 00:00,,0.0,0.0,29.59,93.17,0.0,54.2,-0.02,0.34,131.33,0.65,7.88,23.38,18.74,19.89,23.68,3.0,23-Aug-2018 - 00:00,994.67,"Central School, Lucknow - CPCB"
23-Aug-2018 - 00:00,,0.0,0.0,27.38,98.19,0.0,24.19,0.03,0.28,144.68,0.79,9.4,29.01,22.95,15.15,21.19,2.98,24-Aug-2018 - 00:00,996.05,"Central School, Lucknow - CPCB"
24-Aug-2018 - 00:00,,0.0,0.0,27.24,99.08,0.0,57.57,0.02,0.29,243.96,0.57,9.91,27.3,22.43,12.38,14.41,3.85,25-Aug-2018 - 00:00,996.08,"Central School, Lucknow - CPCB"
25-Aug-2018 - 00:00,,0.0,0.0,27.43,97.96,0.0,61.81,0.03,0.3,272.36,0.26,7.67,26.61,20.29,10.58,13.9,33.29,26-Aug-2018 - 00:00,995.07,"Central School, Lucknow - CPCB"
26-Aug-2018 - 00:00,,0.0,0.0,27.23,98.86,0.0,42.11,0.02,0.33,242.69,0.4,9.14,25.45,20.85,12.12,19.44,26.29,27-Aug-2018 - 00:00,994.11,"Central School, Lucknow - CPCB"
27-Aug-2018 - 00:00,,0.0,0.0,28.98,96.47,0.0,61.78,0.02,0.33,140.3,0.45,8.44,24.9,20.0,16.06,25.46,20.59,28-Aug-2018 - 00:00,995.4,"Central School, Lucknow - CPCB"
28-Aug-2018 - 00:00,,0.0,0.0,29.36,93.79,0.0,60.55,0.02,0.36,118.8,0.28,7.49,21.87,17.62,14.13,24.63,3.0,29-Aug-2018 - 00:00,997.22,"Central School, Lucknow - CPCB"
29-Aug-2018 - 00:00,,0.0,0.0,28.58,97.33,0.0,44.54,0.02,0.36,130.03,0.32,8.08,23.29,18.85,9.6,14.23,3.03,30-Aug-2018 - 00:00,998.24,"Central School, Lucknow - CPCB"
30-Aug-2018 - 00:00,,0.0,0.0,28.42,94.15,0.0,46.93,0.04,0.29,194.86,0.32,9.67,27.52,22.38,8.9,16.82,3.02,31-Aug-2018 - 00:00,996.39,"Central School, Lucknow - CPCB"
