from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
11-Jan-2018 - 00:00,29.27,2.12,17.17,86.6,96.93,145.55,10.7,325.14,1.07,1.36,0.85,12.63,85.23,1.13,105.63,92.4,753.93,0.0,-0.01,12-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
12-Jan-2018 - 00:00,29.59,3.42,17.04,20.16,81.61,61.1,4.94,316.85,1.05,1.38,0.87,12.77,86.59,0.99,128.87,90.31,753.23,0.0,-0.03,13-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
13-Jan-2018 - 00:00,29.26,2.35,16.43,82.1,96.42,149.61,15.54,395.91,1.06,1.3,0.86,13.48,84.24,0.67,139.35,85.2,753.49,0.0,-0.01,14-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
14-Jan-2018 - 00:00,29.4,2.67,14.32,117.6,127.48,166.89,16.9,396.35,1.09,1.32,0.85,15.92,74.68,0.8,178.47,140.88,753.34,0.0,-0.01,15-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
15-Jan-2018 - 00:00,29.7,2.73,18.42,21.98,101.91,73.63,9.15,184.34,1.09,1.38,0.85,16.52,66.95,1.9,132.48,131.79,752.83,0.0,0.01,16-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
16-Jan-2018 - 00:00,29.82,2.28,22.24,57.0,96.17,99.53,10.95,224.89,1.04,1.34,0.85,15.52,69.94,1.17,173.25,122.04,751.5,0.0,0.0,17-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
17-Jan-2018 - 00:00,30.93,2.85,20.21,20.55,84.6,63.04,5.52,233.11,1.04,1.35,0.84,13.37,84.83,1.02,128.43,135.18,752.56,0.0,-0.04,18-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
18-Jan-2018 - 00:00,30.25,2.42,21.44,90.77,96.34,127.76,13.13,291.89,1.1,1.35,0.86,14.65,83.0,0.75,123.65,131.83,752.64,0.0,-0.02,19-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
19-Jan-2018 - 00:00,30.8,3.26,13.36,93.19,124.78,145.23,13.49,245.11,1.16,1.45,0.91,18.25,74.01,1.01,186.2,120.16,752.69,0.0,0.01,20-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
20-Jan-2018 - 00:00,31.28,2.33,16.75,27.22,102.43,78.24,7.25,150.26,1.19,1.47,0.96,17.52,68.76,1.58,97.91,119.96,752.03,0.0,0.0,21-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
21-Jan-2018 - 00:00,31.13,2.89,23.63,42.27,95.46,87.0,10.96,183.97,1.12,1.43,0.89,16.59,68.65,0.92,121.21,131.0,752.04,0.0,-0.01,22-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
22-Jan-2018 - 00:00,30.56,2.04,18.89,75.05,113.39,123.91,10.08,264.52,1.14,1.43,0.89,16.58,70.08,0.67,117.74,134.76,750.8,0.0,-0.0,23-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
23-Jan-2018 - 00:00,30.68,1.96,22.15,15.54,89.64,61.61,5.57,176.33,1.16,1.46,0.91,17.08,71.46,1.89,156.46,130.78,748.56,0.0,-0.06,24-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
24-Jan-2018 - 00:00,31.33,1.74,21.93,9.07,66.44,43.64,5.77,128.44,1.21,1.49,0.93,16.53,80.07,1.65,120.95,114.48,749.73,0.0,-0.01,25-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
25-Jan-2018 - 00:00,31.22,2.2,18.17,12.07,69.3,47.69,8.51,202.26,1.14,1.42,0.88,13.59,89.7,1.85,171.47,97.23,750.11,0.0,-0.03,26-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
26-Jan-2018 - 00:00,29.91,3.02,19.53,30.99,83.82,71.27,11.44,230.51,1.04,1.31,0.83,15.15,81.3,0.99,184.29,179.74,750.79,0.0,0.0,27-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
27-Jan-2018 - 00:00,30.49,3.23,18.39,18.55,76.85,57.18,7.49,223.96,1.1,1.38,0.92,14.87,84.81,0.88,106.37,165.07,750.74,0.0,-0.03,28-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
28-Jan-2018 - 00:00,31.12,3.63,18.65,41.78,99.81,88.91,8.99,242.29,1.15,1.42,0.91,15.12,80.65,1.21,116.55,174.78,751.65,0.0,0.0,29-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
29-Jan-2018 - 00:00,31.13,2.81,18.12,39.56,101.13,87.79,10.84,241.26,1.14,1.44,0.93,16.41,76.72,1.26,150.6,149.94,752.62,0.0,-0.01,30-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
30-Jan-2018 - 00:00,31.05,1.8,26.35,6.89,65.48,41.32,7.08,111.72,1.15,1.42,0.88,18.79,66.17,3.39,156.69,140.77,751.16,0.0,-0.01,31-Jan-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
31-Jan-2018 - 00:00,31.76,1.56,25.62,8.81,62.9,41.51,7.04,83.21,1.15,1.45,0.94,19.28,64.77,4.0,127.61,142.63,750.59,0.0,0.02,01-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
01-Feb-2018 - 00:00,32.83,1.84,26.08,10.81,70.95,47.53,7.29,83.9,1.18,1.49,0.98,20.03,63.13,2.39,142.64,149.14,751.2,0.0,0.01,02-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
02-Feb-2018 - 00:00,31.71,1.76,20.84,65.23,98.74,107.85,17.39,127.32,1.04,1.32,0.79,20.89,67.64,0.89,125.41,133.65,749.44,0.0,-0.0,03-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
03-Feb-2018 - 00:00,33.17,3.3,17.37,23.85,111.65,80.49,7.86,138.79,1.12,1.41,0.85,21.3,70.02,0.97,122.01,130.83,750.63,0.0,-0.02,04-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
04-Feb-2018 - 00:00,30.98,1.64,28.36,5.87,65.09,40.23,6.45,95.88,1.04,1.28,0.78,18.75,65.51,2.29,93.47,143.15,751.85,0.0,0.01,05-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
05-Feb-2018 - 00:00,29.46,1.98,30.63,9.87,72.45,47.55,7.69,108.41,1.0,1.25,0.79,17.74,63.74,1.34,106.7,104.42,754.39,0.0,0.0,06-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
06-Feb-2018 - 00:00,32.23,1.69,32.31,6.4,63.33,39.71,7.99,112.89,1.07,1.34,0.84,18.1,64.26,2.38,114.01,97.81,753.44,0.0,0.01,07-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
07-Feb-2018 - 00:00,31.6,1.49,35.0,5.85,58.35,36.56,11.13,107.89,1.02,1.3,0.81,17.21,66.2,2.68,145.65,81.12,751.32,0.0,0.01,08-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
08-Feb-2018 - 00:00,30.96,1.82,31.17,11.75,75.89,51.01,7.68,88.8,0.98,1.28,0.85,18.18,61.02,1.04,97.65,144.06,750.49,0.0,0.0,09-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
09-Feb-2018 - 00:00,30.68,1.92,37.35,8.99,73.86,47.61,7.46,86.63,1.0,1.22,0.8,18.41,59.63,1.71,106.1,176.24,750.52,0.0,0.01,10-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
10-Feb-2018 - 00:00,31.63,1.84,26.35,73.27,90.5,110.11,11.93,91.49,1.04,1.27,0.85,19.38,58.16,0.92,94.96,183.18,752.79,0.0,-0.02,11-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
11-Feb-2018 - 00:00,28.96,2.41,19.93,44.8,96.76,89.02,10.12,127.15,0.94,1.21,0.85,17.2,66.97,1.24,147.88,54.92,753.74,0.0,-0.02,12-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
12-Feb-2018 - 00:00,29.06,1.02,32.21,4.94,43.56,27.76,5.61,87.65,1.01,1.12,0.74,17.06,78.26,3.11,134.26,100.92,755.17,0.0,-0.07,13-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
13-Feb-2018 - 00:00,29.18,1.25,34.98,6.38,41.09,27.6,5.25,67.67,0.92,1.15,0.73,18.1,85.73,1.66,94.63,148.35,757.11,0.0,-0.03,14-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
14-Feb-2018 - 00:00,29.34,1.3,38.02,5.2,43.61,28.01,5.02,53.58,0.97,1.12,0.75,18.19,70.93,3.37,105.94,202.17,757.25,0.0,0.01,15-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
15-Feb-2018 - 00:00,29.7,1.33,38.37,8.41,57.41,38.19,5.49,57.22,1.03,1.24,0.74,17.99,69.32,3.15,116.84,183.18,756.03,0.0,0.02,16-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
16-Feb-2018 - 00:00,29.93,1.73,37.96,6.25,59.93,37.75,7.88,81.64,1.01,1.31,0.82,19.31,73.46,2.25,123.03,171.11,754.41,0.0,0.01,17-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
17-Feb-2018 - 00:00,30.13,2.16,30.69,16.87,79.36,57.12,10.84,92.08,0.95,1.24,0.77,20.31,72.01,1.65,152.75,166.17,750.01,0.0,-0.0,18-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
18-Feb-2018 - 00:00,30.25,2.42,30.34,19.15,88.01,63.72,11.78,94.2,1.0,1.24,0.79,20.96,68.4,1.17,129.73,167.01,748.97,0.0,-0.01,19-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
19-Feb-2018 - 00:00,29.38,1.99,35.07,11.5,80.85,53.48,7.59,79.81,1.0,1.24,0.81,20.72,63.49,1.3,97.36,175.9,750.34,0.0,0.01,20-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
20-Feb-2018 - 00:00,28.35,1.68,29.23,83.45,111.26,129.72,21.12,137.03,0.97,1.24,0.82,20.42,65.42,0.96,155.05,169.7,750.47,0.0,0.0,21-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
21-Feb-2018 - 00:00,28.39,2.09,17.91,123.23,141.96,179.44,15.88,146.44,0.96,1.24,0.82,22.26,65.7,1.14,196.5,163.97,748.28,0.0,0.01,22-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
22-Feb-2018 - 00:00,28.23,3.91,18.17,38.49,112.82,93.25,12.2,111.2,1.02,1.24,0.86,24.43,62.76,0.91,164.89,152.5,746.91,0.0,-0.0,23-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
23-Feb-2018 - 00:00,28.3,3.29,20.26,27.35,93.66,73.59,11.02,108.98,0.95,1.18,0.72,25.29,65.39,0.81,144.21,152.04,747.31,0.0,-0.01,24-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
24-Feb-2018 - 00:00,27.61,1.79,26.75,7.09,62.26,39.71,10.29,78.68,0.98,1.11,0.78,25.88,65.7,1.93,169.01,146.24,749.07,0.0,-0.07,25-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
25-Feb-2018 - 00:00,27.33,2.09,22.6,8.31,52.68,35.52,8.13,124.34,0.96,1.12,0.69,25.19,75.41,1.79,116.66,132.82,750.14,0.0,-0.04,26-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
26-Feb-2018 - 00:00,27.15,1.44,22.76,6.52,46.49,30.68,6.48,59.84,1.05,1.23,0.82,22.47,69.67,3.89,100.85,188.06,749.53,0.0,0.03,27-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
27-Feb-2018 - 00:00,27.23,1.79,25.59,11.74,56.66,40.53,10.36,58.62,0.91,1.16,0.71,22.7,67.71,2.61,120.61,175.22,749.57,0.0,0.01,28-Feb-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
28-Feb-2018 - 00:00,27.53,2.93,24.77,37.47,64.0,65.91,9.97,83.44,0.88,1.1,0.72,24.57,69.81,1.17,117.33,167.52,749.48,0.0,0.01,01-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
01-Mar-2018 - 00:00,27.58,3.15,18.4,26.39,79.49,65.09,8.66,87.93,0.92,1.12,0.74,25.53,67.25,1.46,129.69,158.74,747.75,0.0,0.0,02-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
02-Mar-2018 - 00:00,27.45,3.36,24.97,5.19,51.24,32.14,8.9,135.16,0.94,1.12,0.74,25.78,66.44,1.85,130.14,156.9,746.28,0.0,0.0,03-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
03-Mar-2018 - 00:00,27.52,2.45,25.52,15.12,49.32,39.35,8.42,68.95,0.89,1.09,0.76,25.86,63.14,1.97,128.57,166.36,744.59,0.0,0.0,04-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
04-Mar-2018 - 00:00,28.15,3.52,18.85,5.35,59.32,35.4,7.77,102.0,1.0,1.2,0.8,23.77,67.75,0.52,229.75,12.0,744.0,0.0,0.0,05-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
05-Mar-2018 - 00:00,26.51,2.0,25.3,12.39,52.0,39.19,6.94,36.19,0.95,1.06,0.68,26.45,59.02,2.43,93.54,228.39,748.81,0.0,-0.0,06-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
06-Mar-2018 - 00:00,27.27,1.29,34.01,6.32,44.11,29.19,6.32,44.47,0.88,1.07,0.72,22.98,61.25,3.09,105.31,191.59,749.78,0.0,0.01,07-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
07-Mar-2018 - 00:00,27.66,1.88,33.62,12.82,54.59,40.32,7.74,46.77,0.97,1.12,0.75,23.11,59.59,2.44,103.91,197.05,749.29,0.0,-0.0,08-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
08-Mar-2018 - 00:00,27.04,1.76,36.73,9.94,57.37,39.4,9.85,64.9,0.93,1.15,0.73,24.07,57.98,1.09,124.02,173.66,750.27,0.0,-0.01,09-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
09-Mar-2018 - 00:00,27.0,2.07,29.15,14.03,67.49,48.32,15.93,78.65,0.95,1.1,0.74,24.82,57.81,1.47,137.11,183.22,749.65,0.0,0.0,10-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
10-Mar-2018 - 00:00,26.76,2.31,26.6,19.01,68.47,52.98,14.16,63.23,0.96,1.13,0.64,25.51,56.35,2.28,138.42,180.82,748.64,0.0,-0.01,11-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
11-Mar-2018 - 00:00,26.74,2.29,25.64,28.19,60.54,56.29,15.86,60.32,0.9,1.17,0.67,25.63,56.6,1.7,135.44,176.45,748.18,0.0,-0.02,12-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
12-Mar-2018 - 00:00,26.72,2.28,26.91,23.94,68.62,57.15,28.1,72.59,0.98,1.14,0.74,26.39,55.97,1.69,165.24,173.19,747.92,0.0,-0.0,13-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
13-Mar-2018 - 00:00,27.04,2.04,23.63,74.24,78.84,104.72,31.83,90.24,0.95,1.07,0.67,27.09,55.94,1.75,173.65,169.5,747.11,0.0,-0.0,14-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
14-Mar-2018 - 00:00,27.1,2.79,22.46,48.55,79.14,83.3,11.67,88.78,0.91,1.14,0.74,28.45,53.18,1.41,206.94,153.93,745.33,0.0,-0.02,15-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
15-Mar-2018 - 00:00,26.98,1.77,23.04,14.82,59.16,44.45,8.67,69.44,0.98,1.11,0.73,27.41,56.92,1.95,151.91,129.75,744.86,0.0,0.0,16-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
16-Mar-2018 - 00:00,26.86,1.46,28.54,7.67,47.61,32.24,8.41,59.26,0.91,1.11,0.7,26.23,58.18,1.79,120.58,173.46,745.55,0.0,-0.04,17-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
17-Mar-2018 - 00:00,27.16,1.76,26.92,12.64,57.2,41.58,14.89,60.85,0.97,1.18,0.73,25.04,55.34,2.19,118.15,187.84,746.89,0.0,-0.01,18-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
18-Mar-2018 - 00:00,26.69,1.58,32.4,7.42,49.72,33.15,6.95,43.28,0.98,1.15,0.74,25.18,49.18,2.46,119.36,205.59,748.54,0.0,-0.01,19-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
19-Mar-2018 - 00:00,26.91,2.45,29.19,19.63,72.77,55.86,22.86,84.95,0.96,1.16,0.76,26.36,51.12,1.44,130.95,185.61,749.65,0.0,-0.01,20-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
20-Mar-2018 - 00:00,27.36,2.12,28.91,48.4,62.83,74.33,21.0,67.82,0.94,1.14,0.67,27.47,53.31,1.77,100.59,184.39,747.18,0.0,-0.01,21-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
21-Mar-2018 - 00:00,27.91,3.09,20.76,66.5,76.05,96.47,25.06,115.15,0.92,1.2,0.72,28.95,54.82,1.39,179.53,160.14,744.53,0.0,-0.05,22-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
22-Mar-2018 - 00:00,28.8,1.53,28.83,12.61,54.06,39.84,9.68,61.31,0.96,1.17,0.74,27.56,55.24,1.92,101.08,150.18,744.26,0.0,-0.02,23-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
23-Mar-2018 - 00:00,28.8,1.41,32.07,8.57,50.02,34.3,8.27,57.87,0.92,1.2,0.67,26.96,57.26,2.19,101.36,176.07,745.71,0.0,-0.03,24-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
24-Mar-2018 - 00:00,28.74,1.4,37.47,7.01,51.43,33.75,8.12,51.23,0.96,1.16,0.75,26.36,56.86,2.4,87.96,190.05,748.83,0.0,-0.02,25-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
25-Mar-2018 - 00:00,28.86,1.42,37.8,6.56,47.2,31.1,6.6,43.59,0.96,1.16,0.75,27.18,52.94,2.56,79.71,198.55,749.95,0.0,0.0,26-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
26-Mar-2018 - 00:00,28.9,1.72,35.72,11.37,57.97,40.96,8.4,47.87,1.0,1.25,0.75,27.57,52.64,2.62,114.86,187.45,748.22,0.0,0.0,27-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
27-Mar-2018 - 00:00,28.11,2.61,30.65,35.46,66.0,65.32,19.13,62.76,0.95,1.19,0.68,28.5,49.06,1.88,127.27,192.33,745.89,0.0,-0.02,28-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
28-Mar-2018 - 00:00,28.9,2.37,21.56,86.8,86.01,118.75,16.38,80.46,1.01,1.15,0.75,29.88,45.76,1.19,183.55,187.31,744.47,0.0,-0.0,29-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
29-Mar-2018 - 00:00,28.72,2.63,28.69,43.73,66.9,72.69,16.93,65.9,0.99,1.26,0.82,29.38,46.64,2.16,114.46,227.83,744.05,0.0,0.0,30-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
30-Mar-2018 - 00:00,28.95,1.55,30.62,13.55,62.24,45.06,8.59,68.18,0.92,1.2,0.72,29.54,46.55,2.16,164.41,222.81,742.35,0.0,-0.05,31-Mar-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
31-Mar-2018 - 00:00,29.77,0.86,46.3,4.56,31.48,20.89,6.44,40.78,1.0,1.25,0.73,26.63,56.47,3.11,172.19,261.77,744.2,0.0,-0.14,01-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
01-Apr-2018 - 00:00,30.14,1.02,42.96,4.48,33.3,21.82,5.62,53.97,1.03,1.29,0.86,27.11,62.59,3.11,140.71,250.69,745.4,0.0,-0.1,02-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
02-Apr-2018 - 00:00,30.09,1.31,42.39,5.02,41.55,26.69,7.56,74.66,1.04,1.33,0.78,29.09,57.74,2.1,144.39,248.93,746.2,0.0,-0.08,03-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
03-Apr-2018 - 00:00,29.72,2.26,42.46,16.13,53.63,42.53,9.71,60.25,1.01,1.21,0.74,30.76,50.36,1.61,147.26,245.71,745.09,0.0,-0.04,04-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
04-Apr-2018 - 00:00,29.62,1.46,38.53,39.28,67.85,69.47,11.51,76.46,1.06,1.29,0.83,31.75,50.54,1.61,191.67,225.39,742.53,0.0,-0.03,05-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
05-Apr-2018 - 00:00,29.64,1.65,37.63,6.28,45.62,30.02,7.17,51.11,0.95,1.24,0.76,30.08,54.89,2.8,159.84,247.59,740.99,0.0,-0.1,06-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
06-Apr-2018 - 00:00,29.17,1.36,34.05,5.84,39.82,26.5,9.12,58.31,0.99,1.29,0.77,29.51,62.22,2.98,153.26,221.23,742.68,0.0,-0.11,07-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
07-Apr-2018 - 00:00,30.77,1.03,35.57,23.21,36.46,39.0,5.67,42.24,1.02,1.22,0.75,27.44,68.66,4.15,136.64,277.7,745.72,0.0,-0.12,08-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
08-Apr-2018 - 00:00,28.38,1.38,42.59,4.59,38.12,24.44,5.26,33.53,0.97,1.29,0.75,28.23,60.1,2.19,163.67,284.72,746.45,0.0,-0.07,09-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
09-Apr-2018 - 00:00,27.98,1.64,38.7,12.4,45.1,34.69,6.6,58.82,0.94,1.21,0.77,27.47,66.9,2.36,163.66,250.06,746.68,0.0,-0.06,10-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
10-Apr-2018 - 00:00,26.31,2.42,30.0,30.66,63.02,59.3,7.31,46.06,1.0,1.21,0.74,28.19,63.57,1.47,129.85,265.39,745.46,0.0,-0.05,11-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
11-Apr-2018 - 00:00,28.34,1.87,33.76,13.93,57.2,42.35,6.26,44.89,1.01,1.18,0.76,27.57,66.51,2.73,147.84,222.66,745.35,0.07,-0.06,12-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
12-Apr-2018 - 00:00,27.65,2.13,27.22,21.65,62.01,51.64,7.05,29.9,0.98,1.13,0.74,26.1,69.45,1.95,124.77,233.17,744.74,0.02,-0.02,13-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
13-Apr-2018 - 00:00,27.75,2.24,35.03,13.16,69.53,52.01,14.76,54.76,1.03,1.27,0.76,29.48,54.62,1.63,125.02,253.26,744.91,0.0,-0.02,14-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
14-Apr-2018 - 00:00,28.56,2.75,32.13,31.84,73.79,66.25,16.32,49.04,0.92,1.17,0.72,30.24,45.94,1.71,141.95,271.11,744.13,0.0,-0.01,15-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
15-Apr-2018 - 00:00,26.67,1.68,29.48,72.47,93.25,110.8,32.3,86.18,1.02,1.27,0.76,31.68,47.65,0.96,166.43,262.43,743.71,0.0,-0.02,16-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
16-Apr-2018 - 00:00,27.78,2.16,26.49,59.23,82.13,93.72,13.78,61.48,1.07,1.29,0.74,32.23,51.1,1.37,185.5,242.31,744.23,0.0,-0.02,17-Apr-2018 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
