from date,NOx,Ozone,PM2.5,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,O Xylene,RH,SR,VWS,WS,NO,WD,NO2,to date,BP,CO,station
31-Jan-2018 - 00:00,25.75,41.52,121.09,7.31,2.16,8.66,1.59,4.91,0.67,64.77,41.83,0.03,0.73,21.68,273.6,18.15,01-Feb-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
01-Feb-2018 - 00:00,28.84,33.28,147.85,6.62,2.88,9.3,1.91,8.72,0.67,69.19,54.97,0.02,0.63,23.33,268.2,20.73,02-Feb-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
02-Feb-2018 - 00:00,59.77,28.5,137.15,6.1,3.45,6.87,1.95,20.04,3.16,51.99,41.7,0.0,0.35,52.2,203.8,25.72,03-Feb-2018 - 00:00,812.85,,"Lalbagh, Lucknow - CPCB"
03-Feb-2018 - 00:00,92.89,32.79,238.14,13.58,3.92,7.96,2.99,10.72,1.59,77.37,37.26,0.02,0.37,80.34,194.23,49.02,04-Feb-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
04-Feb-2018 - 00:00,29.0,59.04,176.18,3.91,0.35,4.13,0.54,0.48,0.03,60.55,45.27,0.03,0.83,17.8,286.54,36.11,05-Feb-2018 - 00:00,,789.15,"Lalbagh, Lucknow - CPCB"
05-Feb-2018 - 00:00,33.05,63.31,136.44,8.24,0.45,1.7,0.21,1.17,0.21,60.05,34.95,0.02,0.67,12.58,279.42,43.83,06-Feb-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
06-Feb-2018 - 00:00,33.58,16.09,44.33,2.32,0.0,0.56,0.05,0.1,0.36,21.52,3.72,0.01,0.2,3.1,102.66,9.21,07-Feb-2018 - 00:00,329.05,237.49,"Lalbagh, Lucknow - CPCB"
07-Feb-2018 - 00:00,37.08,20.25,70.05,7.42,0.4,1.02,0.16,0.75,0.08,34.65,20.32,0.01,0.54,12.47,141.44,32.6,08-Feb-2018 - 00:00,602.6,737.55,"Lalbagh, Lucknow - CPCB"
08-Feb-2018 - 00:00,34.9,52.82,121.49,13.19,0.38,1.61,0.22,0.5,0.11,54.98,40.67,0.03,0.63,13.1,287.91,46.67,09-Feb-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
09-Feb-2018 - 00:00,33.5,56.22,115.15,14.23,0.41,1.59,0.23,1.35,0.18,50.01,41.01,0.05,0.91,13.1,291.04,44.11,10-Feb-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
10-Feb-2018 - 00:00,47.09,40.08,117.36,10.87,0.41,1.43,0.25,0.6,0.32,43.0,37.45,0.05,0.56,19.59,221.32,42.78,11-Feb-2018 - 00:00,848.32,982.88,"Lalbagh, Lucknow - CPCB"
11-Feb-2018 - 00:00,69.97,22.47,151.64,11.13,0.89,1.9,0.35,0.8,0.21,59.6,21.22,0.03,0.4,35.97,185.9,77.57,12-Feb-2018 - 00:00,,,"Lalbagh, Lucknow - CPCB"
12-Feb-2018 - 00:00,28.72,36.37,138.62,8.32,0.1,1.87,0.13,0.06,0.0,80.1,22.99,0.07,1.39,12.75,106.11,35.73,13-Feb-2018 - 00:00,,880.28,"Lalbagh, Lucknow - CPCB"
13-Feb-2018 - 00:00,24.52,39.11,82.04,8.06,0.17,1.97,0.12,0.54,0.06,89.79,33.87,0.03,0.81,10.78,229.94,30.82,14-Feb-2018 - 00:00,,779.87,"Lalbagh, Lucknow - CPCB"
14-Feb-2018 - 00:00,24.84,0.35,1.01,0.09,0.0,0.02,0.0,0.0,0.09,1.03,0.03,0.03,0.01,0.08,3.45,0.31,15-Feb-2018 - 00:00,10.66,7.5,"Lalbagh, Lucknow - CPCB"
15-Feb-2018 - 00:00,28.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.03,0.0,0.0,0.0,0.0,16-Feb-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
16-Feb-2018 - 00:00,30.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.04,0.0,0.0,0.0,0.0,17-Feb-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
17-Feb-2018 - 00:00,35.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.02,0.0,0.0,0.0,0.0,18-Feb-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
18-Feb-2018 - 00:00,41.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.02,0.0,0.0,0.0,0.0,19-Feb-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
19-Feb-2018 - 00:00,44.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.03,0.0,0.0,0.0,0.0,20-Feb-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
20-Feb-2018 - 00:00,46.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.02,0.0,0.0,0.0,0.0,21-Feb-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
21-Feb-2018 - 00:00,105.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.02,0.0,0.0,0.0,0.0,22-Feb-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
22-Feb-2018 - 00:00,66.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.01,0.0,0.0,0.0,0.0,23-Feb-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
23-Feb-2018 - 00:00,96.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.01,0.0,0.0,0.0,0.0,24-Feb-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
24-Feb-2018 - 00:00,56.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,25-Feb-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
25-Feb-2018 - 00:00,21.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26-Feb-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
26-Feb-2018 - 00:00,23.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,27-Feb-2018 - 00:00,0.0,0.01,"Lalbagh, Lucknow - CPCB"
27-Feb-2018 - 00:00,34.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.01,0.0,0.0,0.0,0.0,28-Feb-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
28-Feb-2018 - 00:00,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.01,0.0,0.0,0.0,0.0,01-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
01-Mar-2018 - 00:00,34.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,02-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
02-Mar-2018 - 00:00,24.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,03-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
03-Mar-2018 - 00:00,23.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,04-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
04-Mar-2018 - 00:00,29.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.02,0.0,0.0,0.0,0.0,05-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
05-Mar-2018 - 00:00,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,06-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
06-Mar-2018 - 00:00,24.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0,0.0,07-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
07-Mar-2018 - 00:00,33.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.02,0.0,0.0,0.0,0.0,08-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
08-Mar-2018 - 00:00,54.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.01,0.0,0.0,0.0,0.0,09-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
09-Mar-2018 - 00:00,39.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.01,0.0,0.0,0.0,0.0,10-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
10-Mar-2018 - 00:00,30.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,11-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
11-Mar-2018 - 00:00,31.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,12-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
12-Mar-2018 - 00:00,31.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,13-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
13-Mar-2018 - 00:00,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,14-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
14-Mar-2018 - 00:00,89.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,15-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
15-Mar-2018 - 00:00,43.49,1.09,0.0,0.0,0.61,0.6,0.53,0.5,0.14,0.0,0.0,-0.02,0.0,18.17,0.0,3.02,16-Mar-2018 - 00:00,0.0,0.22,"Lalbagh, Lucknow - CPCB"
16-Mar-2018 - 00:00,25.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.03,0.0,0.0,0.0,0.0,17-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
17-Mar-2018 - 00:00,27.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,18-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
18-Mar-2018 - 00:00,25.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,19-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
19-Mar-2018 - 00:00,36.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.01,0.0,0.0,0.0,0.0,20-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
20-Mar-2018 - 00:00,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.01,0.0,0.0,0.0,0.0,21-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
21-Mar-2018 - 00:00,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,22-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
22-Mar-2018 - 00:00,34.13,3.27,0.0,1.77,0.0,0.0,0.0,0.0,0.25,0.0,0.0,-0.0,0.0,0.97,0.0,0.03,23-Mar-2018 - 00:00,0.0,0.18,"Lalbagh, Lucknow - CPCB"
23-Mar-2018 - 00:00,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
24-Mar-2018 - 00:00,34.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,25-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
25-Mar-2018 - 00:00,31.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,26-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
26-Mar-2018 - 00:00,36.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,27-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
27-Mar-2018 - 00:00,44.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,28-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
28-Mar-2018 - 00:00,91.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,29-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
29-Mar-2018 - 00:00,53.32,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,2.12,0.0,0.05,30-Mar-2018 - 00:00,0.0,0.1,"Lalbagh, Lucknow - CPCB"
30-Mar-2018 - 00:00,50.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,31-Mar-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
31-Mar-2018 - 00:00,30.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,0.0,0.0,0.0,0.0,01-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
01-Apr-2018 - 00:00,45.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,02-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
02-Apr-2018 - 00:00,60.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,03-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
03-Apr-2018 - 00:00,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,04-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
04-Apr-2018 - 00:00,50.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,05-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
05-Apr-2018 - 00:00,38.71,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,0.0,2.09,0.0,0.28,06-Apr-2018 - 00:00,0.0,0.07,"Lalbagh, Lucknow - CPCB"
06-Apr-2018 - 00:00,33.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,07-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
07-Apr-2018 - 00:00,32.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.02,0.0,0.0,0.0,0.0,08-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
08-Apr-2018 - 00:00,41.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,-0.04,0.0,0.0,0.0,0.0,09-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
09-Apr-2018 - 00:00,36.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.02,0.0,0.0,0.0,0.0,10-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
10-Apr-2018 - 00:00,45.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.01,0.0,0.0,0.0,0.0,11-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
11-Apr-2018 - 00:00,36.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,12-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
12-Apr-2018 - 00:00,34.46,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.36,0.0,0.0,-0.0,0.0,4.01,0.0,0.35,13-Apr-2018 - 00:00,0.0,0.19,"Lalbagh, Lucknow - CPCB"
13-Apr-2018 - 00:00,42.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,-0.0,0.0,1.45,0.0,7.3,14-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
14-Apr-2018 - 00:00,47.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,15-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
15-Apr-2018 - 00:00,54.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,16-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
16-Apr-2018 - 00:00,71.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,17-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
17-Apr-2018 - 00:00,62.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,18-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
18-Apr-2018 - 00:00,37.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
19-Apr-2018 - 00:00,50.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
20-Apr-2018 - 00:00,69.71,1.89,0.0,1.01,0.0,0.0,0.0,0.0,0.53,0.0,0.0,-0.01,0.0,5.97,0.0,0.6,21-Apr-2018 - 00:00,0.0,0.06,"Lalbagh, Lucknow - CPCB"
21-Apr-2018 - 00:00,32.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.04,0.0,0.0,0.0,0.0,22-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
22-Apr-2018 - 00:00,30.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.02,0.0,0.0,0.0,0.0,23-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
23-Apr-2018 - 00:00,38.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,-0.03,0.0,0.0,0.0,0.0,24-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
24-Apr-2018 - 00:00,61.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,25-Apr-2018 - 00:00,0.0,0.0,"Lalbagh, Lucknow - CPCB"
