from date,Benzene,Toluene,Xylene,BP,PM2.5,RH,SR,Temp,VWS,WD,WS,RF,CO,NO,NO2,NOx,Ozone,SO2,to date,station
20-Feb-2018 - 00:00,3.32,12.9,8.18,745.79,149.19,52.1,12.37,28.21,-0.24,248.87,0.71,0.0,2.13,77.08,60.2,94.49,11.3,28.31,21-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
21-Feb-2018 - 00:00,4.38,19.77,11.39,746.21,155.54,50.69,12.21,28.11,-0.28,174.43,1.11,0.0,2.97,107.67,55.74,122.29,11.77,11.14,22-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
22-Feb-2018 - 00:00,4.04,18.68,12.66,746.4,147.09,52.82,12.39,28.15,-0.23,183.76,0.83,0.0,2.58,68.25,53.62,85.79,11.79,10.13,23-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
23-Feb-2018 - 00:00,1.63,5.4,3.38,746.38,121.01,54.72,12.38,28.15,-0.19,201.42,1.09,0.0,1.12,14.91,45.85,38.08,11.83,3.48,24-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
24-Feb-2018 - 00:00,1.01,3.1,2.08,746.42,106.2,55.97,12.38,28.14,-0.08,242.04,1.56,0.0,0.95,11.88,45.88,34.79,11.58,5.17,25-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
25-Feb-2018 - 00:00,0.8,1.3,1.04,746.31,135.99,64.64,12.35,28.04,-0.49,137.06,2.98,0.0,1.0,6.46,43.35,28.88,12.12,5.48,26-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
26-Feb-2018 - 00:00,0.14,0.63,0.72,746.12,54.94,57.46,12.42,28.11,-0.95,71.17,4.68,0.0,0.57,6.9,48.79,32.24,12.05,3.53,27-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
27-Feb-2018 - 00:00,0.37,1.6,1.11,746.34,66.23,50.08,12.41,28.09,-0.53,113.16,2.59,0.0,0.69,15.56,47.58,38.75,12.06,3.68,28-Feb-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
28-Feb-2018 - 00:00,1.19,4.09,2.14,746.4,99.54,53.58,12.47,28.17,-0.25,131.45,0.9,0.0,0.96,17.5,47.11,41.0,11.77,4.42,01-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
01-Mar-2018 - 00:00,1.3,3.22,1.98,746.32,134.01,55.3,12.33,28.22,-0.21,281.77,0.92,0.0,1.2,15.42,40.64,35.9,12.03,7.11,02-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
02-Mar-2018 - 00:00,1.27,1.35,1.05,746.42,130.88,51.75,13.32,28.67,-0.2,199.92,1.93,0.0,1.27,15.86,41.74,35.84,12.18,3.73,03-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
03-Mar-2018 - 00:00,0.77,1.27,1.39,746.48,78.7,44.96,13.47,28.79,-0.2,210.57,1.53,0.0,0.89,21.14,45.75,42.41,11.85,7.81,04-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
04-Mar-2018 - 00:00,0.67,0.6,1.01,746.29,76.93,55.53,13.71,28.84,-0.2,252.61,2.3,0.0,0.74,10.47,38.14,29.41,11.93,4.76,05-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
05-Mar-2018 - 00:00,0.29,0.53,0.91,746.16,55.01,55.57,13.3,28.78,-0.19,147.3,2.78,0.0,0.63,12.73,42.38,34.28,12.19,7.34,06-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
06-Mar-2018 - 00:00,0.31,0.59,0.91,746.18,67.18,48.89,12.99,28.61,-0.17,114.1,3.24,0.0,0.64,8.96,47.0,32.97,12.61,8.49,07-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
07-Mar-2018 - 00:00,0.75,3.15,2.37,746.3,72.09,46.36,12.73,28.48,-0.55,249.2,2.91,0.0,1.06,22.76,49.75,45.93,12.38,4.36,08-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
08-Mar-2018 - 00:00,1.78,6.48,4.85,746.34,92.73,45.86,11.92,28.17,-0.19,237.61,1.08,0.0,1.4,32.71,41.76,50.9,12.15,6.02,09-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
09-Mar-2018 - 00:00,1.03,2.26,1.96,746.4,93.27,44.44,12.11,28.23,-0.2,209.28,1.22,0.0,0.99,12.65,43.71,34.21,12.53,4.91,10-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
10-Mar-2018 - 00:00,1.13,3.11,2.28,746.46,88.05,41.56,12.12,28.29,-0.2,301.73,1.93,0.0,1.02,17.73,46.81,40.14,12.38,3.6,11-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
11-Mar-2018 - 00:00,0.83,1.81,1.52,746.42,89.49,43.05,11.91,28.18,-0.2,273.59,1.53,0.0,0.86,11.84,43.08,33.21,12.66,6.47,12-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
12-Mar-2018 - 00:00,1.28,3.67,3.39,746.52,86.72,41.36,12.04,28.23,-0.19,292.94,1.5,0.0,1.34,30.58,46.73,50.77,11.99,6.01,13-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
13-Mar-2018 - 00:00,1.86,6.51,5.31,746.74,89.43,36.15,12.18,28.31,-0.2,265.23,1.34,0.0,1.5,33.58,47.2,53.54,11.96,7.36,14-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
14-Mar-2018 - 00:00,5.16,8.27,5.35,746.6,104.22,35.47,11.98,28.25,-0.2,250.44,0.93,0.0,1.68,22.34,48.16,44.71,12.19,9.33,15-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
15-Mar-2018 - 00:00,2.73,6.38,4.71,746.57,85.36,39.06,12.39,28.52,-0.19,268.33,1.7,0.0,1.28,24.86,40.06,42.4,11.96,7.9,16-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
16-Mar-2018 - 00:00,1.27,3.21,2.24,746.42,102.68,48.34,12.59,28.59,-0.2,269.26,1.31,0.0,1.09,15.98,43.35,36.8,11.9,2.92,17-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
17-Mar-2018 - 00:00,0.92,3.26,2.25,746.4,77.06,40.78,12.92,28.84,-0.18,318.38,2.77,0.0,0.89,11.06,44.35,33.23,12.29,4.15,18-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
18-Mar-2018 - 00:00,0.73,1.96,1.61,746.43,71.89,36.61,12.32,28.71,-0.18,312.78,2.09,0.0,0.82,12.15,47.3,35.78,12.09,3.71,19-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
19-Mar-2018 - 00:00,1.76,4.53,4.43,746.55,99.94,37.03,12.3,28.81,-0.2,243.26,1.35,0.0,1.58,29.83,49.35,51.57,11.79,10.22,20-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
20-Mar-2018 - 00:00,1.87,5.86,5.3,746.62,99.68,38.85,12.25,28.82,-0.2,254.32,1.12,0.0,1.4,26.84,45.28,46.88,12.51,7.94,21-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
21-Mar-2018 - 00:00,0.91,2.15,1.52,746.55,84.81,38.27,12.43,28.83,-0.17,277.15,2.42,0.0,0.81,7.62,46.56,31.63,12.3,3.24,22-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
22-Mar-2018 - 00:00,1.06,2.06,1.51,746.45,101.68,51.96,12.31,28.69,-0.19,320.98,2.26,0.0,0.96,6.39,45.57,30.06,12.19,5.91,23-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
23-Mar-2018 - 00:00,0.32,0.95,0.97,746.39,66.48,49.21,12.55,28.69,-0.15,324.12,3.25,0.0,0.64,4.69,44.7,28.17,12.41,8.92,24-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
24-Mar-2018 - 00:00,0.72,1.4,1.31,746.51,89.16,43.35,12.61,28.7,-0.17,326.43,2.55,0.0,0.85,7.98,47.95,32.67,12.94,5.2,25-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
25-Mar-2018 - 00:00,0.45,0.83,0.98,746.55,70.42,40.72,12.9,28.83,-0.17,325.03,2.79,0.0,0.69,8.31,46.07,31.9,13.07,4.07,26-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
26-Mar-2018 - 00:00,0.49,0.62,0.86,746.59,68.55,38.06,12.68,28.82,-0.16,318.03,2.9,0.0,0.76,6.99,51.07,33.54,12.92,3.94,27-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
27-Mar-2018 - 00:00,0.88,2.13,1.76,746.89,87.09,33.06,12.75,28.91,-0.19,292.27,1.69,0.0,1.09,20.34,49.89,44.93,12.26,12.93,28-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
28-Mar-2018 - 00:00,1.38,3.74,3.64,746.98,72.64,29.57,12.62,28.98,-0.2,256.32,1.84,0.0,1.28,20.59,49.51,43.98,12.33,8.33,29-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
29-Mar-2018 - 00:00,0.92,2.93,2.55,746.86,88.22,34.58,12.32,28.9,-0.18,324.07,2.25,0.0,1.06,13.81,51.03,40.03,12.92,6.33,30-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
30-Mar-2018 - 00:00,1.66,5.82,4.42,746.95,89.48,31.23,12.26,28.93,-0.17,312.43,3.02,0.0,1.22,28.2,48.33,49.67,13.1,10.03,31-Mar-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
31-Mar-2018 - 00:00,0.21,0.25,0.64,746.64,60.26,41.53,12.05,28.83,-0.35,163.06,3.23,0.0,0.57,4.68,40.33,25.74,13.86,6.12,01-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
01-Apr-2018 - 00:00,0.2,0.18,0.53,746.77,62.44,43.3,12.49,28.83,-0.25,195.0,2.16,0.0,0.6,4.11,38.66,24.38,13.72,2.94,02-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
02-Apr-2018 - 00:00,0.38,0.2,0.66,746.92,71.19,41.4,12.75,28.85,-0.24,144.12,2.16,0.0,0.67,5.32,35.58,24.2,13.75,6.43,03-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
03-Apr-2018 - 00:00,2.45,1.57,1.39,746.98,87.99,38.21,13.95,29.6,-0.21,137.45,1.52,0.0,0.94,5.14,37.18,24.39,14.18,9.62,04-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
04-Apr-2018 - 00:00,1.16,2.29,1.77,747.16,79.25,35.08,12.99,29.08,-0.22,157.53,1.68,0.0,0.93,3.79,38.21,23.89,14.0,8.22,05-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
05-Apr-2018 - 00:00,0.77,1.23,1.1,747.11,81.8,37.92,12.9,29.0,-0.25,177.88,2.13,0.0,0.78,2.65,34.95,21.15,15.25,7.35,06-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
06-Apr-2018 - 00:00,0.08,0.55,0.68,746.0,155.0,86.0,83.25,28.2,-0.1,260.75,8.45,0.25,0.51,0.75,38.83,20.77,20.25,7.67,07-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
07-Apr-2018 - 00:00,0.24,1.08,0.75,747.05,54.87,47.78,13.41,28.94,-0.3,242.56,2.45,0.0,0.55,11.03,44.69,33.78,12.42,4.04,08-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
08-Apr-2018 - 00:00,0.23,0.5,0.74,746.84,52.02,48.36,13.15,28.94,-0.28,213.51,2.26,0.0,0.65,19.13,41.66,38.51,12.55,6.99,09-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
09-Apr-2018 - 00:00,0.27,0.69,0.93,746.39,62.2,55.7,13.28,28.82,-0.26,258.02,2.84,0.0,0.56,11.09,38.53,30.78,12.71,2.01,10-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
10-Apr-2018 - 00:00,0.46,1.36,1.47,746.9,58.66,48.8,13.25,28.83,-0.21,228.38,1.04,0.0,0.75,12.99,39.92,32.45,12.88,2.97,11-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
11-Apr-2018 - 00:00,0.2,0.51,0.91,746.57,55.29,53.66,14.65,29.06,-0.4,305.62,4.39,0.79,0.58,3.58,34.8,22.73,13.51,5.03,12-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
12-Apr-2018 - 00:00,0.2,0.48,0.85,747.0,35.67,38.5,17.0,29.88,-0.2,298.62,2.15,0.0,1.25,1.19,28.24,14.97,11.95,10.16,13-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
13-Apr-2018 - 00:00,1.9,6.76,3.4,747.0,84.89,38.52,21.52,33.89,-0.18,240.17,1.87,0.0,1.34,51.31,97.95,96.76,11.58,7.87,14-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
14-Apr-2018 - 00:00,2.0,7.92,6.62,746.91,87.77,36.4,11.97,28.48,-0.19,231.8,1.26,0.0,1.26,29.33,58.36,56.03,12.57,5.15,15-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
15-Apr-2018 - 00:00,2.19,5.7,8.11,747.07,85.98,35.51,17.84,32.39,-0.2,244.93,0.78,0.0,1.29,26.77,58.89,54.17,12.23,8.18,16-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
16-Apr-2018 - 00:00,2.64,3.83,6.14,746.96,84.53,38.17,20.94,34.17,-0.2,179.41,1.34,0.0,1.07,20.83,54.8,47.24,12.35,4.98,17-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
17-Apr-2018 - 00:00,1.11,2.1,1.39,747.21,54.9,37.95,12.84,28.69,-0.19,268.23,1.52,0.0,0.58,10.28,44.82,32.88,13.55,9.82,18-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
18-Apr-2018 - 00:00,0.57,2.11,1.31,747.22,75.81,32.52,12.53,28.25,-0.16,301.5,3.12,0.0,0.74,9.0,41.14,29.8,12.81,6.81,19-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
19-Apr-2018 - 00:00,1.38,3.97,3.24,747.3,77.74,31.99,12.71,28.29,-0.19,285.75,1.63,0.0,1.15,20.68,44.44,41.3,13.04,12.57,20-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
20-Apr-2018 - 00:00,1.19,3.97,2.49,747.34,75.66,31.72,12.17,28.22,-0.25,259.84,1.9,0.0,0.7,7.88,35.91,26.04,13.68,6.13,21-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
21-Apr-2018 - 00:00,0.12,0.96,0.72,747.05,131.33,28.47,11.82,28.34,-0.15,266.18,3.37,0.0,0.48,2.51,36.97,22.13,12.62,4.85,22-Apr-2018 - 00:00,"Sanjay Palace, Agra - UPPCB"
