from date,Benzene,Eth-Benzene,MP-Xylene,Toluene,PM10,PM2.5,RH,SR,WD,WS,Temp,CO,NH3,NO,NO2,NOx,O Xylene,SO2,Ozone,to date,station
07-Aug-2018 - 00:00,0.95,0.73,2.27,4.82,55.35,19.35,75.41,180.78,231.55,0.5,30.79,0.4,5.99,1.41,7.98,5.08,0.7,3.01,22.6,08-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
08-Aug-2018 - 00:00,1.77,0.7,2.95,7.58,38.58,15.92,87.63,208.62,204.45,0.61,29.35,0.61,6.17,3.43,10.48,8.4,1.1,2.94,23.64,09-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
09-Aug-2018 - 00:00,2.0,0.92,2.99,8.24,42.79,18.05,86.26,136.0,205.54,0.42,30.03,0.61,6.26,3.28,11.13,8.5,0.99,3.15,24.79,10-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
10-Aug-2018 - 00:00,1.65,0.75,2.84,7.13,28.72,20.18,85.33,3.1,223.11,0.55,29.89,0.41,6.75,1.89,8.6,5.92,1.05,2.3,24.23,11-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
11-Aug-2018 - 00:00,0.61,0.17,0.63,2.94,27.41,28.12,84.92,98.27,219.14,0.5,30.31,0.45,8.63,4.19,9.65,8.03,0.17,2.52,19.62,12-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
12-Aug-2018 - 00:00,4.42,5.34,14.41,28.88,32.52,18.42,92.67,165.79,194.88,0.52,29.55,0.43,7.78,2.83,9.54,7.14,6.79,2.83,18.52,13-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
13-Aug-2018 - 00:00,3.15,1.83,8.12,17.23,28.49,20.26,84.4,274.73,211.57,0.5,31.14,0.62,8.12,4.12,11.33,9.16,3.43,3.21,18.18,14-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
14-Aug-2018 - 00:00,1.82,0.73,3.66,8.03,52.23,23.32,79.46,258.5,249.52,0.43,31.48,0.48,8.76,2.28,10.54,7.19,1.52,2.8,22.27,15-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
15-Aug-2018 - 00:00,1.16,0.21,1.51,3.94,67.93,22.17,88.81,178.19,249.92,0.42,30.27,0.44,10.06,1.41,8.03,5.23,0.49,2.96,21.0,16-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
16-Aug-2018 - 00:00,2.03,0.64,4.0,7.67,30.38,19.75,90.86,268.75,154.84,0.75,30.7,0.62,10.2,2.53,8.62,6.4,1.57,2.8,29.55,17-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
17-Aug-2018 - 00:00,1.75,0.46,2.84,6.7,42.14,20.62,93.39,156.67,145.98,0.5,29.76,0.51,8.75,1.81,8.94,6.0,1.08,3.07,45.25,18-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
18-Aug-2018 - 00:00,1.67,0.71,4.27,7.29,43.27,24.91,88.69,272.35,213.02,0.85,30.25,0.56,10.9,4.47,15.13,11.16,1.61,2.71,27.71,19-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
19-Aug-2018 - 00:00,0.65,0.13,0.8,2.25,44.84,21.14,91.05,284.31,229.32,0.47,29.98,0.42,11.05,2.63,12.27,8.07,0.28,2.37,18.13,20-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
20-Aug-2018 - 00:00,1.93,1.12,5.2,8.53,37.74,18.78,94.72,252.76,220.2,0.61,29.25,0.63,8.48,9.37,16.92,16.19,2.17,3.15,21.45,21-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
21-Aug-2018 - 00:00,2.31,2.13,7.02,13.44,33.06,22.4,94.75,153.9,202.13,0.69,27.68,0.65,6.62,10.13,22.32,19.51,2.98,3.38,17.1,22-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
22-Aug-2018 - 00:00,1.85,1.01,5.56,12.04,48.22,22.06,92.86,188.71,191.11,0.53,28.53,0.69,6.78,7.89,18.84,15.88,2.09,3.36,16.33,23-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
23-Aug-2018 - 00:00,2.64,1.41,8.12,12.28,49.96,18.76,90.09,131.15,188.72,0.51,29.38,0.65,5.55,13.34,22.56,22.29,3.29,3.6,16.66,24-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
24-Aug-2018 - 00:00,2.87,3.12,8.52,14.33,59.77,17.44,87.7,153.99,221.97,0.45,29.69,0.84,7.07,18.11,20.45,24.98,3.74,3.29,17.29,25-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
25-Aug-2018 - 00:00,2.01,3.16,6.0,11.56,64.03,20.11,83.52,301.61,186.18,0.43,30.23,0.55,6.62,11.17,21.89,20.12,2.91,3.11,18.13,26-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
26-Aug-2018 - 00:00,1.23,1.14,3.13,7.26,48.03,12.75,87.73,223.68,220.96,0.56,29.31,0.48,7.76,7.32,13.38,12.37,1.44,3.02,18.74,27-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
27-Aug-2018 - 00:00,3.97,4.41,13.6,24.49,54.06,22.99,97.42,53.33,200.24,1.32,27.68,0.78,4.14,22.01,23.68,29.86,6.21,3.42,16.71,28-Aug-2018 - 00:00,"Opp GPO Civil Lines, Nagpur - MPCB"
