from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,Toluene,P-Xylene,NH3,NO2,NO,NOx,Ozone,SO2,CO,to date,station
27-Apr-2018 - 00:00,23.75,983.88,370.73,87.44,40.95,181.2,104.46,2.36,0.0,0.5,1.88,0.33,73.51,60.19,12.13,65.74,67.78,20.01,1.22,28-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Apr-2018 - 00:00,23.69,983.7,383.48,75.69,40.94,181.41,103.3,2.73,0.0,0.42,1.59,0.21,61.49,43.4,3.11,46.1,76.95,24.19,1.06,29-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-Apr-2018 - 00:00,23.65,980.75,274.49,79.8,43.1,178.13,119.22,1.42,0.0,0.55,1.5,0.27,56.66,53.26,6.53,61.34,61.4,22.8,1.13,30-Apr-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-Apr-2018 - 00:00,23.63,979.14,220.45,70.66,41.67,192.08,124.3,1.84,0.0,0.98,1.02,0.31,52.44,55.89,14.81,70.19,71.4,12.54,1.11,01-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-May-2018 - 00:00,23.54,982.51,169.19,43.65,50.67,189.31,104.61,3.13,0.0,0.44,0.95,0.16,56.71,38.57,3.53,49.6,73.89,13.35,0.86,02-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-May-2018 - 00:00,23.81,984.08,191.54,48.91,51.92,179.8,110.89,2.77,0.04,0.3,0.96,0.13,53.99,31.6,3.65,39.83,77.98,14.85,0.83,03-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-May-2018 - 00:00,23.68,984.55,158.75,39.91,51.2,177.01,115.6,2.95,0.0,0.28,1.43,0.16,59.41,42.67,6.63,47.31,48.9,20.32,0.8,04-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-May-2018 - 00:00,23.58,984.82,132.34,39.72,53.41,210.47,95.65,2.48,0.01,0.52,1.27,0.22,50.16,49.41,7.17,62.82,58.26,16.26,0.96,05-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-May-2018 - 00:00,23.62,983.88,188.25,63.33,42.13,215.99,166.7,1.16,0.0,1.04,1.73,0.36,50.86,80.31,41.6,88.39,55.06,16.73,1.47,06-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-May-2018 - 00:00,23.71,984.58,248.94,87.72,40.05,206.83,152.9,0.93,0.0,1.63,2.2,0.59,54.37,77.2,80.03,146.73,48.38,15.45,1.78,07-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-May-2018 - 00:00,23.7,982.34,294.78,88.26,37.61,208.34,273.27,1.3,0.0,1.04,2.48,0.65,56.54,96.15,90.14,174.66,68.08,23.04,1.79,08-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-May-2018 - 00:00,23.7,983.1,154.81,43.04,38.38,213.1,258.09,2.48,0.0,0.56,0.77,0.18,27.79,41.91,6.09,53.67,75.1,7.66,0.62,09-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-May-2018 - 00:00,24.36,984.95,171.15,63.63,46.78,164.07,204.14,0.89,0.0,0.61,2.2,0.4,55.67,93.24,29.87,119.3,42.63,19.89,1.22,10-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-May-2018 - 00:00,24.12,985.56,203.68,82.78,42.67,222.29,241.43,1.13,0.0,0.64,1.66,0.36,64.03,92.66,36.76,121.92,64.02,17.06,1.57,11-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-May-2018 - 00:00,24.05,982.49,311.41,125.01,35.23,204.36,232.12,1.42,0.0,1.1,2.12,0.52,63.85,111.57,41.41,130.11,55.58,25.75,1.89,12-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-May-2018 - 00:00,23.96,981.3,366.66,147.84,38.59,200.24,135.41,1.39,0.0,1.26,2.12,0.6,64.54,117.4,41.28,133.66,81.93,24.62,2.02,13-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-May-2018 - 00:00,,,233.72,56.72,,,,,,0.52,0.66,0.09,50.01,30.09,3.04,35.42,106.96,10.85,0.74,14-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-May-2018 - 00:00,33.08,982.95,155.52,36.29,41.02,119.96,99.77,1.75,0.0,1.01,3.59,7.27,58.83,64.26,7.23,66.67,59.55,23.89,0.89,15-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-May-2018 - 00:00,32.28,982.35,197.34,63.36,48.23,187.4,99.14,1.81,0.0,2.22,9.66,22.29,67.15,73.61,16.06,83.76,69.6,18.98,1.21,16-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-May-2018 - 00:00,33.92,980.86,223.98,64.7,36.11,187.95,253.19,1.83,0.0,0.82,1.53,0.46,57.54,72.51,17.19,85.85,61.93,11.35,0.99,17-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-May-2018 - 00:00,34.97,980.92,305.46,86.29,27.84,193.08,263.99,1.3,0.0,1.04,1.26,0.22,55.96,67.94,14.57,80.26,80.32,20.04,1.03,18-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-May-2018 - 00:00,34.12,981.01,246.62,81.08,32.32,177.81,167.5,0.94,0.0,2.36,0.38,0.2,61.68,82.53,39.04,119.11,70.18,1.48,1.26,19-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-May-2018 - 00:00,34.02,980.86,268.08,84.17,37.23,184.99,237.78,1.1,0.0,2.58,0.79,0.57,72.59,93.89,80.48,173.55,65.54,2.1,1.7,20-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-May-2018 - 00:00,34.5,982.01,228.92,68.33,28.69,200.64,259.97,1.09,0.0,0.65,1.68,0.31,56.91,75.6,33.78,99.13,71.07,23.02,1.26,21-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-May-2018 - 00:00,35.72,982.22,207.17,49.64,16.92,215.36,280.51,1.36,0.0,0.52,1.68,0.3,45.48,74.51,29.18,100.18,71.89,20.53,0.89,22-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-May-2018 - 00:00,36.31,981.16,256.08,74.68,19.95,209.94,237.88,1.07,0.0,0.9,1.87,0.29,44.29,83.09,42.24,100.51,60.21,25.75,1.81,23-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-May-2018 - 00:00,36.08,980.25,324.21,108.52,30.11,181.74,181.09,0.86,0.0,3.19,2.34,0.66,54.13,101.91,87.99,126.92,49.2,14.46,2.62,24-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-May-2018 - 00:00,34.75,979.39,304.58,110.21,30.9,161.69,218.06,0.83,0.0,1.52,2.32,0.76,58.82,105.66,74.85,121.79,61.42,16.17,2.05,25-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-May-2018 - 00:00,34.81,979.51,243.54,73.46,24.27,194.78,273.94,1.5,0.0,2.01,0.56,,32.78,95.12,91.88,115.27,58.55,2.99,2.17,26-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-May-2018 - 00:00,35.68,976.86,258.08,90.21,22.11,217.21,253.69,1.16,0.0,1.98,0.49,,33.71,82.52,91.84,133.27,59.36,2.29,2.07,27-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-May-2018 - 00:00,36.93,977.94,302.0,80.75,18.44,210.36,206.09,1.56,0.0,1.87,0.54,1.83,44.15,83.62,53.43,125.54,50.12,1.38,1.49,28-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-May-2018 - 00:00,35.42,976.11,317.62,105.59,28.9,116.76,174.66,0.92,0.0,1.85,0.77,0.27,54.82,90.74,59.43,93.67,51.65,7.0,2.09,29-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-May-2018 - 00:00,36.8,975.52,340.58,109.38,32.59,200.41,155.94,1.72,0.0,1.39,1.69,0.66,53.41,86.65,51.6,130.22,80.65,12.51,1.64,30-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-May-2018 - 00:00,34.66,977.52,318.62,60.08,41.22,181.13,125.74,2.74,0.0,0.3,0.97,0.15,68.56,45.07,7.31,48.97,74.48,22.85,0.86,31-May-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
31-May-2018 - 00:00,36.07,979.31,266.17,75.54,39.18,188.52,109.47,1.9,0.0,0.45,1.27,0.3,64.2,62.2,13.5,69.84,61.67,23.44,1.12,01-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Jun-2018 - 00:00,34.37,980.43,245.26,71.92,47.89,191.2,100.17,3.14,0.0,0.3,0.91,0.13,62.85,34.56,3.56,36.22,77.53,16.36,0.87,02-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Jun-2018 - 00:00,31.91,981.14,158.35,49.9,46.13,182.74,106.55,2.81,0.0,0.19,0.95,0.12,55.28,39.19,4.65,40.59,78.82,27.27,0.73,03-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Jun-2018 - 00:00,33.48,978.8,144.78,59.26,51.11,188.48,96.25,2.43,0.0,0.44,0.67,0.15,46.3,37.41,2.92,51.78,78.2,11.0,0.86,04-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Jun-2018 - 00:00,35.81,977.87,193.73,61.78,46.57,179.45,109.9,3.03,0.0,0.25,0.89,0.12,65.18,35.03,3.87,38.92,77.84,19.42,0.94,05-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Jun-2018 - 00:00,39.05,979.28,165.82,50.55,36.92,254.35,97.62,2.95,0.0,3.64,5.38,0.11,64.75,55.5,10.52,55.29,57.36,1.78,0.64,06-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Jun-2018 - 00:00,33.25,981.87,173.63,60.43,57.17,141.7,96.09,2.22,0.0,1.11,2.22,0.98,56.19,41.01,4.0,44.87,57.74,13.29,1.45,07-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Jun-2018 - 00:00,35.56,977.7,158.46,64.0,50.03,165.54,96.68,1.63,0.0,3.26,3.22,2.76,49.05,49.76,3.55,57.76,77.72,8.69,0.86,08-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Jun-2018 - 00:00,35.62,974.52,205.46,68.88,52.74,144.19,110.29,3.06,0.0,3.88,1.55,1.6,76.47,35.61,4.0,37.21,66.19,3.36,0.99,09-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Jun-2018 - 00:00,31.85,974.06,125.39,52.75,69.19,132.92,141.89,2.55,0.02,3.56,1.56,0.8,43.5,37.37,7.45,54.89,52.27,1.64,0.91,10-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Jun-2018 - 00:00,34.78,973.9,158.31,59.12,52.25,218.49,215.72,1.41,0.0,6.43,4.92,,9.0,83.15,44.88,9.82,10.43,2.68,0.29,11-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Jun-2018 - 00:00,35.3,972.06,228.62,63.33,49.17,180.41,285.63,2.68,0.0,2.87,3.01,3.03,42.49,56.11,8.93,61.52,57.71,3.35,0.9,12-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Jun-2018 - 00:00,37.19,969.75,475.67,125.33,40.46,154.99,277.87,2.77,0.0,1.54,3.43,1.34,38.12,46.84,7.94,56.4,41.32,4.99,0.72,13-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Jun-2018 - 00:00,38.39,969.78,869.0,167.6,34.12,157.48,272.62,3.63,0.0,1.41,1.96,0.84,25.99,34.72,7.46,46.44,29.61,3.19,0.57,14-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Jun-2018 - 00:00,37.42,971.81,852.36,152.32,32.43,161.42,270.3,3.35,0.0,1.48,1.69,1.33,17.15,35.22,8.66,46.86,32.31,2.52,0.54,15-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Jun-2018 - 00:00,36.72,974.18,548.8,127.25,33.37,176.41,244.62,2.92,0.0,1.53,2.04,1.96,13.41,36.67,6.22,40.38,35.23,3.41,0.57,16-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Jun-2018 - 00:00,35.31,976.51,563.17,111.21,43.4,165.01,193.42,2.48,0.0,1.62,2.79,1.23,23.76,38.71,3.68,37.78,36.96,5.63,0.64,17-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Jun-2018 - 00:00,32.43,977.91,292.67,83.88,54.54,181.9,148.02,1.28,0.0,2.06,2.62,0.78,30.7,30.23,3.42,41.14,55.96,3.78,0.61,18-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Jun-2018 - 00:00,32.64,977.66,177.21,57.79,48.09,188.46,279.34,2.0,0.0,2.06,3.77,1.65,35.95,52.57,7.53,56.05,59.73,5.91,0.75,19-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Jun-2018 - 00:00,33.66,977.78,155.71,50.88,46.44,194.18,257.81,1.68,0.0,2.1,2.94,1.14,28.93,44.02,3.0,45.23,91.09,4.8,0.7,20-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Jun-2018 - 00:00,35.84,978.42,193.52,63.46,45.8,144.5,178.34,1.51,0.0,1.46,5.52,2.35,42.42,67.04,12.15,66.65,87.39,11.54,1.03,21-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Jun-2018 - 00:00,36.46,978.25,276.12,78.04,41.07,144.92,213.09,1.01,0.0,1.42,5.71,1.88,54.41,61.56,5.58,68.23,80.9,11.35,0.99,22-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Jun-2018 - 00:00,37.27,977.16,222.5,69.88,39.86,157.42,221.69,0.96,0.0,2.31,6.75,3.67,48.3,77.25,32.07,112.26,58.32,12.09,1.25,23-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Jun-2018 - 00:00,37.4,976.52,224.33,70.5,38.91,154.12,235.35,1.12,0.0,2.33,6.15,2.99,48.23,72.47,23.41,97.38,83.83,11.66,1.17,24-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Jun-2018 - 00:00,37.29,975.86,176.52,53.34,37.31,184.08,239.85,1.88,0.0,2.34,4.76,2.55,36.52,65.02,10.42,64.55,78.45,14.35,0.92,25-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Jun-2018 - 00:00,36.24,976.0,194.72,60.21,48.94,11.45,178.28,1.17,0.0,1.12,6.79,2.53,54.18,58.38,3.74,53.66,54.77,16.09,1.11,26-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Jun-2018 - 00:00,32.29,974.55,127.34,33.79,55.5,17.01,253.57,5.24,,2.29,26.13,,47.75,65.27,8.04,41.27,22.53,5.83,0.34,27-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Jun-2018 - 00:00,31.04,976.86,96.14,42.03,71.3,151.34,134.03,2.48,,1.78,17.14,,55.12,34.72,3.99,21.73,55.54,4.42,1.01,28-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Jun-2018 - 00:00,30.01,978.4,41.1,21.65,79.99,198.32,115.23,2.68,,1.07,13.23,,48.06,30.57,3.98,19.51,39.56,2.84,0.75,29-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-Jun-2018 - 00:00,30.81,977.91,77.71,44.13,79.71,139.52,156.05,1.77,,2.16,21.43,,41.6,59.8,18.18,46.63,34.86,2.99,0.43,30-Jun-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-Jun-2018 - 00:00,31.85,978.64,74.53,37.83,72.21,152.11,177.89,1.78,,1.66,16.77,,61.41,48.39,9.72,33.66,26.6,4.2,0.27,01-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Jul-2018 - 00:00,32.84,977.18,64.54,25.72,68.72,153.52,261.97,2.33,,0.99,13.08,,42.52,30.21,5.01,20.15,16.45,2.1,0.43,02-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Jul-2018 - 00:00,32.59,974.89,80.12,27.75,64.36,167.3,243.11,2.53,,0.65,11.14,,35.67,28.26,3.35,17.77,19.74,3.09,0.52,03-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Jul-2018 - 00:00,31.72,975.01,103.83,41.44,70.49,122.43,102.54,1.52,,1.57,22.5,,38.46,50.47,5.24,31.14,28.87,4.25,0.63,04-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Jul-2018 - 00:00,32.1,975.69,98.61,42.71,67.28,174.56,116.75,1.24,,1.68,18.46,,48.29,34.17,3.46,20.99,50.01,4.74,0.55,05-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Jul-2018 - 00:00,31.86,977.05,136.82,49.81,71.68,128.74,214.49,1.27,,3.01,31.11,,38.72,48.39,23.27,44.71,43.94,5.14,0.99,06-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Jul-2018 - 00:00,32.96,977.07,164.56,52.1,63.68,184.65,284.88,1.58,,2.77,34.24,,58.65,50.97,33.75,54.5,32.32,3.4,1.03,07-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Jul-2018 - 00:00,33.7,976.29,141.51,56.7,58.94,171.85,279.76,0.97,,2.05,23.39,,58.13,46.0,6.58,29.84,54.68,3.49,0.79,08-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Jul-2018 - 00:00,35.21,975.37,164.12,67.99,54.66,188.65,244.11,0.85,,2.6,27.5,,65.93,47.6,24.46,45.27,78.43,3.71,1.04,09-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Jul-2018 - 00:00,34.94,975.56,155.44,67.65,61.58,147.88,116.62,2.17,,1.7,15.93,,60.03,36.55,3.11,21.96,50.46,4.78,0.79,10-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Jul-2018 - 00:00,34.18,976.15,98.96,43.79,67.67,165.39,108.31,2.19,,1.15,14.92,,49.94,27.58,3.65,17.64,37.45,3.02,0.67,11-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Jul-2018 - 00:00,32.36,975.62,91.96,41.29,72.52,101.52,132.81,1.89,,1.33,17.71,,40.21,34.89,4.26,22.03,29.25,4.13,0.74,12-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
12-Jul-2018 - 00:00,32.82,975.06,112.58,45.54,67.49,143.07,161.83,1.47,,1.19,17.57,,39.46,32.13,5.25,21.37,47.01,3.23,0.67,13-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
13-Jul-2018 - 00:00,29.54,976.4,52.21,29.71,84.5,87.62,134.99,1.61,,1.8,26.04,,41.29,41.36,14.78,34.13,23.96,4.02,0.77,14-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
14-Jul-2018 - 00:00,29.99,976.01,60.92,30.58,83.98,164.09,117.12,1.81,,1.85,55.87,,49.87,45.38,18.38,39.14,38.38,4.75,0.73,15-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
15-Jul-2018 - 00:00,31.38,975.35,62.73,32.6,78.1,119.5,107.54,1.73,,1.45,49.37,,45.81,42.86,6.62,28.15,22.09,4.97,0.72,16-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
16-Jul-2018 - 00:00,30.72,976.07,72.14,38.49,86.44,76.53,158.12,1.67,,2.29,49.89,,35.21,40.64,14.94,33.81,16.05,2.95,0.92,17-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
17-Jul-2018 - 00:00,33.12,976.48,74.02,27.5,71.53,149.31,97.16,1.69,,1.82,46.32,,47.31,35.16,8.59,25.72,32.43,2.6,0.79,18-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18-Jul-2018 - 00:00,33.0,977.06,88.39,33.8,71.01,136.33,127.31,1.68,,2.04,51.62,,51.58,31.56,8.79,23.94,30.11,2.14,0.74,19-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
19-Jul-2018 - 00:00,32.97,976.8,68.81,28.52,71.17,168.82,135.21,1.59,,1.47,47.44,,38.97,26.94,6.32,19.49,47.19,4.93,0.62,20-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
20-Jul-2018 - 00:00,29.97,976.17,61.81,33.12,84.86,81.45,240.05,1.14,,2.64,56.27,,31.13,38.51,7.23,26.39,25.06,2.16,0.88,21-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
21-Jul-2018 - 00:00,29.99,976.57,79.14,45.23,85.11,89.89,152.9,0.97,,2.9,53.97,,37.92,39.69,14.13,32.68,32.0,4.39,0.98,22-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
22-Jul-2018 - 00:00,28.9,977.23,37.15,21.41,90.22,112.97,130.27,1.26,,1.34,50.82,,31.92,28.46,6.22,20.22,14.96,1.79,0.72,23-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
23-Jul-2018 - 00:00,31.21,976.93,62.74,27.82,77.03,159.95,152.51,1.84,,1.67,41.72,,38.95,35.01,12.23,28.59,21.32,7.45,0.79,24-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
24-Jul-2018 - 00:00,32.69,977.46,73.28,30.58,70.36,150.38,144.4,1.2,,1.7,45.75,,39.69,35.52,6.97,24.57,44.99,4.69,0.76,25-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
25-Jul-2018 - 00:00,29.88,976.82,63.92,28.99,85.4,61.51,226.3,1.44,,1.22,46.77,,31.98,34.75,10.76,27.26,16.16,7.86,0.74,26-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
26-Jul-2018 - 00:00,27.47,976.67,40.76,24.96,95.36,42.01,291.0,1.7,,1.77,48.92,,33.66,30.22,10.57,24.73,10.21,2.57,0.7,27-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
27-Jul-2018 - 00:00,27.21,975.76,27.26,19.4,95.21,60.51,305.2,1.58,,2.42,56.08,,27.2,28.23,7.78,21.36,10.9,3.22,0.69,28-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
28-Jul-2018 - 00:00,28.16,976.04,48.12,31.4,89.97,105.68,299.22,2.51,,1.68,43.91,,27.66,19.75,3.87,13.66,23.47,4.99,0.57,29-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
29-Jul-2018 - 00:00,32.83,976.55,136.55,69.65,70.81,228.43,281.61,2.19,,1.3,41.78,,36.26,23.01,8.01,18.78,36.61,1.55,0.68,30-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
30-Jul-2018 - 00:00,30.38,976.61,108.26,32.56,78.09,162.49,279.78,1.91,,1.14,40.43,,32.14,26.04,10.76,22.63,27.8,2.78,0.62,31-Jul-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
31-Jul-2018 - 00:00,30.75,975.87,159.73,41.47,72.9,87.73,247.52,1.98,,1.43,44.94,,35.11,33.96,7.98,24.56,24.57,2.32,0.67,01-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
01-Aug-2018 - 00:00,31.26,976.35,199.99,44.97,69.32,160.39,273.59,2.04,,1.24,40.73,,32.84,30.73,22.11,34.39,23.46,3.89,0.71,02-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
02-Aug-2018 - 00:00,32.29,977.61,276.04,58.71,61.77,169.21,277.53,2.64,,1.09,37.93,,31.25,27.11,15.39,26.98,20.62,2.12,0.58,03-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
03-Aug-2018 - 00:00,31.92,978.14,270.96,61.68,59.59,113.0,273.93,2.58,,1.02,37.65,,28.01,28.89,16.16,28.54,15.91,4.05,0.59,04-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
04-Aug-2018 - 00:00,32.09,977.86,294.02,69.95,58.66,138.76,256.06,1.99,,0.96,41.87,,26.42,31.39,14.67,28.67,18.51,6.75,0.54,05-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
05-Aug-2018 - 00:00,30.15,978.19,264.56,59.72,71.58,68.25,209.28,2.09,,1.16,49.14,,25.33,24.33,10.81,21.78,10.5,2.57,0.59,06-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
06-Aug-2018 - 00:00,28.37,978.63,140.99,54.36,84.41,57.3,135.71,1.07,,1.87,57.55,,50.77,29.12,13.0,26.08,24.34,6.78,0.77,07-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
07-Aug-2018 - 00:00,29.03,978.51,102.47,41.91,83.17,106.05,148.25,1.1,,1.85,58.13,,38.66,31.11,16.7,30.17,24.65,6.37,0.81,08-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
08-Aug-2018 - 00:00,30.71,979.07,74.53,26.26,77.78,144.41,118.46,1.69,,2.07,53.37,,39.79,30.89,14.73,28.45,25.18,5.28,0.87,09-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
09-Aug-2018 - 00:00,32.25,981.43,94.05,31.54,69.84,151.48,102.47,1.99,,1.78,54.3,,41.36,30.07,11.52,25.4,29.4,3.56,0.75,10-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
10-Aug-2018 - 00:00,31.07,980.13,94.72,40.34,79.52,86.28,191.13,0.9,,3.0,57.37,,33.22,52.41,36.69,57.91,36.34,5.27,1.26,11-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
11-Aug-2018 - 00:00,32.14,976.31,98.55,29.04,72.38,151.86,267.41,2.24,,1.57,49.03,,44.58,31.78,20.62,33.73,25.02,3.65,0.7,12-Aug-2018 - 00:00,"Jawaharlal Nehru Stadium, Delhi - DPCC"
