from date,PM10,O Xylene,WD,RH,SR,NO,NO2,NOx,Ozone,Temp,CO,WS,RF,PM2.5,NH3,SO2,Benzene,Toluene,MP-Xylene,Eth-Benzene,to date,station
31-Mar-2018 - 00:00,,,125.35,43.47,119.82,5.73,1.07,5.01,,31.6,,0.42,0.0,142.57,7.91,,,,,,01-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
01-Apr-2018 - 00:00,,,127.94,41.28,125.13,6.09,1.1,5.01,,33.09,,0.38,0.0,58.81,8.57,,,,,,02-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
02-Apr-2018 - 00:00,,,130.24,40.98,129.2,5.66,1.29,4.94,,34.31,,0.37,0.0,71.47,7.93,,,,,,03-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
03-Apr-2018 - 00:00,,,131.5,38.94,121.49,6.14,1.28,5.32,,35.67,,0.37,0.0,85.1,8.71,,,,,,04-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
04-Apr-2018 - 00:00,,,119.77,39.39,114.65,6.09,1.43,5.6,,36.37,,0.22,0.0,90.19,8.49,,,,,,05-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
05-Apr-2018 - 00:00,,,192.65,39.89,108.0,5.16,1.44,4.58,,36.56,,0.23,0.0,167.79,8.61,,,,,,06-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
06-Apr-2018 - 00:00,,,133.84,42.68,80.16,5.16,1.39,4.47,,33.87,,0.36,0.0,145.59,8.18,,,,,,07-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
07-Apr-2018 - 00:00,,,143.85,57.06,231.79,4.67,1.18,3.63,,30.37,,0.41,0.0,33.15,8.17,,,,,,08-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
09-Apr-2018 - 00:00,,,,0.0,0.66,,,,0.0,,2.25,0.0,,,,0.0,,,,,10-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
10-Apr-2018 - 00:00,,,,14.93,151.93,,7.99,16.91,70.13,,2.65,0.0,,,7.67,4.38,,,,,11-Apr-2018 - 00:00,"Sirifort, Delhi - CPCB"
