from date,SR,BP,PM10,Temp,WD,VWS,WS,RH,CO,Ozone,NO2,NO,NH3,Benzene,SO2,to date,station
03-Jun-2018 - 00:00,,,106.06,29.02,,-2.03,,83.22,0.49,33.39,7.72,15.34,8.0,0.0,62.97,04-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Jun-2018 - 00:00,123.27,,150.43,29.96,,-2.27,,80.19,0.44,14.6,8.49,15.35,7.56,0.0,76.71,05-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Jun-2018 - 00:00,253.08,,167.84,29.8,,-2.43,,83.6,0.37,11.92,7.18,14.76,8.01,0.0,55.47,06-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Jun-2018 - 00:00,301.07,,135.67,31.57,,-2.61,,74.0,0.35,17.93,7.41,14.77,7.97,0.0,55.29,07-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Jun-2018 - 00:00,301.82,,153.74,31.42,,-2.48,,79.68,0.38,79.44,7.57,15.02,7.78,0.0,32.62,08-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Jun-2018 - 00:00,135.92,,105.01,27.71,,-2.52,,94.9,0.44,55.1,6.74,15.29,8.13,0.0,33.19,09-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Jun-2018 - 00:00,,,,,,,,,,,,,,,,10-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Jun-2018 - 00:00,,,,,,,,,,,,,,,,11-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Jun-2018 - 00:00,,,,,,,,,,,,,,,,12-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Jun-2018 - 00:00,,,,,,,,,,,,,,,,13-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Jun-2018 - 00:00,,,,,,,,,,,,,,,,14-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Jun-2018 - 00:00,89.45,,,35.38,,-3.98,,53.85,3.75,,10.76,8.81,5.92,0.0,,15-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Jun-2018 - 00:00,991.3,,151.22,37.91,,-2.52,,33.25,0.93,41.08,7.54,11.2,6.27,0.0,131.49,16-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Jun-2018 - 00:00,,,,,,,,,,,,,,,,17-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Jun-2018 - 00:00,,,,,,,,,,,,,,,,18-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Jun-2018 - 00:00,,,,,,,,,,,,,,,,19-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Jun-2018 - 00:00,,,,,,,,,,,,,,,,20-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Jun-2018 - 00:00,,,,,,,,,,,,,,,,21-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Jun-2018 - 00:00,,,,,,,,,,,,,,,,22-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Jun-2018 - 00:00,,,,,,,,,,,,,,,,23-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Jun-2018 - 00:00,,,,,,,,,,,,,,,,24-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Jun-2018 - 00:00,,,,,,,,,,,,,,,,25-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Jun-2018 - 00:00,,,,,,,,,,,,,,,,26-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Jun-2018 - 00:00,,,,,,,,,,,,,,,,27-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Jun-2018 - 00:00,,,,,,,,,,,,,,,,28-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Jun-2018 - 00:00,,,,,,,,,,,,,,,,29-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Jun-2018 - 00:00,,,,,,,,,,,,,,,,30-Jun-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Jun-2018 - 00:00,,,,,,,,,,,,,,,,01-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Jul-2018 - 00:00,,,,,,,,,,,,,,,,02-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Jul-2018 - 00:00,,,,,,-6.5,,,0.0,,,,,0.0,,03-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Jul-2018 - 00:00,46.05,,90.71,28.41,,-2.32,,87.22,0.11,9.83,6.63,5.94,6.51,0.0,21.94,04-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Jul-2018 - 00:00,148.24,,48.53,26.35,,-2.21,,98.97,0.44,7.34,6.33,6.25,6.54,0.0,25.72,05-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Jul-2018 - 00:00,129.58,,70.29,26.81,,-2.04,,98.53,0.34,5.92,6.11,6.55,6.56,0.0,22.17,06-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Jul-2018 - 00:00,200.14,,161.47,28.54,,-2.03,,92.75,0.35,9.45,6.83,6.57,6.59,0.0,31.15,07-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Jul-2018 - 00:00,287.91,,112.25,30.41,,-2.0,,81.98,0.29,7.82,6.78,6.39,6.57,0.0,24.06,08-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Jul-2018 - 00:00,244.69,,95.04,29.55,,-2.06,,87.46,0.31,5.68,6.73,6.6,6.65,0.0,24.99,09-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Jul-2018 - 00:00,239.47,,81.54,28.38,,-2.03,,97.5,0.33,6.41,7.31,7.69,6.65,0.0,22.83,10-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Jul-2018 - 00:00,212.02,,86.65,28.21,,-2.08,,95.36,0.28,7.67,7.43,7.78,6.71,0.0,23.87,11-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Jul-2018 - 00:00,324.01,,101.32,30.15,,-2.04,,87.95,0.29,39.8,7.36,7.3,6.64,0.0,25.11,12-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Jul-2018 - 00:00,271.94,,100.39,29.57,,-2.06,,90.12,0.29,15.2,7.13,7.4,6.72,0.0,25.7,13-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Jul-2018 - 00:00,288.84,,87.54,29.88,,-2.06,,86.18,0.31,5.41,7.01,7.43,6.68,0.0,19.72,14-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Jul-2018 - 00:00,276.56,,66.23,29.72,,-2.07,,89.53,0.28,4.81,7.11,7.39,6.63,0.0,21.53,15-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Jul-2018 - 00:00,256.29,,69.48,28.76,,-2.11,,93.77,0.33,12.9,7.33,7.41,6.66,0.0,30.37,16-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Jul-2018 - 00:00,231.11,,69.74,28.11,,-2.12,,97.72,0.35,18.11,7.5,7.47,6.63,0.0,26.53,17-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Jul-2018 - 00:00,181.3,,60.87,28.37,,-2.14,,96.1,0.33,17.18,7.46,7.23,6.62,0.0,21.96,18-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Jul-2018 - 00:00,263.69,,87.49,29.16,,-2.12,,91.68,0.31,37.85,7.12,7.13,6.63,0.0,21.65,19-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Jul-2018 - 00:00,283.36,,116.9,31.03,,-2.15,,83.18,0.33,27.17,7.63,7.48,6.65,0.0,19.71,20-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Jul-2018 - 00:00,207.36,,113.66,29.69,,-2.06,,90.32,0.35,8.46,7.23,7.21,6.66,0.0,31.8,21-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Jul-2018 - 00:00,239.47,,66.74,28.65,,-2.04,,95.7,0.37,6.0,7.23,7.05,6.59,0.0,24.72,22-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Jul-2018 - 00:00,81.04,,48.19,26.08,,-2.27,,99.45,0.46,5.55,7.46,7.14,6.59,0.0,27.75,23-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Jul-2018 - 00:00,125.5,,56.39,26.61,,-1.99,,99.45,0.31,4.8,7.26,7.11,6.62,0.0,28.32,24-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Jul-2018 - 00:00,153.99,,75.41,27.8,,-2.13,,97.7,0.33,10.48,6.8,7.21,6.65,0.0,19.3,25-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Jul-2018 - 00:00,301.16,,81.89,28.04,,-2.27,,94.09,0.43,10.12,6.75,7.0,6.71,0.0,30.32,26-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Jul-2018 - 00:00,87.96,,60.14,25.66,,-2.16,,99.46,0.37,50.49,7.15,7.23,6.62,0.0,28.75,27-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Jul-2018 - 00:00,105.48,,54.34,25.47,,-2.15,,99.46,0.26,22.25,7.08,7.05,6.59,0.0,22.96,28-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Jul-2018 - 00:00,135.72,,91.38,26.55,,-2.13,,99.46,0.3,8.35,7.0,7.13,6.71,0.0,20.35,29-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Jul-2018 - 00:00,17.54,,115.54,25.9,,-2.16,,99.47,0.38,15.15,7.01,7.28,6.61,0.0,19.69,30-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Jul-2018 - 00:00,88.28,,184.47,27.2,,-1.86,,99.3,0.38,9.73,7.18,6.56,6.76,0.0,30.27,31-Jul-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
31-Jul-2018 - 00:00,179.93,,81.52,25.92,,-1.77,,99.39,0.4,20.86,7.09,7.06,6.61,0.0,28.55,01-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Aug-2018 - 00:00,107.6,,86.69,25.8,,-1.64,,99.46,0.32,15.69,7.06,6.95,6.6,0.0,23.19,02-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Aug-2018 - 00:00,124.55,,70.58,26.16,,-1.53,,99.46,0.33,13.79,6.87,6.74,6.62,0.0,15.59,03-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Aug-2018 - 00:00,110.96,,82.13,25.67,,-1.11,,99.46,0.24,16.55,6.75,6.93,6.68,0.0,15.84,04-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Aug-2018 - 00:00,145.1,,136.03,26.83,,-1.62,,99.47,0.36,14.55,6.86,7.02,6.6,0.0,13.55,05-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Aug-2018 - 00:00,180.63,,196.32,28.32,,-2.33,,98.81,0.32,15.28,6.8,7.07,6.63,0.0,24.86,06-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Aug-2018 - 00:00,104.49,,115.07,26.05,,-2.22,,99.47,0.34,11.97,6.93,7.03,6.61,0.0,17.62,07-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Aug-2018 - 00:00,176.57,,108.0,27.35,,-2.25,,99.48,0.33,43.5,7.13,7.08,6.66,0.0,22.58,08-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Aug-2018 - 00:00,203.89,,106.29,27.01,,-2.35,,99.44,0.35,9.66,7.25,6.96,6.64,0.0,28.17,09-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Aug-2018 - 00:00,232.03,,109.49,28.15,,-2.4,,95.59,0.37,4.83,7.19,7.27,6.63,0.0,28.09,10-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Aug-2018 - 00:00,215.17,,117.77,29.2,,-2.51,,93.37,0.46,5.64,7.06,7.16,6.62,0.0,41.85,11-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Aug-2018 - 00:00,240.54,,120.37,28.88,,-2.59,,95.22,0.44,4.99,7.34,7.01,6.58,0.0,33.49,12-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Aug-2018 - 00:00,200.95,,117.87,29.3,,-2.55,,92.37,0.41,4.45,7.09,7.03,6.62,0.0,40.77,13-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Aug-2018 - 00:00,149.94,,150.27,28.71,,-2.67,,95.82,0.41,3.56,7.64,7.06,6.56,0.0,31.59,14-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Aug-2018 - 00:00,160.89,,118.2,28.49,,-2.53,,98.78,0.35,4.5,7.31,6.95,6.61,0.0,35.05,15-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Aug-2018 - 00:00,156.98,,114.34,27.82,,-2.54,,98.22,0.4,4.22,7.37,6.94,6.6,0.0,37.51,16-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Aug-2018 - 00:00,227.03,,99.33,27.68,,-2.58,,98.53,0.38,19.44,7.51,6.88,6.6,0.0,43.92,17-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Aug-2018 - 00:00,249.34,,121.06,29.2,,-2.8,,91.11,0.44,23.15,7.26,7.14,6.61,0.0,52.13,18-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Aug-2018 - 00:00,308.44,,161.25,30.46,,-2.93,,85.74,0.46,5.68,10.56,7.46,7.1,0.0,35.87,19-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Aug-2018 - 00:00,172.1,,191.03,29.38,,-2.96,,91.18,0.39,5.73,8.78,7.32,6.63,0.0,67.22,20-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Aug-2018 - 00:00,264.88,,87.31,27.95,,-2.79,,99.23,0.46,30.58,7.5,7.08,6.65,0.0,58.33,21-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Aug-2018 - 00:00,199.64,,86.3,28.64,,-3.28,,98.03,0.65,100.68,7.71,7.27,6.55,0.0,69.1,22-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Aug-2018 - 00:00,218.05,,114.91,29.04,,-2.93,,93.18,0.44,23.84,7.27,7.04,6.6,0.0,54.9,23-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Aug-2018 - 00:00,207.67,,128.43,28.77,,-2.82,,93.71,0.43,20.81,6.96,6.97,6.62,0.0,52.6,24-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Aug-2018 - 00:00,126.3,,146.1,28.48,,-2.7,,95.87,0.35,20.87,7.24,7.01,6.57,0.0,29.44,25-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Aug-2018 - 00:00,192.15,,152.3,27.96,,-2.61,,94.69,0.39,22.36,7.08,6.92,6.59,0.0,33.88,26-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Aug-2018 - 00:00,247.39,,141.32,28.96,,-2.76,,93.71,0.42,16.31,7.28,6.77,6.54,0.0,45.14,27-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Aug-2018 - 00:00,208.82,,95.3,27.87,,-2.72,,98.7,0.36,14.58,7.34,7.0,6.59,0.0,37.33,28-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Aug-2018 - 00:00,171.47,,102.36,27.36,,-2.68,,99.51,0.34,68.13,7.36,7.1,6.62,0.0,28.57,29-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Aug-2018 - 00:00,287.61,,102.3,29.11,,-2.94,,92.64,0.43,20.53,7.29,7.28,6.57,0.0,52.67,30-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Aug-2018 - 00:00,228.97,,147.65,28.31,,-2.87,,95.2,0.46,5.92,7.17,7.05,6.59,0.0,50.53,31-Aug-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
31-Aug-2018 - 00:00,233.57,,144.96,28.6,,-2.91,,98.43,0.47,8.24,7.62,8.65,6.67,0.0,48.52,01-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Sep-2018 - 00:00,197.31,,120.06,28.07,,-2.79,,98.07,0.4,46.86,6.94,6.98,6.67,0.0,41.64,02-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Sep-2018 - 00:00,40.22,,98.46,24.99,,-2.4,,99.5,0.37,30.78,7.03,6.97,6.6,0.0,18.77,03-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Sep-2018 - 00:00,227.17,,69.46,27.06,,-2.83,,98.22,0.29,13.59,7.12,7.14,6.58,0.0,42.22,04-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Sep-2018 - 00:00,153.31,,107.53,27.74,,-2.79,,94.11,0.0,14.53,6.92,7.1,6.57,0.0,29.43,05-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Sep-2018 - 00:00,126.0,,87.22,26.52,,-2.71,,98.16,0.0,19.98,7.12,7.1,6.62,0.0,30.92,06-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Sep-2018 - 00:00,174.74,,82.4,26.37,,-2.74,,99.24,0.0,13.76,7.29,7.13,6.61,0.0,36.86,07-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Sep-2018 - 00:00,200.75,,72.32,26.6,,-2.87,,99.15,0.0,12.87,7.08,7.1,6.65,0.0,33.86,08-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Sep-2018 - 00:00,9.85,,94.43,25.65,,-0.16,,99.52,0.0,18.94,7.75,7.35,6.39,0.0,,09-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Sep-2018 - 00:00,,,,,,,,,,,,,,,,10-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Sep-2018 - 00:00,,,,,,,,,,,,,,,,11-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Sep-2018 - 00:00,,,,,,,,,,,,,,,,12-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Sep-2018 - 00:00,,,,,,,,,,,,,,,,13-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Sep-2018 - 00:00,,,,,,,,,,,,,,,,14-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Sep-2018 - 00:00,,,,,,,,,,,,,,,,15-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Sep-2018 - 00:00,,,,,,,,,,,,,,,,16-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Sep-2018 - 00:00,,,,,,,,,,,,,,,,17-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Sep-2018 - 00:00,,,,,,,,,,,,,,,,18-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Sep-2018 - 00:00,,,,,,,,,,,,,,,,19-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Sep-2018 - 00:00,,,,,,,,,,,,,,,,20-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Sep-2018 - 00:00,,,,,,,,,,,,,,,,21-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Sep-2018 - 00:00,,,,,,,,,,,,,,,,22-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Sep-2018 - 00:00,,,,,,,,,,,,,,,,23-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Sep-2018 - 00:00,,,,,,,,,,,,,,,,24-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Sep-2018 - 00:00,268.4,,171.52,30.97,,-0.44,,69.73,0.0,22.71,7.88,6.59,6.61,0.0,,25-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Sep-2018 - 00:00,,,,,,,,,,,,,,,,26-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Sep-2018 - 00:00,,,,,,,,,,,,,,,,27-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Sep-2018 - 00:00,,,,,,,,,,,,,,,,28-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Sep-2018 - 00:00,,,,,,,,,,,,,,,,29-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Sep-2018 - 00:00,,,,,,,,,,,,,,,,30-Sep-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
30-Sep-2018 - 00:00,,,,,,,,,,,,,,,,01-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
01-Oct-2018 - 00:00,,,,,,,,,,,,,,,,02-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
02-Oct-2018 - 00:00,,,,,,,,,,,,,,,,03-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
03-Oct-2018 - 00:00,333.7,,219.22,31.26,,-3.71,,49.27,0.0,35.91,7.69,6.71,6.52,0.0,,04-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
04-Oct-2018 - 00:00,201.08,,309.67,29.44,,-2.13,,75.32,0.0,21.99,7.43,7.15,6.55,0.0,,05-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
05-Oct-2018 - 00:00,237.74,,343.88,31.18,,-1.89,,72.89,0.0,22.26,7.69,7.14,6.52,0.0,,06-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
06-Oct-2018 - 00:00,289.5,,308.94,33.25,,-1.93,,66.91,0.0,24.61,7.44,7.0,6.57,0.0,,07-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
07-Oct-2018 - 00:00,7.49,,299.53,28.33,,-0.13,,82.05,0.0,14.87,7.85,6.46,6.44,0.0,,08-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
08-Oct-2018 - 00:00,170.83,,380.2,32.91,,-1.5,,45.12,0.0,43.97,7.98,7.21,6.4,0.0,,09-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
09-Oct-2018 - 00:00,246.37,,356.08,31.35,,-1.89,,65.38,0.0,18.03,7.68,7.25,6.55,0.0,,10-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
10-Oct-2018 - 00:00,120.89,,331.29,31.94,,-2.0,,82.85,0.0,16.31,7.75,7.27,6.53,0.0,,11-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
11-Oct-2018 - 00:00,103.85,,101.76,29.13,,-1.92,,99.34,0.0,9.27,7.56,6.98,6.58,0.0,,12-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
12-Oct-2018 - 00:00,66.71,,137.58,28.13,,-1.77,,99.52,0.0,9.4,7.62,7.42,6.59,0.0,,13-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
13-Oct-2018 - 00:00,193.27,,134.39,28.62,,-1.9,,91.67,0.0,15.56,7.59,7.38,6.53,0.0,,14-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
14-Oct-2018 - 00:00,327.8,,118.6,29.05,,-1.78,,81.11,0.0,20.05,6.97,7.09,6.56,0.0,,15-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
15-Oct-2018 - 00:00,,,,,,,,,,,,,,,,16-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
16-Oct-2018 - 00:00,,,379.47,,,-10.0,,,0.0,55.29,7.68,6.92,6.61,0.0,,17-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
17-Oct-2018 - 00:00,,,289.62,,,-9.89,,,0.0,35.53,7.26,6.81,6.56,0.0,,18-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
18-Oct-2018 - 00:00,,,292.04,,,-10.0,,,0.0,26.51,7.19,7.16,6.6,0.0,,19-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
19-Oct-2018 - 00:00,,,285.56,,,-10.0,,,0.0,30.5,6.99,7.19,6.6,0.0,,20-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
20-Oct-2018 - 00:00,,,219.38,,,-9.89,,,0.0,30.09,6.92,6.9,6.58,0.0,,21-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
21-Oct-2018 - 00:00,,,293.18,,,-9.89,,,0.0,27.02,7.12,7.02,6.59,0.0,,22-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
22-Oct-2018 - 00:00,,,393.4,,,-9.89,,,0.0,27.66,7.05,6.97,6.59,0.0,,23-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
23-Oct-2018 - 00:00,,,372.29,,,-10.0,,,0.0,26.04,6.92,6.93,6.64,0.0,,24-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
24-Oct-2018 - 00:00,,,269.51,,,-10.0,,,0.0,31.38,6.95,6.98,6.61,0.0,,25-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
25-Oct-2018 - 00:00,,,260.46,,,-10.0,,,0.0,29.55,7.29,6.88,6.68,0.0,,26-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
26-Oct-2018 - 00:00,,,303.7,,,-9.79,,,0.0,31.56,7.34,6.86,6.59,0.0,,27-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
27-Oct-2018 - 00:00,,,260.19,,,-10.0,,,0.0,22.66,7.29,7.31,6.65,0.0,,28-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
28-Oct-2018 - 00:00,,,255.65,,,-10.0,,,0.0,25.04,7.18,7.07,6.58,0.0,,29-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
29-Oct-2018 - 00:00,,,273.22,,,-10.0,,,0.0,23.5,7.2,7.15,6.66,0.0,,30-Oct-2018 - 00:00,"Tata Stadium, Jorapokhar - JSPCB"
