from date,MP-Xylene,Benzene,Toluene,O Xylene,NO,NO2,NOx,NH3,WS,SO2,CO,PM10,PM2.5,Ozone,Eth-Benzene,BP,RH,SR,VWS,WD,to date,station
26-Jan-2018 - 00:00,1.34,0.06,4.07,0.0,34.5,70.6,74.57,24.78,0.86,9.68,0.0,180.4,105.97,0.0,0.0,762.44,40.54,158.3,-0.0,106.89,27-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
27-Jan-2018 - 00:00,1.12,0.42,2.06,0.46,35.4,69.64,75.52,25.28,0.94,10.42,0.01,70.36,95.82,0.0,0.25,762.56,42.74,174.57,-0.0,101.39,28-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
28-Jan-2018 - 00:00,0.0,0.0,0.39,0.0,35.93,71.25,74.51,24.41,0.93,9.91,0.0,39.18,93.17,0.0,0.0,762.52,45.91,163.76,-0.0,84.66,29-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
29-Jan-2018 - 00:00,3.11,0.92,5.85,0.0,34.58,69.71,75.77,24.79,0.86,11.35,0.0,95.17,70.87,0.0,0.0,762.58,29.29,171.64,0.0,111.79,30-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
30-Jan-2018 - 00:00,4.39,0.84,8.32,0.42,34.93,70.46,75.13,24.89,0.84,10.93,0.01,301.08,148.21,0.0,0.2,762.48,37.27,156.75,0.0,119.55,31-Jan-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
31-Jan-2018 - 00:00,0.73,0.0,1.91,0.0,35.52,70.85,75.86,24.99,0.83,9.83,0.01,163.61,81.26,0.0,0.0,762.64,28.98,173.86,-0.0,151.99,01-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
01-Feb-2018 - 00:00,3.85,0.53,7.83,0.56,25.5,47.95,48.34,25.4,0.79,12.17,0.47,186.48,172.83,0.22,0.18,762.48,29.05,154.83,0.0,112.97,02-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
02-Feb-2018 - 00:00,0.55,0.06,1.37,0.24,19.99,29.64,27.57,24.93,0.93,9.92,0.33,116.52,99.65,0.0,0.05,762.59,30.23,173.7,-0.0,124.2,03-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
03-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,19.88,30.04,28.18,24.88,0.94,11.45,0.41,124.48,57.72,0.0,0.0,762.48,33.85,162.74,0.01,87.33,04-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
04-Feb-2018 - 00:00,0.0,0.0,0.08,0.0,19.76,29.79,27.9,25.19,0.95,12.3,0.38,123.69,69.6,0.0,0.0,762.46,29.05,156.0,-0.0,85.54,05-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
05-Feb-2018 - 00:00,0.0,0.0,0.04,0.0,19.8,29.91,27.87,25.11,1.06,11.43,0.31,125.72,78.89,0.0,0.0,762.42,28.56,151.87,0.0,66.2,06-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
06-Feb-2018 - 00:00,0.0,0.0,0.04,0.0,19.96,29.87,28.09,24.79,0.98,14.18,0.31,112.48,64.67,0.0,0.0,762.33,24.31,143.3,0.01,68.61,07-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
07-Feb-2018 - 00:00,0.72,0.0,2.05,0.0,20.06,29.8,27.55,25.07,0.93,15.58,0.0,120.29,78.97,,0.0,762.46,23.79,151.41,0.0,97.28,08-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
08-Feb-2018 - 00:00,0.04,0.0,0.71,0.0,20.05,29.77,27.87,24.92,1.01,12.97,,119.56,78.91,,0.0,762.39,25.12,147.64,-0.0,80.64,09-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
09-Feb-2018 - 00:00,0.89,0.0,1.94,0.0,17.33,24.61,22.88,21.36,0.89,13.64,2.35,129.54,86.7,,0.0,762.41,25.34,150.89,-0.0,99.3,10-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
10-Feb-2018 - 00:00,0.8,0.85,0.93,0.78,15.15,20.06,18.01,18.14,1.11,12.26,0.31,125.51,85.96,,0.74,762.37,28.0,148.12,-0.0,64.41,11-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
11-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,15.02,20.05,17.86,17.96,1.14,10.79,0.2,148.61,66.76,,0.0,762.31,36.6,146.26,-0.0,70.82,12-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
12-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,9.28,11.96,5.72,17.38,0.99,10.77,0.24,95.86,39.97,,0.0,762.66,42.82,178.6,-0.0,110.7,13-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
13-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,15.02,18.07,17.08,20.03,0.97,10.23,0.35,95.04,80.3,,0.0,762.45,57.16,151.14,0.0,97.38,14-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
14-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,14.78,18.05,17.02,19.79,0.86,10.91,0.34,87.03,56.87,,0.0,762.54,35.96,157.34,-0.0,109.4,15-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
15-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,9.25,10.48,11.71,16.87,0.8,11.89,1.56,111.04,65.41,,0.0,762.59,36.92,162.26,0.0,123.38,16-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
16-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,3.61,3.61,6.26,13.37,0.86,10.65,1.79,148.06,111.73,,0.0,762.54,36.36,159.15,-0.0,115.62,17-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
17-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,4.12,3.73,7.1,13.58,0.92,10.76,1.65,158.99,116.92,,0.0,762.54,33.66,163.94,-0.0,123.25,18-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
18-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,4.19,4.27,7.52,15.06,0.93,9.78,0.43,146.38,94.31,,0.0,762.5,31.46,163.31,-0.0,87.36,19-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
19-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,5.16,5.15,9.22,15.19,1.05,11.31,1.54,132.3,82.45,,0.0,762.48,30.57,160.82,-0.0,82.96,20-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
20-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,6.64,14.98,15.55,17.01,0.9,11.47,1.73,151.43,96.35,,0.0,762.12,32.29,116.11,-0.0,76.39,21-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
21-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,12.04,34.68,31.92,17.85,0.82,11.47,1.74,163.0,119.9,,0.0,762.49,30.68,160.76,-0.0,84.28,22-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
22-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,11.96,34.04,30.78,17.47,,12.08,1.99,184.35,109.82,,0.0,762.52,30.74,162.4,-0.0,,23-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
23-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,14.29,36.54,33.08,18.66,,9.74,1.51,211.27,153.94,,0.0,762.58,30.97,161.8,-0.0,,24-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
24-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,15.02,39.82,35.17,22.25,,10.03,0.74,157.26,84.13,,0.0,762.58,31.24,164.61,-0.0,,25-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
25-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,15.09,39.84,34.92,21.64,,9.66,1.38,112.03,55.25,,0.0,762.64,33.48,165.63,0.0,,26-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
26-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,14.72,40.18,35.23,21.95,0.33,10.45,0.9,108.81,49.5,,0.0,762.61,32.92,161.71,0.0,143.79,27-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
27-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,15.15,39.58,35.61,21.49,0.28,11.12,0.92,143.11,74.54,58.08,0.0,762.4,33.51,160.01,-0.0,112.97,28-Feb-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
28-Feb-2018 - 00:00,0.0,0.0,0.0,0.0,15.0,39.85,34.72,22.06,0.33,10.22,0.86,133.53,59.66,139.65,0.0,762.51,36.76,159.07,-0.0,87.63,01-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
01-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,14.92,40.16,35.02,21.89,0.35,10.35,0.39,128.57,64.1,187.45,0.0,762.4,37.21,146.03,-0.0,87.57,02-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
02-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,15.07,39.87,34.9,22.17,0.28,11.26,0.64,114.79,63.04,62.91,0.0,762.62,28.39,169.54,0.0,120.5,03-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
03-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,14.97,40.14,34.56,21.84,0.34,10.35,0.76,119.68,52.87,64.84,0.0,762.6,26.1,168.84,-0.01,130.67,04-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
04-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,15.02,40.06,35.23,21.91,0.32,9.77,0.95,139.21,58.83,64.63,0.0,762.55,36.07,162.8,-0.0,114.38,05-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
05-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,14.99,39.6,35.19,22.12,0.27,10.72,0.86,72.59,37.43,69.95,0.0,762.65,35.11,173.88,-0.0,112.84,06-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
06-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,14.91,39.93,34.7,21.73,0.29,11.65,0.75,85.43,42.24,68.68,0.0,762.71,27.81,177.34,-0.0,117.49,07-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
07-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,15.05,39.71,34.69,22.08,0.32,11.0,0.77,95.59,54.88,,0.0,762.58,25.29,162.26,-0.0,113.6,08-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
08-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,15.02,39.7,35.08,22.02,0.37,10.63,0.62,78.21,37.25,,0.0,762.26,20.64,118.76,-0.01,82.08,09-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
09-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,15.09,39.31,35.12,22.22,0.39,10.33,0.54,90.11,45.67,,0.0,762.76,25.78,188.81,-0.0,70.71,10-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
10-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,14.96,39.73,35.1,22.09,0.38,10.81,1.02,83.37,41.96,,0.0,762.73,18.53,188.34,-0.0,93.39,11-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
11-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,15.04,40.18,34.86,22.09,0.36,10.84,0.44,94.44,49.17,,0.0,762.48,22.18,151.65,-0.0,99.25,12-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
12-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,13.28,37.34,35.2,19.61,0.34,9.91,1.68,109.66,52.19,38.95,0.0,762.29,22.32,125.57,-0.0,100.25,13-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
13-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,10.0,29.97,35.27,14.98,0.29,11.91,2.38,128.68,63.02,10.65,0.0,762.23,18.9,116.34,-0.0,112.92,14-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
14-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,10.01,30.02,34.75,15.0,0.34,11.77,0.64,132.37,46.13,2.54,0.0,762.05,19.46,97.13,-0.01,136.79,15-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
15-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,10.04,30.05,35.0,15.01,0.29,11.02,0.55,153.63,53.52,1.88,0.0,762.2,32.66,115.69,-0.0,139.48,16-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
16-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,10.02,29.97,35.19,15.02,0.25,11.66,0.74,121.4,51.45,,0.0,762.26,20.62,129.64,-0.0,111.06,17-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
17-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,10.01,30.04,35.32,15.01,0.29,11.75,0.92,107.64,46.73,,0.0,762.15,22.97,110.21,-0.0,102.23,18-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
18-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,9.98,30.02,35.08,14.99,0.33,11.72,0.96,88.91,37.93,,0.0,762.17,20.48,110.96,-0.01,88.33,19-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
19-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,13.01,29.89,33.29,17.8,0.34,11.3,0.88,125.54,56.8,30.19,0.0,761.99,21.85,86.74,-0.0,81.17,20-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
20-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,14.99,29.91,31.91,19.9,0.34,10.34,0.97,92.67,47.07,6.1,0.0,762.12,28.29,104.31,-0.0,126.89,21-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
21-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,14.84,29.96,32.32,20.01,0.35,10.85,1.02,158.63,51.96,37.82,0.0,762.16,21.63,109.03,-0.01,140.33,22-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
22-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,15.09,29.98,32.06,20.04,0.32,10.66,0.98,121.68,49.7,70.06,0.0,762.13,35.36,109.99,-0.01,118.42,23-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
23-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,14.79,30.01,30.85,18.27,0.24,11.31,1.23,95.71,43.68,48.57,0.0,762.19,33.12,109.49,-0.0,129.26,24-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
24-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,15.49,26.77,28.99,15.48,0.28,10.84,1.25,106.46,68.1,6.32,0.0,762.01,27.42,86.09,-0.0,102.52,25-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
25-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,15.79,24.72,27.23,14.86,0.29,10.99,0.16,115.62,92.74,6.13,0.0,762.21,27.81,112.11,-0.01,107.8,26-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
26-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,16.1,25.27,27.65,14.93,0.28,12.54,3.72,172.84,70.96,10.28,0.0,762.3,14.6,117.03,-0.01,126.68,27-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
27-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,16.15,24.65,28.01,14.85,0.29,12.91,2.09,267.61,90.2,8.31,0.0,762.15,15.25,101.35,-0.0,115.84,28-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
28-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,16.02,25.16,27.84,14.99,0.3,7.28,1.36,177.7,55.86,18.55,0.0,777.63,11.58,344.82,-0.0,119.01,29-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
29-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,16.03,25.18,27.97,14.94,0.3,4.61,1.05,114.1,50.55,99.54,0.0,765.78,13.06,142.1,-0.0,128.15,30-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
30-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,15.95,25.21,27.83,15.0,0.31,1.43,0.89,164.25,68.78,86.4,0.0,798.19,16.27,,-0.01,128.15,31-Mar-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
31-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,16.52,25.83,27.53,15.37,0.33,0.92,0.23,113.58,38.75,110.48,0.0,800.53,10.98,,-0.01,124.11,01-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
02-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,15.98,24.99,28.33,15.01,0.48,11.73,0.66,153.82,61.83,84.77,0.0,773.55,19.6,428.15,-0.0,104.48,03-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
03-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,16.05,25.16,27.88,15.01,0.7,9.34,1.11,160.24,72.79,170.5,0.0,765.13,21.31,274.75,-0.0,112.71,04-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
04-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,15.54,25.24,27.24,15.05,0.55,9.79,1.1,172.52,77.97,128.53,0.0,763.52,16.17,223.5,-0.0,122.51,05-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
05-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,15.98,25.04,27.59,14.8,0.69,8.81,1.49,157.57,68.11,82.94,0.0,762.2,17.3,184.17,-0.0,98.71,06-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
06-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,15.96,25.28,27.93,15.11,0.68,8.53,1.24,157.08,64.49,106.91,0.0,762.08,25.54,178.81,-0.01,87.31,07-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
07-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,15.89,25.33,28.41,15.03,0.69,10.04,3.01,129.44,39.07,142.92,0.0,777.64,28.4,692.72,-0.0,106.86,08-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
08-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,16.14,24.73,27.91,14.84,0.71,10.07,2.42,126.89,62.0,76.04,0.0,780.7,37.19,769.33,-0.01,78.28,09-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
09-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,15.89,39.15,34.8,19.72,0.69,9.38,1.25,113.9,50.27,126.81,0.0,787.07,33.07,,-0.01,91.78,10-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
10-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,15.94,49.7,39.42,23.08,0.66,11.43,0.47,123.35,51.22,94.56,0.0,777.31,36.78,486.37,0.0,93.3,11-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
11-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,16.24,49.68,40.17,22.18,0.66,10.45,0.72,91.33,39.63,111.66,0.0,766.0,30.66,302.28,0.02,107.51,12-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
12-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,15.89,50.0,40.06,23.27,0.63,10.7,0.7,67.45,26.72,0.3,0.0,797.25,32.7,,-0.0,80.07,13-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
13-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,15.79,49.88,39.63,23.06,0.64,10.93,0.99,75.61,32.24,0.25,0.0,786.42,24.52,992.53,-0.0,77.99,14-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
14-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,16.15,50.68,39.99,22.68,0.65,11.56,0.81,98.78,43.57,0.64,0.0,794.52,16.5,75.05,-0.0,82.27,15-Apr-2018 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
