from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
25-Oct-2018 - 00:00,0.49,0.0,0.0,0.0,758.66,96.09,40.75,0.0,31.53,28.96,204.25,0.92,0.72,4.52,37.05,35.16,72.21,20.92,16.07,26-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
26-Oct-2018 - 00:00,1.25,0.18,0.33,0.1,761.09,155.73,50.43,0.0,33.39,28.84,266.23,1.15,0.86,4.44,24.27,36.95,59.05,18.5,9.08,27-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
27-Oct-2018 - 00:00,1.11,0.11,0.28,0.06,761.52,136.11,54.45,0.0,38.27,27.31,222.13,0.76,0.82,6.32,18.81,37.4,55.47,17.98,8.77,28-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
28-Oct-2018 - 00:00,0.78,0.44,1.82,1.25,760.52,126.01,50.92,0.0,38.31,27.0,185.91,0.73,0.95,6.97,19.12,38.14,57.16,17.66,9.9,29-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
29-Oct-2018 - 00:00,2.01,0.78,2.98,1.87,760.22,173.0,68.61,0.0,38.91,26.28,159.09,0.78,1.14,7.07,16.36,33.98,46.58,21.42,8.9,30-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
30-Oct-2018 - 00:00,2.22,0.09,0.33,0.18,760.32,195.2,80.74,0.0,36.66,26.06,156.65,0.79,1.18,9.44,14.74,28.33,41.39,22.38,7.44,31-Oct-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
31-Oct-2018 - 00:00,1.78,0.12,0.32,0.03,760.29,159.43,66.58,0.0,40.49,25.64,174.54,0.88,1.05,21.18,22.59,34.58,56.69,20.87,7.43,01-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
01-Nov-2018 - 00:00,3.91,0.18,0.29,0.0,760.63,167.69,69.56,0.0,41.65,26.23,191.12,0.71,1.0,13.47,8.03,28.84,36.09,24.21,8.09,02-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
02-Nov-2018 - 00:00,6.51,0.51,1.07,0.08,757.48,179.16,69.25,0.0,41.67,28.1,150.36,0.84,1.03,8.71,7.73,26.33,33.85,18.71,9.9,03-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
03-Nov-2018 - 00:00,2.78,0.07,0.1,0.0,755.9,109.2,38.33,0.0,41.42,29.78,233.58,0.91,0.72,12.66,5.08,18.29,23.19,31.04,7.42,04-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
04-Nov-2018 - 00:00,2.83,0.0,0.0,0.0,757.46,179.81,75.8,0.0,39.91,29.0,262.2,1.36,0.81,8.97,6.25,18.66,24.58,31.22,9.76,05-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
05-Nov-2018 - 00:00,3.63,0.14,0.24,0.0,760.63,147.49,56.48,0.0,29.04,26.99,206.46,0.88,0.8,8.22,9.17,19.63,28.81,25.16,12.14,06-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
06-Nov-2018 - 00:00,4.18,0.37,0.46,0.0,761.8,170.28,83.83,0.0,38.72,24.68,217.73,0.79,0.97,12.38,7.38,21.75,28.88,25.7,12.2,07-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
07-Nov-2018 - 00:00,4.92,0.69,1.41,0.26,761.88,216.76,131.36,0.0,36.49,25.6,182.77,0.77,1.06,11.33,20.84,22.3,43.1,28.94,14.4,08-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
08-Nov-2018 - 00:00,7.65,1.27,2.95,0.72,761.09,286.97,200.64,0.0,40.74,25.33,177.2,0.53,1.48,13.71,17.45,23.16,40.45,26.27,16.72,09-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
09-Nov-2018 - 00:00,6.27,0.9,2.62,0.61,760.62,267.89,143.11,0.0,38.59,26.2,159.68,0.57,1.18,13.84,10.75,24.43,35.16,24.03,18.41,10-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
10-Nov-2018 - 00:00,8.81,2.13,5.02,1.83,758.96,194.24,100.65,0.0,38.67,26.36,129.47,0.67,1.31,11.73,15.16,24.62,39.77,25.0,16.45,11-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
11-Nov-2018 - 00:00,7.54,2.25,6.54,2.53,761.63,204.03,92.68,0.0,36.95,27.35,140.93,0.66,1.09,14.93,15.21,23.17,38.01,26.28,12.96,12-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
12-Nov-2018 - 00:00,4.58,1.23,3.57,1.11,759.82,151.48,61.46,0.0,31.24,28.72,175.27,0.82,0.96,10.61,8.8,19.39,27.58,27.36,10.92,13-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
13-Nov-2018 - 00:00,5.31,1.21,3.68,1.0,757.09,167.66,62.62,0.0,33.68,30.52,144.32,0.99,0.98,10.7,8.81,25.38,34.18,27.25,15.88,14-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
14-Nov-2018 - 00:00,4.49,1.08,3.24,1.02,757.94,157.38,55.85,0.0,41.09,28.42,163.54,0.9,0.99,11.28,8.95,21.6,29.92,23.28,11.46,15-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
15-Nov-2018 - 00:00,2.39,0.15,0.57,0.06,761.48,147.74,58.7,0.0,43.04,27.13,283.42,1.04,0.83,11.74,6.13,15.71,21.82,23.79,11.42,16-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
16-Nov-2018 - 00:00,5.31,0.56,1.49,0.39,760.64,195.67,104.68,0.0,41.78,24.97,201.25,0.88,1.14,8.46,9.47,21.59,31.04,26.29,13.55,17-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
17-Nov-2018 - 00:00,4.36,0.88,2.26,0.68,759.34,152.22,62.42,0.0,35.78,25.56,189.11,0.86,0.89,8.02,20.72,19.08,39.78,24.99,12.32,18-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
18-Nov-2018 - 00:00,4.49,0.69,2.01,0.36,761.84,168.3,62.63,0.0,39.09,29.16,164.77,0.8,0.97,7.85,6.99,22.61,29.58,25.51,10.06,19-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
19-Nov-2018 - 00:00,7.71,2.06,5.6,1.86,761.06,233.55,101.0,0.0,46.98,42.93,151.45,0.87,1.07,10.49,11.58,27.56,38.55,25.46,12.93,20-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
20-Nov-2018 - 00:00,6.82,2.83,8.49,4.16,763.12,196.55,83.44,0.0,50.1,43.01,189.27,0.68,1.03,11.82,14.78,23.18,37.14,21.69,11.07,21-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
21-Nov-2018 - 00:00,7.57,3.01,8.53,4.11,764.73,202.3,79.49,0.0,48.0,41.7,161.89,0.94,1.01,9.21,18.57,22.35,39.8,24.03,11.81,22-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
22-Nov-2018 - 00:00,7.52,2.5,7.8,3.52,763.91,211.67,89.14,0.0,51.11,41.7,170.81,0.87,1.0,7.22,15.72,27.59,43.31,22.15,15.23,23-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
23-Nov-2018 - 00:00,6.83,2.13,6.25,2.72,767.28,181.07,75.56,0.0,52.09,41.84,156.25,0.84,0.93,7.8,10.81,23.84,34.66,23.97,9.35,24-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
24-Nov-2018 - 00:00,5.12,1.06,3.32,1.03,768.07,183.92,73.96,0.0,41.59,41.23,191.4,0.73,0.87,7.06,9.84,23.18,33.03,23.06,14.17,25-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
25-Nov-2018 - 00:00,5.52,1.68,4.74,2.21,766.06,155.96,59.66,0.0,41.0,37.28,168.91,0.69,1.15,7.49,15.54,19.81,35.33,23.72,10.34,26-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
26-Nov-2018 - 00:00,7.02,1.79,8.74,4.25,760.32,178.05,70.18,0.0,42.23,23.17,165.83,0.57,0.95,8.03,21.74,23.88,45.88,21.91,19.83,27-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
27-Nov-2018 - 00:00,6.27,2.26,6.41,3.42,759.63,176.72,82.57,0.0,51.41,22.23,159.95,0.64,1.31,7.75,10.03,26.0,35.69,24.74,11.29,28-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
28-Nov-2018 - 00:00,7.01,1.38,4.63,1.95,759.97,199.79,98.19,0.0,59.84,21.25,174.29,0.79,1.35,7.93,6.79,23.26,30.04,24.9,11.49,29-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
29-Nov-2018 - 00:00,8.08,0.99,7.25,3.48,761.82,191.11,103.72,0.0,64.48,21.41,175.44,0.62,1.44,8.71,9.39,23.18,32.56,24.53,10.36,30-Nov-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
30-Nov-2018 - 00:00,6.19,0.76,4.92,3.55,762.08,193.14,90.83,0.0,59.58,21.79,172.2,0.55,1.1,11.06,11.3,26.99,37.95,19.64,6.14,01-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
01-Dec-2018 - 00:00,1.45,0.3,1.21,0.96,758.54,148.45,71.27,0.0,47.08,17.3,162.04,0.84,1.21,15.01,11.5,29.62,41.13,21.11,8.53,02-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
02-Dec-2018 - 00:00,1.78,0.09,0.97,0.41,757.99,146.08,65.44,0.0,41.93,8.34,147.05,1.06,1.31,15.5,13.64,29.85,43.49,20.16,9.89,03-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
03-Dec-2018 - 00:00,2.33,0.12,1.86,0.86,758.1,174.31,76.65,0.0,48.95,20.69,166.57,0.84,1.43,13.34,21.02,30.99,50.56,19.9,9.31,04-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
04-Dec-2018 - 00:00,2.22,0.06,1.78,0.88,759.31,180.38,83.94,0.0,51.12,20.25,166.6,0.78,1.36,13.08,20.01,33.1,52.72,19.14,10.21,05-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
05-Dec-2018 - 00:00,5.77,3.02,5.32,4.29,757.58,189.08,81.7,0.0,51.92,20.53,156.69,0.68,1.5,17.32,21.59,34.23,55.83,18.51,11.92,06-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
06-Dec-2018 - 00:00,2.41,0.03,2.52,1.28,755.87,181.11,83.63,0.0,54.19,20.86,144.5,0.73,1.47,18.29,27.78,40.83,68.61,17.32,9.64,07-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
07-Dec-2018 - 00:00,2.56,0.02,2.48,1.26,757.99,188.24,84.12,0.0,50.24,20.45,150.77,0.72,1.33,20.87,32.88,40.11,72.99,17.38,10.9,08-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
08-Dec-2018 - 00:00,2.09,0.01,1.83,0.87,758.31,149.27,65.99,0.0,48.49,19.82,167.87,0.81,0.81,22.55,26.81,40.55,67.35,20.41,9.88,09-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
09-Dec-2018 - 00:00,2.46,0.0,2.31,1.17,758.08,155.53,70.45,0.0,50.5,19.52,172.79,0.65,0.78,20.75,28.18,39.51,66.28,20.38,9.29,10-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
10-Dec-2018 - 00:00,2.91,0.0,2.96,1.55,758.82,188.46,82.71,0.0,51.74,19.73,157.05,0.65,0.82,20.88,39.9,43.43,81.59,21.42,11.45,11-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
11-Dec-2018 - 00:00,1.29,0.0,1.13,0.43,756.72,142.18,62.41,0.0,49.84,20.55,155.79,0.95,0.75,24.56,19.44,38.84,57.06,20.97,10.42,12-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
12-Dec-2018 - 00:00,0.98,0.0,0.3,0.07,757.79,125.85,59.32,0.0,56.05,21.24,190.4,0.99,0.67,21.7,15.38,35.22,50.2,22.94,9.26,13-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
13-Dec-2018 - 00:00,0.81,0.0,0.06,0.0,763.62,118.73,65.6,0.0,66.41,17.85,247.88,1.14,0.67,18.07,15.06,33.59,48.65,21.88,10.4,14-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
14-Dec-2018 - 00:00,0.71,0.0,0.04,0.01,765.39,97.7,53.28,0.0,59.73,17.3,163.44,0.97,0.59,16.28,13.76,28.25,41.61,23.78,8.94,15-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
15-Dec-2018 - 00:00,0.91,0.0,0.14,0.03,765.48,90.28,53.7,0.0,57.07,16.3,137.15,0.92,0.64,14.17,15.09,32.51,46.61,19.41,9.2,16-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
16-Dec-2018 - 00:00,0.93,0.0,0.21,0.04,764.91,100.21,48.82,0.0,54.58,16.69,137.91,1.08,0.64,16.51,13.22,30.42,43.64,21.32,7.77,17-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
17-Dec-2018 - 00:00,0.97,0.0,0.05,0.0,761.8,136.23,60.41,0.0,52.39,17.25,143.12,1.04,0.62,24.46,13.05,30.77,43.35,20.33,8.5,18-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
18-Dec-2018 - 00:00,2.09,0.0,1.18,0.65,762.15,182.89,79.2,0.0,52.66,16.44,171.14,0.68,0.8,28.56,24.86,35.47,58.94,20.68,11.77,19-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
19-Dec-2018 - 00:00,1.9,0.0,1.0,0.4,761.8,154.87,73.93,0.0,40.96,18.11,156.47,1.0,0.76,30.04,20.07,41.32,61.38,19.82,10.08,20-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
20-Dec-2018 - 00:00,2.09,0.0,1.41,0.7,760.04,156.06,69.19,0.0,50.28,17.31,169.18,0.76,0.7,23.83,28.89,38.48,62.64,19.64,10.23,21-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
21-Dec-2018 - 00:00,2.49,0.0,1.49,0.7,758.43,190.04,93.38,0.0,45.97,19.19,141.64,0.77,0.77,27.68,30.36,41.01,69.9,19.86,10.27,22-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
22-Dec-2018 - 00:00,2.42,0.0,1.78,0.89,757.49,173.68,87.38,0.0,44.96,18.85,133.23,0.85,0.83,21.42,30.53,41.79,72.34,22.64,9.69,23-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
23-Dec-2018 - 00:00,1.99,0.0,1.59,0.75,760.06,166.06,83.62,0.0,52.02,18.79,157.43,0.88,0.66,21.07,23.59,42.68,66.27,21.6,8.92,24-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
24-Dec-2018 - 00:00,1.91,0.0,1.08,0.59,760.8,173.52,90.17,0.0,56.27,19.18,170.97,0.82,0.82,22.38,24.23,46.58,69.35,19.29,13.41,25-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
25-Dec-2018 - 00:00,1.43,0.0,0.89,0.4,761.24,151.62,75.44,0.0,55.63,18.85,135.35,0.95,0.68,19.57,17.53,41.1,58.13,22.09,10.07,26-Dec-2018 - 00:00,"Shrinath Puram, Kota - RSPCB"
