from date,PM10,PM2.5,WD,WS,RH,Temp,SO2,NOx,NH3,CO,Ozone,NO,NO2,to date,station
18-Jan-2018 - 00:00,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Feb-2018 - 00:00,,,,,,,,,,,,,,08-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Feb-2018 - 00:00,,,,,,,,,,,,,,09-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Feb-2018 - 00:00,,,,,,,,,,,,,,10-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Feb-2018 - 00:00,,,,,,,,,,,,,,11-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Feb-2018 - 00:00,,,,,,,,,,,,,,12-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Feb-2018 - 00:00,,,,,,,,,,,,,,13-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Feb-2018 - 00:00,,,,,,,,,,,,,,14-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Feb-2018 - 00:00,,,,,,,,,,,,,,15-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Feb-2018 - 00:00,,,,,,,,,,,,,,16-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Feb-2018 - 00:00,,,,,,,,,,,,,,17-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Feb-2018 - 00:00,,,,,,,,,,,,,,21-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Feb-2018 - 00:00,,,,,,,,,,,,,,22-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Feb-2018 - 00:00,,,,,,,,,,,,,,23-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Feb-2018 - 00:00,,,,,,,,,,,,,,01-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Mar-2018 - 00:00,,,,,,,,,,,,,,02-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Mar-2018 - 00:00,,,,,,,,,,,,,,03-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Mar-2018 - 00:00,,,,,,,,,,,,,,04-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Mar-2018 - 00:00,,,,,,,,,,,,,,05-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Mar-2018 - 00:00,,,,,,,,,,,,,,06-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Mar-2018 - 00:00,,,,,,,,,,,,,,07-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Mar-2018 - 00:00,,,,,,,,,,,,,,08-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Mar-2018 - 00:00,,,,,,,,,,,,,,09-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Mar-2018 - 00:00,,,,,,,,,,,,,,10-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Mar-2018 - 00:00,,,,,,,,,,,,,,11-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Mar-2018 - 00:00,,,,,,,,,,,,,,12-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Mar-2018 - 00:00,,,,,,,,,,,,,,13-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Mar-2018 - 00:00,,,,,,,,,,,,,,14-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Mar-2018 - 00:00,,,,,,,,,,,,,,15-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Mar-2018 - 00:00,,,,,,,,,,,,,,16-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Mar-2018 - 00:00,,,,,,,,,,,,,,17-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Mar-2018 - 00:00,,,,,,,,,,,,,,18-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Mar-2018 - 00:00,,,,,,,,,,,,,,19-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Mar-2018 - 00:00,,,,,,,,,,,,,,21-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Mar-2018 - 00:00,,,,,,,,,,,,,,22-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Mar-2018 - 00:00,,,,,,,,,,,,,,23-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Mar-2018 - 00:00,,,,,,,,,,,,,,24-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Mar-2018 - 00:00,,,,,,,,,,,,,,25-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,,,26-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Mar-2018 - 00:00,,,,,,,,,,,,,,27-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Mar-2018 - 00:00,,,,,,,,,,,,,,28-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Mar-2018 - 00:00,,,,,,,,,,,,,,29-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Mar-2018 - 00:00,,,,,,,,,,,,,,30-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-Mar-2018 - 00:00,,,,,,,,,,,,,,31-Mar-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Apr-2018 - 00:00,,,,,,,,,,,,,,03-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Apr-2018 - 00:00,,,,,,,,,,,,,,05-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Apr-2018 - 00:00,127.32,47.92,,,,,2.36,54.73,6.27,0.44,56.31,6.11,48.62,06-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Apr-2018 - 00:00,110.7,48.42,,,,,2.27,42.51,6.72,0.32,46.49,6.58,36.06,07-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Apr-2018 - 00:00,108.52,45.46,,,,,1.96,43.43,7.5,0.35,54.03,5.07,38.3,08-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Apr-2018 - 00:00,101.45,68.71,,,,,1.08,30.43,7.11,0.2,78.82,2.28,28.16,09-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Apr-2018 - 00:00,84.56,36.54,,,,,1.67,34.79,7.36,0.21,57.4,3.52,31.47,10-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Apr-2018 - 00:00,91.64,43.33,115.88,0.71,34.88,,1.56,39.98,10.12,0.28,48.27,4.66,35.29,11-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Apr-2018 - 00:00,103.04,44.58,,,,,1.55,39.11,10.5,0.24,52.77,4.15,34.92,12-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Apr-2018 - 00:00,99.91,38.38,,,,,2.28,28.61,10.38,0.17,56.84,2.67,25.89,13-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Apr-2018 - 00:00,118.61,39.91,121.33,0.62,35.34,,1.99,38.06,8.64,0.21,39.46,5.0,32.97,14-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Apr-2018 - 00:00,103.38,36.98,154.62,0.57,17.93,,2.1,28.94,8.74,0.12,47.33,3.54,25.34,15-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Apr-2018 - 00:00,94.31,30.51,,,,,1.83,24.1,7.65,0.06,43.33,3.43,20.68,16-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Apr-2018 - 00:00,46.11,22.28,,,,,1.49,33.16,7.72,0.27,54.56,3.59,29.56,17-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Apr-2018 - 00:00,98.8,40.41,,,,,2.14,40.6,7.04,0.22,27.94,5.97,34.44,18-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Apr-2018 - 00:00,,,,,,,,,,,,,,20-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Apr-2018 - 00:00,,,,,,,,,,,,,,21-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Apr-2018 - 00:00,,,,,,,,,,,,,,22-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Apr-2018 - 00:00,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Apr-2018 - 00:00,,,,,,,,,,,,,,24-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Apr-2018 - 00:00,,,,,,,,,,,,,,25-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Apr-2018 - 00:00,,,,,,,,,,,,,,26-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Apr-2018 - 00:00,,,,,,,,,,,,,,27-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Apr-2018 - 00:00,,,,,,,,,,,,,,28-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Apr-2018 - 00:00,,,,,,,,,,,,,,29-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Apr-2018 - 00:00,,,,,,,,,,,,,,30-Apr-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-Apr-2018 - 00:00,,,,,,,,,,,,,,01-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-May-2018 - 00:00,,,,,,,,,,,,,,02-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-May-2018 - 00:00,,,,,,,,,,,,,,03-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-May-2018 - 00:00,,,,,,,,,,,,,,04-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-May-2018 - 00:00,,0.0,,,,,,0.0,,,,,,05-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-May-2018 - 00:00,,0.0,,,,,,0.0,,,,,,06-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-May-2018 - 00:00,,0.0,,,,,,0.0,,,,,,07-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-May-2018 - 00:00,,0.0,,,,,,0.0,,,,,,08-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-May-2018 - 00:00,,0.0,,,,,,0.0,,,,,,09-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-May-2018 - 00:00,90.87,17.67,,,,,2.56,15.07,6.28,0.48,66.48,2.26,24.52,10-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-May-2018 - 00:00,62.93,23.88,66.83,0.33,18.76,,2.29,30.48,5.98,0.13,52.26,3.21,27.27,11-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-May-2018 - 00:00,46.14,15.99,,,,,2.15,35.1,5.9,0.16,44.86,4.17,30.93,12-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-May-2018 - 00:00,48.61,21.03,,,,,2.24,27.7,7.0,0.23,48.76,2.85,24.85,13-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-May-2018 - 00:00,64.22,27.14,,,,,2.13,26.1,6.58,0.09,59.42,2.38,23.73,14-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-May-2018 - 00:00,71.75,28.51,,,,,2.28,31.22,6.03,0.13,46.29,3.93,27.27,15-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-May-2018 - 00:00,50.41,25.84,,,,,2.15,30.56,6.33,0.81,56.1,2.74,27.76,16-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-May-2018 - 00:00,76.42,29.0,,,,,3.07,45.94,6.8,0.26,36.36,8.22,37.7,17-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-May-2018 - 00:00,70.11,24.96,,,,,3.37,48.49,14.98,0.3,43.14,7.29,42.58,18-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-May-2018 - 00:00,73.05,30.64,,,,,3.11,40.11,9.27,0.22,53.32,5.96,34.21,19-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-May-2018 - 00:00,100.8,35.65,,,,,3.36,36.88,8.72,0.08,39.45,7.53,29.37,20-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-May-2018 - 00:00,96.21,924.87,,,,,3.03,32.2,7.45,0.05,39.54,4.21,27.98,21-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-May-2018 - 00:00,115.95,452.13,,,,,3.09,30.24,6.83,0.16,32.05,5.8,24.4,22-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-May-2018 - 00:00,92.84,25.37,,,,,2.99,36.33,6.59,0.17,54.23,4.4,31.87,23-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-May-2018 - 00:00,102.54,31.2,,,,,3.04,37.25,5.73,2.29,40.81,4.86,32.22,24-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-May-2018 - 00:00,83.79,32.0,,,,,2.85,47.51,5.88,1.97,50.16,6.16,41.26,25-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-May-2018 - 00:00,116.71,34.13,,,,,3.23,34.68,7.24,1.86,39.73,4.82,29.9,26-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-May-2018 - 00:00,104.53,33.14,,,,,3.24,32.75,7.32,1.25,39.84,4.37,28.21,27-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-May-2018 - 00:00,60.95,28.84,,,,,3.09,44.43,6.66,1.52,48.57,6.1,38.26,28-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-May-2018 - 00:00,72.77,28.75,107.36,0.68,31.72,,4.09,28.39,8.58,0.16,36.66,4.57,23.59,29-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-May-2018 - 00:00,66.94,21.46,176.07,0.74,82.32,,4.41,36.56,10.59,0.05,25.15,7.24,29.31,30-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-May-2018 - 00:00,75.07,20.56,225.32,0.98,73.97,,4.37,32.74,9.46,0.06,17.29,8.96,23.81,31-May-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
31-May-2018 - 00:00,82.11,21.7,231.66,1.07,71.86,27.56,4.26,28.79,5.72,0.02,18.17,8.61,20.11,01-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Jun-2018 - 00:00,58.47,18.38,200.3,0.86,69.74,27.21,4.12,26.8,5.49,0.02,34.73,4.21,22.56,02-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Jun-2018 - 00:00,37.35,14.49,204.13,1.03,71.22,26.12,3.95,27.51,5.64,0.8,42.49,3.27,24.22,03-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Jun-2018 - 00:00,46.22,17.11,221.28,0.92,78.66,25.51,3.9,27.88,4.02,0.39,27.55,4.59,23.25,04-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Jun-2018 - 00:00,37.9,14.41,220.26,0.89,82.87,24.42,4.13,34.7,3.21,1.07,22.67,5.77,28.91,05-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Jun-2018 - 00:00,51.34,15.07,221.77,0.89,76.03,25.83,4.03,28.93,4.22,,26.21,5.22,23.7,06-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Jun-2018 - 00:00,43.3,10.28,225.06,1.08,76.22,26.07,3.88,25.99,3.06,,19.02,6.33,19.63,07-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Jun-2018 - 00:00,32.29,8.17,225.73,1.16,79.32,25.32,4.45,30.03,3.06,1.42,20.09,9.44,20.59,08-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Jun-2018 - 00:00,34.49,6.57,227.72,1.22,82.73,24.14,4.22,34.24,2.18,1.35,24.1,7.16,27.07,09-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Jun-2018 - 00:00,58.74,12.09,226.97,1.09,85.48,22.69,4.58,23.58,2.5,1.49,19.34,9.69,27.75,10-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Jun-2018 - 00:00,29.19,13.99,230.15,1.02,91.56,22.44,4.62,36.27,1.83,0.59,12.61,13.13,23.12,11-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Jun-2018 - 00:00,37.6,12.29,228.77,1.06,86.54,24.14,4.8,38.78,0.69,0.76,8.53,18.86,19.92,12-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Jun-2018 - 00:00,83.52,18.86,227.15,1.27,77.1,25.85,4.65,33.96,0.74,0.32,10.77,15.69,18.26,13-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Jun-2018 - 00:00,96.93,20.72,227.97,1.17,76.0,26.01,5.13,34.67,1.28,0.64,11.25,18.25,16.38,14-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Jun-2018 - 00:00,110.29,24.74,225.05,1.04,73.91,26.5,7.46,37.66,3.5,0.99,9.63,20.63,17.02,15-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Jun-2018 - 00:00,82.6,19.71,227.84,1.07,75.47,25.59,9.38,37.15,2.52,0.86,9.07,20.19,16.95,16-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Jun-2018 - 00:00,78.35,17.23,223.22,1.09,72.81,25.74,8.73,28.84,2.66,0.6,11.37,12.29,16.55,17-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Jun-2018 - 00:00,63.32,14.97,226.55,1.21,73.71,25.5,8.59,29.11,1.9,0.17,12.03,12.66,16.41,18-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Jun-2018 - 00:00,45.37,12.4,221.79,1.36,84.47,23.24,9.16,29.95,2.65,1.12,12.4,13.51,16.45,19-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Jun-2018 - 00:00,30.52,6.89,220.42,1.32,83.73,23.58,9.09,29.68,2.77,0.97,18.34,10.4,19.26,20-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Jun-2018 - 00:00,38.46,10.87,220.45,1.21,81.83,23.75,8.87,30.18,2.79,0.13,26.25,7.5,22.65,21-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Jun-2018 - 00:00,60.41,16.54,227.18,1.21,80.6,22.75,8.39,26.6,3.65,0.13,27.94,5.2,21.39,22-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Jun-2018 - 00:00,75.5,22.58,230.86,1.03,79.75,23.44,8.59,31.57,3.43,0.15,20.0,8.71,22.82,23-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Jun-2018 - 00:00,65.37,19.63,223.8,1.03,82.58,23.11,8.55,29.98,3.37,0.13,15.19,8.41,21.58,24-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Jun-2018 - 00:00,57.63,15.9,226.39,1.12,80.81,23.73,8.45,24.3,4.06,0.07,14.62,7.64,16.67,25-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Jun-2018 - 00:00,66.47,16.0,223.2,1.24,80.86,24.06,4.58,22.16,3.51,0.38,12.02,8.39,16.19,26-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Jun-2018 - 00:00,81.62,17.43,225.25,1.34,76.34,24.83,3.75,29.78,3.43,1.29,14.02,14.42,15.35,27-Jun-2018 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
