from date,CO,NO,NO2,NOx,PM10,SO2,Ozone,to date,station
08-Jun-2018 - 00:00,0.91,9.65,59.07,68.48,105.14,13.53,13.82,09-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Jun-2018 - 00:00,0.72,9.19,59.71,67.99,99.9,13.73,9.08,10-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Jun-2018 - 00:00,1.13,9.36,59.81,69.66,205.28,12.63,18.25,11-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Jun-2018 - 00:00,0.88,9.54,59.53,67.42,189.64,17.64,18.14,12-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Jun-2018 - 00:00,0.84,10.06,80.76,91.33,152.73,52.27,15.85,13-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Jun-2018 - 00:00,0.42,9.8,79.34,89.09,173.24,11.49,19.88,14-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Jun-2018 - 00:00,,,,,,,,15-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Jun-2018 - 00:00,1.75,9.83,82.01,92.33,373.45,14.58,25.88,16-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Jun-2018 - 00:00,0.84,9.84,76.61,86.96,314.03,12.16,18.16,17-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Jun-2018 - 00:00,0.83,9.29,71.62,81.42,289.36,11.38,25.32,18-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Jun-2018 - 00:00,1.14,9.72,70.58,79.9,258.66,11.72,25.25,19-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Jun-2018 - 00:00,0.62,9.25,66.32,76.07,209.7,11.53,28.8,20-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Jun-2018 - 00:00,0.63,9.45,65.04,75.0,150.15,12.81,21.1,21-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Jun-2018 - 00:00,0.52,9.63,64.18,74.31,104.63,11.65,18.39,22-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Jun-2018 - 00:00,0.5,9.32,64.84,74.75,128.77,12.0,17.21,23-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Jun-2018 - 00:00,0.48,9.6,64.4,73.76,142.7,13.29,17.77,24-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Jun-2018 - 00:00,0.88,9.17,64.47,74.15,169.65,12.52,11.86,25-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Jun-2018 - 00:00,0.63,9.51,63.8,73.48,137.21,11.59,11.13,26-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Jun-2018 - 00:00,0.86,9.42,64.06,73.97,148.39,11.75,15.0,27-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Jun-2018 - 00:00,0.84,9.58,61.54,71.67,80.98,18.4,12.58,28-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Jun-2018 - 00:00,1.4,10.64,58.55,69.69,66.21,11.8,7.02,29-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Jun-2018 - 00:00,,,,,,,,30-Jun-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Jun-2018 - 00:00,0.66,10.05,58.17,68.74,113.88,11.56,24.13,01-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Jul-2018 - 00:00,0.85,9.57,60.21,70.28,135.43,11.51,12.0,02-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Jul-2018 - 00:00,0.73,9.41,60.62,69.79,126.72,12.0,12.4,03-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Jul-2018 - 00:00,0.55,8.62,57.22,66.3,55.49,12.17,8.99,04-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Jul-2018 - 00:00,1.0,9.39,60.14,68.82,107.06,12.9,11.05,05-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Jul-2018 - 00:00,0.64,9.95,59.37,69.82,122.72,12.67,7.19,06-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Jul-2018 - 00:00,0.85,9.45,60.15,68.67,203.59,12.53,14.74,07-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Jul-2018 - 00:00,0.68,9.3,60.96,70.76,107.24,30.98,12.56,08-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Jul-2018 - 00:00,0.56,9.58,59.3,69.39,54.22,53.49,10.39,09-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Jul-2018 - 00:00,0.33,9.44,59.53,66.51,129.11,12.44,9.7,10-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Jul-2018 - 00:00,0.68,9.18,60.08,69.77,80.79,11.42,7.85,11-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Jul-2018 - 00:00,0.93,9.32,59.88,69.7,93.68,12.64,10.39,12-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Jul-2018 - 00:00,0.78,9.18,60.35,70.03,90.72,15.18,8.92,13-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Jul-2018 - 00:00,0.65,9.77,60.34,69.89,76.4,15.19,8.54,14-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Jul-2018 - 00:00,0.47,9.48,60.63,69.1,78.34,15.29,6.86,15-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Jul-2018 - 00:00,0.99,9.66,59.22,68.64,34.48,15.69,7.93,16-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Jul-2018 - 00:00,0.21,9.47,44.3,54.26,23.36,15.58,9.45,17-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Jul-2018 - 00:00,0.68,9.72,30.19,40.43,70.07,15.98,10.04,18-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Jul-2018 - 00:00,1.11,9.02,30.38,39.91,67.36,15.97,8.06,19-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Jul-2018 - 00:00,0.83,9.26,29.92,39.69,80.31,15.86,9.37,20-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Jul-2018 - 00:00,1.15,9.28,29.27,39.05,132.84,16.69,8.69,21-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Jul-2018 - 00:00,0.32,9.65,29.54,39.69,31.09,14.95,9.22,22-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Jul-2018 - 00:00,0.39,9.42,29.88,39.8,36.03,37.68,8.1,23-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Jul-2018 - 00:00,0.83,9.32,29.26,38.72,69.42,34.27,6.23,24-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Jul-2018 - 00:00,0.6,10.2,33.06,40.44,99.58,14.22,8.17,25-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Jul-2018 - 00:00,1.2,9.18,35.09,44.79,132.95,14.88,5.96,26-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Jul-2018 - 00:00,0.53,9.59,33.53,43.09,130.83,15.24,3.71,27-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Jul-2018 - 00:00,0.96,9.8,32.9,43.2,98.09,14.88,4.91,28-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Jul-2018 - 00:00,1.03,9.38,31.5,41.37,157.85,14.05,6.09,29-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Jul-2018 - 00:00,0.96,9.71,35.56,39.1,110.04,11.76,0.48,30-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Jul-2018 - 00:00,0.74,9.07,30.66,35.99,203.4,16.15,12.3,31-Jul-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
31-Jul-2018 - 00:00,0.77,9.71,30.21,40.42,143.17,14.22,7.51,01-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Aug-2018 - 00:00,0.32,9.41,29.66,38.23,146.56,13.24,5.38,02-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Aug-2018 - 00:00,1.06,9.72,29.48,39.7,93.02,11.91,7.31,03-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Aug-2018 - 00:00,0.95,9.65,30.23,38.48,149.73,11.8,6.35,04-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Aug-2018 - 00:00,0.8,9.34,31.16,40.62,184.94,12.0,6.67,05-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Aug-2018 - 00:00,0.69,9.5,29.66,38.01,166.43,11.5,6.49,06-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Aug-2018 - 00:00,0.68,9.65,28.89,37.82,106.01,11.53,7.79,07-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Aug-2018 - 00:00,0.5,9.91,29.59,40.0,48.59,12.43,8.64,08-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Aug-2018 - 00:00,0.79,9.81,29.38,39.69,74.5,12.77,9.38,09-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Aug-2018 - 00:00,1.01,9.65,30.56,40.34,93.75,13.6,8.62,10-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Aug-2018 - 00:00,1.1,9.42,29.82,37.3,131.15,14.7,10.27,11-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Aug-2018 - 00:00,0.84,9.68,38.51,47.65,115.23,16.3,12.63,12-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Aug-2018 - 00:00,0.6,9.71,38.01,46.62,104.96,14.89,9.94,13-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Aug-2018 - 00:00,0.63,9.75,38.28,48.09,73.65,52.21,6.63,14-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Aug-2018 - 00:00,0.5,9.72,35.35,45.19,48.18,15.97,9.08,15-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Aug-2018 - 00:00,0.39,9.11,33.39,43.0,31.82,15.31,7.7,16-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Aug-2018 - 00:00,0.94,9.72,30.31,40.54,65.44,15.35,6.61,17-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Aug-2018 - 00:00,0.67,9.64,29.69,39.43,84.29,16.54,7.86,18-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Aug-2018 - 00:00,0.5,9.75,29.6,39.48,109.25,17.39,9.56,19-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Aug-2018 - 00:00,0.5,9.51,29.96,39.98,2.94,16.0,10.25,20-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Aug-2018 - 00:00,0.44,9.87,29.83,40.2,6.49,17.71,5.02,21-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Aug-2018 - 00:00,0.88,9.41,29.84,39.73,,16.72,4.37,22-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Aug-2018 - 00:00,1.13,9.81,29.66,39.97,,16.6,5.82,23-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Aug-2018 - 00:00,0.82,9.3,30.28,40.08,,17.46,9.95,24-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Aug-2018 - 00:00,0.72,9.59,29.67,39.78,,17.93,8.96,25-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Aug-2018 - 00:00,0.77,9.67,30.01,39.78,,14.97,7.04,26-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Aug-2018 - 00:00,0.6,9.55,30.18,40.22,,13.26,6.5,27-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Aug-2018 - 00:00,0.75,9.54,29.08,39.13,,11.85,5.94,28-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Aug-2018 - 00:00,0.74,9.47,30.39,40.36,,12.53,5.45,29-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Aug-2018 - 00:00,1.13,9.61,29.04,39.15,,14.56,4.7,30-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Aug-2018 - 00:00,0.77,9.46,29.76,38.08,,13.74,5.64,31-Aug-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
31-Aug-2018 - 00:00,0.7,9.56,29.27,39.33,,,6.19,01-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Sep-2018 - 00:00,0.88,9.57,29.94,40.06,,,8.65,02-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Sep-2018 - 00:00,0.8,9.11,29.28,38.89,,,5.52,03-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Sep-2018 - 00:00,0.47,9.21,29.29,38.46,,,7.5,04-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Sep-2018 - 00:00,0.77,9.67,30.0,40.07,,,4.42,05-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Sep-2018 - 00:00,0.77,9.53,28.47,38.12,31.32,,5.91,06-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Sep-2018 - 00:00,0.47,9.76,29.01,39.28,13.88,,6.32,07-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Sep-2018 - 00:00,0.74,9.32,29.08,38.89,31.77,,7.37,08-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Sep-2018 - 00:00,1.36,9.6,29.25,38.01,71.22,,5.87,09-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Sep-2018 - 00:00,0.66,9.15,28.87,38.52,40.35,,8.77,10-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Sep-2018 - 00:00,0.75,9.68,35.49,41.08,63.48,,5.84,11-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Sep-2018 - 00:00,0.86,10.06,39.39,49.95,72.58,,6.07,12-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Sep-2018 - 00:00,0.77,9.56,39.1,48.58,80.61,,6.57,13-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Sep-2018 - 00:00,0.44,9.01,39.76,34.55,85.11,,7.51,14-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Sep-2018 - 00:00,0.36,9.15,36.06,28.72,85.69,,6.73,15-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Sep-2018 - 00:00,0.71,9.17,30.04,36.52,61.39,,4.88,16-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Sep-2018 - 00:00,1.06,9.85,29.88,40.22,83.69,,6.44,17-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Sep-2018 - 00:00,0.9,9.39,28.93,38.2,98.81,,8.79,18-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Sep-2018 - 00:00,0.83,9.11,29.46,33.84,106.13,,8.11,19-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Sep-2018 - 00:00,0.46,9.53,29.93,39.95,90.74,,16.67,20-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Sep-2018 - 00:00,0.49,9.45,29.15,39.08,33.1,,5.84,21-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Sep-2018 - 00:00,0.41,9.77,29.38,37.14,30.71,,4.18,22-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Sep-2018 - 00:00,0.76,9.42,29.82,38.57,55.29,,5.06,23-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Sep-2018 - 00:00,0.42,9.37,32.58,35.33,52.73,,6.95,24-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Sep-2018 - 00:00,0.81,9.81,29.19,39.51,128.8,,6.8,25-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Sep-2018 - 00:00,0.85,9.52,30.01,38.28,101.97,,10.2,26-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Sep-2018 - 00:00,1.13,9.79,28.96,32.75,93.36,,6.55,27-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Sep-2018 - 00:00,0.73,9.71,29.57,37.83,90.35,,10.28,28-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Sep-2018 - 00:00,1.02,9.67,28.9,32.11,120.64,,9.24,29-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Sep-2018 - 00:00,0.45,9.61,29.57,27.23,115.04,,12.55,30-Sep-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Sep-2018 - 00:00,0.88,10.18,28.51,33.32,129.24,,14.14,01-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Oct-2018 - 00:00,0.71,9.71,29.16,36.85,112.61,,11.01,02-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Oct-2018 - 00:00,0.85,9.64,28.65,38.85,121.08,,10.64,03-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Oct-2018 - 00:00,1.19,9.52,30.31,40.21,146.28,,12.99,04-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Oct-2018 - 00:00,1.05,9.97,28.96,36.81,121.73,,12.2,05-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Oct-2018 - 00:00,0.58,10.22,35.0,36.59,96.9,,8.76,06-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Oct-2018 - 00:00,0.75,11.22,42.33,52.27,108.87,,13.05,07-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Oct-2018 - 00:00,1.09,9.63,46.4,56.53,137.56,,8.79,08-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Oct-2018 - 00:00,1.36,9.44,47.96,48.17,186.98,,11.81,09-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Oct-2018 - 00:00,1.17,9.84,57.89,64.41,117.95,,13.2,10-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Oct-2018 - 00:00,0.67,9.21,57.75,67.47,61.65,,4.8,11-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
11-Oct-2018 - 00:00,0.63,9.92,59.78,64.55,18.91,,3.37,12-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
12-Oct-2018 - 00:00,0.48,9.32,58.83,66.59,23.42,,2.34,13-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
13-Oct-2018 - 00:00,0.64,9.48,59.32,69.3,30.01,,0.66,14-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
14-Oct-2018 - 00:00,1.07,9.21,58.71,64.46,162.45,,6.87,15-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
15-Oct-2018 - 00:00,1.14,15.21,69.95,85.67,114.91,,7.09,16-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
16-Oct-2018 - 00:00,1.4,39.87,119.51,158.18,151.24,,5.24,17-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
17-Oct-2018 - 00:00,1.53,39.3,120.21,157.86,181.6,,8.33,18-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
18-Oct-2018 - 00:00,1.19,40.07,118.47,157.14,182.45,,11.72,19-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
19-Oct-2018 - 00:00,1.57,39.27,118.5,158.27,152.64,,11.49,20-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
20-Oct-2018 - 00:00,1.13,29.22,99.94,129.66,133.47,8.4,9.22,21-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
21-Oct-2018 - 00:00,1.3,19.68,79.08,99.27,134.63,11.88,7.57,22-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
22-Oct-2018 - 00:00,1.26,19.62,78.96,97.03,174.62,11.46,11.14,23-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
23-Oct-2018 - 00:00,0.96,19.37,78.42,96.18,145.4,11.96,9.42,24-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
24-Oct-2018 - 00:00,0.7,19.32,78.13,97.95,102.96,12.26,15.13,25-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
25-Oct-2018 - 00:00,1.02,19.52,79.36,99.38,166.96,12.92,17.85,26-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
26-Oct-2018 - 00:00,0.63,19.81,78.38,98.68,135.96,12.2,14.51,27-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
27-Oct-2018 - 00:00,1.02,19.55,78.42,98.47,118.14,11.16,14.7,28-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
28-Oct-2018 - 00:00,0.67,19.33,79.82,99.66,114.35,10.78,16.38,29-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
29-Oct-2018 - 00:00,0.61,19.42,78.02,97.95,76.19,12.42,12.16,30-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
30-Oct-2018 - 00:00,0.39,19.8,78.88,99.18,54.23,12.44,13.33,31-Oct-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
31-Oct-2018 - 00:00,0.54,19.67,79.69,99.85,53.59,10.99,14.49,01-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
01-Nov-2018 - 00:00,0.85,18.82,77.16,96.48,68.33,10.96,29.62,02-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
02-Nov-2018 - 00:00,0.69,10.23,60.98,33.41,73.49,10.02,30.43,03-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
03-Nov-2018 - 00:00,1.07,9.03,59.12,68.65,146.2,11.16,22.07,04-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
04-Nov-2018 - 00:00,0.95,8.94,60.35,69.8,148.92,11.59,19.68,05-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
05-Nov-2018 - 00:00,0.76,9.71,57.7,58.7,135.49,9.88,22.41,06-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
06-Nov-2018 - 00:00,0.95,13.75,64.24,76.98,150.85,8.63,23.9,07-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
07-Nov-2018 - 00:00,0.77,23.46,70.88,94.84,141.99,8.97,37.14,08-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
08-Nov-2018 - 00:00,0.84,24.92,69.0,59.9,146.76,11.49,57.67,09-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
09-Nov-2018 - 00:00,1.14,,,,142.87,11.58,,10-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
10-Nov-2018 - 00:00,0.85,,,,142.54,10.31,,11-Nov-2018 - 00:00,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
