from date,BP,Benzene,MP-Xylene,O Xylene,Toluene,CO,Eth-Benzene,PM2.5,NO,NO2,NOx,Ozone,RH,SR,SO2,Temp,VWS,WD,WS,to date,station
27-Apr-2018 - 00:00,,0.14,0.04,0.0,0.22,0.91,0.0,44.98,2.79,20.95,11.92,53.33,45.3,223.45,5.26,28.21,-0.01,118.73,0.72,28-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Apr-2018 - 00:00,,0.21,0.07,0.03,0.34,0.69,0.02,50.21,3.64,23.0,13.49,39.67,51.28,231.69,5.56,28.0,0.02,99.09,1.0,29-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Apr-2018 - 00:00,,0.3,0.09,0.03,0.48,0.52,0.03,58.15,3.52,28.64,16.15,45.86,48.2,211.89,6.01,28.3,-0.02,161.09,0.57,30-Apr-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Apr-2018 - 00:00,,0.15,0.06,0.0,0.23,1.5,0.0,231.38,3.35,23.85,13.52,47.2,57.2,210.09,5.79,27.62,0.02,200.04,0.88,01-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-May-2018 - 00:00,,0.12,0.04,0.0,0.19,0.5,0.0,40.02,3.02,18.08,10.63,49.93,63.86,191.97,6.26,27.36,0.02,185.31,0.92,02-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-May-2018 - 00:00,,0.25,0.13,0.03,0.4,0.59,0.0,65.42,3.52,25.01,14.35,40.77,58.75,203.9,9.82,27.52,0.01,186.09,0.82,03-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-May-2018 - 00:00,,0.2,0.1,0.03,0.32,0.49,0.01,41.57,5.11,34.19,19.76,47.69,57.92,212.84,5.8,27.71,-0.01,170.04,0.64,04-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-May-2018 - 00:00,,0.32,0.12,0.07,0.51,0.72,0.03,41.41,4.04,29.31,16.82,44.53,49.33,342.16,6.15,28.5,-0.0,96.89,0.82,05-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-May-2018 - 00:00,,0.26,0.12,0.07,0.41,0.6,0.02,60.69,3.48,33.89,18.46,38.78,57.91,211.61,4.37,27.87,-0.01,103.74,0.72,06-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-May-2018 - 00:00,,0.24,0.13,0.08,0.38,0.57,0.05,81.92,3.32,23.03,13.27,44.68,54.19,211.38,5.72,28.0,-0.01,124.77,0.64,07-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-May-2018 - 00:00,,0.5,0.4,0.19,0.79,0.75,0.15,56.58,28.5,62.89,51.5,36.2,56.83,178.01,5.17,28.1,0.0,179.63,0.73,08-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-May-2018 - 00:00,,0.44,0.19,0.06,0.71,0.53,0.11,51.64,4.88,31.75,18.4,32.5,71.76,122.39,5.86,26.82,0.02,195.74,0.93,09-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-May-2018 - 00:00,,0.15,0.04,0.0,0.23,0.37,0.0,34.42,3.77,27.09,15.58,53.41,58.98,149.79,5.75,27.33,0.0,156.92,0.82,10-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-May-2018 - 00:00,,0.11,0.04,0.02,0.17,0.48,0.0,29.35,7.13,29.29,19.04,39.85,61.72,198.56,5.16,27.19,0.01,174.94,0.91,11-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-May-2018 - 00:00,,0.25,0.09,0.03,0.39,0.52,0.01,20.94,7.6,39.24,24.37,24.4,73.06,216.11,5.53,26.28,-0.02,189.72,0.61,12-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-May-2018 - 00:00,,0.18,0.08,0.02,0.28,0.59,0.02,30.19,3.32,23.1,13.3,40.96,65.69,191.91,4.59,26.91,-0.02,188.44,0.6,13-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-May-2018 - 00:00,,0.15,0.08,0.01,0.23,0.5,0.0,28.23,3.46,27.28,15.44,45.81,65.75,180.24,5.75,26.71,-0.02,177.76,0.56,14-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-May-2018 - 00:00,,0.41,0.37,0.17,0.66,0.58,0.15,38.09,5.94,46.97,26.9,37.88,63.93,165.53,7.12,26.45,-0.02,198.52,0.6,15-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-May-2018 - 00:00,,0.37,0.23,0.09,0.59,0.56,0.08,40.48,8.03,41.62,25.85,44.18,58.12,204.39,6.17,26.96,-0.02,183.29,0.57,16-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-May-2018 - 00:00,,0.31,0.22,0.08,0.49,0.48,0.05,39.74,4.99,33.87,19.8,29.16,64.26,182.53,6.28,27.23,-0.03,123.19,0.53,17-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-May-2018 - 00:00,,0.12,0.02,0.0,0.19,0.62,0.0,43.93,3.41,23.76,13.69,42.83,55.04,196.24,5.11,27.61,-0.03,138.26,0.49,18-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-May-2018 - 00:00,,0.34,0.23,0.13,0.54,0.64,0.11,52.38,26.25,48.94,42.56,33.45,72.63,161.64,3.93,26.53,0.0,192.91,0.8,19-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-May-2018 - 00:00,,0.65,0.32,0.17,1.02,0.74,0.16,50.45,11.87,44.41,29.84,43.6,61.6,214.1,4.3,27.24,0.01,200.12,0.89,20-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-May-2018 - 00:00,,0.09,0.01,0.0,0.15,0.65,0.0,55.5,2.99,19.89,11.44,49.41,68.97,226.81,5.33,26.61,0.01,209.07,0.8,21-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-May-2018 - 00:00,,0.33,0.16,0.09,0.53,0.6,0.14,43.95,14.64,50.09,34.92,33.94,73.04,185.75,4.58,26.13,-0.01,190.17,0.71,22-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-May-2018 - 00:00,,0.5,0.24,0.11,0.79,0.72,0.09,46.11,5.22,51.97,28.8,41.16,65.91,205.57,4.11,27.08,-0.02,196.15,0.59,23-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-May-2018 - 00:00,,0.46,0.24,0.13,0.73,0.53,0.16,62.79,5.36,45.9,25.94,32.1,74.96,156.1,6.02,26.34,-0.01,177.59,0.67,24-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-May-2018 - 00:00,,0.59,0.4,0.14,0.93,0.58,0.09,37.99,6.65,51.11,29.45,33.64,62.57,206.45,6.32,27.18,-0.01,228.78,0.6,25-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-May-2018 - 00:00,,0.45,0.24,0.06,0.72,0.67,0.02,53.01,5.34,35.9,21.05,27.91,79.59,88.26,6.02,25.98,-0.02,216.93,0.6,26-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-May-2018 - 00:00,,0.3,0.19,0.09,0.48,0.7,0.04,38.91,7.99,36.85,23.48,22.23,77.87,165.02,4.77,26.51,-0.04,164.75,0.37,27-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-May-2018 - 00:00,,0.19,0.06,0.03,0.3,0.57,0.02,39.78,3.51,19.55,11.68,24.5,71.34,206.95,4.4,27.37,-0.01,113.22,0.63,28-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-May-2018 - 00:00,,0.06,0.01,0.0,0.09,0.99,0.0,28.99,3.06,13.23,8.3,31.48,70.61,210.37,5.26,27.38,-0.01,188.52,0.63,29-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-May-2018 - 00:00,,0.03,0.01,0.0,0.05,0.79,0.0,22.74,3.98,12.42,8.58,30.41,74.81,231.14,4.95,26.77,0.05,226.98,1.25,30-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-May-2018 - 00:00,,0.22,0.15,0.05,0.35,0.49,0.12,64.26,9.61,40.64,26.53,22.09,78.38,159.67,4.76,26.26,0.02,242.32,0.96,31-May-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
31-May-2018 - 00:00,,0.24,0.14,0.04,0.37,0.77,0.02,50.81,5.38,25.1,15.8,24.1,78.79,175.52,4.78,26.61,-0.0,221.32,0.73,01-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Jun-2018 - 00:00,,0.36,0.26,0.1,0.57,0.46,0.06,65.35,10.11,35.52,24.04,25.52,79.46,132.0,4.8,26.57,-0.01,219.56,0.59,02-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Jun-2018 - 00:00,,0.48,0.32,0.11,0.76,0.58,0.13,80.03,11.45,52.91,33.82,24.84,78.23,159.72,4.97,26.06,-0.02,220.91,0.56,03-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Jun-2018 - 00:00,,0.17,0.09,0.0,0.28,0.8,0.0,65.88,4.31,27.03,15.78,29.68,78.99,193.96,4.87,26.02,0.0,240.61,0.77,04-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Jun-2018 - 00:00,,0.15,0.07,0.01,0.23,0.62,0.02,40.12,6.6,22.61,15.51,20.57,78.46,188.45,5.26,26.1,0.01,242.04,0.88,05-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Jun-2018 - 00:00,,0.13,0.05,0.01,0.21,0.46,0.01,35.65,5.86,18.14,12.75,16.91,78.41,200.28,5.61,26.22,0.03,233.06,1.0,06-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Jun-2018 - 00:00,,0.13,0.04,0.0,0.21,0.5,0.01,35.9,6.7,20.16,14.39,20.03,72.17,191.31,5.28,26.84,0.04,237.53,1.11,07-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Jun-2018 - 00:00,,0.05,0.01,0.0,0.08,0.46,0.0,41.28,5.34,10.22,8.52,17.0,80.02,138.33,7.01,25.97,0.05,230.41,1.24,08-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Jun-2018 - 00:00,,0.07,0.0,0.0,0.12,0.3,0.0,29.27,4.68,9.19,7.53,16.64,86.74,82.02,8.52,25.31,0.08,228.24,1.51,09-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Jun-2018 - 00:00,,0.1,0.05,0.01,0.16,0.53,0.06,29.04,5.83,11.73,9.63,20.73,83.7,87.71,6.02,25.21,0.07,236.3,1.46,10-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Jun-2018 - 00:00,,0.0,0.0,0.0,0.01,0.46,0.0,39.37,4.78,6.63,6.32,14.76,88.08,137.88,5.9,25.2,0.05,236.07,1.24,11-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Jun-2018 - 00:00,,0.1,0.0,0.0,0.15,0.48,0.0,34.58,6.85,14.14,11.57,12.13,83.25,107.1,5.37,25.73,0.06,237.51,1.3,12-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Jun-2018 - 00:00,,0.05,0.0,0.0,0.08,0.55,0.0,30.75,4.75,4.68,5.29,13.67,81.19,76.0,6.14,25.73,0.06,229.81,1.32,13-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Jun-2018 - 00:00,,0.05,0.0,0.0,0.08,0.39,0.0,33.36,5.99,12.03,9.87,13.68,76.56,144.11,6.46,26.06,0.05,234.34,1.19,14-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Jun-2018 - 00:00,,0.24,0.13,0.0,0.38,0.68,0.0,19.73,5.25,15.97,11.11,14.16,81.88,150.3,6.14,25.68,0.04,229.69,1.1,15-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Jun-2018 - 00:00,,0.21,0.02,0.0,0.34,0.71,0.0,9.08,5.36,20.23,13.1,15.44,73.41,191.99,6.72,26.31,0.02,240.58,0.94,16-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Jun-2018 - 00:00,,0.79,0.5,0.29,1.26,1.15,0.0,59.2,11.13,33.13,23.88,20.36,68.17,314.52,6.36,26.99,0.02,241.57,0.97,17-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Jun-2018 - 00:00,,0.0,0.0,0.0,0.0,1.05,0.0,18.7,3.55,13.29,8.43,17.16,81.04,261.74,8.44,25.61,0.03,242.62,1.08,18-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Jun-2018 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Jun-2018 - 00:00,,0.17,,0.0,0.28,1.28,0.0,11.44,3.2,17.65,10.18,18.57,75.41,37.13,6.92,,0.06,218.52,1.35,21-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Jun-2018 - 00:00,,0.24,,0.0,0.38,1.0,0.0,12.38,6.24,26.06,14.12,26.25,81.23,86.03,6.5,,0.05,229.32,1.25,22-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Jun-2018 - 00:00,,0.24,,0.0,0.38,0.94,0.0,19.28,26.05,93.48,63.71,24.58,73.37,131.7,6.14,,0.04,231.28,1.08,23-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Jun-2018 - 00:00,,0.43,,0.03,0.68,1.12,0.0,18.09,17.53,52.16,32.55,17.07,82.28,151.18,5.78,,0.02,231.91,0.94,24-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Jun-2018 - 00:00,,0.01,,0.0,0.01,1.18,0.0,24.21,3.05,13.75,8.54,18.74,77.36,172.87,5.94,,0.04,231.22,1.14,25-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Jun-2018 - 00:00,,0.14,,0.0,0.23,1.06,0.0,127.49,5.98,19.51,11.07,14.46,75.48,80.01,6.19,,0.04,231.24,1.15,26-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Jun-2018 - 00:00,,0.05,,0.0,0.08,1.29,0.0,28.28,4.71,18.7,11.7,18.51,76.6,195.57,6.88,,0.06,236.38,1.32,27-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Jun-2018 - 00:00,,0.11,,0.0,0.18,1.03,0.0,5.58,4.75,20.68,12.41,18.75,83.01,113.55,7.38,,0.06,230.55,1.31,28-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Jun-2018 - 00:00,,0.26,,0.0,0.42,1.09,0.0,4.75,10.66,30.39,21.3,17.46,81.67,84.44,6.46,,0.05,227.78,1.19,29-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Jun-2018 - 00:00,,0.31,,0.0,0.49,1.1,0.06,6.75,11.61,25.61,16.36,21.28,80.28,144.5,6.59,,0.02,225.27,0.92,30-Jun-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Jun-2018 - 00:00,,0.73,,0.13,1.16,1.38,0.22,8.55,74.89,85.46,79.4,19.62,75.41,173.96,7.43,,0.01,240.11,0.85,01-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Jul-2018 - 00:00,,0.1,,0.0,0.16,1.04,0.0,12.58,160.95,72.93,115.32,20.37,74.44,169.6,6.44,,-0.01,232.81,0.67,02-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Jul-2018 - 00:00,,0.44,,0.01,0.7,1.14,0.0,14.56,100.23,107.51,86.95,19.17,70.23,227.44,14.66,,0.03,231.18,0.98,03-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Jul-2018 - 00:00,,0.37,,0.0,0.59,1.11,0.0,21.4,126.06,173.94,117.46,18.28,69.29,176.38,8.12,,0.03,237.36,1.05,04-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Jul-2018 - 00:00,,0.33,,0.0,0.53,0.96,0.0,17.82,,,,16.65,68.47,155.0,6.69,,0.04,241.68,1.09,05-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Jul-2018 - 00:00,,0.48,,0.01,0.76,0.9,0.0,20.03,,,,18.23,63.33,207.14,6.58,,0.05,239.02,1.19,06-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Jul-2018 - 00:00,,0.21,,0.0,0.34,1.01,0.0,22.16,,,,17.38,76.79,116.38,8.55,,0.05,236.48,1.18,07-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Jul-2018 - 00:00,,0.2,,0.0,0.32,1.05,0.0,18.16,,,,19.52,80.72,106.21,6.08,,0.05,233.08,1.25,08-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Jul-2018 - 00:00,,0.03,,0.0,0.05,2.16,0.0,13.65,,,,16.39,86.67,76.58,5.36,,0.02,235.59,0.97,09-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Jul-2018 - 00:00,,0.22,,0.0,0.35,1.16,0.0,30.56,,,,15.07,84.98,137.98,5.65,,0.03,233.36,1.02,10-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Jul-2018 - 00:00,,0.31,,0.02,0.49,1.14,0.04,27.55,,,,17.23,84.56,106.98,5.13,,0.04,227.17,1.12,11-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Jul-2018 - 00:00,,0.18,,0.0,0.29,1.18,0.0,19.2,,,,17.74,83.55,108.01,5.97,,0.05,229.89,1.2,12-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Jul-2018 - 00:00,,0.16,,0.0,0.26,0.97,0.0,26.88,,,,19.77,78.08,109.08,9.57,,0.07,234.75,1.37,13-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Jul-2018 - 00:00,,0.25,,0.0,0.4,1.21,0.0,15.99,,,,20.99,79.27,148.41,5.97,,0.07,236.78,1.36,14-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Jul-2018 - 00:00,,0.21,,0.0,0.33,1.18,0.0,23.2,,,,17.47,84.82,49.48,6.49,,0.05,235.06,1.23,15-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Jul-2018 - 00:00,,0.02,,0.0,0.04,1.31,0.0,17.57,,,,20.23,74.04,133.88,5.52,,0.07,239.43,1.44,16-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Jul-2018 - 00:00,,0.14,,0.0,0.23,1.26,0.0,41.78,,,,17.51,78.38,94.64,5.64,,0.08,234.83,1.48,17-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Jul-2018 - 00:00,987.46,0.24,,0.0,0.39,1.5,0.0,10.62,24.14,41.39,28.36,20.72,77.26,124.94,6.35,,0.09,239.55,1.53,18-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Jul-2018 - 00:00,898.64,,,,,0.67,,11.06,4.0,9.1,7.09,20.87,77.48,176.54,2.95,,0.08,238.39,1.34,19-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Jul-2018 - 00:00,902.31,,,,,1.02,,5.62,4.13,9.37,7.31,22.51,83.26,95.78,2.2,,0.08,240.66,1.25,20-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Jul-2018 - 00:00,899.85,0.0,,0.0,0.0,0.51,0.0,2.82,4.05,9.19,7.17,25.07,79.99,138.67,2.91,,0.08,243.23,1.41,21-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Jul-2018 - 00:00,902.76,,,,,0.85,,3.18,4.14,9.4,7.33,22.86,85.3,82.31,3.06,,0.09,243.78,1.19,22-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Jul-2018 - 00:00,899.71,,,,,0.51,,5.69,4.04,9.18,7.15,22.65,79.54,153.28,3.39,,0.08,239.9,1.23,23-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Jul-2018 - 00:00,903.57,,,,,0.89,,9.25,4.18,9.47,7.39,16.07,86.02,111.01,2.94,,0.09,240.8,1.01,24-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Jul-2018 - 00:00,901.44,,,,,1.66,,3.29,4.11,9.32,7.26,16.16,82.19,94.94,2.8,,0.09,239.58,1.1,25-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Jul-2018 - 00:00,902.49,,,,,0.9,,7.41,4.14,9.4,7.33,15.35,84.07,101.56,2.64,,0.09,236.44,0.94,26-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Jul-2018 - 00:00,899.82,,,,,0.67,,17.24,4.05,9.21,7.18,17.12,79.45,126.34,2.48,,0.08,235.84,1.0,27-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Jul-2018 - 00:00,900.52,1.62,,0.24,2.03,0.88,0.52,22.1,4.07,9.25,7.21,17.9,80.76,133.16,1.99,,0.08,234.16,1.1,28-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Jul-2018 - 00:00,901.38,0.54,,0.01,0.67,0.69,0.0,14.37,4.11,9.32,7.26,18.06,81.97,132.48,1.39,,0.08,233.17,0.95,29-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Jul-2018 - 00:00,900.29,0.48,,0.09,0.6,0.71,0.0,16.96,4.07,9.24,7.2,17.32,79.9,104.86,1.79,,0.09,239.23,0.92,30-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Jul-2018 - 00:00,898.64,1.59,,0.04,1.99,1.29,0.32,30.11,4.32,11.41,8.34,16.43,76.95,136.59,2.22,,0.09,242.56,0.99,31-Jul-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
31-Jul-2018 - 00:00,900.65,0.34,,0.0,0.42,0.66,0.0,12.05,3.25,9.59,6.43,18.96,80.45,136.09,2.87,,0.08,231.97,1.12,01-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Aug-2018 - 00:00,901.34,0.79,,0.07,0.98,0.69,0.19,19.36,3.45,10.95,7.24,17.69,81.65,122.37,2.71,,0.08,236.99,1.07,02-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Aug-2018 - 00:00,898.46,0.61,,0.03,0.76,0.55,0.0,12.93,3.33,9.09,6.24,17.28,76.35,164.5,2.82,,0.09,243.97,1.0,03-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Aug-2018 - 00:00,901.18,5.57,,3.96,6.97,0.88,4.45,30.62,3.71,10.71,7.32,14.46,82.04,119.6,2.38,,0.08,236.29,0.93,04-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Aug-2018 - 00:00,900.44,1.33,,0.01,1.66,1.06,0.0,21.21,3.93,11.98,8.09,12.21,80.4,143.53,1.79,,0.09,242.57,1.11,05-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Aug-2018 - 00:00,897.48,0.26,,0.0,0.32,0.72,0.0,18.29,3.64,10.4,7.11,16.0,74.53,133.61,2.9,,0.09,245.16,1.13,06-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Aug-2018 - 00:00,898.25,1.09,,0.11,1.36,0.77,0.0,25.13,5.4,14.74,10.57,16.56,76.41,132.75,2.68,,0.08,243.91,1.24,07-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Aug-2018 - 00:00,902.43,0.64,,0.08,0.79,0.76,0.0,17.2,3.69,10.28,7.09,16.48,83.95,94.01,2.91,,0.08,237.51,1.11,08-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Aug-2018 - 00:00,903.55,1.05,,0.01,1.31,1.34,0.0,14.24,8.38,11.32,11.12,11.7,87.21,4.67,3.91,,0.08,236.59,1.05,09-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Aug-2018 - 00:00,901.45,1.02,,0.01,1.28,0.66,0.0,11.68,3.91,10.49,7.36,13.91,82.31,220.33,2.78,,0.09,242.11,1.17,10-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Aug-2018 - 00:00,,,,,,,,,,,,,,,,,,,,11-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Aug-2018 - 00:00,902.01,2.52,,0.32,3.15,0.77,0.31,54.08,10.22,15.83,10.2,12.96,84.55,71.31,4.57,,0.09,247.71,1.23,12-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Aug-2018 - 00:00,904.79,0.54,,0.01,0.68,0.56,0.0,4.97,8.03,12.9,8.79,14.89,88.67,98.85,4.15,,0.09,249.35,1.31,13-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Aug-2018 - 00:00,903.22,0.6,,0.01,0.76,0.53,0.0,5.0,4.91,11.87,13.66,14.63,85.82,99.65,4.6,,0.08,242.82,1.34,14-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Aug-2018 - 00:00,905.9,0.94,,0.02,1.17,0.53,0.0,3.37,4.31,11.5,15.8,13.63,90.83,106.66,4.08,,0.09,241.38,1.07,15-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Aug-2018 - 00:00,905.41,0.63,,0.07,0.79,0.54,0.0,11.6,3.53,9.5,13.02,14.95,90.01,98.09,4.04,,0.09,242.72,1.04,16-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Aug-2018 - 00:00,903.14,0.43,,0.0,0.54,0.49,0.0,6.85,3.88,11.28,15.04,20.2,86.18,105.34,4.54,,0.08,234.41,1.38,17-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Aug-2018 - 00:00,900.79,0.85,,0.01,1.06,0.6,0.0,12.71,4.05,9.82,13.87,19.25,81.08,127.47,6.34,,0.08,242.32,1.33,18-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Aug-2018 - 00:00,902.3,0.19,,0.0,0.24,0.51,0.0,12.72,4.41,9.82,14.23,18.19,84.16,50.87,10.03,,0.09,244.87,1.28,19-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Aug-2018 - 00:00,900.56,0.55,,0.0,0.68,0.54,0.0,11.8,4.8,10.89,15.69,19.51,81.0,111.41,10.27,,0.09,251.81,1.24,20-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Aug-2018 - 00:00,900.33,0.78,,0.01,0.97,0.55,0.0,11.89,6.65,12.5,18.2,19.52,80.08,119.01,9.83,,0.09,246.51,1.33,21-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Aug-2018 - 00:00,896.99,1.01,,0.04,1.26,0.55,0.0,11.82,4.72,10.65,15.37,20.27,73.81,149.27,9.55,,0.08,242.81,1.25,22-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Aug-2018 - 00:00,897.23,0.53,,0.01,0.67,0.48,0.0,11.49,4.58,10.44,15.02,19.74,74.53,136.52,9.92,,0.09,242.21,1.05,23-Aug-2018 - 00:00,"BTM Layout, Bengaluru - CPCB"
