from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Eth-Benzene,to date,station
03-Feb-2018 - 00:00,,,,,,,,,,185.21,111.13,22.81,17.81,40.62,1.12,,38.2,,-9999.0,04-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
04-Feb-2018 - 00:00,,,,,,,,,,224.64,135.32,22.03,17.03,39.05,1.06,,41.78,,-9999.0,05-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
05-Feb-2018 - 00:00,,,,,,,,,,211.5,126.85,22.58,17.58,40.15,1.11,,39.69,,-9999.0,06-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
06-Feb-2018 - 00:00,,,,,,,,,,208.9,125.34,22.24,17.24,39.48,1.08,,39.51,,-9999.0,07-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
07-Feb-2018 - 00:00,,,,,,,,,,165.97,99.58,21.42,16.42,37.83,1.01,,48.29,,,08-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
08-Feb-2018 - 00:00,,,,,,,,,,227.25,136.35,22.35,17.35,39.7,1.09,,41.27,,,09-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
09-Feb-2018 - 00:00,,,,,,,,,,255.67,153.4,22.18,17.18,39.35,1.07,,42.59,,,10-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
10-Feb-2018 - 00:00,,,,,,,,,,257.92,154.75,22.63,17.63,40.27,1.11,,42.62,,,11-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
11-Feb-2018 - 00:00,,,,,,,,,,194.87,116.84,22.75,17.75,40.5,1.12,,37.98,,,12-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
12-Feb-2018 - 00:00,,,,,,,,,,95.6,57.36,23.02,18.02,41.04,1.14,,32.14,,,13-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
13-Feb-2018 - 00:00,,,,,,,,,,116.4,69.82,23.79,18.79,42.58,1.2,,31.42,,,14-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
14-Feb-2018 - 00:00,,,,,,,,,,100.39,60.24,22.87,17.87,40.75,1.13,,34.84,,,15-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
15-Feb-2018 - 00:00,,,,,,,,,,133.6,80.14,21.98,16.98,38.96,1.06,,38.87,,,16-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
16-Feb-2018 - 00:00,,,,,,,,,,112.78,67.66,21.72,16.72,38.44,1.04,,42.53,,,17-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
17-Feb-2018 - 00:00,,,,,,,,,,147.05,88.23,22.56,17.56,40.13,1.11,,37.67,,,18-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
18-Feb-2018 - 00:00,,,,,,,,,,154.09,92.45,22.7,17.7,40.41,1.12,,38.87,,,19-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
19-Feb-2018 - 00:00,,,,,,,,,,223.05,133.6,23.06,18.06,41.12,1.14,,39.95,,,20-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
20-Feb-2018 - 00:00,,,,,,,,,,251.98,151.17,22.78,17.78,40.56,1.12,,40.2,,,21-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
21-Feb-2018 - 00:00,,,,,,,,,,238.26,142.94,23.1,18.1,41.2,1.15,,41.85,,,22-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
22-Feb-2018 - 00:00,,,,,,,,,,225.19,135.11,23.53,18.53,42.06,1.18,,35.12,,,23-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
23-Feb-2018 - 00:00,,,,,,,,,,215.41,129.09,22.68,17.68,40.35,1.11,,43.97,,,24-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
24-Feb-2018 - 00:00,,,,,,,,,,246.33,147.8,20.3,15.3,35.61,0.92,,49.69,,,25-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
25-Feb-2018 - 00:00,,,,,,,,,,181.02,108.61,20.63,15.63,36.27,0.95,,48.03,,,26-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
26-Feb-2018 - 00:00,,,,,,,,,,85.97,51.58,21.26,16.26,37.51,1.0,,42.56,,,27-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
27-Feb-2018 - 00:00,,,,,,,,,,97.4,58.44,21.73,16.73,38.46,1.04,,42.11,,,28-Feb-2018 - 00:00,"Aya Nagar, Delhi - IMD"
28-Feb-2018 - 00:00,,,,,,,,,,216.75,130.05,21.87,16.87,38.73,1.05,,39.48,,,01-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
01-Mar-2018 - 00:00,,,,,,,,,,169.0,101.4,22.38,17.38,39.76,1.09,,36.36,,,02-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
02-Mar-2018 - 00:00,,,,,,,,,,133.05,79.61,22.13,17.13,39.26,1.07,,39.6,,,03-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
03-Mar-2018 - 00:00,,,,,,,,,,133.21,79.92,22.62,17.62,40.23,1.11,,35.24,,,04-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
04-Mar-2018 - 00:00,,,,,,,,,,115.33,69.2,23.11,18.11,41.22,1.15,,33.44,,,05-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
05-Mar-2018 - 00:00,,,,,,,,,,105.64,63.38,22.68,17.68,40.37,1.11,,34.7,,,06-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
06-Mar-2018 - 00:00,,,,,,,,,,91.14,54.69,22.15,17.15,39.31,1.07,,37.7,,,07-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
07-Mar-2018 - 00:00,,,,,,,,,,106.13,63.68,22.03,17.03,39.06,1.06,,38.4,,,08-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
08-Mar-2018 - 00:00,,,,,,,,,,149.31,89.58,21.5,16.5,38.01,1.02,,43.45,,,09-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
09-Mar-2018 - 00:00,,,,,,,,,,170.05,102.03,21.41,16.41,37.83,1.01,,42.49,,,10-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
10-Mar-2018 - 00:00,,,,,,,,,,103.6,62.16,22.29,17.29,39.57,1.08,,37.13,,,11-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
11-Mar-2018 - 00:00,,,,,,,,,,106.13,63.68,21.96,16.96,38.93,1.06,,39.37,,,12-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
12-Mar-2018 - 00:00,,,,,,,,,,139.02,61.91,21.78,16.78,38.57,1.04,,40.89,,,13-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
13-Mar-2018 - 00:00,,,,,,,,,,162.41,8.0,22.17,17.17,39.34,1.07,,38.6,,,14-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
14-Mar-2018 - 00:00,,,,,,,,,,160.68,8.0,22.53,17.53,40.06,1.1,,35.71,,,15-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
15-Mar-2018 - 00:00,,,,,,,,,,164.97,8.0,22.66,17.66,40.32,1.11,,34.65,,,16-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
16-Mar-2018 - 00:00,,,,,,,,,,167.72,30.87,22.09,17.09,39.18,1.07,,42.02,,,17-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
17-Mar-2018 - 00:00,,,,,,,,,,110.67,66.4,22.24,17.24,39.47,1.08,,38.61,,,18-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
18-Mar-2018 - 00:00,,,,,,,,,,110.94,66.55,21.84,16.84,38.69,1.05,,40.2,,,19-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
19-Mar-2018 - 00:00,,,,,,,,,,105.22,63.03,22.66,17.66,40.31,1.11,,38.29,,,20-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
20-Mar-2018 - 00:00,,,,,,,,,,149.05,89.43,21.81,16.81,38.62,1.04,,43.58,,,21-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
21-Mar-2018 - 00:00,,,,,,,,,,181.57,108.94,21.39,16.39,37.78,1.01,,43.34,,,22-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
22-Mar-2018 - 00:00,,,,,,,,,,116.47,58.44,27.86,22.86,50.72,1.53,,30.71,,,23-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
23-Mar-2018 - 00:00,,,,,,,,,,94.47,8.0,21.79,16.79,38.58,1.18,,43.62,,,24-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
24-Mar-2018 - 00:00,,,,,,,,,,130.01,8.0,20.06,15.06,35.12,0.9,,56.7,,,25-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
25-Mar-2018 - 00:00,,,,,,,,,,117.9,8.0,19.25,14.3,33.55,0.85,,60.92,,,26-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
26-Mar-2018 - 00:00,,,,,,,,,,121.34,8.0,20.75,15.75,36.5,0.96,,59.15,,,27-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
27-Mar-2018 - 00:00,,,,,,,,,,163.44,70.77,20.71,15.71,36.42,0.96,,53.31,,,28-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
28-Mar-2018 - 00:00,,,,,,,,,,175.3,118.07,20.5,15.5,35.99,0.94,,53.52,,,29-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
29-Mar-2018 - 00:00,,,,,,,,,,150.26,50.2,20.01,15.01,35.01,0.9,,56.42,,,30-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
30-Mar-2018 - 00:00,,,,,,,,,,207.32,41.96,20.06,15.06,35.12,0.9,,55.47,,,31-Mar-2018 - 00:00,"Aya Nagar, Delhi - IMD"
31-Mar-2018 - 00:00,,,,,,,,,,240.06,62.03,20.01,15.01,35.03,0.9,,57.67,,,01-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
01-Apr-2018 - 00:00,,,,,,,,,,127.15,,19.79,14.79,34.58,0.88,,61.43,,,02-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
02-Apr-2018 - 00:00,,,,,,,,,,184.67,150.3,19.9,14.9,34.79,0.89,,60.85,,,03-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
03-Apr-2018 - 00:00,,,,,,,,,,208.59,131.87,19.42,14.42,33.84,0.85,,62.96,,,04-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
04-Apr-2018 - 00:00,,,,,,,,,,203.36,256.57,19.44,14.44,33.87,0.85,,68.59,,,05-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
05-Apr-2018 - 00:00,,,,,,,,,,269.95,71.17,18.94,13.94,32.89,0.82,,68.84,,,06-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
06-Apr-2018 - 00:00,,,,,,,,,,219.98,54.47,20.42,15.42,35.83,0.93,,58.06,,,07-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
07-Apr-2018 - 00:00,,,,,,,,,,113.31,77.01,20.56,15.56,36.12,0.94,,52.69,,,08-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
08-Apr-2018 - 00:00,,,,,,,,,,93.14,44.5,19.45,14.45,33.9,0.86,,61.18,,,09-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
09-Apr-2018 - 00:00,,,,,,,,,,137.24,369.34,21.61,16.61,38.22,1.06,0.0,41.18,,,10-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
10-Apr-2018 - 00:00,,,,,,,,,,218.6,263.05,20.28,15.28,35.55,1.16,,57.3,,,11-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
11-Apr-2018 - 00:00,,,,,,,,,,97.25,14.72,19.93,14.93,34.87,1.12,,53.37,,,12-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
12-Apr-2018 - 00:00,,,,,,,,,,73.83,20.29,20.87,15.87,36.74,1.13,,49.98,,,13-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
13-Apr-2018 - 00:00,,,,,,,,,,111.28,,20.72,15.72,36.44,1.14,,54.32,,,14-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
14-Apr-2018 - 00:00,,,,,,,,,,133.5,26.3,20.58,15.58,36.17,1.04,,55.06,,,15-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
15-Apr-2018 - 00:00,,,,,,,,,,198.99,55.94,20.47,15.47,35.94,1.05,,60.45,,,16-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
16-Apr-2018 - 00:00,,,,,,,,,,282.61,76.47,31.39,16.0,34.99,1.38,,61.9,,,17-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
17-Apr-2018 - 00:00,,,,,,,,,,212.36,34.31,,15.65,0.01,1.32,,116.41,,,18-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
18-Apr-2018 - 00:00,,,,,,,,,,190.48,71.97,101.58,15.15,9.82,0.63,,137.12,,,19-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
19-Apr-2018 - 00:00,,,,,,,,,,219.44,39.65,,15.88,0.0,0.76,,111.96,,,20-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
20-Apr-2018 - 00:00,,,,,,,,,,372.82,57.37,14.12,15.76,7.52,0.72,,66.45,,,21-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
21-Apr-2018 - 00:00,,,,,,,,,,362.05,84.12,20.2,19.37,39.1,0.73,,77.09,,,22-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
22-Apr-2018 - 00:00,,,,,,,,,,155.11,,12.05,17.62,29.67,0.64,,85.55,,,23-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
23-Apr-2018 - 00:00,,,,,,,,,,159.57,244.1,5.8,16.6,22.4,0.7,,83.59,,,24-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
24-Apr-2018 - 00:00,,,,,,,,,,189.51,67.97,9.91,18.41,28.19,0.57,,72.34,,,25-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
25-Apr-2018 - 00:00,,,,,,,,,,237.64,,16.9,20.19,37.1,1.0,,60.64,,,26-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
26-Apr-2018 - 00:00,,,,,,,,,,325.09,292.3,17.63,20.41,37.52,0.65,,68.9,,,27-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
27-Apr-2018 - 00:00,,,,,,,,,,288.38,,9.73,17.77,27.5,0.68,,86.7,,,28-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
28-Apr-2018 - 00:00,,,,,,,,,,277.19,36.68,13.21,18.1,31.31,0.6,,91.54,,,29-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
29-Apr-2018 - 00:00,,,,,,,,,,215.59,33.32,13.26,18.15,31.4,0.69,,98.06,,,30-Apr-2018 - 00:00,"Aya Nagar, Delhi - IMD"
30-Apr-2018 - 00:00,,,,,,,,,,166.43,102.87,14.69,18.71,33.42,0.8,,86.14,,,01-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
01-May-2018 - 00:00,,,,,,,,,,131.66,58.48,18.36,19.43,37.72,0.95,,82.42,,,02-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
02-May-2018 - 00:00,,,,,,,,,,151.31,147.31,104.55,97.63,96.16,2.17,0.0,85.16,,,03-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
03-May-2018 - 00:00,,,,,,,,,,118.98,102.81,121.41,18.6,127.45,3.39,,81.92,,,04-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
04-May-2018 - 00:00,,,,,,,,,,125.17,106.03,70.01,21.41,83.86,2.85,,72.99,,,05-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
05-May-2018 - 00:00,,,,,,,,,,175.37,27.62,41.16,18.84,41.24,1.72,,57.07,,,06-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
06-May-2018 - 00:00,,,,,,,,,,239.45,123.23,222.34,52.54,203.38,1.82,,45.3,,,07-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
07-May-2018 - 00:00,,,,,,,,,,306.23,71.29,203.53,52.66,216.25,2.21,,45.33,,,08-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
08-May-2018 - 00:00,,,,,,,,,,141.56,106.04,66.74,18.68,15.15,0.8,,52.55,,,09-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
09-May-2018 - 00:00,,,,,,,,,,148.62,59.63,88.29,21.09,16.64,2.07,,51.89,,,10-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
10-May-2018 - 00:00,,,,,,,,,,186.67,23.37,90.74,56.37,102.09,1.42,,58.71,,,11-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
11-May-2018 - 00:00,,,,,,,,,,308.34,55.37,201.1,60.45,209.26,1.46,,65.48,,,12-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
12-May-2018 - 00:00,,,,,,,,,,380.36,56.62,377.02,60.32,375.59,1.33,,67.47,,,13-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
13-May-2018 - 00:00,,,,,,,,,,165.12,54.15,222.32,39.56,234.25,1.39,,64.03,,,14-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
14-May-2018 - 00:00,,,,,,,,,,94.77,65.41,229.62,116.77,103.08,2.46,,49.84,,,15-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
15-May-2018 - 00:00,,,,,,,,,,144.58,67.35,,62.23,22.57,3.06,,48.88,,,16-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
16-May-2018 - 00:00,,,,,,,,,,210.85,83.39,,62.33,22.58,2.41,,50.34,,,17-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
17-May-2018 - 00:00,,,,,,,,,,191.46,56.43,,62.36,22.59,2.45,,59.41,,,18-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
18-May-2018 - 00:00,,,,,,,,,,163.34,174.27,,62.27,22.57,3.45,,48.02,,,19-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
19-May-2018 - 00:00,,,,,,,,,,166.59,38.08,,62.04,22.52,4.53,,43.85,,,20-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
20-May-2018 - 00:00,,,,,,,,,,129.97,34.2,,62.07,22.54,4.37,,55.77,,,21-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
21-May-2018 - 00:00,,,,,,,,,,131.83,51.31,11.88,53.34,25.77,3.1,,57.76,,,22-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
22-May-2018 - 00:00,,,,,,,,,,188.29,80.84,14.77,24.37,32.33,1.78,,54.14,,,23-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
23-May-2018 - 00:00,,,,,,,,,,195.6,92.88,7.91,24.35,30.49,2.27,,55.6,,,24-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
24-May-2018 - 00:00,,,,,,,,,,166.0,80.33,7.52,24.37,31.85,2.25,,49.92,,,25-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
25-May-2018 - 00:00,0.87,97.22,11.28,,44.56,6.5,,,13.74,133.3,88.75,12.22,24.36,31.65,2.14,,49.61,,,26-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
26-May-2018 - 00:00,0.99,52.85,4.71,2.68,33.61,16.11,797.35,963.62,13.82,143.22,236.97,12.93,24.42,31.57,2.46,0.0,49.14,,,27-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
27-May-2018 - 00:00,0.62,176.54,5.42,4.15,35.98,23.68,806.48,974.45,13.78,335.57,107.19,14.52,24.38,34.89,2.48,,48.64,,,28-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
28-May-2018 - 00:00,0.51,226.92,4.0,4.16,36.39,22.77,803.37,975.11,13.79,214.36,112.43,8.06,24.4,31.68,3.27,,58.6,,,29-May-2018 - 00:00,"Aya Nagar, Delhi - IMD"
