from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,Toluene,CO,NH3,NO2,NO,NOx,Ozone,PM10,PM2.5,SR,WS,WD,SO2,to date,station
19-Feb-2018 - 00:00,1.56,0.51,2.05,0.97,7.7,0.58,23.14,33.2,3.58,19.73,76.78,93.93,43.93,217.57,1.89,207.34,7.07,20-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
20-Feb-2018 - 00:00,1.67,0.46,1.96,0.94,8.04,0.57,27.76,32.6,2.24,18.26,66.93,101.23,46.68,223.02,1.73,168.81,9.62,21-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
21-Feb-2018 - 00:00,2.0,0.84,3.3,1.55,10.23,0.7,29.58,36.89,4.98,23.67,82.25,107.52,46.22,224.77,2.02,163.14,9.95,22-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
22-Feb-2018 - 00:00,1.75,0.51,2.07,0.95,7.25,0.5,27.32,31.11,1.75,16.83,98.53,113.19,48.79,223.31,1.97,174.38,6.09,23-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
23-Feb-2018 - 00:00,1.6,0.47,1.8,0.89,6.97,0.53,29.95,29.22,1.42,15.63,99.65,115.44,50.71,216.31,1.9,179.46,5.86,24-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
24-Feb-2018 - 00:00,1.67,0.39,1.34,0.68,6.31,0.52,29.96,29.26,1.81,15.9,89.17,120.7,174.91,202.39,1.97,182.0,13.37,25-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
25-Feb-2018 - 00:00,2.13,0.89,3.2,1.51,9.49,0.75,30.97,41.39,5.49,25.57,86.85,115.19,61.24,210.31,2.0,156.04,16.09,26-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
26-Feb-2018 - 00:00,1.95,0.63,2.6,1.2,8.57,0.63,29.77,34.05,3.08,19.71,98.82,117.95,58.82,213.89,2.19,163.9,9.43,27-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
27-Feb-2018 - 00:00,6.13,5.81,22.12,10.18,30.46,0.98,31.23,42.0,12.96,32.4,60.85,114.42,55.96,215.15,2.02,170.75,12.68,28-Feb-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
28-Feb-2018 - 00:00,6.39,5.19,21.88,8.8,37.44,0.73,27.01,35.83,4.22,21.81,86.29,114.47,88.67,212.04,1.95,145.32,12.68,01-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
01-Mar-2018 - 00:00,8.93,5.65,22.46,9.38,41.91,1.05,31.15,42.87,4.35,25.87,78.97,134.89,108.28,198.26,1.72,188.62,17.01,02-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
02-Mar-2018 - 00:00,6.43,3.39,13.91,5.71,32.05,0.79,27.25,29.67,1.93,16.53,104.02,119.22,88.54,214.99,2.27,167.34,6.54,03-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
03-Mar-2018 - 00:00,3.37,2.68,10.87,4.2,22.33,0.51,21.65,27.67,1.83,17.08,97.73,93.61,55.58,197.94,1.94,185.15,7.36,04-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
04-Mar-2018 - 00:00,2.73,1.47,6.15,2.68,19.65,0.4,22.13,23.79,1.59,12.89,110.95,84.85,45.71,217.86,1.73,188.12,13.19,05-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
05-Mar-2018 - 00:00,3.07,1.39,5.81,2.76,20.42,0.41,23.34,24.24,1.37,12.93,114.07,90.96,79.15,223.1,1.75,190.67,7.05,06-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
06-Mar-2018 - 00:00,3.6,2.18,10.43,4.34,23.88,0.6,19.52,24.99,1.7,17.78,97.78,93.34,61.04,216.47,2.53,167.3,11.16,07-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
07-Mar-2018 - 00:00,5.45,3.1,12.85,5.11,29.4,0.64,26.93,33.32,2.43,18.51,81.57,137.31,62.11,115.86,2.16,196.46,11.02,08-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
08-Mar-2018 - 00:00,4.67,1.99,7.74,3.42,23.99,0.56,24.62,26.45,1.4,14.08,110.86,125.97,55.25,207.86,2.14,172.61,16.62,09-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
09-Mar-2018 - 00:00,3.23,1.86,8.29,3.47,19.75,0.51,20.53,25.41,1.32,13.63,124.72,106.94,43.93,210.6,2.13,205.59,10.97,10-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
10-Mar-2018 - 00:00,5.28,2.14,8.95,3.71,21.88,0.62,23.56,27.84,2.14,15.51,134.76,141.19,56.84,179.68,2.1,204.06,9.47,11-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
11-Mar-2018 - 00:00,4.25,1.5,6.47,2.73,19.07,0.52,20.66,26.61,1.35,14.15,116.8,116.36,46.46,211.81,1.9,196.84,7.74,12-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
12-Mar-2018 - 00:00,3.41,1.68,8.57,3.54,20.07,0.44,18.59,28.89,1.88,15.96,90.17,103.11,41.57,228.68,1.85,198.38,7.98,13-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
13-Mar-2018 - 00:00,3.47,1.61,7.45,3.07,17.23,0.42,18.62,26.65,1.9,14.6,109.32,131.15,43.6,222.34,2.19,183.92,12.88,14-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
14-Mar-2018 - 00:00,1.82,0.99,4.22,1.95,15.14,0.29,18.05,22.34,1.44,11.99,80.84,95.21,34.02,193.28,2.45,259.22,7.4,15-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
15-Mar-2018 - 00:00,5.99,5.68,22.51,9.23,35.81,0.83,27.38,41.16,10.87,30.18,66.18,97.99,48.14,84.12,1.92,180.53,11.12,16-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
16-Mar-2018 - 00:00,41.21,7.6,27.41,10.39,40.04,0.89,36.31,42.48,6.47,26.8,70.16,101.7,57.63,314.92,1.99,155.62,19.29,17-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
17-Mar-2018 - 00:00,5.59,5.28,24.38,9.64,35.03,0.76,31.88,43.6,10.75,30.65,111.01,81.61,40.18,376.15,2.46,171.19,16.53,18-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
18-Mar-2018 - 00:00,4.63,2.64,11.81,4.54,22.82,0.53,29.57,32.01,2.4,17.65,94.83,86.96,49.78,195.28,2.29,174.2,,19-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
19-Mar-2018 - 00:00,2.68,1.13,4.35,1.91,15.3,0.41,23.79,22.13,1.18,11.57,118.3,95.29,47.01,211.37,2.34,254.56,10.31,20-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
20-Mar-2018 - 00:00,2.19,1.13,4.7,2.06,16.14,0.36,20.05,21.11,1.22,11.14,85.65,91.11,37.1,269.35,2.26,228.68,6.07,21-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
21-Mar-2018 - 00:00,1.68,0.88,2.93,1.41,14.68,0.31,18.11,15.76,1.78,8.69,96.11,85.48,38.83,276.18,2.35,223.49,5.82,22-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
22-Mar-2018 - 00:00,1.46,0.79,2.68,1.32,13.87,0.4,18.58,14.8,3.48,10.23,84.63,75.61,35.49,179.48,2.48,242.0,9.97,23-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
23-Mar-2018 - 00:00,1.5,0.97,3.37,1.68,15.92,0.26,21.31,17.6,1.58,9.34,107.35,87.66,38.96,286.16,1.99,219.76,2.95,24-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
24-Mar-2018 - 00:00,3.55,2.12,9.59,3.93,20.95,0.49,20.42,29.11,2.72,17.18,108.49,93.1,48.01,253.8,2.25,162.29,7.2,25-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
25-Mar-2018 - 00:00,6.96,5.76,24.8,9.82,38.02,0.98,25.0,42.68,17.66,36.15,,96.98,47.73,251.98,2.29,194.84,10.3,26-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
26-Mar-2018 - 00:00,7.3,6.78,29.4,11.49,43.98,0.94,24.49,47.89,9.69,32.73,104.96,114.84,66.49,259.07,2.14,162.26,16.83,27-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
27-Mar-2018 - 00:00,4.88,3.65,9.0,5.44,18.79,0.49,19.87,23.25,1.32,12.43,82.3,73.75,40.79,269.54,2.11,188.81,10.59,28-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
28-Mar-2018 - 00:00,2.84,1.35,4.74,2.13,16.88,0.41,19.63,20.61,1.25,11.69,112.72,102.89,50.87,273.87,2.57,231.94,17.16,29-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
29-Mar-2018 - 00:00,2.19,1.23,3.97,2.04,16.0,0.37,23.49,19.33,0.99,10.59,104.99,66.78,41.82,293.17,2.12,222.09,16.07,30-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
30-Mar-2018 - 00:00,2.08,1.14,3.58,1.78,15.59,0.37,23.98,20.13,0.68,10.85,102.26,69.66,47.8,291.24,2.2,221.21,6.88,31-Mar-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
31-Mar-2018 - 00:00,2.22,1.02,3.55,1.74,14.63,0.38,22.67,19.74,0.78,10.66,86.91,93.56,47.83,270.83,2.48,213.83,3.26,01-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
01-Apr-2018 - 00:00,2.3,0.83,2.85,1.36,12.91,0.33,28.39,17.4,18.84,23.08,111.16,76.63,46.23,274.06,2.35,231.45,2.72,02-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
02-Apr-2018 - 00:00,3.2,1.04,3.5,1.59,13.36,0.42,14.24,5.01,18.65,42.44,134.63,94.66,64.65,261.45,2.37,211.56,6.64,03-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
03-Apr-2018 - 00:00,2.76,1.07,3.92,1.65,14.32,0.43,5.89,8.95,2.59,15.35,117.31,106.22,65.77,258.79,2.37,193.86,6.04,04-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
04-Apr-2018 - 00:00,2.15,0.89,3.46,1.41,10.67,0.41,5.81,7.76,0.87,9.41,149.08,80.16,51.69,257.11,1.91,222.46,6.03,05-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
05-Apr-2018 - 00:00,2.69,1.02,3.23,1.45,13.1,0.37,15.45,19.08,0.7,10.17,99.81,113.48,67.86,235.01,2.35,235.55,3.73,06-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
06-Apr-2018 - 00:00,2.74,1.14,3.61,1.52,12.12,0.43,15.47,20.61,0.52,10.83,74.18,125.38,68.27,231.72,2.36,232.64,2.75,07-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
07-Apr-2018 - 00:00,2.17,1.44,4.2,1.81,14.82,0.37,18.0,19.11,0.64,10.2,67.81,111.41,60.64,227.63,2.31,245.52,2.82,08-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
08-Apr-2018 - 00:00,6.37,44.23,17.79,21.0,28.98,0.83,16.01,19.22,0.91,10.61,53.74,96.85,61.24,184.9,1.77,182.26,3.88,09-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
09-Apr-2018 - 00:00,3.69,22.23,20.06,12.48,24.48,0.59,24.04,23.88,1.59,13.42,88.75,92.69,74.03,417.24,2.45,202.21,5.75,10-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
10-Apr-2018 - 00:00,2.56,7.34,8.83,5.2,19.2,0.4,16.72,19.9,1.2,10.85,66.56,90.89,48.64,269.57,2.16,187.86,4.12,11-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
11-Apr-2018 - 00:00,2.31,3.63,6.99,3.65,17.79,0.43,17.53,20.99,1.28,11.71,60.15,75.31,39.73,236.66,2.31,213.26,3.25,12-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
12-Apr-2018 - 00:00,1.71,1.92,4.47,2.24,13.13,0.49,21.73,20.75,1.23,10.98,59.04,104.79,55.75,264.44,2.52,238.77,3.96,13-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
13-Apr-2018 - 00:00,2.46,2.0,5.0,2.25,15.42,0.4,19.74,19.54,1.05,10.82,66.05,93.37,47.96,269.16,2.32,217.87,2.85,14-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
14-Apr-2018 - 00:00,2.28,1.78,4.5,2.09,16.64,0.38,19.54,19.18,0.81,10.46,71.51,86.95,42.15,277.83,2.31,251.63,2.94,15-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
15-Apr-2018 - 00:00,1.84,1.37,3.02,1.61,15.4,0.33,22.93,17.82,0.76,9.73,72.43,72.38,40.14,277.39,2.32,241.85,2.82,16-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
16-Apr-2018 - 00:00,1.68,1.11,2.57,1.29,10.59,0.39,23.29,17.75,0.64,9.56,80.27,77.34,40.43,278.08,2.23,255.66,3.05,17-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
17-Apr-2018 - 00:00,2.49,1.64,6.11,2.43,14.58,0.5,22.6,25.09,0.78,13.6,93.86,91.79,48.5,236.96,2.08,200.87,3.29,18-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
18-Apr-2018 - 00:00,3.56,1.7,6.11,2.44,16.28,0.47,16.21,23.83,1.25,13.45,92.13,83.8,51.78,277.53,1.69,251.47,4.66,19-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
19-Apr-2018 - 00:00,2.22,1.43,4.92,2.18,16.2,0.34,12.0,20.85,0.6,11.15,74.52,91.84,58.67,290.5,2.36,227.23,3.24,20-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
20-Apr-2018 - 00:00,1.85,1.5,4.01,1.8,14.23,0.29,11.44,18.13,0.84,9.99,55.97,71.68,44.6,281.97,2.9,232.66,2.58,21-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
21-Apr-2018 - 00:00,1.48,0.81,2.26,1.07,10.08,0.47,16.94,16.76,0.85,9.51,39.17,63.96,35.22,193.75,2.13,210.83,4.09,22-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
22-Apr-2018 - 00:00,1.56,0.83,2.42,1.24,12.74,0.29,11.99,16.96,0.73,9.16,79.51,70.47,42.63,293.5,2.27,224.73,2.39,23-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
23-Apr-2018 - 00:00,1.62,0.81,2.61,1.22,12.01,0.37,13.63,17.89,0.67,9.67,99.89,77.43,43.43,287.51,2.54,231.79,3.98,24-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
24-Apr-2018 - 00:00,5.31,5.98,8.69,7.86,14.14,0.43,13.13,20.33,0.62,10.83,99.63,60.21,32.36,291.57,2.36,215.68,3.04,25-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
25-Apr-2018 - 00:00,3.62,3.84,6.58,5.46,12.81,0.41,7.85,16.88,0.54,10.46,119.69,71.59,39.74,281.86,2.32,240.48,3.71,26-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
26-Apr-2018 - 00:00,2.14,1.46,3.1,2.32,10.13,0.34,2.86,14.64,0.47,7.75,105.42,56.03,37.67,289.89,2.4,250.74,2.75,27-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
27-Apr-2018 - 00:00,1.65,1.08,2.61,1.69,12.23,0.32,10.89,16.46,0.52,8.83,98.45,52.04,28.8,276.83,2.6,255.36,2.31,28-Apr-2018 - 00:00,"Gangapur Road, Nashik - MPCB"
