from date,NO,CO,NO2,NOx,Ozone,PM10,PM2.5,RH,SR,Temp,WD,WS,VWS,SO2,to date,station
19-Jan-2018 - 00:00,0.0,0.0,0.0,116.19,0.0,127.76,0.0,0.06,0.03,0.0,232.87,0.01,0.22,0.0,20-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
20-Jan-2018 - 00:00,0.0,0.0,3.53,170.55,0.0,143.18,0.0,0.94,10.14,0.9,253.58,0.17,0.01,0.0,21-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
21-Jan-2018 - 00:00,0.0,0.0,0.0,142.6,0.0,183.61,0.0,0.0,0.0,0.0,268.76,0.0,0.0,0.0,22-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
22-Jan-2018 - 00:00,9.2,0.0,10.06,203.75,0.0,161.11,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,23-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
23-Jan-2018 - 00:00,0.0,0.0,0.0,92.61,0.0,135.62,0.0,0.0,0.0,0.0,241.36,0.0,0.0,0.0,24-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
24-Jan-2018 - 00:00,0.0,0.0,0.0,131.98,0.0,168.89,0.0,0.0,0.0,0.0,209.77,0.0,0.0,0.0,25-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
25-Jan-2018 - 00:00,0.0,0.0,0.0,97.28,0.0,131.37,0.0,0.0,0.0,0.0,211.56,0.0,0.0,0.0,26-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
26-Jan-2018 - 00:00,0.0,0.0,0.0,99.09,0.0,154.56,0.0,0.0,0.0,0.0,219.85,0.0,0.0,0.0,27-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
27-Jan-2018 - 00:00,0.0,0.0,0.0,99.25,0.0,151.81,0.0,2.66,19.83,1.22,201.27,0.02,0.04,0.0,28-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
28-Jan-2018 - 00:00,0.0,0.0,0.0,126.61,0.0,133.87,0.0,0.0,0.0,0.0,245.61,0.0,0.0,0.0,29-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
29-Jan-2018 - 00:00,0.0,0.0,0.0,104.11,0.0,178.16,0.0,0.49,4.04,0.27,271.56,0.0,0.0,0.0,30-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
30-Jan-2018 - 00:00,0.0,0.0,0.0,95.54,0.0,160.67,0.0,0.0,0.0,0.0,272.18,0.0,0.0,0.0,31-Jan-2018 - 00:00,"Solapur, Solapur - MPCB"
31-Jan-2018 - 00:00,0.0,0.0,0.0,120.73,0.0,169.49,0.0,0.0,0.0,0.0,248.38,0.0,0.0,0.0,01-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
01-Feb-2018 - 00:00,0.0,0.0,0.0,125.44,0.0,176.39,0.0,0.0,0.0,0.0,252.34,0.0,0.0,0.0,02-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
02-Feb-2018 - 00:00,0.0,0.0,0.0,145.59,0.0,196.92,0.0,0.0,0.0,0.0,233.49,0.0,0.0,0.0,03-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
03-Feb-2018 - 00:00,0.0,0.0,0.0,133.97,0.0,191.06,0.0,0.0,0.0,0.0,229.6,0.0,0.0,0.0,04-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
07-Feb-2018 - 00:00,0.0,0.0,0.0,122.07,0.0,120.28,0.0,0.0,0.0,0.0,217.64,0.0,0.0,0.0,08-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
08-Feb-2018 - 00:00,0.0,0.0,0.0,136.82,0.0,130.06,0.0,0.38,6.35,0.32,249.75,0.01,0.01,0.0,09-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
09-Feb-2018 - 00:00,0.0,0.0,0.0,98.4,0.0,107.1,0.0,0.0,0.0,0.0,178.86,0.0,0.0,0.0,10-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
10-Feb-2018 - 00:00,0.0,0.0,0.0,121.79,0.0,167.83,0.0,0.0,0.0,0.0,249.56,0.0,0.0,0.0,11-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
11-Feb-2018 - 00:00,0.0,0.0,0.0,96.8,0.0,124.75,0.0,0.0,0.0,0.0,220.8,0.0,0.0,0.0,12-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
12-Feb-2018 - 00:00,0.0,0.0,0.0,87.7,0.0,93.49,0.0,0.0,0.0,0.0,205.92,0.0,0.0,0.0,13-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
13-Feb-2018 - 00:00,0.0,0.0,0.0,91.84,0.0,104.97,0.0,0.06,0.0,0.0,240.05,0.01,0.0,0.0,14-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
14-Feb-2018 - 00:00,0.0,0.0,0.0,90.81,0.0,119.86,0.0,0.0,0.0,0.0,279.41,0.0,0.0,0.0,15-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
15-Feb-2018 - 00:00,0.0,0.0,0.0,91.41,0.0,120.42,0.0,0.0,0.0,0.0,269.73,0.0,0.0,0.0,16-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
16-Feb-2018 - 00:00,0.0,0.0,0.0,98.68,0.0,113.84,0.0,2.1,21.13,2.61,224.93,1.15,0.02,0.0,17-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
17-Feb-2018 - 00:00,0.0,0.0,0.0,108.58,0.0,150.91,0.0,0.0,0.0,0.0,206.86,0.0,0.0,0.0,18-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
18-Feb-2018 - 00:00,0.0,0.0,0.0,98.21,0.0,116.32,0.0,0.0,0.0,0.0,223.94,0.0,0.0,0.0,19-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
19-Feb-2018 - 00:00,0.0,0.0,0.0,98.52,0.0,131.79,0.0,0.0,0.0,0.0,225.59,0.0,0.0,0.0,20-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
20-Feb-2018 - 00:00,0.0,0.0,0.0,115.31,0.0,150.31,0.0,0.71,0.95,1.02,248.94,0.0,0.03,0.0,21-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
21-Feb-2018 - 00:00,0.0,0.0,0.0,125.49,0.0,175.74,0.0,0.0,0.0,0.0,241.09,0.0,0.0,0.0,22-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
22-Feb-2018 - 00:00,0.0,0.0,0.0,112.27,0.0,164.22,0.0,0.0,0.0,0.0,244.97,0.0,0.0,0.0,23-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
23-Feb-2018 - 00:00,0.0,0.0,0.0,115.85,0.0,170.27,0.0,6.57,40.41,4.83,222.26,0.11,0.07,0.0,24-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
24-Feb-2018 - 00:00,0.0,0.0,0.0,99.38,0.0,138.43,0.0,0.0,0.0,0.0,277.61,0.0,0.0,0.0,25-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
25-Feb-2018 - 00:00,0.0,0.0,0.0,89.6,0.0,111.4,0.0,2.72,0.49,1.66,268.11,0.07,0.05,0.0,26-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
26-Feb-2018 - 00:00,0.0,0.0,0.0,124.12,0.0,149.98,0.0,0.0,0.0,0.0,277.75,0.0,0.0,0.0,27-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
27-Feb-2018 - 00:00,0.0,0.0,0.0,107.62,0.0,144.36,0.0,0.0,0.0,0.0,275.26,0.0,0.0,0.0,28-Feb-2018 - 00:00,"Solapur, Solapur - MPCB"
28-Feb-2018 - 00:00,0.0,0.0,0.0,125.2,0.0,159.22,0.0,0.68,0.21,0.94,249.3,0.0,0.01,0.0,01-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
01-Mar-2018 - 00:00,0.0,0.0,0.0,130.42,0.0,159.86,0.0,1.18,0.2,1.19,230.29,0.0,0.02,0.0,02-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
02-Mar-2018 - 00:00,0.0,0.0,0.0,119.89,0.0,153.25,0.0,0.0,0.0,0.0,233.83,0.0,0.0,0.0,03-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
03-Mar-2018 - 00:00,0.0,0.0,0.0,121.88,0.0,145.45,0.0,0.14,11.14,0.39,217.52,0.01,0.0,0.0,04-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
04-Mar-2018 - 00:00,0.0,0.0,0.0,118.4,0.0,147.69,0.0,0.0,0.0,0.0,183.82,0.0,0.0,0.0,05-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
05-Mar-2018 - 00:00,0.0,0.0,0.0,108.66,0.0,158.09,0.0,3.07,0.73,4.0,154.13,0.02,0.06,0.0,06-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
06-Mar-2018 - 00:00,0.0,0.0,0.0,98.15,0.0,127.0,0.0,4.67,13.56,4.98,203.07,0.09,0.05,0.0,07-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
07-Mar-2018 - 00:00,0.0,0.0,0.0,105.68,0.0,132.27,0.0,0.0,0.0,0.0,238.38,0.0,0.0,0.0,08-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
08-Mar-2018 - 00:00,0.0,0.0,0.0,97.7,0.0,121.42,0.0,0.14,2.37,0.37,257.07,0.0,0.0,0.0,09-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
09-Mar-2018 - 00:00,0.0,0.0,0.0,106.67,0.0,142.89,0.0,0.0,0.0,0.0,262.09,0.0,0.0,0.0,10-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
10-Mar-2018 - 00:00,0.0,0.0,0.0,98.27,0.0,140.61,0.0,10.96,1.32,9.3,173.05,0.12,0.14,0.0,11-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
11-Mar-2018 - 00:00,,,,,,,,,,,,,,,12-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
12-Mar-2018 - 00:00,,,,,,,,,,,,,,,13-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
13-Mar-2018 - 00:00,,,,,,,,,,,,,,,14-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
14-Mar-2018 - 00:00,,,,,,,,,,,,,,,15-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
15-Mar-2018 - 00:00,0.0,0.0,0.0,89.21,0.0,99.51,0.0,0.0,0.0,0.0,185.39,0.0,0.0,0.0,16-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
16-Mar-2018 - 00:00,0.0,0.0,0.0,93.06,0.0,96.19,0.0,2.77,18.05,2.86,210.79,0.26,0.02,0.0,17-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
17-Mar-2018 - 00:00,0.0,0.0,0.0,105.47,0.0,101.62,0.0,0.0,0.0,0.0,272.39,0.0,0.0,0.0,18-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
18-Mar-2018 - 00:00,0.0,0.0,0.0,61.4,0.0,69.22,0.0,6.29,60.84,6.36,242.68,1.24,0.03,0.0,19-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
20-Mar-2018 - 00:00,0.0,0.0,0.0,93.87,0.0,98.47,0.0,0.7,0.57,0.72,163.73,0.01,0.01,0.0,21-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
21-Mar-2018 - 00:00,0.0,0.0,0.0,79.0,0.0,85.11,0.0,0.67,0.15,0.73,166.88,0.01,0.02,0.0,22-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
22-Mar-2018 - 00:00,0.0,0.0,0.0,72.91,0.0,90.68,0.0,0.17,38.77,0.37,165.66,0.01,0.01,0.0,23-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
23-Mar-2018 - 00:00,0.0,0.0,0.0,73.47,0.0,107.14,0.0,0.0,0.0,0.0,169.88,0.0,0.0,0.0,24-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
24-Mar-2018 - 00:00,0.0,0.0,0.0,83.75,0.0,103.3,0.0,0.0,0.0,0.0,194.71,0.0,0.0,0.0,25-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
25-Mar-2018 - 00:00,1.99,1.68,43.23,106.4,15.22,,46.95,0.82,29.03,1.58,238.89,0.03,0.0,18.49,26-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
26-Mar-2018 - 00:00,0.0,1.71,38.03,92.32,9.07,139.83,61.74,0.0,0.0,0.0,244.63,0.0,0.0,20.94,27-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
27-Mar-2018 - 00:00,0.0,1.51,35.97,89.19,17.68,141.38,58.93,2.05,0.45,2.83,198.06,0.0,0.04,21.07,28-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
28-Mar-2018 - 00:00,0.0,1.23,26.12,75.76,2.12,114.9,52.69,0.0,0.0,0.0,165.18,0.0,0.0,19.99,29-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
29-Mar-2018 - 00:00,0.0,1.16,25.76,76.01,2.09,114.65,50.21,0.0,0.0,0.0,174.51,0.0,0.0,20.37,30-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
30-Mar-2018 - 00:00,0.0,1.19,25.61,76.94,0.0,113.8,44.21,0.0,0.0,0.0,176.34,0.0,0.0,19.63,31-Mar-2018 - 00:00,"Solapur, Solapur - MPCB"
31-Mar-2018 - 00:00,0.0,1.08,21.6,71.4,7.4,112.34,38.82,0.55,15.09,0.36,167.96,0.02,0.0,19.85,01-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
01-Apr-2018 - 00:00,0.0,1.1,25.34,75.0,0.0,116.65,43.5,0.0,0.0,0.0,175.74,0.0,0.0,19.88,02-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
02-Apr-2018 - 00:00,0.0,1.25,25.35,76.93,0.0,105.14,38.69,2.05,0.41,2.4,192.9,0.06,0.04,21.66,03-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
03-Apr-2018 - 00:00,0.0,1.61,35.62,91.85,0.0,126.73,47.76,0.0,0.0,0.0,215.32,0.0,0.0,19.53,04-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
04-Apr-2018 - 00:00,0.0,1.63,32.44,85.92,0.0,129.09,49.82,0.0,0.0,0.0,223.8,0.0,0.0,20.13,05-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
05-Apr-2018 - 00:00,0.0,1.59,34.45,88.01,2.12,119.63,48.96,0.0,0.0,0.0,220.71,0.0,0.0,20.55,06-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
06-Apr-2018 - 00:00,0.0,1.35,26.4,78.42,0.0,119.44,49.35,0.96,23.28,2.16,180.01,0.03,0.03,19.74,07-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
07-Apr-2018 - 00:00,0.0,1.08,23.5,74.43,2.12,115.68,38.67,0.0,0.0,0.0,209.15,0.0,0.0,19.43,08-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
08-Apr-2018 - 00:00,0.0,1.09,24.28,76.08,0.0,64.89,23.35,0.0,0.0,0.0,240.97,0.0,0.0,20.12,09-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
09-Apr-2018 - 00:00,0.0,1.26,26.34,78.88,11.18,70.97,26.83,0.0,0.0,0.0,241.57,0.0,0.0,21.83,10-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
10-Apr-2018 - 00:00,0.0,1.61,34.26,89.96,0.0,84.12,35.16,0.0,7.91,0.0,248.78,0.0,0.0,21.05,11-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
11-Apr-2018 - 00:00,0.0,1.22,21.01,77.15,0.0,77.83,33.13,0.0,0.0,0.0,259.0,0.0,0.0,19.54,12-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
12-Apr-2018 - 00:00,0.0,2.15,33.17,101.37,0.0,102.78,36.06,0.37,0.14,0.39,216.38,0.0,0.0,19.93,13-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
13-Apr-2018 - 00:00,0.0,1.95,36.21,96.53,0.0,116.02,43.48,0.0,0.0,0.0,230.33,0.0,0.0,19.75,14-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
14-Apr-2018 - 00:00,0.0,1.56,29.36,81.07,0.0,96.5,36.08,0.0,0.0,0.0,234.87,0.0,0.0,19.62,15-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
15-Apr-2018 - 00:00,0.0,1.31,25.14,75.88,0.0,94.02,33.47,0.0,0.0,0.0,222.52,0.0,0.0,19.84,16-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
16-Apr-2018 - 00:00,0.0,2.19,28.37,97.84,0.0,105.42,37.18,3.74,18.84,1.87,211.73,0.03,0.03,19.32,17-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
17-Apr-2018 - 00:00,0.0,1.52,27.67,83.22,0.0,89.91,36.96,0.0,0.0,0.0,181.78,0.0,0.0,18.91,18-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
18-Apr-2018 - 00:00,0.0,1.19,21.03,69.51,0.0,77.45,26.02,0.0,0.0,0.0,172.37,0.0,0.0,19.3,19-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
19-Apr-2018 - 00:00,0.0,1.23,24.35,74.05,0.0,109.44,38.05,0.0,0.83,0.0,155.78,0.0,0.03,19.26,20-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
20-Apr-2018 - 00:00,0.0,0.96,13.99,61.55,0.0,88.97,29.72,0.0,0.0,0.0,156.05,0.0,0.0,19.45,21-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
21-Apr-2018 - 00:00,0.0,1.24,21.35,73.17,0.0,80.36,26.97,0.0,0.0,0.0,167.26,0.0,0.0,19.6,22-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
22-Apr-2018 - 00:00,0.0,1.17,20.0,69.41,0.0,98.16,30.71,0.0,0.0,0.0,181.73,0.0,0.0,19.96,23-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
23-Apr-2018 - 00:00,11.93,1.2,20.38,69.63,0.0,103.14,33.53,0.0,0.0,0.0,165.78,0.0,0.0,19.77,24-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
24-Apr-2018 - 00:00,0.0,0.84,0.0,62.83,1.65,113.07,36.35,0.0,4.01,0.0,165.39,0.0,0.03,9.95,25-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
25-Apr-2018 - 00:00,0.0,0.0,0.0,59.03,4.36,99.99,31.42,0.0,4.91,0.0,177.63,0.0,0.0,0.0,26-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
26-Apr-2018 - 00:00,0.0,0.0,0.0,55.31,0.0,108.19,35.2,0.0,0.0,0.0,177.9,0.0,0.0,0.0,27-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
27-Apr-2018 - 00:00,0.0,0.0,0.0,103.37,0.0,158.58,47.02,0.0,1.17,0.0,201.42,0.0,0.0,0.0,28-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
28-Apr-2018 - 00:00,0.0,0.0,0.0,89.01,35.74,145.1,50.6,0.0,0.06,0.0,208.75,0.0,0.01,0.0,29-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
29-Apr-2018 - 00:00,0.0,0.0,0.0,32.85,125.29,84.0,30.55,0.0,0.0,0.0,164.2,0.0,0.0,0.0,30-Apr-2018 - 00:00,"Solapur, Solapur - MPCB"
30-Apr-2018 - 00:00,0.0,0.0,0.0,33.03,128.08,81.88,31.95,0.0,0.0,0.0,156.56,0.0,0.0,0.0,01-May-2018 - 00:00,"Solapur, Solapur - MPCB"
01-May-2018 - 00:00,0.0,0.0,0.0,46.08,87.38,106.72,30.42,0.0,23.2,0.0,151.7,0.0,0.04,0.0,02-May-2018 - 00:00,"Solapur, Solapur - MPCB"
02-May-2018 - 00:00,0.0,0.0,0.0,39.85,91.65,107.65,29.56,0.05,0.0,0.38,168.01,0.01,0.0,0.0,03-May-2018 - 00:00,"Solapur, Solapur - MPCB"
03-May-2018 - 00:00,0.0,0.0,0.0,41.0,100.65,100.11,26.94,0.0,0.0,0.0,171.64,0.0,0.0,0.0,04-May-2018 - 00:00,"Solapur, Solapur - MPCB"
04-May-2018 - 00:00,0.0,0.0,0.0,53.57,97.07,0.0,25.21,0.0,0.0,0.0,194.24,0.0,0.0,0.0,05-May-2018 - 00:00,"Solapur, Solapur - MPCB"
05-May-2018 - 00:00,0.0,0.0,0.0,62.39,102.41,0.0,36.08,0.0,0.0,0.0,177.24,0.0,0.0,0.0,06-May-2018 - 00:00,"Solapur, Solapur - MPCB"
06-May-2018 - 00:00,0.0,0.0,0.0,55.62,121.66,0.0,37.72,0.0,0.0,0.0,188.12,0.0,0.0,0.0,07-May-2018 - 00:00,"Solapur, Solapur - MPCB"
07-May-2018 - 00:00,0.0,0.0,0.0,40.53,97.17,0.0,26.83,0.0,0.0,0.0,160.28,0.0,0.0,0.0,08-May-2018 - 00:00,"Solapur, Solapur - MPCB"
08-May-2018 - 00:00,0.0,0.0,0.0,53.17,91.28,0.0,30.68,0.0,0.0,0.0,167.19,0.0,0.0,0.0,09-May-2018 - 00:00,"Solapur, Solapur - MPCB"
09-May-2018 - 00:00,0.0,0.0,0.0,63.89,90.44,0.0,35.19,0.0,0.0,0.0,207.78,0.0,0.0,0.0,10-May-2018 - 00:00,"Solapur, Solapur - MPCB"
10-May-2018 - 00:00,0.0,0.0,0.0,56.05,99.4,0.0,32.71,0.0,0.0,0.0,201.12,0.0,0.0,0.0,11-May-2018 - 00:00,"Solapur, Solapur - MPCB"
11-May-2018 - 00:00,0.0,0.0,0.0,38.48,115.9,0.0,27.66,0.0,0.0,0.0,169.59,0.0,0.0,0.0,12-May-2018 - 00:00,"Solapur, Solapur - MPCB"
12-May-2018 - 00:00,0.0,0.0,0.0,34.87,109.84,0.0,28.02,0.0,0.0,0.0,164.65,0.0,0.0,0.0,13-May-2018 - 00:00,"Solapur, Solapur - MPCB"
13-May-2018 - 00:00,0.0,0.0,0.0,51.75,91.12,0.0,29.56,0.0,0.0,0.0,185.06,0.0,0.0,0.0,14-May-2018 - 00:00,"Solapur, Solapur - MPCB"
14-May-2018 - 00:00,0.0,0.0,0.0,44.36,89.72,0.0,30.95,0.0,0.0,0.0,179.59,0.0,0.0,0.0,15-May-2018 - 00:00,"Solapur, Solapur - MPCB"
15-May-2018 - 00:00,0.0,0.0,0.0,39.28,108.82,0.0,24.58,0.0,0.0,0.0,181.66,0.0,0.0,0.0,16-May-2018 - 00:00,"Solapur, Solapur - MPCB"
16-May-2018 - 00:00,0.0,0.0,0.0,87.43,83.56,0.0,35.5,0.0,0.0,0.0,207.11,0.0,0.0,0.0,17-May-2018 - 00:00,"Solapur, Solapur - MPCB"
17-May-2018 - 00:00,0.0,0.0,0.0,60.55,71.23,0.0,33.07,0.0,0.0,0.0,196.87,0.0,0.0,0.0,18-May-2018 - 00:00,"Solapur, Solapur - MPCB"
18-May-2018 - 00:00,0.0,0.0,0.0,38.04,97.69,0.0,29.64,0.0,0.0,0.0,157.02,0.0,0.0,0.0,19-May-2018 - 00:00,"Solapur, Solapur - MPCB"
