from date,Benzene,Eth-Benzene,O Xylene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
20-Apr-2018 - 00:00,,,,,,40.11,137.23,,,,,,0.35,20.59,,17.17,,,7.27,21-Apr-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Apr-2018 - 00:00,,,,,,80.22,138.2,,,,,,0.46,17.09,,19.18,,,3.44,22-Apr-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Apr-2018 - 00:00,,,,,,17.22,37.42,,,,,,0.63,23.01,,26.7,,,4.87,23-Apr-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Apr-2018 - 00:00,,,,,,25.61,64.46,,,,,,0.8,25.09,,34.73,,,5.44,24-Apr-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Apr-2018 - 00:00,,,,,,39.56,87.87,,,,,,0.79,31.36,,49.82,,,7.89,25-Apr-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Apr-2018 - 00:00,,,,,,38.99,90.38,,,,,,0.59,23.77,,32.68,,,10.53,26-Apr-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Apr-2018 - 00:00,,,,,,46.59,95.34,,,,,,0.99,28.71,,32.82,,,9.53,27-Apr-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Apr-2018 - 00:00,,,,,,45.67,85.63,,,,,,0.86,27.11,,27.63,,,9.37,28-Apr-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Apr-2018 - 00:00,,,,,,40.18,88.48,,,,,,0.5,21.92,,24.72,,,10.98,29-Apr-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Apr-2018 - 00:00,,,,,,44.3,91.36,,,,,,0.35,22.18,,18.45,,,8.63,30-Apr-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Apr-2018 - 00:00,,,,,,47.53,86.87,,,,,,0.41,26.66,,17.97,,,8.77,01-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-May-2018 - 00:00,,,,,,135.79,107.44,,,,,,0.43,20.34,,19.65,,,8.86,02-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-May-2018 - 00:00,,,,,,41.6,85.32,,,,,,0.39,20.07,,27.06,,,8.73,03-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-May-2018 - 00:00,,,,,,42.48,94.13,,,,,,0.52,22.06,,30.02,,,8.18,04-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-May-2018 - 00:00,,,,,,52.99,113.56,,,,,,0.55,22.84,,30.91,,,8.95,05-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-May-2018 - 00:00,,,,,,50.51,88.32,,,,,,0.35,23.53,,25.32,,,18.41,06-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-May-2018 - 00:00,,,,,,34.06,71.87,,,,,,0.41,19.08,,19.81,,,8.71,07-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-May-2018 - 00:00,,,,,,47.72,87.81,,,,,,0.38,18.97,,26.0,,,12.1,08-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-May-2018 - 00:00,,,,,,41.39,70.9,,,,,,0.42,20.12,,16.32,,,8.83,09-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-May-2018 - 00:00,,,,,,46.75,81.32,,,,,,0.58,31.99,,37.09,,,8.35,10-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-May-2018 - 00:00,,,,,,46.17,102.8,,,,,,0.68,28.95,,30.62,,,6.55,11-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-May-2018 - 00:00,,,,,,39.03,71.33,,,,,,0.36,20.37,,21.78,,,7.26,12-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-May-2018 - 00:00,,,,,,43.14,81.44,,,,,,0.47,13.26,,11.44,,,7.39,13-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-May-2018 - 00:00,,,,,,79.13,130.43,,,,,,0.67,16.95,,9.91,,,8.62,14-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-May-2018 - 00:00,,,,,,49.22,82.58,,,,,,0.71,15.67,,9.13,,,6.05,15-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-May-2018 - 00:00,,,,,,72.92,107.37,,,,,,0.76,30.61,,8.79,,,8.9,16-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-May-2018 - 00:00,,,,,,60.99,105.83,,,,,,0.87,35.79,,7.03,,,6.8,17-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-May-2018 - 00:00,0.81,1.4,,1.36,751.3,54.32,109.02,0.0,20.22,37.18,202.97,4.02,0.59,21.6,6.47,10.21,11.47,70.4,7.23,18-May-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
