from date,Benzene,Eth-Benzene,O Xylene,Toluene,BP,PM2.5,PM10,RF,RH,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
06-Sep-2018 - 00:00,0.99,0.86,,1.05,752.46,35.59,60.0,0.0,67.14,26.51,242.31,2.73,0.58,9.05,3.49,16.36,19.83,18.86,7.7,07-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Sep-2018 - 00:00,0.99,0.87,,1.05,753.09,25.82,48.03,0.08,77.55,24.71,240.82,2.42,0.53,12.79,4.5,20.63,25.09,20.12,6.12,08-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Sep-2018 - 00:00,5.08,0.91,,2.65,752.38,23.78,55.02,0.42,83.63,24.04,283.33,1.45,0.5,16.17,3.06,18.92,21.84,24.75,9.34,09-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Sep-2018 - 00:00,0.98,0.85,,1.05,753.09,12.73,49.72,0.02,91.25,24.02,180.19,1.51,0.27,13.21,5.82,18.69,24.5,19.88,5.0,10-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Sep-2018 - 00:00,0.98,0.86,,1.06,755.75,32.87,61.61,0.02,89.41,23.5,225.34,1.75,0.35,15.73,6.27,22.7,27.17,17.86,4.66,11-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Sep-2018 - 00:00,0.97,0.84,,1.06,756.05,44.07,60.57,0.0,81.93,24.9,235.84,3.58,0.49,29.89,15.05,45.89,58.06,14.28,8.03,12-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Sep-2018 - 00:00,0.98,0.84,,1.06,754.4,23.56,51.75,0.0,70.76,26.21,242.98,5.13,0.45,15.64,7.33,28.17,34.77,23.76,6.15,13-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Sep-2018 - 00:00,0.98,0.85,,1.05,753.89,32.93,60.67,0.0,69.05,25.79,228.79,3.21,0.45,7.78,7.64,19.17,26.81,29.29,6.78,14-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Sep-2018 - 00:00,0.99,0.85,,1.05,755.49,32.19,62.9,0.0,65.07,26.2,234.38,2.73,0.58,7.16,7.33,18.52,25.85,33.8,6.33,15-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Sep-2018 - 00:00,0.97,0.83,,1.04,756.76,40.0,67.14,0.0,63.11,26.47,229.88,1.44,0.6,7.65,7.44,19.91,27.15,38.75,4.43,16-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Sep-2018 - 00:00,0.98,0.86,,1.05,756.25,35.44,69.34,0.0,61.86,26.51,221.54,0.64,0.62,9.01,8.57,19.05,27.54,40.4,8.22,17-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Sep-2018 - 00:00,0.97,0.84,,1.03,755.27,35.63,72.73,0.0,54.04,27.62,230.22,0.81,0.51,8.34,6.73,19.53,26.03,35.38,6.69,18-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Sep-2018 - 00:00,0.98,0.85,,1.05,755.29,36.69,74.06,0.0,48.95,28.51,242.92,0.98,0.54,10.78,6.44,24.89,31.31,41.6,5.81,19-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Sep-2018 - 00:00,3.03,3.51,,3.09,755.09,40.39,80.25,0.0,46.86,28.99,227.02,0.98,0.39,11.99,4.87,22.53,27.04,43.88,7.28,20-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Sep-2018 - 00:00,0.68,1.87,,1.26,754.5,39.54,90.05,0.0,41.62,29.28,214.28,0.87,0.38,10.17,8.93,25.4,34.34,32.44,5.6,21-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Sep-2018 - 00:00,0.41,1.62,,0.64,754.57,54.69,109.75,0.0,55.8,27.87,123.84,0.98,0.45,10.13,5.67,20.51,26.19,42.97,5.22,22-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Sep-2018 - 00:00,0.19,1.01,,0.32,754.19,31.83,58.89,0.13,85.22,23.96,44.85,2.82,0.44,9.24,5.66,14.07,19.72,31.55,5.58,23-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Sep-2018 - 00:00,0.17,0.87,,0.28,754.0,32.62,62.0,0.35,94.18,23.4,90.55,2.79,0.48,7.96,5.01,14.41,19.42,28.76,5.56,24-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Sep-2018 - 00:00,0.44,1.01,,0.24,755.57,30.2,60.16,0.02,77.17,25.64,224.44,3.26,0.66,7.34,6.23,16.22,22.45,39.1,5.95,25-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Sep-2018 - 00:00,1.18,0.55,,0.32,756.41,46.1,95.7,0.0,68.33,26.46,212.53,1.8,0.71,9.63,10.16,18.92,29.03,35.41,5.87,26-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Sep-2018 - 00:00,0.5,0.37,,0.34,756.33,39.37,90.4,0.0,51.26,27.65,230.16,1.29,0.92,10.97,12.35,22.19,34.53,34.27,6.0,27-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Sep-2018 - 00:00,1.34,0.53,,0.61,756.84,37.31,89.71,0.0,53.43,26.71,189.01,0.73,0.84,12.83,14.36,24.89,39.25,37.97,6.34,28-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Sep-2018 - 00:00,1.05,0.23,,0.16,757.64,40.8,84.61,0.0,56.11,26.07,160.48,0.57,1.01,15.34,23.02,21.85,44.83,24.06,4.62,29-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Sep-2018 - 00:00,2.32,0.48,,2.19,758.42,41.64,90.42,0.0,49.09,26.65,210.35,0.65,0.8,21.6,17.72,24.42,42.1,30.31,6.16,30-Sep-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Sep-2018 - 00:00,1.85,4.45,,2.39,758.29,32.33,80.11,0.0,45.14,27.7,237.28,0.74,0.69,18.66,6.64,13.93,20.56,40.91,6.62,01-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Oct-2018 - 00:00,1.58,1.67,,2.89,757.99,40.71,88.28,0.0,41.81,28.81,220.19,0.85,0.55,17.06,8.32,12.97,21.29,39.61,8.57,02-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Oct-2018 - 00:00,1.39,1.12,,2.08,758.38,40.38,100.47,0.0,47.05,28.41,213.43,1.34,0.8,19.72,11.93,13.61,25.52,43.01,7.94,03-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Oct-2018 - 00:00,1.09,2.78,,1.6,757.59,42.4,107.07,0.0,44.11,28.5,198.7,1.39,0.68,18.1,7.52,13.43,20.94,55.37,9.31,04-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Oct-2018 - 00:00,1.49,4.42,,1.88,758.4,56.81,109.27,0.0,46.13,27.73,211.73,0.77,0.97,21.15,16.38,15.14,31.52,28.27,6.93,05-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Oct-2018 - 00:00,1.41,3.34,,1.44,759.1,53.47,109.98,0.0,47.42,27.06,181.32,0.83,0.95,21.47,18.0,13.25,31.25,26.31,5.81,06-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Oct-2018 - 00:00,1.18,2.14,,0.91,759.03,59.8,111.5,0.0,42.15,27.82,194.54,1.26,0.98,23.0,23.06,12.78,35.1,35.14,8.34,07-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Oct-2018 - 00:00,1.2,1.05,,0.61,758.45,49.28,108.1,0.0,40.09,27.35,169.21,0.91,0.8,22.77,19.72,12.87,30.76,43.14,8.1,08-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Oct-2018 - 00:00,1.16,0.89,,0.61,757.57,36.62,72.44,0.0,39.47,27.34,175.38,1.39,0.8,30.82,24.47,19.34,43.73,38.34,8.36,09-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Oct-2018 - 00:00,0.89,0.7,,0.51,757.08,33.65,71.11,0.0,28.92,29.43,243.91,2.42,0.94,24.91,23.05,33.71,55.83,62.79,9.58,10-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Oct-2018 - 00:00,0.59,1.06,,0.52,757.27,48.63,93.73,0.0,33.45,28.18,213.03,1.04,0.73,26.64,13.77,58.31,72.02,47.15,8.62,11-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Oct-2018 - 00:00,0.92,0.67,,1.23,758.52,46.38,86.12,0.0,32.47,26.88,160.62,1.35,0.6,16.07,16.37,33.67,41.83,53.3,5.39,12-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Oct-2018 - 00:00,0.65,0.73,,0.52,760.77,47.56,91.45,0.0,41.48,25.78,138.53,1.2,0.76,16.68,10.04,27.22,37.26,46.01,9.73,13-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Oct-2018 - 00:00,0.39,0.32,,0.15,760.75,55.11,95.03,0.0,31.64,25.61,199.21,1.14,0.87,11.43,15.19,26.94,42.13,51.32,10.45,14-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Oct-2018 - 00:00,0.65,0.22,,0.15,761.5,60.58,141.04,0.0,36.26,25.21,198.79,1.69,0.92,13.61,23.07,30.76,53.84,49.01,12.79,15-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Oct-2018 - 00:00,1.27,0.24,,0.26,761.61,65.52,181.01,0.0,37.16,25.57,180.85,1.64,1.22,15.93,25.32,30.94,56.25,40.39,8.01,16-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Oct-2018 - 00:00,1.44,0.21,,0.27,761.78,50.98,142.41,0.0,37.06,26.21,174.15,1.74,1.3,18.01,24.59,30.28,54.87,29.48,13.85,17-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Oct-2018 - 00:00,0.69,1.4,,0.41,760.52,61.03,161.17,0.0,29.42,27.86,220.22,1.68,1.11,12.78,23.77,24.96,48.73,45.84,12.53,18-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Oct-2018 - 00:00,0.99,1.48,,0.63,759.01,51.34,128.15,0.0,34.18,26.39,209.62,1.83,1.09,23.65,20.77,35.58,56.35,39.0,9.94,19-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Oct-2018 - 00:00,1.1,1.7,,0.64,758.45,60.12,128.69,0.0,33.27,25.37,173.6,1.47,1.07,31.46,26.22,40.27,62.44,40.72,4.92,20-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Oct-2018 - 00:00,2.48,6.84,,2.52,759.11,61.82,137.6,0.0,33.09,25.32,158.36,1.4,1.13,31.97,29.38,42.58,71.93,56.24,5.82,21-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Oct-2018 - 00:00,1.07,5.71,,2.2,759.69,57.47,126.3,0.0,32.6,24.53,163.3,2.25,0.79,18.98,14.26,37.03,51.29,71.47,4.28,22-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Oct-2018 - 00:00,1.39,3.93,,1.49,760.27,45.06,128.4,0.0,30.59,23.5,213.67,1.06,1.18,22.92,28.22,43.88,72.1,53.51,7.12,23-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Oct-2018 - 00:00,1.61,2.86,,1.25,759.85,57.32,134.24,0.0,33.75,23.71,154.37,0.74,1.38,28.55,32.78,49.4,81.47,52.49,8.37,24-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Oct-2018 - 00:00,1.49,1.4,,0.81,759.03,55.73,137.41,0.0,36.05,24.67,190.01,2.26,1.31,29.68,26.34,47.63,73.45,38.99,9.63,25-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Oct-2018 - 00:00,1.42,1.1,,0.71,760.08,50.6,138.24,0.0,37.06,24.61,213.39,1.74,1.35,34.76,32.91,45.55,78.44,38.5,10.85,26-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Oct-2018 - 00:00,0.88,0.63,,0.36,761.62,44.06,98.56,0.0,31.24,25.82,205.26,2.25,0.77,23.86,10.59,38.16,48.75,49.72,8.93,27-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Oct-2018 - 00:00,0.93,0.53,,0.45,761.77,45.24,115.69,0.0,35.1,25.45,217.34,1.64,1.19,25.33,24.64,42.22,66.85,50.61,8.41,28-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Oct-2018 - 00:00,0.68,0.64,,0.41,761.55,54.0,123.23,0.0,36.81,24.58,200.92,2.5,1.12,22.95,16.22,40.37,56.59,63.8,8.15,29-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Oct-2018 - 00:00,1.0,0.59,,0.44,763.12,73.65,143.46,0.0,36.66,23.69,214.45,1.85,1.35,33.42,31.78,56.81,88.58,53.12,8.6,30-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Oct-2018 - 00:00,1.46,0.39,,0.36,764.5,81.1,174.56,0.0,40.69,22.69,188.73,1.54,1.54,36.36,37.12,68.6,105.71,49.75,9.81,31-Oct-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
31-Oct-2018 - 00:00,0.95,0.48,,0.44,764.47,55.64,127.22,0.0,39.65,23.34,147.37,2.02,1.05,30.62,17.83,53.58,71.41,50.98,7.77,01-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Nov-2018 - 00:00,4.6,1.14,,7.08,762.44,64.07,150.55,0.0,43.74,23.19,187.89,1.88,1.19,36.93,31.01,61.33,92.34,44.06,8.18,02-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Nov-2018 - 00:00,3.36,1.36,,2.8,761.39,45.32,123.53,0.0,42.05,23.53,242.09,2.16,1.45,39.22,33.95,66.2,100.15,38.03,9.64,03-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Nov-2018 - 00:00,1.32,2.17,,0.87,760.5,45.94,135.2,0.0,37.09,24.15,217.88,1.99,0.83,32.59,27.21,53.6,80.82,44.51,7.91,04-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Nov-2018 - 00:00,0.25,2.37,,1.17,762.0,39.61,107.18,0.0,29.91,22.6,191.49,2.65,0.48,22.13,7.61,27.92,35.57,49.74,7.35,05-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Nov-2018 - 00:00,0.46,1.47,,0.77,762.84,38.35,84.6,0.0,21.4,20.41,209.39,2.48,0.54,23.52,9.92,41.7,51.62,48.23,6.67,06-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Nov-2018 - 00:00,0.58,1.17,,0.68,764.64,50.85,125.9,0.0,36.7,19.41,215.54,2.07,0.67,29.67,16.45,44.48,60.93,56.93,6.9,07-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Nov-2018 - 00:00,0.83,1.0,,0.6,765.02,97.88,158.21,0.0,31.82,19.0,199.69,0.55,0.96,32.16,27.9,45.82,73.71,39.67,13.62,08-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Nov-2018 - 00:00,0.84,0.9,,0.57,764.3,163.53,271.19,0.0,34.02,19.54,176.0,0.47,0.84,33.87,23.69,47.66,71.36,42.96,11.52,09-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Nov-2018 - 00:00,1.09,0.87,,0.62,763.17,62.01,178.31,0.0,37.33,20.3,208.63,1.16,0.72,35.0,27.01,55.66,82.67,42.65,11.39,10-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Nov-2018 - 00:00,1.3,0.65,,0.62,763.08,71.28,153.17,0.0,38.03,21.07,186.13,1.24,0.85,39.39,26.97,60.25,87.37,43.22,8.77,11-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Nov-2018 - 00:00,1.42,0.62,,0.59,763.79,68.76,132.51,0.0,38.27,21.92,206.37,1.15,0.91,39.92,34.0,55.47,89.47,40.88,9.14,12-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Nov-2018 - 00:00,1.71,0.74,,0.51,761.99,88.28,212.13,0.0,38.99,22.42,206.48,1.73,1.12,41.48,44.08,54.82,98.9,31.35,8.43,13-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Nov-2018 - 00:00,1.17,0.28,,0.37,760.03,47.58,106.36,0.0,41.64,23.24,237.02,1.55,0.8,37.88,34.07,46.4,80.47,29.14,8.59,14-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Nov-2018 - 00:00,0.9,0.37,,0.38,760.32,53.6,111.31,0.0,45.13,22.72,206.87,1.32,0.81,41.83,36.51,48.52,85.02,26.5,7.15,15-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Nov-2018 - 00:00,1.26,0.23,,1.07,763.47,71.22,152.47,0.0,34.75,22.25,245.94,2.4,0.6,27.0,8.5,41.75,50.1,54.89,6.72,16-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Nov-2018 - 00:00,1.97,2.84,,1.39,763.17,69.74,151.79,0.0,47.67,19.93,253.05,2.28,0.8,32.21,23.37,43.88,67.25,46.65,7.55,17-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Nov-2018 - 00:00,1.0,3.52,,1.27,760.65,59.75,120.97,0.0,41.24,20.25,213.12,1.72,1.07,35.8,37.92,49.88,87.79,38.88,7.12,18-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Nov-2018 - 00:00,0.89,2.59,,0.97,760.51,66.82,131.94,0.0,39.79,21.28,202.37,2.17,1.04,38.14,31.77,51.32,82.96,35.08,8.77,19-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Nov-2018 - 00:00,0.75,1.61,,0.87,761.9,63.89,115.49,0.0,42.19,22.5,204.23,1.96,0.97,38.33,30.01,54.55,84.56,36.37,8.83,20-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Nov-2018 - 00:00,0.7,1.26,,0.55,763.05,51.26,105.92,0.0,34.16,23.33,224.34,1.94,0.68,32.37,22.81,44.23,67.03,31.77,3.91,21-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Nov-2018 - 00:00,0.83,0.88,,0.56,763.46,70.43,123.97,0.0,38.61,21.39,183.03,1.7,0.83,42.17,32.67,60.55,93.2,41.86,5.35,22-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Nov-2018 - 00:00,1.98,3.77,,2.02,763.13,66.52,120.98,0.0,43.41,21.64,205.79,2.0,0.79,33.64,15.23,51.63,66.87,50.08,7.81,23-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Nov-2018 - 00:00,1.13,5.3,,2.06,764.96,59.57,116.0,0.0,41.18,21.42,242.61,2.2,0.64,26.52,10.03,37.73,47.75,45.2,5.87,24-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Nov-2018 - 00:00,1.5,3.73,,1.21,763.93,91.21,182.04,0.0,39.92,19.69,234.44,2.19,1.04,36.11,32.51,41.51,74.02,39.11,6.22,25-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Nov-2018 - 00:00,1.26,2.94,,1.08,762.89,63.23,136.87,0.0,41.65,19.55,215.38,2.35,0.94,41.17,32.89,39.62,72.52,34.81,5.36,26-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
26-Nov-2018 - 00:00,1.67,3.12,,1.04,762.03,57.84,130.09,0.0,41.68,19.39,216.41,2.42,1.14,41.36,40.4,40.61,81.01,29.38,7.43,27-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
27-Nov-2018 - 00:00,1.14,2.25,,0.86,762.45,73.8,117.53,0.0,39.35,20.44,188.11,1.99,0.88,36.25,20.75,47.52,68.44,49.87,6.51,28-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
28-Nov-2018 - 00:00,0.52,1.32,,0.58,763.83,89.1,145.71,0.0,49.36,20.05,172.37,1.67,0.68,31.01,7.71,39.45,47.16,55.51,6.34,29-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
29-Nov-2018 - 00:00,0.95,1.55,,0.66,764.46,90.24,152.42,0.0,55.21,18.25,132.57,1.89,0.86,35.72,26.4,44.6,71.0,47.51,6.63,30-Nov-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
30-Nov-2018 - 00:00,1.15,1.66,,0.69,763.08,74.26,134.13,0.0,49.84,18.31,173.14,2.36,0.98,38.13,32.73,45.0,77.73,35.31,6.69,01-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
01-Dec-2018 - 00:00,1.22,1.68,,0.66,760.99,76.27,132.03,0.0,47.41,17.89,199.8,1.89,1.12,40.41,40.43,47.55,87.98,35.36,6.38,02-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
02-Dec-2018 - 00:00,0.87,1.14,,0.51,759.78,77.03,120.25,0.0,48.62,17.14,161.9,1.57,0.98,36.74,26.65,44.9,71.55,41.5,6.17,03-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
03-Dec-2018 - 00:00,0.6,0.87,,0.4,760.56,62.34,107.3,0.0,44.85,17.05,178.62,1.86,0.69,34.37,12.44,41.64,54.09,43.59,6.67,04-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
04-Dec-2018 - 00:00,0.82,0.76,,0.44,761.71,63.0,111.24,0.0,47.02,16.59,159.11,1.88,0.93,36.88,21.73,41.79,63.52,46.65,5.68,05-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
05-Dec-2018 - 00:00,0.91,0.81,,0.46,760.16,71.61,114.01,0.0,51.06,16.73,180.01,1.5,0.98,38.29,27.13,44.45,71.58,41.3,9.21,06-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
06-Dec-2018 - 00:00,0.93,1.03,,0.52,759.47,69.78,129.99,0.0,52.32,17.12,208.31,1.24,0.86,38.07,19.99,48.87,68.86,39.36,7.23,07-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
07-Dec-2018 - 00:00,0.83,0.93,,0.43,760.19,71.61,120.51,0.0,48.25,17.08,188.54,1.81,0.93,35.29,24.64,54.67,78.38,41.83,11.65,08-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
08-Dec-2018 - 00:00,1.3,0.84,,0.44,760.72,70.75,126.77,0.0,44.05,17.28,182.55,2.22,0.97,31.26,23.93,53.62,77.55,43.74,13.53,09-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
09-Dec-2018 - 00:00,0.76,0.67,,0.4,759.96,61.23,102.17,0.0,45.49,16.62,169.4,2.37,0.8,31.7,18.13,48.58,66.71,37.52,9.96,10-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
10-Dec-2018 - 00:00,1.13,0.63,,0.49,759.19,66.4,131.97,0.0,47.07,16.7,163.62,2.07,1.12,32.92,36.61,53.56,90.16,38.22,11.7,11-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
11-Dec-2018 - 00:00,0.81,0.73,,0.4,760.39,77.14,144.48,0.0,47.71,17.64,161.19,1.46,1.04,33.35,16.24,55.41,71.65,44.12,8.52,12-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
12-Dec-2018 - 00:00,0.37,0.41,,0.32,761.44,64.14,115.43,0.01,62.48,16.34,233.42,1.71,1.1,42.32,12.74,32.62,45.25,43.6,9.44,13-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
13-Dec-2018 - 00:00,0.27,0.28,,0.2,764.55,51.05,102.08,0.0,58.85,14.56,187.97,2.14,1.15,32.03,19.4,35.58,54.95,44.86,9.82,14-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
14-Dec-2018 - 00:00,0.16,0.2,,0.14,766.18,30.89,82.47,0.0,51.85,13.93,138.38,2.04,1.07,25.58,9.79,31.48,41.03,53.16,9.79,15-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
15-Dec-2018 - 00:00,0.72,0.47,,0.23,766.13,43.76,89.17,0.0,48.78,13.42,80.55,1.6,1.2,26.42,18.35,32.85,51.32,54.49,10.71,16-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
16-Dec-2018 - 00:00,0.82,0.41,,0.29,766.35,39.11,109.06,0.0,43.16,14.22,95.68,1.27,1.07,26.62,7.65,34.21,42.05,45.99,6.68,17-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
17-Dec-2018 - 00:00,0.88,0.62,,0.5,765.37,48.97,145.04,0.0,39.92,13.95,130.09,1.25,1.49,29.53,16.36,38.2,54.56,46.41,7.27,18-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
18-Dec-2018 - 00:00,1.56,0.83,,0.81,764.49,38.48,123.93,0.0,44.12,13.73,225.77,0.43,1.01,36.04,33.78,46.81,80.59,32.72,7.3,19-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
19-Dec-2018 - 00:00,2.13,0.9,,0.9,763.77,45.58,122.02,0.0,39.9,14.05,166.04,0.4,1.3,38.76,61.08,57.6,118.69,33.95,9.66,20-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
20-Dec-2018 - 00:00,2.18,1.22,,1.07,763.18,61.74,129.64,0.0,42.32,14.64,174.68,0.33,1.27,46.98,63.66,68.66,132.32,36.48,10.91,21-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
21-Dec-2018 - 00:00,6.71,2.48,,9.73,762.26,76.08,124.15,0.0,43.67,14.53,175.57,0.32,1.18,42.62,38.22,56.47,94.59,36.26,10.66,22-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
22-Dec-2018 - 00:00,6.36,1.93,,8.17,761.95,47.3,123.61,0.0,45.0,14.89,178.4,0.51,0.93,38.96,27.15,55.14,82.28,36.71,16.3,23-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
23-Dec-2018 - 00:00,1.72,0.82,,2.05,762.32,44.44,126.02,0.0,46.96,15.68,160.54,0.43,1.17,35.39,15.94,47.63,63.57,42.75,10.31,24-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
24-Dec-2018 - 00:00,1.03,0.84,,0.64,762.34,47.92,132.84,0.0,54.95,15.25,165.57,0.79,1.1,39.53,28.53,54.72,83.25,45.27,10.75,25-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
25-Dec-2018 - 00:00,0.52,0.39,,0.32,762.47,65.29,178.3,0.0,44.15,15.19,134.16,1.31,1.15,32.13,14.74,38.42,53.16,52.95,6.96,26-Dec-2018 - 00:00,"Civil Lines,  Ajmer - RSPCB"
