from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,Toluene,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
19-Jul-2018 - 00:00,0.44,0.17,0.68,0.3,742.88,31.39,19.88,0.04,84.35,309.36,27.81,1.5,232.21,0.72,0.63,28.52,7.58,14.95,22.52,31.67,15.72,20-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
20-Jul-2018 - 00:00,0.51,0.16,0.95,0.38,741.73,47.65,20.32,0.0,77.29,331.52,29.69,1.7,212.69,0.62,0.65,11.37,7.66,15.32,22.67,33.71,7.0,21-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
21-Jul-2018 - 00:00,0.42,0.16,0.62,0.27,742.41,55.94,20.18,0.0,82.15,285.97,28.79,1.89,253.33,1.07,0.57,6.79,8.57,14.41,22.92,22.05,4.32,22-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
22-Jul-2018 - 00:00,0.21,0.1,0.31,0.14,742.64,45.89,22.29,0.0,85.92,232.63,27.04,1.62,247.37,1.27,0.41,9.55,7.39,14.06,21.26,23.23,5.01,23-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
23-Jul-2018 - 00:00,0.36,0.2,0.59,0.27,742.47,49.56,18.39,0.0,85.65,272.04,27.47,1.58,239.15,1.21,0.63,11.06,7.5,12.63,19.77,20.12,10.8,24-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
24-Jul-2018 - 00:00,0.27,0.12,0.44,0.2,743.03,45.77,3.98,0.0,86.36,305.9,27.71,2.07,242.31,1.4,0.54,9.13,7.49,12.14,19.53,20.14,18.55,25-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
25-Jul-2018 - 00:00,0.25,0.08,0.32,0.15,743.1,77.67,35.78,0.0,85.1,273.85,27.49,2.0,250.16,1.22,0.54,9.1,7.76,10.76,18.26,16.2,9.98,26-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
26-Jul-2018 - 00:00,0.3,0.11,0.52,0.27,743.14,146.07,66.35,0.0,78.28,230.76,26.93,1.55,246.26,0.83,0.61,5.54,9.26,16.64,25.57,14.32,9.17,27-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
27-Jul-2018 - 00:00,0.33,0.13,0.63,0.3,742.62,140.84,58.43,0.0,76.75,237.98,27.56,0.8,251.95,1.12,0.58,5.79,9.22,16.9,26.12,18.35,10.06,28-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
28-Jul-2018 - 00:00,0.3,0.09,0.47,0.25,743.32,120.78,53.36,0.0,73.36,304.85,28.35,0.81,261.36,0.92,0.59,5.59,8.68,18.04,26.72,21.47,6.95,29-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
29-Jul-2018 - 00:00,0.14,0.04,0.17,0.15,743.55,123.62,52.3,0.0,68.8,328.32,29.36,0.42,252.56,1.01,0.46,5.9,7.67,15.3,22.96,24.96,8.74,30-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
30-Jul-2018 - 00:00,0.16,0.04,0.19,0.14,743.42,114.57,46.51,0.0,66.77,308.43,29.26,0.39,243.28,1.32,0.42,6.58,7.09,11.94,19.02,30.36,7.73,31-Jul-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
31-Jul-2018 - 00:00,0.26,0.05,0.24,0.17,742.92,146.68,56.77,0.0,61.8,330.26,30.0,0.51,242.66,1.39,0.5,5.82,7.6,12.88,20.46,29.36,7.5,01-Aug-2018 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
