from date,NO,NO2,NOx,SO2,CO,Ozone,PM10,PM2.5,NH3,AT,RH,WS,VWS,WD,SR,BP,RF,Benzene,Toluene,MP-Xylene,Xylene,Temp,to date,station
11-Feb-2018 - 00:00,0.42,11.56,6.39,7.4,0.62,32.05,111.42,69.8,13.05,27.92,74.49,4.74,-0.03,120.78,48.67,759.79,0.0,0.06,2.07,0.1,,29.17,12-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
12-Feb-2018 - 00:00,0.58,13.19,7.36,7.54,0.67,30.28,99.4,59.17,11.82,27.78,72.84,5.0,-0.03,126.11,71.01,761.28,0.0,0.04,1.9,0.1,0.11,26.57,13-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
13-Feb-2018 - 00:00,0.42,13.74,7.57,7.43,0.86,37.17,98.54,57.89,11.89,27.67,71.71,3.84,0.0,101.65,66.23,762.7,0.0,0.12,1.87,0.08,0.1,25.72,14-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
14-Feb-2018 - 00:00,0.25,16.73,9.01,12.39,0.96,48.29,108.45,56.75,10.83,27.76,65.51,3.65,0.0,96.65,77.95,762.99,0.0,0.16,2.36,0.08,0.1,27.87,15-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
15-Feb-2018 - 00:00,1.76,25.97,15.27,12.0,0.68,33.94,119.05,50.46,22.04,26.8,65.48,2.15,0.01,167.57,75.0,762.78,0.0,0.17,3.85,0.11,0.12,32.36,16-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
16-Feb-2018 - 00:00,2.06,24.83,14.88,25.15,0.77,31.36,128.06,57.23,32.6,26.26,68.74,2.19,-0.02,187.14,77.33,761.07,0.0,0.15,2.98,0.1,0.14,28.35,17-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
17-Feb-2018 - 00:00,1.57,16.06,9.68,14.8,0.69,27.05,96.48,43.37,22.45,25.76,72.92,2.73,0.01,141.03,66.34,757.65,0.0,0.09,2.57,0.08,0.12,27.08,18-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
18-Feb-2018 - 00:00,9.7,14.45,15.67,10.09,0.49,31.44,80.59,43.44,24.61,26.03,72.27,3.42,0.01,133.78,82.09,756.76,0.0,0.1,3.05,0.1,0.13,30.88,19-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
19-Feb-2018 - 00:00,3.59,13.51,10.2,8.73,0.59,29.96,94.69,54.88,22.97,25.46,72.67,3.84,0.02,147.59,78.24,757.4,0.0,0.08,2.21,0.09,0.15,30.14,20-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
20-Feb-2018 - 00:00,4.73,16.39,12.56,10.05,0.64,26.52,99.93,50.23,23.17,25.68,72.64,3.86,0.03,145.82,84.36,757.15,0.0,0.1,2.55,0.1,0.1,30.8,21-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
21-Feb-2018 - 00:00,4.42,16.63,12.53,10.98,0.6,26.75,106.61,37.78,19.2,25.95,70.62,3.48,0.03,121.82,82.96,755.98,0.0,0.1,2.69,0.1,0.12,30.52,22-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
22-Feb-2018 - 00:00,7.55,17.44,15.51,12.28,0.59,25.19,106.47,31.5,17.74,26.47,65.86,2.89,0.02,155.81,83.33,755.55,0.0,0.12,3.28,0.08,0.13,30.9,23-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
23-Feb-2018 - 00:00,6.29,18.06,14.82,11.01,0.87,24.69,110.47,37.55,16.82,26.19,69.6,3.82,0.03,141.12,86.91,756.69,0.0,0.09,2.9,0.08,0.2,30.77,24-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
24-Feb-2018 - 00:00,8.4,18.84,16.94,10.26,0.7,20.45,125.43,58.69,19.64,25.35,66.7,3.08,0.01,137.45,78.8,758.61,0.0,0.15,2.58,0.08,0.15,28.66,25-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
25-Feb-2018 - 00:00,11.92,17.15,18.9,9.52,,17.08,115.47,45.41,16.42,25.63,60.45,2.76,0.0,162.38,92.17,758.74,0.0,0.13,2.49,0.08,0.14,25.23,26-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
26-Feb-2018 - 00:00,10.15,21.56,19.82,14.38,,16.6,112.13,35.18,16.07,26.36,57.68,2.16,0.0,170.35,94.18,757.06,0.0,0.1,2.45,0.1,0.14,24.55,27-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
27-Feb-2018 - 00:00,19.06,20.58,26.44,15.1,0.8,19.7,110.19,39.09,18.74,26.57,56.33,2.93,0.03,147.53,81.93,756.45,0.0,0.14,2.59,0.1,0.19,22.71,28-Feb-2018 - 00:00,"Secretariat, Amaravati - APPCB"
28-Feb-2018 - 00:00,5.53,19.1,14.74,21.92,0.8,26.0,115.15,42.55,24.21,27.42,64.17,3.06,0.02,141.75,84.49,756.25,0.0,0.09,2.12,0.08,0.12,26.27,01-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
01-Mar-2018 - 00:00,7.1,22.72,17.95,13.35,0.79,23.63,97.5,38.06,17.05,27.69,64.46,2.72,0.0,151.92,85.67,755.76,0.0,0.06,2.14,0.08,0.11,24.78,02-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
02-Mar-2018 - 00:00,5.45,18.79,14.42,8.81,0.72,23.7,81.61,33.17,15.18,27.18,66.51,3.52,0.01,145.85,83.99,755.1,0.0,0.05,2.04,0.08,0.1,24.98,03-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
03-Mar-2018 - 00:00,4.6,16.5,12.72,9.29,0.63,30.75,76.44,29.23,11.56,30.06,50.19,5.88,0.06,149.54,125.83,753.56,0.0,0.05,1.83,0.08,0.1,25.94,04-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
04-Mar-2018 - 00:00,4.44,22.78,15.71,12.23,0.65,23.52,82.7,38.68,12.21,26.9,62.18,4.03,0.02,158.38,107.38,754.41,0.0,0.06,2.2,0.07,0.11,21.92,05-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
05-Mar-2018 - 00:00,13.42,25.92,24.79,9.08,0.79,17.9,86.29,30.52,12.47,26.64,62.75,3.71,0.02,150.96,89.3,755.73,0.0,0.05,1.95,0.09,0.21,24.79,06-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
06-Mar-2018 - 00:00,18.49,26.04,28.98,9.64,0.81,18.06,101.46,39.79,14.19,26.33,68.77,3.68,0.02,159.68,83.93,756.29,0.0,0.11,2.42,0.09,0.18,28.52,07-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
07-Mar-2018 - 00:00,6.99,19.71,16.26,7.93,0.76,22.96,81.54,38.7,13.93,26.47,70.61,3.08,-0.0,174.91,76.95,756.32,0.0,0.05,2.21,0.09,0.1,25.76,08-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
08-Mar-2018 - 00:00,10.96,29.06,24.46,10.19,1.02,22.75,122.54,58.7,14.0,26.68,66.07,3.93,0.03,127.56,83.57,756.23,0.0,0.12,2.36,0.06,0.16,25.64,09-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
09-Mar-2018 - 00:00,7.99,21.94,18.26,12.29,0.91,27.4,113.78,61.94,16.51,27.32,69.73,3.53,0.04,123.45,79.19,756.47,0.0,0.09,2.17,0.07,0.12,27.0,10-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
10-Mar-2018 - 00:00,5.67,20.16,15.33,7.05,0.62,27.13,101.03,48.64,13.9,27.9,68.5,3.32,0.03,129.21,78.11,756.24,0.0,0.1,2.49,0.1,0.1,29.85,11-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
11-Mar-2018 - 00:00,2.75,13.56,9.45,8.29,0.79,30.33,80.31,41.84,13.54,27.71,69.51,3.9,0.02,115.28,78.68,757.1,0.0,0.11,2.1,0.1,0.1,30.25,12-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
12-Mar-2018 - 00:00,6.46,19.35,15.54,7.8,0.68,21.23,74.85,31.83,12.53,27.58,70.06,3.22,0.01,154.26,75.14,757.64,0.0,0.09,2.7,0.09,0.17,30.57,13-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
13-Mar-2018 - 00:00,10.91,20.72,19.89,9.34,0.71,17.36,79.96,26.15,11.53,28.17,67.94,3.29,0.02,158.05,85.92,756.73,0.0,0.08,2.25,0.09,0.13,28.74,14-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
14-Mar-2018 - 00:00,6.87,14.9,13.51,8.91,0.54,14.5,60.9,25.2,13.95,27.59,74.83,3.96,0.02,132.63,104.14,755.54,0.0,0.05,2.2,0.09,0.13,29.69,15-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
15-Mar-2018 - 00:00,4.66,9.92,9.05,11.18,0.61,20.85,61.16,25.12,10.96,30.39,63.33,7.19,0.05,140.9,104.16,754.45,0.0,0.01,1.25,0.1,0.1,30.01,16-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
16-Mar-2018 - 00:00,5.06,8.41,8.68,6.39,0.56,12.48,40.16,16.6,11.28,28.6,72.78,4.75,0.01,118.0,49.06,754.12,0.0,0.01,1.54,0.1,,30.07,17-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
17-Mar-2018 - 00:00,5.48,20.73,15.57,12.72,0.73,20.29,86.23,51.49,13.54,26.26,73.72,3.32,-0.08,184.27,36.46,756.21,0.0,0.1,2.25,0.09,0.26,29.26,18-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
18-Mar-2018 - 00:00,5.8,18.93,14.87,10.46,0.76,24.11,78.58,42.68,13.8,27.98,65.22,3.58,0.04,131.67,89.55,756.35,0.0,0.12,2.57,0.1,0.27,29.67,19-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
19-Mar-2018 - 00:00,5.31,15.42,12.6,9.07,0.71,22.96,75.79,39.74,13.29,28.31,66.65,3.3,0.02,150.68,83.79,757.14,0.0,0.08,2.69,0.09,0.11,29.44,20-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
20-Mar-2018 - 00:00,5.68,17.52,13.94,6.07,0.57,13.8,76.18,36.62,13.96,26.56,75.24,1.9,-0.01,126.68,72.58,757.16,0.0,0.07,2.97,0.09,0.1,29.68,21-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
21-Mar-2018 - 00:00,5.68,15.16,12.84,15.07,0.91,26.32,99.19,51.04,13.15,30.88,57.77,5.37,0.03,142.33,93.92,753.58,0.0,0.05,1.72,0.07,0.1,27.26,22-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
22-Mar-2018 - 00:00,4.59,14.44,11.49,16.44,0.59,19.39,92.71,52.02,15.24,29.03,71.26,4.14,0.02,133.5,76.1,752.06,0.0,0.01,1.46,0.09,0.1,24.04,23-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
23-Mar-2018 - 00:00,4.32,14.2,11.16,15.11,0.6,21.45,93.82,45.56,14.91,29.99,68.94,3.46,0.01,140.58,78.59,752.1,0.0,0.03,1.61,0.09,0.15,24.75,24-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
24-Mar-2018 - 00:00,3.57,8.56,7.54,9.56,0.73,24.3,78.38,44.26,14.3,29.48,73.07,4.88,0.02,127.28,85.25,754.74,0.0,0.02,1.3,0.1,0.1,28.68,25-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
25-Mar-2018 - 00:00,2.95,7.31,6.38,3.56,0.68,27.63,71.93,35.7,13.24,28.75,72.54,4.31,0.02,128.72,77.27,757.25,0.0,0.02,1.71,0.1,,30.05,26-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
26-Mar-2018 - 00:00,3.53,9.8,8.17,7.69,0.68,23.98,80.68,39.01,10.92,28.52,71.64,3.27,-0.01,160.0,75.53,757.26,0.0,0.04,2.19,0.1,0.13,29.99,27-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
27-Mar-2018 - 00:00,5.11,11.64,10.44,12.67,0.59,21.09,66.89,30.16,11.16,28.73,70.43,4.09,0.01,153.08,92.26,755.32,0.0,0.01,1.96,0.1,0.1,29.67,28-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
28-Mar-2018 - 00:00,4.23,9.75,8.72,13.97,0.83,21.44,59.31,30.59,11.67,29.14,73.22,5.41,0.02,142.39,85.18,754.07,0.0,0.02,1.66,0.1,0.1,29.94,29-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
29-Mar-2018 - 00:00,3.5,7.74,7.07,12.94,0.7,24.29,52.79,26.76,11.21,29.56,73.69,6.11,0.03,133.54,81.66,753.46,0.0,0.0,1.27,0.1,,30.35,30-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
30-Mar-2018 - 00:00,3.45,8.19,7.26,18.1,0.59,24.24,52.38,26.83,9.24,30.46,74.9,6.09,0.04,131.5,75.22,752.91,0.0,0.0,1.4,0.1,,30.09,31-Mar-2018 - 00:00,"Secretariat, Amaravati - APPCB"
31-Mar-2018 - 00:00,3.06,6.74,6.17,12.95,0.63,24.6,55.43,28.15,10.47,32.55,74.66,6.59,0.03,122.59,73.8,752.9,0.0,0.0,1.39,0.1,,30.54,01-Apr-2018 - 00:00,"Secretariat, Amaravati - APPCB"
01-Apr-2018 - 00:00,2.66,6.25,5.58,8.85,0.56,24.0,52.58,21.71,7.49,32.14,71.7,6.76,-0.02,152.08,93.11,753.34,0.03,0.0,1.42,0.1,,30.2,02-Apr-2018 - 00:00,"Secretariat, Amaravati - APPCB"
02-Apr-2018 - 00:00,4.52,14.18,11.31,8.79,0.55,22.96,52.61,24.33,8.14,31.18,70.73,5.09,0.05,131.48,99.0,754.51,0.0,0.04,1.44,0.1,0.1,30.15,03-Apr-2018 - 00:00,"Secretariat, Amaravati - APPCB"
03-Apr-2018 - 00:00,4.34,11.08,9.51,7.85,0.67,20.47,56.21,22.44,10.9,32.43,72.55,4.53,0.01,141.33,85.7,753.72,0.0,0.02,1.84,0.1,0.1,29.91,04-Apr-2018 - 00:00,"Secretariat, Amaravati - APPCB"
04-Apr-2018 - 00:00,4.78,9.36,8.96,8.62,0.71,20.67,54.62,25.11,12.24,32.44,72.92,5.07,0.03,134.26,86.59,752.44,0.0,0.01,1.46,0.1,0.1,29.87,05-Apr-2018 - 00:00,"Secretariat, Amaravati - APPCB"
05-Apr-2018 - 00:00,2.05,6.52,5.13,5.73,0.72,14.59,44.62,19.35,8.24,29.95,79.75,4.25,-0.03,181.95,55.2,752.27,0.0,0.0,1.49,0.1,,29.61,06-Apr-2018 - 00:00,"Secretariat, Amaravati - APPCB"
06-Apr-2018 - 00:00,6.06,10.99,10.78,10.18,0.89,18.95,71.92,30.38,9.2,33.22,65.05,5.48,0.06,140.35,54.9,752.38,0.0,0.0,1.11,0.09,0.1,24.35,07-Apr-2018 - 00:00,"Secretariat, Amaravati - APPCB"
07-Apr-2018 - 00:00,4.53,10.59,9.31,7.27,0.76,15.85,70.55,23.88,9.88,32.18,68.84,4.96,-0.0,148.83,100.56,754.21,0.0,0.0,1.09,0.1,0.1,24.11,08-Apr-2018 - 00:00,"Secretariat, Amaravati - APPCB"
08-Apr-2018 - 00:00,3.68,12.44,9.71,10.17,0.61,32.77,78.18,20.15,9.77,31.68,62.62,5.39,0.02,146.18,96.73,755.65,0.0,0.01,1.13,0.1,,22.88,09-Apr-2018 - 00:00,"Secretariat, Amaravati - APPCB"
09-Apr-2018 - 00:00,4.24,9.16,8.4,6.58,0.83,18.96,56.22,23.85,10.03,31.37,70.67,4.61,0.04,117.44,78.35,755.78,0.0,0.0,0.99,0.08,0.1,23.43,10-Apr-2018 - 00:00,"Secretariat, Amaravati - APPCB"
10-Apr-2018 - 00:00,5.04,11.44,10.18,6.83,0.53,14.55,56.83,26.17,9.74,29.33,77.04,3.01,0.01,137.22,99.15,755.8,0.0,0.0,1.13,0.09,0.12,22.89,11-Apr-2018 - 00:00,"Secretariat, Amaravati - APPCB"
