from date,AT,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
19-Jan-2018 - 00:00,18.47,747.09,86.09,26.21,0.0,62.32,9.77,21.72,96.15,1.37,5.27,23.73,9.83,1.44,40.76,22.19,60.41,50.17,27.66,22.28,20-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
20-Jan-2018 - 00:00,17.75,745.91,149.96,81.02,0.0,62.52,9.12,17.52,83.26,1.96,3.87,19.16,7.15,1.01,35.53,13.78,56.04,41.01,33.07,25.93,21-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
21-Jan-2018 - 00:00,17.07,746.24,341.41,269.33,0.0,66.22,17.54,19.57,182.04,0.71,6.3,29.22,11.55,2.63,48.53,38.33,71.87,69.38,33.32,32.04,22-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
22-Jan-2018 - 00:00,16.74,745.12,102.61,68.05,0.0,72.06,3.79,14.12,199.97,0.48,8.6,41.25,21.18,5.56,54.53,93.11,77.46,118.45,35.47,39.35,23-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
23-Jan-2018 - 00:00,16.01,743.51,110.47,59.24,0.11,76.46,4.36,20.98,227.41,1.52,4.84,24.94,10.44,2.62,44.9,22.17,48.26,43.71,23.09,19.89,24-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
24-Jan-2018 - 00:00,18.4,744.7,424.5,390.95,0.0,68.39,3.64,6.49,125.27,1.46,3.36,20.96,9.71,0.87,47.71,16.89,52.19,34.8,20.5,22.56,25-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
25-Jan-2018 - 00:00,15.05,743.55,207.82,174.66,0.01,78.31,3.04,9.02,88.17,2.11,3.02,16.41,6.1,0.92,35.43,6.29,39.01,24.78,23.54,30.45,26-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
26-Jan-2018 - 00:00,12.59,745.0,187.49,147.23,0.02,90.16,3.09,7.65,110.23,1.7,3.21,16.26,5.03,2.82,31.3,10.74,30.99,25.22,19.99,15.93,27-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
27-Jan-2018 - 00:00,,,191.71,160.06,0.0,,5.62,11.34,,,3.61,17.48,6.69,2.22,27.09,15.14,38.73,32.91,24.52,11.18,28-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
28-Jan-2018 - 00:00,,,37.22,79.21,0.0,,4.69,10.88,,,4.27,18.81,6.86,1.53,30.04,24.58,42.25,42.46,15.42,19.9,29-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
29-Jan-2018 - 00:00,,,120.85,108.9,0.0,,6.42,20.32,,,4.08,18.59,7.14,1.98,34.05,38.45,48.15,56.87,18.43,29.44,30-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
30-Jan-2018 - 00:00,,,189.27,100.19,0.0,,9.32,19.57,,,2.69,15.02,5.6,1.29,34.61,13.69,47.2,36.23,27.18,15.68,31-Jan-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
31-Jan-2018 - 00:00,,,168.97,103.8,0.0,,5.36,17.21,,,2.64,14.38,5.6,1.21,34.02,10.88,46.56,33.61,35.05,14.7,01-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
01-Feb-2018 - 00:00,,,196.82,147.27,0.0,,8.26,18.35,,,4.09,20.85,8.06,1.9,41.32,16.88,59.67,45.46,29.4,28.82,02-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
02-Feb-2018 - 00:00,,,81.31,47.85,0.0,,26.66,14.93,,,3.84,21.52,8.4,1.47,42.86,23.48,57.13,49.48,25.22,31.82,03-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
03-Feb-2018 - 00:00,,,185.02,137.45,0.0,,19.19,16.89,,,3.55,20.97,7.82,1.24,38.92,13.7,52.25,38.93,30.01,33.37,04-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
04-Feb-2018 - 00:00,,,175.26,133.59,0.0,,13.95,14.17,,,3.22,15.36,5.1,1.37,34.29,12.42,50.96,37.2,34.4,30.76,05-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
05-Feb-2018 - 00:00,,,167.05,134.93,0.0,,12.85,16.06,,,3.36,16.96,6.3,1.36,34.47,18.78,63.06,48.73,30.24,29.56,06-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
06-Feb-2018 - 00:00,,,149.67,125.44,0.0,,32.65,14.85,,,3.09,16.49,6.23,1.52,34.51,12.48,55.07,39.43,28.08,29.77,07-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
07-Feb-2018 - 00:00,,,118.11,104.45,0.0,,29.0,12.97,,,2.85,14.62,5.85,1.23,31.03,12.23,51.78,37.48,35.36,21.51,08-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
08-Feb-2018 - 00:00,,,133.18,130.85,0.0,,19.94,15.91,,,3.52,17.25,6.72,1.1,33.61,14.51,59.95,43.68,27.91,31.72,09-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
09-Feb-2018 - 00:00,,,110.51,120.73,0.0,,36.16,9.96,,,3.36,15.49,5.85,0.75,32.98,13.02,57.54,41.2,31.57,30.16,10-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
10-Feb-2018 - 00:00,,,133.05,145.57,0.0,,38.53,10.21,,,4.43,22.32,9.74,1.41,34.65,33.47,71.61,65.3,22.23,33.0,11-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
11-Feb-2018 - 00:00,,,130.98,146.82,0.0,,30.58,12.22,,,3.8,17.96,6.51,1.57,39.09,22.16,54.18,46.82,31.57,34.93,12-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
12-Feb-2018 - 00:00,16.39,751.83,111.19,86.49,0.04,84.17,31.51,22.59,146.08,0.69,2.72,18.64,7.37,1.24,38.39,19.34,37.25,35.53,26.23,21.12,13-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
13-Feb-2018 - 00:00,19.52,752.77,74.44,107.21,0.01,69.58,8.43,23.65,114.65,1.28,2.94,19.77,7.91,1.18,38.58,20.5,38.83,37.32,20.58,21.63,14-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
14-Feb-2018 - 00:00,18.78,751.7,45.11,65.01,0.0,65.06,4.91,26.85,75.36,2.48,1.98,13.0,4.49,1.08,31.5,13.34,37.04,30.55,26.83,13.4,15-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
15-Feb-2018 - 00:00,19.18,749.9,78.46,63.38,0.0,61.99,8.84,23.54,83.02,2.47,2.08,13.0,4.75,0.86,29.76,11.96,42.23,32.19,29.41,20.03,16-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
16-Feb-2018 - 00:00,20.05,749.08,177.99,96.59,0.0,62.15,11.45,23.11,100.43,2.13,2.48,14.61,4.83,1.22,32.36,11.62,42.7,32.15,34.76,27.53,17-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
17-Feb-2018 - 00:00,20.24,743.53,316.97,190.52,0.0,66.11,29.94,20.55,82.58,2.0,3.1,15.99,5.55,0.54,38.95,6.45,56.95,33.22,19.84,35.26,18-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
18-Feb-2018 - 00:00,20.76,743.4,246.65,128.23,0.0,57.84,37.07,14.48,91.82,1.72,3.28,16.46,5.69,0.79,35.7,15.69,55.99,42.53,27.11,27.8,19-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
19-Feb-2018 - 00:00,21.56,745.02,278.98,145.34,0.0,49.67,2.64,21.78,100.16,1.44,3.57,18.19,6.49,1.6,37.04,14.91,58.95,43.49,40.48,34.96,20-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
20-Feb-2018 - 00:00,21.79,744.8,359.77,181.97,0.0,60.58,2.94,27.97,117.61,1.15,4.52,24.17,11.18,2.41,43.13,37.73,68.66,67.2,31.16,37.37,21-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
21-Feb-2018 - 00:00,23.16,742.81,435.96,267.39,0.0,60.12,7.51,35.87,200.99,0.97,5.23,26.2,12.4,2.45,47.7,22.6,59.18,49.86,37.85,54.19,22-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
22-Feb-2018 - 00:00,23.72,741.76,416.07,223.21,0.0,62.8,6.5,34.97,203.6,0.96,5.32,27.59,12.56,2.55,52.88,32.85,65.01,61.29,29.28,31.06,23-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
23-Feb-2018 - 00:00,24.88,742.08,542.23,268.78,0.0,62.56,6.17,31.23,177.06,0.84,6.23,32.44,16.79,4.17,61.23,72.75,65.63,94.06,25.32,24.59,24-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
24-Feb-2018 - 00:00,24.66,744.61,488.91,256.73,0.0,66.4,21.75,33.88,260.44,1.26,5.47,30.93,16.05,2.31,69.17,43.11,52.57,63.01,20.26,26.19,25-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
25-Feb-2018 - 00:00,25.11,746.39,216.97,114.12,0.0,57.92,34.62,31.69,167.74,1.85,2.97,19.24,6.56,1.17,49.57,13.54,36.42,30.38,27.58,23.64,26-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
26-Feb-2018 - 00:00,22.72,743.82,128.77,46.25,0.0,64.17,8.01,32.51,93.44,2.93,2.05,13.77,4.39,0.72,38.76,11.73,32.45,26.79,27.7,22.6,27-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
27-Feb-2018 - 00:00,23.7,743.72,203.67,99.66,0.0,63.59,18.12,32.33,97.31,1.85,2.65,16.13,5.21,1.3,39.26,19.88,44.85,40.02,27.73,26.24,28-Feb-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
28-Feb-2018 - 00:00,25.1,744.07,265.75,143.62,0.0,61.42,36.16,31.35,118.04,1.56,3.71,19.33,7.13,1.51,46.29,15.38,48.41,38.26,31.9,21.9,01-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
01-Mar-2018 - 00:00,24.61,742.4,224.86,108.21,0.0,55.45,30.44,28.18,100.43,2.11,2.97,13.89,5.27,1.53,40.74,13.35,48.67,36.74,31.26,24.43,02-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
02-Mar-2018 - 00:00,25.67,740.62,220.99,127.9,0.0,57.77,34.73,31.07,97.79,2.07,3.22,12.84,3.59,1.53,45.8,13.19,37.34,30.58,34.2,32.46,03-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
03-Mar-2018 - 00:00,26.38,738.76,166.49,71.7,0.0,53.18,16.44,32.4,109.52,1.7,2.43,15.63,5.63,1.38,40.04,16.6,40.03,34.78,24.42,19.36,04-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
04-Mar-2018 - 00:00,25.69,739.99,172.25,83.56,0.02,50.11,33.34,29.69,112.52,1.66,2.71,15.52,5.44,0.94,40.69,21.49,43.45,40.58,19.4,18.54,05-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
05-Mar-2018 - 00:00,24.01,743.52,185.55,80.1,0.0,55.69,37.12,30.89,84.75,2.15,2.85,14.15,4.43,1.05,40.45,15.07,41.55,34.36,25.26,25.95,06-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
06-Mar-2018 - 00:00,23.47,743.9,138.39,57.39,0.0,54.4,41.07,34.53,95.94,2.66,1.93,11.93,3.84,0.8,34.49,12.26,39.26,30.85,34.61,21.73,07-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
07-Mar-2018 - 00:00,23.94,743.11,156.69,78.23,0.0,52.79,40.56,35.16,92.77,2.37,2.47,14.32,4.88,1.18,33.69,12.65,47.47,35.54,36.63,23.98,08-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
08-Mar-2018 - 00:00,25.42,744.86,215.74,129.67,0.0,48.43,42.54,33.45,128.46,1.38,3.39,18.21,5.59,1.55,37.14,15.32,55.09,41.75,42.26,36.76,09-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
09-Mar-2018 - 00:00,25.71,744.38,208.19,120.94,0.0,47.12,26.07,31.02,98.34,1.96,3.52,17.05,6.38,1.21,39.94,32.05,55.33,51.43,37.28,30.44,10-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
10-Mar-2018 - 00:00,25.54,742.83,153.12,77.35,0.0,49.3,36.02,24.47,94.78,2.4,2.66,13.48,4.76,0.99,37.28,12.64,43.11,33.21,35.98,26.02,11-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
11-Mar-2018 - 00:00,25.96,742.05,144.26,78.88,0.0,53.16,2.51,35.4,91.15,2.23,2.56,12.39,3.93,0.99,37.46,13.26,38.23,31.12,39.28,25.35,12-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
12-Mar-2018 - 00:00,26.67,742.15,157.48,93.75,0.0,53.46,2.94,37.44,98.16,2.14,2.82,13.29,4.93,1.04,38.5,11.9,43.11,32.61,41.82,33.46,13-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
13-Mar-2018 - 00:00,27.44,741.01,205.53,129.45,0.0,55.66,4.27,32.12,95.17,1.61,3.72,15.19,5.53,1.24,42.04,15.69,49.71,39.2,41.02,42.49,14-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
14-Mar-2018 - 00:00,27.5,739.96,256.45,191.05,0.0,51.83,8.11,34.36,223.07,1.08,4.85,23.82,11.68,1.67,32.64,54.21,64.74,66.75,29.73,41.34,15-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
15-Mar-2018 - 00:00,27.41,739.43,189.96,132.23,0.0,47.18,5.79,36.71,173.46,1.72,3.26,17.97,7.57,1.35,,81.64,81.37,109.65,34.79,37.53,16-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
16-Mar-2018 - 00:00,25.58,740.58,157.36,86.86,0.0,45.95,9.4,29.19,127.97,1.65,2.64,14.58,4.77,0.96,,66.61,56.38,84.15,40.42,33.2,17-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
17-Mar-2018 - 00:00,25.26,741.0,161.73,171.92,0.0,42.05,6.78,29.57,96.8,2.59,2.32,12.42,4.46,0.78,0.86,57.2,31.98,63.52,40.39,20.77,18-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
18-Mar-2018 - 00:00,25.36,742.55,47.26,56.84,0.0,42.62,2.51,27.68,93.64,2.39,2.31,11.43,3.73,0.79,0.64,59.91,21.47,60.13,47.01,25.87,19-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
19-Mar-2018 - 00:00,26.46,744.21,241.48,102.52,0.0,42.51,2.44,24.59,98.8,1.9,3.14,14.47,5.16,1.23,0.97,63.11,18.37,61.08,51.38,35.41,20-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
20-Mar-2018 - 00:00,27.47,741.5,283.36,127.11,0.0,45.93,2.49,28.28,90.48,1.74,3.67,16.3,6.17,1.88,1.12,70.45,19.17,67.47,43.82,42.12,21-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
21-Mar-2018 - 00:00,28.18,739.01,327.74,168.06,0.0,41.61,2.43,30.38,170.23,1.33,3.87,19.11,7.53,1.33,0.91,93.03,20.25,86.41,44.36,45.78,22-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
22-Mar-2018 - 00:00,30.21,739.45,180.62,64.32,0.0,38.11,2.82,27.7,103.48,1.93,2.21,16.26,6.0,1.05,0.99,60.63,16.22,57.91,67.51,28.86,23-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
23-Mar-2018 - 00:00,26.39,740.88,196.81,82.11,0.0,50.69,2.52,30.29,95.51,2.16,2.53,13.07,3.93,0.88,1.44,58.23,13.32,54.43,46.2,28.45,24-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
24-Mar-2018 - 00:00,27.44,743.2,224.39,95.55,0.0,50.09,2.49,27.2,103.72,2.11,2.61,12.98,4.36,1.11,1.08,61.96,13.55,57.59,51.8,28.72,25-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
25-Mar-2018 - 00:00,27.67,744.31,185.62,74.36,0.0,48.52,2.51,30.05,98.76,2.46,2.08,11.3,3.43,1.07,0.88,54.76,11.99,50.9,51.27,20.33,26-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
26-Mar-2018 - 00:00,28.0,742.59,217.01,85.42,0.0,48.06,2.52,30.27,102.5,2.57,2.45,11.86,3.81,1.1,0.67,56.59,11.66,52.21,51.44,25.93,27-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
27-Mar-2018 - 00:00,29.13,739.75,243.03,95.43,0.0,43.09,2.64,33.65,90.97,2.14,2.79,13.03,4.31,1.55,0.66,65.05,13.59,60.11,45.63,30.67,28-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
28-Mar-2018 - 00:00,31.69,738.8,414.13,248.73,0.0,34.73,2.37,27.23,107.4,1.86,2.84,16.6,7.71,2.16,7.78,8.3,113.75,62.09,47.42,40.81,29-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
29-Mar-2018 - 00:00,28.55,738.79,279.02,110.89,0.0,45.95,2.43,27.77,92.38,1.77,3.09,14.54,4.88,1.56,11.41,7.61,90.83,54.51,48.68,43.16,30-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
30-Mar-2018 - 00:00,28.71,737.67,283.11,119.01,0.0,43.45,2.66,28.8,234.29,1.58,3.48,15.81,5.13,1.46,50.69,21.49,90.49,164.0,49.21,44.36,31-Mar-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
31-Mar-2018 - 00:00,27.29,741.11,193.73,78.94,0.0,44.05,3.54,24.65,259.22,1.98,2.61,14.68,4.78,1.28,86.83,197.3,111.7,368.85,49.34,25.23,01-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
01-Apr-2018 - 00:00,28.75,742.39,216.18,95.34,0.0,45.49,2.52,21.63,247.39,1.75,2.36,14.47,4.81,1.17,3.08,401.12,100.64,406.03,53.31,30.24,02-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
02-Apr-2018 - 00:00,29.89,742.77,217.83,97.24,0.0,44.4,2.33,28.04,247.05,1.39,2.8,17.03,5.54,0.46,1.0,393.4,97.13,413.19,52.61,35.94,03-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
03-Apr-2018 - 00:00,31.02,741.24,286.73,143.8,0.0,44.77,2.41,31.6,235.1,1.3,2.99,17.21,6.03,0.36,,410.89,105.13,433.49,51.02,39.79,04-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
04-Apr-2018 - 00:00,31.79,738.45,288.51,139.54,0.0,44.06,2.45,33.14,206.55,1.34,2.92,17.73,6.39,0.89,3.4,409.84,98.83,421.7,51.58,37.91,05-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
05-Apr-2018 - 00:00,31.1,737.1,263.21,112.53,0.0,45.42,17.1,35.17,204.41,1.48,2.67,18.18,6.44,0.6,4.7,429.54,83.98,412.9,50.48,19.68,06-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
06-Apr-2018 - 00:00,30.43,738.96,290.92,102.02,0.0,51.38,32.56,39.02,196.89,2.02,2.53,14.53,4.9,1.72,,374.85,79.17,344.1,45.36,21.55,07-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
07-Apr-2018 - 00:00,27.17,741.98,139.48,48.73,0.05,57.05,96.66,40.94,249.52,1.91,1.7,11.95,4.32,0.42,17.41,371.38,86.55,354.42,32.23,12.51,08-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
08-Apr-2018 - 00:00,27.72,742.82,183.8,86.09,0.0,54.93,111.28,39.7,239.79,1.89,2.1,13.29,4.55,0.54,,,130.08,,32.12,5.74,09-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
09-Apr-2018 - 00:00,25.07,743.51,175.04,103.41,0.33,69.93,67.92,31.25,221.83,1.59,2.31,14.69,5.72,1.01,,485.5,129.12,471.91,20.72,8.13,10-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
10-Apr-2018 - 00:00,27.9,741.62,231.1,127.09,0.01,62.35,133.67,33.88,175.32,1.4,2.34,13.09,5.08,0.74,,462.29,100.71,453.21,39.93,4.66,11-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
11-Apr-2018 - 00:00,25.21,741.84,116.88,68.22,0.02,66.61,88.27,36.04,213.38,1.58,1.53,16.09,4.66,0.41,,484.12,93.72,463.74,29.4,4.12,12-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
12-Apr-2018 - 00:00,27.79,740.6,164.76,84.98,0.01,54.94,132.92,42.52,161.5,1.27,3.23,16.38,5.83,0.37,,490.4,107.52,473.36,26.63,9.41,13-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
13-Apr-2018 - 00:00,29.97,741.19,145.43,63.64,0.0,36.5,153.24,39.38,130.67,1.5,2.06,14.25,5.36,0.17,,,117.74,,57.15,5.69,14-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
14-Apr-2018 - 00:00,30.45,739.56,202.93,85.28,0.01,33.65,146.86,39.29,92.81,1.89,2.86,12.1,4.71,0.33,,,127.48,,54.58,3.52,15-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
15-Apr-2018 - 00:00,31.96,739.4,257.06,92.42,0.0,31.79,139.21,35.94,98.03,1.75,2.91,14.37,6.77,0.2,,,114.86,,47.28,7.06,16-Apr-2018 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
