from date,CO,PM10,NO,NO2,NOx,SO2,to date,station
18-Feb-2018 - 00:00,1.29,0.0,0.0,0.0,21.94,0.0,19-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Feb-2018 - 00:00,1.35,0.0,0.0,0.0,21.45,0.0,20-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Feb-2018 - 00:00,1.48,0.0,0.0,0.0,24.18,0.0,21-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Feb-2018 - 00:00,1.36,0.0,0.0,0.0,26.92,0.0,22-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Feb-2018 - 00:00,1.21,0.0,0.0,0.0,24.71,0.0,23-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Feb-2018 - 00:00,1.06,0.0,0.0,0.0,26.77,0.0,24-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Feb-2018 - 00:00,1.31,0.0,0.0,0.0,21.98,0.0,25-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Feb-2018 - 00:00,1.06,0.0,0.0,0.0,20.14,0.0,26-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Feb-2018 - 00:00,1.32,0.0,0.0,0.0,26.07,0.0,27-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Feb-2018 - 00:00,1.31,0.0,0.0,0.0,26.86,0.0,28-Feb-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Feb-2018 - 00:00,1.25,0.0,0.0,0.0,25.87,0.0,01-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Mar-2018 - 00:00,0.87,0.0,0.0,0.0,18.06,0.0,02-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Mar-2018 - 00:00,1.23,0.0,0.0,0.0,28.65,0.0,03-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Mar-2018 - 00:00,1.26,0.0,0.0,0.0,87.92,0.0,04-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Mar-2018 - 00:00,1.33,0.0,0.0,0.0,108.23,0.0,05-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Mar-2018 - 00:00,1.4,0.0,0.0,0.0,120.72,0.0,06-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Mar-2018 - 00:00,1.3,0.0,0.0,0.0,70.1,0.0,07-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Mar-2018 - 00:00,1.2,0.0,0.0,0.0,40.2,0.0,08-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Mar-2018 - 00:00,1.2,0.0,0.0,0.0,41.4,0.0,09-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Mar-2018 - 00:00,1.26,0.0,0.0,0.0,52.13,0.0,10-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Mar-2018 - 00:00,1.2,0.0,0.0,0.0,53.46,0.0,11-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Mar-2018 - 00:00,1.03,0.0,0.0,0.0,45.78,0.0,12-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Mar-2018 - 00:00,1.56,0.0,0.0,0.0,37.4,0.0,13-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Mar-2018 - 00:00,1.89,0.0,0.0,0.0,28.76,0.0,14-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Mar-2018 - 00:00,1.94,0.0,0.0,0.0,26.33,0.0,15-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Mar-2018 - 00:00,1.93,0.0,0.0,0.0,30.35,0.0,16-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Mar-2018 - 00:00,1.66,0.0,0.0,35.12,24.78,0.0,17-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Mar-2018 - 00:00,2.01,0.0,0.0,0.0,113.14,7.87,18-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Mar-2018 - 00:00,2.18,0.0,0.0,0.0,92.22,,19-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Mar-2018 - 00:00,1.73,0.0,0.0,0.0,94.67,,20-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Mar-2018 - 00:00,1.84,0.0,0.0,0.0,101.63,0.0,21-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Mar-2018 - 00:00,1.82,0.0,0.0,0.0,72.7,0.0,22-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Mar-2018 - 00:00,1.76,0.0,0.0,0.0,111.68,0.0,23-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Mar-2018 - 00:00,1.77,0.0,0.0,0.0,104.06,0.0,24-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Mar-2018 - 00:00,1.73,0.0,0.0,0.0,101.93,0.0,25-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Mar-2018 - 00:00,1.74,0.0,0.0,0.0,77.69,,26-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Mar-2018 - 00:00,,,,,,,27-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Mar-2018 - 00:00,,,,,,,28-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Mar-2018 - 00:00,2.25,0.0,0.0,0.0,143.53,0.0,29-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Mar-2018 - 00:00,1.86,0.0,0.0,0.0,84.63,0.0,30-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Mar-2018 - 00:00,1.67,0.0,0.0,0.0,64.39,0.0,31-Mar-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
31-Mar-2018 - 00:00,1.8,0.0,0.0,0.0,55.96,0.0,01-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Apr-2018 - 00:00,3.56,0.0,0.0,0.0,59.97,0.0,02-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Apr-2018 - 00:00,1.76,0.0,0.0,0.0,94.23,0.0,03-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Apr-2018 - 00:00,1.73,0.0,0.0,0.0,105.16,0.0,04-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Apr-2018 - 00:00,1.32,0.0,0.0,0.0,139.73,0.0,05-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Apr-2018 - 00:00,2.2,0.0,0.0,0.0,134.51,0.0,06-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Apr-2018 - 00:00,1.49,0.0,0.0,0.0,114.2,0.0,07-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Apr-2018 - 00:00,1.2,0.0,0.0,0.0,77.97,0.0,08-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Apr-2018 - 00:00,,,,,,,09-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Apr-2018 - 00:00,,,,,,,10-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Apr-2018 - 00:00,1.38,0.0,0.0,0.0,102.53,0.0,11-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Apr-2018 - 00:00,1.38,0.0,0.0,0.0,87.76,0.0,12-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Apr-2018 - 00:00,1.27,0.0,0.0,0.0,87.2,0.0,13-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Apr-2018 - 00:00,1.51,0.0,0.0,0.0,97.08,0.0,14-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Apr-2018 - 00:00,1.72,0.0,0.0,0.0,75.51,0.0,15-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Apr-2018 - 00:00,1.33,0.0,0.0,0.0,42.67,,16-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Apr-2018 - 00:00,,,,,,,17-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Apr-2018 - 00:00,1.76,0.0,0.0,0.0,116.09,,18-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Apr-2018 - 00:00,1.37,0.0,0.0,0.0,74.98,,19-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Apr-2018 - 00:00,1.26,0.0,0.0,0.0,23.32,11.48,20-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Apr-2018 - 00:00,0.84,0.0,0.0,0.0,46.57,0.0,21-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Apr-2018 - 00:00,0.87,0.0,0.0,0.0,88.09,0.0,22-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Apr-2018 - 00:00,0.88,0.0,0.0,0.0,49.86,0.0,23-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Apr-2018 - 00:00,1.15,0.0,0.0,0.0,42.95,0.0,24-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Apr-2018 - 00:00,1.22,0.0,0.0,0.0,46.42,0.0,25-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Apr-2018 - 00:00,1.37,0.0,0.0,0.0,50.6,0.0,26-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Apr-2018 - 00:00,1.22,0.0,0.0,0.0,42.48,0.0,27-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Apr-2018 - 00:00,1.4,0.0,0.0,0.0,78.54,0.0,28-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Apr-2018 - 00:00,1.36,0.0,0.0,0.0,80.68,0.0,29-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Apr-2018 - 00:00,0.68,0.0,0.0,0.0,40.32,0.0,30-Apr-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Apr-2018 - 00:00,,,,,,,01-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-May-2018 - 00:00,,,,,,,02-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-May-2018 - 00:00,1.51,0.0,0.0,0.0,48.42,0.0,03-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-May-2018 - 00:00,1.36,0.0,0.0,0.0,46.41,,04-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-May-2018 - 00:00,1.41,0.0,0.0,0.0,67.72,0.0,05-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-May-2018 - 00:00,0.97,0.0,0.0,0.0,55.1,0.0,06-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-May-2018 - 00:00,1.2,0.0,0.0,0.0,35.09,,07-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-May-2018 - 00:00,1.42,0.0,0.0,0.0,39.01,0.0,08-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-May-2018 - 00:00,,,,,,,09-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-May-2018 - 00:00,1.3,0.0,0.0,0.0,57.89,0.0,10-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-May-2018 - 00:00,1.28,0.0,0.0,0.0,32.17,,11-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-May-2018 - 00:00,1.41,0.0,0.0,0.0,24.2,0.0,12-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-May-2018 - 00:00,1.38,0.0,0.0,0.0,21.34,0.0,13-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-May-2018 - 00:00,1.39,0.0,0.0,0.0,26.62,,14-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-May-2018 - 00:00,1.37,0.0,0.0,0.0,29.22,0.0,15-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-May-2018 - 00:00,1.08,0.0,0.0,0.0,23.84,,16-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-May-2018 - 00:00,1.4,0.0,0.0,0.0,22.28,0.0,17-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-May-2018 - 00:00,1.28,0.0,0.0,0.0,11.41,0.0,18-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-May-2018 - 00:00,1.66,0.0,0.0,39.23,60.56,0.0,19-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-May-2018 - 00:00,1.38,0.0,0.0,56.65,86.32,,20-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-May-2018 - 00:00,,,,,,,21-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-May-2018 - 00:00,,,,,,,22-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-May-2018 - 00:00,1.53,0.0,6.92,30.02,36.77,,23-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-May-2018 - 00:00,1.36,0.0,11.08,30.35,41.44,,24-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-May-2018 - 00:00,1.41,0.0,8.81,27.25,36.06,,25-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-May-2018 - 00:00,1.49,0.0,12.4,28.86,41.26,,26-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-May-2018 - 00:00,1.47,0.0,24.36,34.01,58.37,,27-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-May-2018 - 00:00,1.79,0.0,21.86,42.22,64.08,,28-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-May-2018 - 00:00,2.0,0.0,12.23,26.38,38.61,,29-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-May-2018 - 00:00,2.0,0.0,11.55,21.66,33.21,,30-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-May-2018 - 00:00,2.1,0.0,7.18,14.96,22.14,,31-May-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
31-May-2018 - 00:00,2.0,0.0,12.68,25.53,38.21,0.0,01-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Jun-2018 - 00:00,1.97,0.0,13.62,23.82,37.44,,02-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Jun-2018 - 00:00,1.86,0.0,14.16,29.37,43.53,168.65,03-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Jun-2018 - 00:00,1.93,0.0,13.23,21.62,34.85,,04-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Jun-2018 - 00:00,1.85,0.0,13.91,21.12,35.03,,05-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Jun-2018 - 00:00,2.01,0.0,13.59,18.34,31.92,14.95,06-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Jun-2018 - 00:00,1.97,0.0,12.11,18.46,30.57,10.17,07-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Jun-2018 - 00:00,1.81,0.0,20.32,29.03,49.35,5.24,08-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Jun-2018 - 00:00,2.04,0.0,20.26,24.87,45.13,5.34,09-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Jun-2018 - 00:00,2.0,0.0,18.5,23.98,42.49,,10-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
10-Jun-2018 - 00:00,1.94,0.0,27.19,29.52,56.72,,11-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
11-Jun-2018 - 00:00,1.97,0.0,19.51,23.11,42.62,6.09,12-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
12-Jun-2018 - 00:00,2.07,0.0,17.06,19.42,36.48,,13-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
13-Jun-2018 - 00:00,2.05,0.0,19.29,22.46,41.75,5.99,14-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
14-Jun-2018 - 00:00,1.85,0.0,21.99,27.67,49.66,,15-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
15-Jun-2018 - 00:00,2.01,0.0,14.59,19.27,33.86,,16-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
16-Jun-2018 - 00:00,2.07,0.0,17.37,21.75,39.12,,17-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
17-Jun-2018 - 00:00,2.03,0.0,19.88,21.11,40.99,5.98,18-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
18-Jun-2018 - 00:00,2.04,191.28,20.94,22.82,43.75,,19-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
19-Jun-2018 - 00:00,1.94,135.23,19.08,18.34,37.42,,20-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
20-Jun-2018 - 00:00,2.03,108.77,19.56,19.36,38.92,,21-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
21-Jun-2018 - 00:00,1.89,97.82,17.49,38.31,55.8,,22-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
22-Jun-2018 - 00:00,1.95,98.36,11.88,24.33,36.21,,23-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
23-Jun-2018 - 00:00,1.79,79.18,16.84,24.88,41.73,,24-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
24-Jun-2018 - 00:00,1.59,109.29,22.43,29.66,52.09,,25-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
25-Jun-2018 - 00:00,1.69,110.06,14.62,20.45,35.06,,26-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
26-Jun-2018 - 00:00,1.83,88.93,13.86,16.53,30.39,,27-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
27-Jun-2018 - 00:00,2.11,,23.52,31.33,27.42,5.99,28-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
28-Jun-2018 - 00:00,1.61,,,,,6.85,29-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
29-Jun-2018 - 00:00,1.65,,,,,7.99,30-Jun-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
30-Jun-2018 - 00:00,1.63,,,,,7.99,01-Jul-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
01-Jul-2018 - 00:00,1.64,,,,,7.98,02-Jul-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
02-Jul-2018 - 00:00,1.9,6.7,,,,7.99,03-Jul-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
03-Jul-2018 - 00:00,1.72,1.11,,,,7.98,04-Jul-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
04-Jul-2018 - 00:00,1.7,,,,,7.94,05-Jul-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
05-Jul-2018 - 00:00,1.8,,,,,7.28,06-Jul-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
06-Jul-2018 - 00:00,1.79,,,,,8.03,07-Jul-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
07-Jul-2018 - 00:00,1.31,89.75,13.69,42.3,53.0,7.98,08-Jul-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
08-Jul-2018 - 00:00,1.34,64.76,5.91,4.37,10.27,,09-Jul-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
09-Jul-2018 - 00:00,1.44,88.26,9.57,11.84,20.98,8.05,10-Jul-2018 - 00:00,"City Railway Station, Bengaluru - KSPCB"
