from date,PM2.5,PM10,Temp,SR,BP,RH,RF,WD,WS,VWS,AT,Benzene,Xylene,SO2,Ozone,NO,NO2,NOx,NH3,CO,Toluene,to date,station
26-May-2018 - 00:00,20.52,71.09,29.51,150.15,712.1,53.11,0.0,86.34,1.23,0.02,30.64,0.0,0.03,12.08,51.62,0.46,10.18,5.78,8.04,0.37,0.39,27-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
27-May-2018 - 00:00,21.58,67.58,29.4,145.56,712.31,53.79,0.0,121.56,1.13,0.01,30.13,0.0,0.05,16.2,68.11,0.32,9.62,5.34,8.24,0.46,0.35,28-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
28-May-2018 - 00:00,25.67,73.19,29.46,158.92,711.62,50.38,0.0,128.94,0.89,0.01,31.29,0.0,0.03,15.21,59.1,0.35,8.23,4.65,7.95,0.43,0.31,29-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
29-May-2018 - 00:00,29.07,83.43,29.48,158.25,711.88,49.36,0.0,211.53,1.32,-0.0,31.38,0.0,0.02,14.33,62.97,0.4,9.3,5.26,7.66,0.42,0.44,30-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
30-May-2018 - 00:00,24.81,68.68,29.31,151.15,712.42,53.85,0.0,211.88,1.25,0.0,30.3,0.0,0.01,14.73,56.45,0.52,8.75,5.05,7.82,0.36,0.29,31-May-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
31-May-2018 - 00:00,27.16,72.22,29.16,143.55,712.92,59.29,0.0,194.4,1.37,0.01,29.09,0.0,0.02,10.24,60.07,0.68,10.22,5.97,8.14,0.39,0.3,01-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
01-Jun-2018 - 00:00,27.57,65.46,29.41,109.95,712.89,58.01,0.0,224.23,0.93,0.0,29.45,0.0,0.04,20.33,72.77,0.53,12.91,7.04,21.34,0.34,0.47,02-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
02-Jun-2018 - 00:00,25.53,44.43,29.17,48.25,715.83,79.31,0.0,216.33,0.94,0.0,24.57,0.01,0.12,17.46,48.31,0.77,14.19,8.17,15.32,0.48,0.64,03-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
03-Jun-2018 - 00:00,29.82,70.42,29.32,148.0,713.82,66.97,0.0,194.23,1.22,0.0,27.52,0.01,0.08,16.7,63.32,1.38,11.76,7.35,13.17,0.43,0.51,04-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
04-Jun-2018 - 00:00,25.47,59.18,29.54,150.47,713.73,63.29,0.0,236.28,1.12,0.0,27.71,0.0,0.03,16.75,74.34,0.42,9.24,5.21,10.48,0.4,0.46,05-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
05-Jun-2018 - 00:00,27.7,60.82,29.2,154.76,713.29,61.82,0.0,222.38,1.23,0.0,28.38,0.0,0.03,17.71,61.62,0.5,9.87,5.64,9.1,0.41,0.39,06-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
06-Jun-2018 - 00:00,24.55,52.96,37.18,151.43,714.09,63.46,0.0,238.14,1.53,0.0,28.53,0.0,0.08,13.14,59.98,2.6,15.2,10.13,18.05,0.37,0.58,07-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
07-Jun-2018 - 00:00,13.94,20.84,38.82,93.95,715.68,72.72,0.0,236.74,1.66,0.0,26.48,0.0,0.08,8.86,64.22,2.68,11.76,7.82,15.34,0.25,0.59,08-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
08-Jun-2018 - 00:00,12.56,25.07,31.3,91.14,714.86,71.98,0.0,237.35,1.53,0.0,26.32,0.0,0.01,15.47,59.33,0.39,7.39,4.21,7.19,0.36,0.31,09-Jun-2018 - 00:00,"ICRISAT Patancheru, Hyderabad - TSPCB"
