from date,Temp,RH,VWS,WD,WS,SR,PM2.5,CO,CH4,NO2,NO,NOx,NH3,SO2,NMHC,to date,THC,BP,station
17-Jan-2018 - 00:00,11.7,91.6,0.2,112.37,0.31,75.88,260.19,1.17,736.8,71.1,16.36,50.75,52.79,21.64,507.57,18-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
18-Jan-2018 - 00:00,12.71,78.66,0.1,272.33,0.54,105.29,221.9,0.85,572.37,66.78,19.42,51.05,51.49,20.82,330.36,19-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
19-Jan-2018 - 00:00,16.13,76.66,0.08,274.55,0.5,91.7,283.45,1.1,267.76,75.75,45.52,76.43,46.32,16.18,505.16,20-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
20-Jan-2018 - 00:00,15.94,68.39,0.02,283.39,0.86,95.59,196.36,0.92,583.03,69.29,11.37,45.9,52.36,13.33,462.42,21-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
21-Jan-2018 - 00:00,15.17,70.98,0.04,266.64,0.41,87.18,208.5,1.04,547.42,68.66,14.68,48.13,51.29,12.88,330.3,22-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
22-Jan-2018 - 00:00,14.96,75.91,0.08,253.59,0.34,93.23,268.5,0.99,303.0,72.78,29.45,61.91,46.33,17.15,512.66,23-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
23-Jan-2018 - 00:00,15.55,75.13,0.07,142.85,0.64,93.58,287.31,0.97,379.55,75.32,51.53,81.22,38.61,18.81,587.26,24-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
24-Jan-2018 - 00:00,15.27,85.36,0.15,230.8,0.63,81.59,182.44,1.09,664.54,74.64,12.39,49.6,50.35,18.91,425.62,25-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
25-Jan-2018 - 00:00,12.48,95.05,0.23,288.88,1.27,70.37,178.28,0.87,720.31,66.16,10.14,43.29,50.51,11.84,218.49,26-Jan-2018 - 00:00,938.79,,"Talkatora District Industries Center, Lucknow - CPCB"
26-Jan-2018 - 00:00,12.78,88.04,0.17,275.27,0.73,97.93,196.3,1.04,596.82,70.53,16.17,50.45,46.1,13.49,219.22,27-Jan-2018 - 00:00,,,"Talkatora District Industries Center, Lucknow - CPCB"
