from date,PM2.5,PM10,RH,VWS,BP,SR,AT,WS,WD,CO,SO2,Ozone,NO2,NO,NOx,Benzene,Xylene,Toluene,to date,station
13-Mar-2018 - 00:00,83.29,242.12,33.49,-0.71,747.9,94.43,19.86,1.39,173.76,1.06,28.71,15.22,92.25,17.4,38.4,1.92,0.07,5.76,14-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Mar-2018 - 00:00,150.57,357.22,35.28,-0.67,747.78,97.38,21.56,1.08,193.48,1.91,32.52,13.02,107.07,44.56,61.03,2.94,0.54,9.18,15-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Mar-2018 - 00:00,145.06,356.74,40.24,-0.5,747.85,65.61,20.37,1.74,227.89,1.25,34.52,30.98,104.11,34.09,53.1,3.49,0.66,12.6,16-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Mar-2018 - 00:00,96.43,262.88,36.61,-0.68,747.8,91.85,20.11,2.16,150.84,1.05,26.83,28.46,75.41,14.82,31.79,1.99,0.1,6.67,17-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Mar-2018 - 00:00,78.9,231.15,32.14,-1.04,747.61,91.8,19.9,2.18,155.17,0.86,28.53,27.64,72.55,12.92,29.68,2.0,0.04,6.3,18-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Mar-2018 - 00:00,97.7,250.24,32.18,-0.81,747.55,101.14,17.22,1.85,162.93,0.97,28.75,5.84,75.85,14.86,31.95,2.35,0.04,6.24,19-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Mar-2018 - 00:00,106.88,288.72,30.05,-1.61,747.72,88.6,18.73,1.71,165.69,1.2,30.31,5.52,95.54,22.52,42.81,3.07,0.13,8.66,20-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Mar-2018 - 00:00,128.02,306.24,35.24,-2.62,747.91,89.49,19.64,1.22,180.8,1.3,33.89,5.71,101.87,18.17,41.7,3.3,0.25,9.9,21-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Mar-2018 - 00:00,100.16,295.19,33.99,-0.87,747.98,71.19,22.54,1.6,224.8,1.19,31.67,34.36,104.52,32.83,52.41,2.99,0.24,9.07,22-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Mar-2018 - 00:00,115.1,304.69,36.33,-1.21,747.89,90.88,23.35,1.76,170.4,1.2,36.44,29.13,103.02,29.49,49.67,3.38,0.35,10.61,23-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Mar-2018 - 00:00,105.17,274.72,32.24,-1.53,747.79,88.55,22.9,1.9,159.24,0.95,30.38,35.54,99.45,26.15,46.39,2.89,0.16,8.2,24-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-Mar-2018 - 00:00,99.38,258.26,33.76,-1.31,747.8,85.55,22.25,2.05,157.92,0.91,30.06,37.16,103.13,18.73,42.44,2.6,0.01,6.34,25-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-Mar-2018 - 00:00,101.09,216.21,32.82,-1.47,747.66,92.33,21.54,1.49,165.55,1.0,31.03,44.86,100.89,13.6,38.33,2.41,0.0,5.34,26-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-Mar-2018 - 00:00,83.68,224.94,31.95,-1.23,747.65,92.92,21.05,1.65,165.3,0.97,31.27,37.67,105.01,14.56,40.17,2.46,0.07,6.91,27-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-Mar-2018 - 00:00,108.18,288.65,31.84,-1.95,747.5,91.26,22.83,1.7,171.89,1.22,32.86,37.14,112.8,18.28,44.94,2.98,0.12,8.65,28-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-Mar-2018 - 00:00,122.45,349.06,27.3,-1.98,747.54,97.44,25.21,1.71,189.35,2.18,38.19,31.24,133.39,76.18,89.97,3.86,0.69,13.02,29-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
29-Mar-2018 - 00:00,140.62,386.74,25.73,-2.16,747.64,96.14,26.36,2.46,174.53,1.22,40.88,34.35,127.78,80.69,91.4,5.02,1.21,18.36,30-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
30-Mar-2018 - 00:00,80.68,252.87,27.91,-1.48,747.58,93.51,24.11,3.36,208.04,0.78,34.51,44.24,101.55,17.07,40.86,2.13,0.03,6.52,31-Mar-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
31-Mar-2018 - 00:00,50.23,171.72,45.44,-0.62,747.43,91.46,18.84,4.58,140.83,0.59,18.69,57.34,64.97,9.45,25.15,0.93,0.0,1.48,01-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-Apr-2018 - 00:00,63.15,154.58,51.71,-0.6,747.3,90.64,20.08,4.39,153.24,0.72,22.12,52.74,63.24,8.52,24.05,1.11,0.0,1.35,02-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-Apr-2018 - 00:00,75.58,183.86,38.32,-0.6,747.27,93.3,22.43,1.81,145.75,0.85,29.01,51.69,80.32,11.81,31.18,1.46,0.0,2.86,03-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-Apr-2018 - 00:00,83.49,244.41,34.45,-0.6,747.4,91.91,25.04,2.11,178.1,0.99,26.75,47.63,93.47,13.73,36.29,2.18,0.0,5.26,04-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-Apr-2018 - 00:00,84.42,258.06,32.45,-0.61,747.47,94.57,27.73,1.87,210.72,1.12,31.06,34.13,107.2,15.05,41.13,2.63,0.03,9.26,05-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-Apr-2018 - 00:00,47.82,157.93,42.86,-1.13,747.55,89.2,22.75,4.15,222.09,0.63,25.11,24.04,56.05,7.96,21.56,1.12,0.0,2.26,06-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-Apr-2018 - 00:00,63.53,157.5,49.39,-0.84,747.47,87.74,22.69,4.05,210.67,0.68,22.54,48.9,57.68,8.73,22.55,1.17,0.0,1.81,07-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
07-Apr-2018 - 00:00,65.34,173.5,57.17,-1.04,747.54,74.58,20.64,5.25,198.69,0.78,22.55,56.28,51.32,7.79,20.08,0.97,0.0,1.2,08-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
08-Apr-2018 - 00:00,42.14,104.6,72.17,-0.63,747.63,17.07,10.75,3.5,205.63,0.61,17.03,31.7,58.03,10.96,23.65,0.94,0.0,1.12,09-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
09-Apr-2018 - 00:00,52.53,250.78,45.29,-0.51,747.38,131.73,25.27,3.64,171.94,0.88,18.76,56.22,61.39,6.8,21.56,2.12,12.05,2.48,10-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
10-Apr-2018 - 00:00,50.76,136.74,51.55,-0.53,747.68,107.47,21.28,3.12,199.78,0.76,23.97,55.86,76.99,10.25,29.16,1.72,6.6,27.34,11-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
11-Apr-2018 - 00:00,77.35,199.58,51.11,-0.79,747.84,110.22,21.87,2.73,200.55,1.04,22.21,37.05,103.84,14.54,39.82,2.54,10.21,14.36,12-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
12-Apr-2018 - 00:00,52.0,144.84,47.58,-1.15,747.75,61.23,20.77,3.2,152.63,1.16,15.75,28.08,102.65,13.32,37.11,2.82,20.16,23.25,13-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
13-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,14-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
14-Apr-2018 - 00:00,66.43,245.14,21.04,-0.73,747.86,22.21,28.56,1.71,170.21,1.94,39.86,31.37,182.1,21.58,65.78,4.37,0.48,18.04,15-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
16-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,17-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
17-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,18-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
18-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,19-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
19-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,20-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
20-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,21-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
21-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,22-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
22-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,,23-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
23-Apr-2018 - 00:00,57.36,270.64,15.48,-1.27,747.8,95.18,39.07,2.84,134.22,1.35,28.8,46.02,129.42,11.55,46.11,2.28,0.11,7.86,24-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
24-Apr-2018 - 00:00,106.61,288.67,21.21,-2.11,747.7,138.95,29.2,1.8,195.97,1.63,33.92,44.18,127.17,27.84,55.54,4.01,0.2,12.94,25-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
25-Apr-2018 - 00:00,135.43,345.75,22.46,-0.88,747.78,128.14,31.53,1.48,187.06,1.56,36.54,39.59,142.97,38.76,67.49,5.72,0.62,19.37,26-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
26-Apr-2018 - 00:00,124.33,295.62,39.39,-0.93,747.88,119.83,28.51,3.99,214.28,1.18,39.18,61.49,83.68,8.19,29.69,2.93,0.0,5.7,27-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
27-Apr-2018 - 00:00,64.7,260.28,46.0,-0.74,747.84,108.24,26.48,4.91,209.32,0.85,27.27,62.26,60.77,6.83,22.17,1.65,0.0,2.14,28-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
28-Apr-2018 - 00:00,66.93,289.19,47.27,-1.13,747.78,91.97,26.62,3.74,199.31,0.93,26.92,57.13,62.59,7.52,23.16,1.57,0.0,2.05,29-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
29-Apr-2018 - 00:00,66.88,297.22,47.58,-1.18,747.86,90.24,27.49,3.74,210.97,0.91,28.33,60.45,61.28,8.03,23.13,1.27,0.0,1.86,30-Apr-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
30-Apr-2018 - 00:00,39.41,205.29,53.41,-0.47,747.72,77.58,21.77,5.1,162.06,0.94,21.55,68.61,54.52,6.32,20.03,0.7,0.0,0.85,01-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
01-May-2018 - 00:00,48.24,106.2,59.48,-0.31,747.61,116.01,23.06,2.18,181.02,0.97,21.33,55.73,50.41,7.23,19.44,1.06,0.0,0.98,02-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
02-May-2018 - 00:00,74.02,129.24,58.91,-0.2,747.65,124.76,26.44,0.3,196.4,0.95,20.53,53.7,51.47,7.62,20.02,1.36,0.0,1.21,03-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
03-May-2018 - 00:00,44.32,101.25,56.57,-0.2,747.75,102.1,23.51,0.3,193.49,0.92,20.56,52.57,47.13,8.06,19.06,1.1,0.0,1.33,04-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
04-May-2018 - 00:00,69.58,124.8,51.9,-0.2,747.7,115.53,27.43,0.3,193.69,1.02,21.61,55.01,52.04,9.9,21.72,1.38,0.0,1.6,05-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
05-May-2018 - 00:00,71.29,152.67,48.79,-0.31,747.7,125.27,30.16,1.38,182.41,1.28,23.05,51.34,63.99,9.88,25.16,1.72,0.05,4.85,06-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
06-May-2018 - 00:00,94.4,221.36,39.34,-0.39,747.75,142.73,35.38,2.65,186.42,1.33,28.15,56.52,68.06,9.96,26.39,1.79,8.52,5.72,07-May-2018 - 00:00,"Ardhali Bazar, Varanasi - UPPCB"
