from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
23-Feb-2018 - 00:00,227.81,106.93,22.71,23.9,46.61,1.44,,35.81,24-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
24-Feb-2018 - 00:00,238.27,115.84,21.72,24.41,46.12,1.37,,36.64,25-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
25-Feb-2018 - 00:00,171.98,90.03,22.49,23.86,46.32,1.42,,34.04,26-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
26-Feb-2018 - 00:00,89.22,50.88,24.31,23.5,47.82,1.53,,30.82,27-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
27-Feb-2018 - 00:00,123.66,60.66,24.11,22.82,46.93,1.55,,30.22,28-Feb-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
28-Feb-2018 - 00:00,184.61,100.96,22.39,23.88,46.27,1.42,,34.0,01-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
01-Mar-2018 - 00:00,172.27,90.33,22.85,23.68,46.53,1.45,,33.59,02-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
02-Mar-2018 - 00:00,168.19,92.24,22.16,24.17,46.34,1.4,,35.85,03-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
03-Mar-2018 - 00:00,131.23,70.33,24.3,22.57,46.87,1.56,,28.92,04-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
04-Mar-2018 - 00:00,127.39,56.45,25.98,21.86,47.84,1.69,,27.25,05-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
05-Mar-2018 - 00:00,101.81,50.03,24.12,22.81,46.93,1.55,,30.16,06-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
06-Mar-2018 - 00:00,99.2,51.64,23.12,23.36,46.48,1.47,,31.98,07-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
07-Mar-2018 - 00:00,120.08,64.03,22.92,23.54,46.46,1.46,,32.77,08-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
08-Mar-2018 - 00:00,189.74,62.26,21.45,24.79,46.24,1.35,,39.18,09-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
09-Mar-2018 - 00:00,184.57,101.58,21.65,24.49,46.14,1.36,,36.86,10-Mar-2018 - 00:00,"IGI Airport (T3), Delhi - IMD"
