from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,CO,NH3,NO,NOx,NO2,Ozone,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,SO2,to date,station
13-May-2018 - 00:00,1.27,0.09,0.01,0.01,0.72,83.02,15.83,50.94,35.1,15.87,162.48,44.46,0.01,44.03,207.89,30.08,123.99,1.07,,14-May-2018 - 00:00,"Model Town, Patiala - PPCB"
14-May-2018 - 00:00,1.1,0.02,0.02,0.03,0.64,6.54,118.22,130.59,73.76,42.57,60.43,15.11,0.0,52.45,200.42,26.06,118.97,0.61,,15-May-2018 - 00:00,"Model Town, Patiala - PPCB"
15-May-2018 - 00:00,1.44,0.02,0.02,0.02,0.72,6.16,58.69,82.26,36.52,46.64,108.77,57.43,0.0,35.93,209.86,31.87,156.57,0.42,,16-May-2018 - 00:00,"Model Town, Patiala - PPCB"
16-May-2018 - 00:00,1.16,2.55,3.83,1.47,0.81,8.84,53.91,77.0,45.67,35.1,190.13,81.16,0.0,32.74,195.08,30.96,217.69,0.8,14.77,17-May-2018 - 00:00,"Model Town, Patiala - PPCB"
17-May-2018 - 00:00,1.25,2.82,4.35,1.64,1.02,5.79,59.3,79.17,41.11,22.87,234.95,92.54,0.0,30.43,189.36,30.63,223.39,0.64,2.24,18-May-2018 - 00:00,"Model Town, Patiala - PPCB"
18-May-2018 - 00:00,1.25,2.84,4.36,1.66,0.94,2.67,117.2,138.73,87.62,28.38,216.66,90.19,0.0,31.67,179.24,30.3,201.59,0.61,2.29,19-May-2018 - 00:00,"Model Town, Patiala - PPCB"
19-May-2018 - 00:00,1.23,3.92,4.49,1.73,0.86,3.32,97.03,112.98,67.11,26.11,198.53,81.23,0.0,28.62,189.93,31.1,250.48,0.66,3.67,20-May-2018 - 00:00,"Model Town, Patiala - PPCB"
20-May-2018 - 00:00,1.33,7.36,5.41,2.04,0.92,4.75,73.72,94.57,54.36,26.72,141.44,50.74,0.0,22.22,187.05,31.08,252.82,0.64,2.36,21-May-2018 - 00:00,"Model Town, Patiala - PPCB"
21-May-2018 - 00:00,1.33,7.31,5.41,2.04,0.75,4.26,80.41,104.47,65.33,26.76,164.45,66.12,0.0,16.32,185.9,31.83,254.28,0.66,2.31,22-May-2018 - 00:00,"Model Town, Patiala - PPCB"
22-May-2018 - 00:00,1.33,7.39,5.41,2.05,0.78,3.35,81.52,113.95,75.06,30.33,156.01,66.33,0.0,14.83,192.58,33.71,270.46,0.59,2.3,23-May-2018 - 00:00,"Model Town, Patiala - PPCB"
23-May-2018 - 00:00,1.33,7.27,5.41,2.03,0.93,1.6,131.32,158.87,104.92,31.92,178.13,73.37,0.0,19.63,187.37,32.63,222.27,0.55,2.31,24-May-2018 - 00:00,"Model Town, Patiala - PPCB"
24-May-2018 - 00:00,1.33,7.34,5.4,2.04,0.81,0.99,150.82,187.21,128.5,31.78,130.44,55.88,0.0,15.44,189.04,32.54,234.4,0.55,2.36,25-May-2018 - 00:00,"Model Town, Patiala - PPCB"
25-May-2018 - 00:00,1.33,7.33,5.4,2.03,0.8,0.85,151.73,188.18,130.47,27.35,137.31,62.08,0.0,16.66,191.22,32.64,233.56,0.62,2.33,26-May-2018 - 00:00,"Model Town, Patiala - PPCB"
26-May-2018 - 00:00,1.3,7.14,5.3,1.98,0.98,2.07,126.09,155.29,105.71,23.39,87.14,60.8,0.0,18.55,198.93,33.25,216.52,0.43,2.37,27-May-2018 - 00:00,"Model Town, Patiala - PPCB"
27-May-2018 - 00:00,1.33,7.27,5.41,2.04,1.12,0.44,93.86,126.0,82.5,30.49,76.61,63.08,0.0,18.1,190.23,33.59,120.21,0.61,2.41,28-May-2018 - 00:00,"Model Town, Patiala - PPCB"
28-May-2018 - 00:00,1.43,6.92,5.41,2.04,0.82,0.66,84.58,109.05,70.1,29.74,66.7,57.2,0.0,21.56,192.53,33.17,188.73,0.42,2.62,29-May-2018 - 00:00,"Model Town, Patiala - PPCB"
29-May-2018 - 00:00,1.31,6.34,4.98,1.88,0.9,,,,,29.82,110.23,76.9,0.0,27.95,191.06,33.35,116.5,0.8,3.97,30-May-2018 - 00:00,"Model Town, Patiala - PPCB"
30-May-2018 - 00:00,1.28,6.96,5.2,1.98,0.75,34.96,39.55,93.55,55.1,17.0,98.24,64.77,0.0,40.63,211.36,31.41,105.21,1.13,4.92,31-May-2018 - 00:00,"Model Town, Patiala - PPCB"
31-May-2018 - 00:00,1.27,6.97,5.16,1.96,0.81,18.06,24.18,39.18,15.32,20.38,80.83,54.97,0.0,42.21,217.3,32.72,112.3,0.96,4.4,01-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
01-Jun-2018 - 00:00,1.2,6.46,4.86,1.83,0.51,10.71,14.26,21.27,7.16,20.3,96.89,85.48,0.01,43.88,240.0,31.33,113.76,1.2,3.11,02-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
02-Jun-2018 - 00:00,1.26,6.77,5.1,1.89,0.74,11.28,18.5,30.78,12.29,16.62,48.29,39.04,0.01,54.68,215.48,27.82,103.86,1.2,3.14,03-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
03-Jun-2018 - 00:00,1.33,7.15,5.39,1.98,0.97,14.72,33.27,50.51,17.24,9.4,47.88,37.03,0.0,62.2,183.68,26.79,94.02,1.17,3.22,04-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
04-Jun-2018 - 00:00,1.27,6.91,5.13,1.95,0.68,13.16,22.72,39.39,16.67,25.66,90.47,50.16,0.0,45.59,235.04,33.65,101.13,1.11,3.16,05-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
05-Jun-2018 - 00:00,1.15,6.29,4.68,1.75,0.82,20.01,56.58,86.38,29.81,13.58,71.71,40.95,0.0,48.19,210.56,33.01,100.13,1.15,5.84,06-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
06-Jun-2018 - 00:00,1.11,5.56,4.31,1.9,0.57,8.6,25.69,43.13,17.49,11.57,81.56,31.82,0.2,66.81,220.15,27.97,142.99,0.72,3.1,07-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
07-Jun-2018 - 00:00,1.21,6.49,4.68,2.1,0.78,11.36,55.94,86.39,30.45,17.26,58.79,71.77,0.0,57.25,211.34,31.08,133.49,0.43,3.14,08-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
08-Jun-2018 - 00:00,1.18,6.09,4.6,2.06,0.82,9.97,20.17,40.57,20.41,18.17,82.42,35.85,0.0,53.86,208.96,32.42,101.67,1.04,3.83,09-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
09-Jun-2018 - 00:00,1.01,5.06,3.91,1.68,0.62,9.89,28.28,53.11,24.93,9.47,56.46,20.3,0.07,74.39,198.46,27.62,145.06,0.8,6.08,10-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
10-Jun-2018 - 00:00,1.17,6.07,4.53,2.02,0.69,7.99,11.51,24.62,13.14,14.27,83.68,28.41,0.01,67.23,214.89,29.76,176.27,0.39,3.58,11-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
11-Jun-2018 - 00:00,1.15,6.2,4.47,2.0,0.59,7.11,8.61,25.91,17.3,25.43,81.26,36.37,0.0,51.44,215.38,32.06,211.85,0.48,3.65,12-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
12-Jun-2018 - 00:00,1.17,6.01,4.53,1.99,0.67,6.92,10.17,30.27,20.1,28.27,80.83,37.21,0.0,39.24,214.97,33.94,222.96,0.41,3.37,13-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
13-Jun-2018 - 00:00,1.2,6.06,4.66,2.04,0.62,7.59,9.16,25.55,16.59,18.35,232.13,167.63,0.0,35.75,206.89,34.6,231.69,1.14,3.18,14-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
14-Jun-2018 - 00:00,1.16,5.81,4.51,2.0,0.49,7.44,9.11,25.42,16.31,7.65,503.01,422.17,0.0,40.19,200.89,34.09,218.3,1.09,3.35,15-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
15-Jun-2018 - 00:00,1.17,5.84,4.51,1.93,0.55,7.15,8.71,25.21,16.49,7.98,539.37,380.33,0.0,45.13,180.34,32.05,160.73,0.77,3.55,16-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
16-Jun-2018 - 00:00,1.16,5.78,4.5,2.02,0.58,7.29,7.95,24.4,16.46,11.83,160.14,56.56,0.36,68.74,252.75,27.02,85.61,0.85,4.23,17-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
17-Jun-2018 - 00:00,1.17,5.83,4.51,1.97,0.89,8.32,13.82,30.57,16.75,9.22,145.61,44.95,0.13,78.47,291.57,25.13,181.92,0.59,5.45,18-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
18-Jun-2018 - 00:00,1.2,6.23,4.74,2.19,0.6,7.89,11.81,28.61,16.79,12.05,144.89,48.68,0.0,74.35,250.3,26.76,225.24,0.81,3.16,19-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
19-Jun-2018 - 00:00,1.21,6.3,4.7,2.09,0.68,7.54,8.81,24.77,15.96,21.42,122.19,,0.0,65.71,329.5,29.2,251.32,0.73,3.16,20-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
20-Jun-2018 - 00:00,1.21,6.3,4.67,2.06,0.74,6.92,9.15,27.36,18.22,25.12,131.13,8.41,0.0,53.91,328.04,31.61,234.45,0.47,3.17,21-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
21-Jun-2018 - 00:00,1.16,5.86,4.49,1.93,0.6,6.48,7.55,24.78,17.26,27.75,152.75,0.0,0.0,49.44,267.62,31.83,250.19,0.66,3.13,22-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
22-Jun-2018 - 00:00,1.2,6.1,4.65,2.03,0.65,6.2,7.86,26.75,18.9,35.23,96.48,29.78,0.0,40.73,347.77,34.36,219.75,0.58,3.11,23-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
23-Jun-2018 - 00:00,1.17,5.86,4.52,1.96,0.69,6.83,8.65,26.24,17.59,24.01,78.23,31.94,0.0,44.46,294.74,31.71,249.37,0.53,3.36,24-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
24-Jun-2018 - 00:00,1.13,5.76,4.36,1.91,0.67,7.38,8.38,24.13,15.75,29.53,44.66,18.76,0.0,42.03,332.51,32.73,255.63,0.68,3.41,25-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
25-Jun-2018 - 00:00,1.2,6.1,4.65,2.02,0.7,6.99,8.61,25.45,16.85,20.17,75.83,31.85,0.0,44.16,312.15,33.39,237.94,0.95,3.16,26-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
26-Jun-2018 - 00:00,1.15,5.76,4.45,1.91,0.6,7.81,9.24,26.24,17.05,21.96,56.76,23.84,0.3,59.63,312.85,30.36,139.78,0.61,3.15,27-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
27-Jun-2018 - 00:00,1.2,6.01,4.64,1.99,0.7,8.39,10.27,28.37,18.11,18.18,51.86,21.78,0.01,71.57,190.01,27.15,156.36,0.56,3.17,28-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
28-Jun-2018 - 00:00,1.2,6.01,4.65,2.01,0.72,8.71,10.25,29.09,18.85,10.52,38.9,16.34,0.42,88.22,203.95,25.76,175.67,0.62,3.14,29-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
29-Jun-2018 - 00:00,1.21,6.33,4.71,2.13,0.72,8.81,10.77,30.25,19.49,12.13,33.44,14.04,0.0,72.45,276.34,28.43,121.45,0.83,3.17,30-Jun-2018 - 00:00,"Model Town, Patiala - PPCB"
30-Jun-2018 - 00:00,1.17,6.05,4.57,2.04,0.63,8.03,9.02,25.76,16.79,17.06,43.34,18.2,0.0,69.41,333.49,30.04,140.28,0.8,4.74,01-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
01-Jul-2018 - 00:00,1.11,5.58,4.32,1.94,0.6,9.46,11.69,32.23,20.54,16.56,36.93,15.51,0.0,65.75,363.7,32.02,234.28,0.86,4.36,02-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
02-Jul-2018 - 00:00,1.05,5.27,4.07,1.77,0.57,7.79,9.92,30.94,21.08,15.39,48.16,20.23,0.0,70.58,251.77,29.49,165.32,0.57,5.13,03-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
03-Jul-2018 - 00:00,1.2,6.01,4.65,2.02,0.69,8.29,9.98,33.09,23.11,17.13,37.12,15.59,0.21,78.2,246.16,26.93,90.96,0.71,3.15,04-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
04-Jul-2018 - 00:00,1.14,5.68,4.39,1.88,0.66,7.7,10.51,36.24,25.88,13.4,37.21,15.63,1.33,83.17,252.94,25.08,194.96,0.58,5.56,05-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
05-Jul-2018 - 00:00,1.2,6.14,4.72,2.14,0.78,7.99,9.24,32.06,22.83,17.06,50.49,21.21,0.0,76.46,258.14,27.24,233.47,0.46,3.12,06-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
06-Jul-2018 - 00:00,1.2,6.25,4.68,2.09,0.71,8.33,8.35,29.09,20.74,20.17,61.57,25.86,0.0,72.27,326.21,29.24,243.98,0.82,3.11,07-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
07-Jul-2018 - 00:00,1.2,6.28,4.68,2.08,0.69,8.27,8.08,28.72,20.63,24.11,62.25,26.15,0.0,65.43,333.9,31.08,241.37,0.78,3.12,08-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
08-Jul-2018 - 00:00,1.15,5.84,4.46,1.94,0.84,9.27,8.55,31.53,22.99,22.21,60.42,25.38,0.0,62.52,335.42,31.8,229.41,0.65,3.75,09-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
09-Jul-2018 - 00:00,1.16,5.86,4.52,1.98,0.8,8.75,7.93,30.25,22.32,20.88,81.24,34.12,0.0,70.1,296.94,31.29,129.91,0.7,3.94,10-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
10-Jul-2018 - 00:00,1.07,5.36,4.13,1.8,0.77,9.02,9.64,30.51,21.35,16.23,64.25,26.99,0.0,71.27,313.15,31.3,101.0,0.9,3.6,11-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
11-Jul-2018 - 00:00,1.2,6.01,4.65,2.03,0.77,10.89,10.34,31.61,21.34,13.74,40.99,17.22,0.12,75.58,278.02,29.95,94.86,0.82,3.2,12-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
12-Jul-2018 - 00:00,0.94,4.71,3.63,1.57,0.67,11.56,12.51,34.85,22.46,13.37,53.57,22.61,0.0,73.95,279.54,30.1,102.46,0.85,5.91,13-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
13-Jul-2018 - 00:00,1.2,6.01,4.64,1.98,0.77,12.26,11.34,38.94,27.6,8.39,31.37,14.07,0.34,85.18,191.0,26.29,144.01,0.67,3.15,14-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
14-Jul-2018 - 00:00,1.2,6.01,4.64,1.98,0.64,8.96,7.63,29.85,22.34,8.2,33.78,14.18,0.01,78.0,314.75,28.42,148.44,0.63,3.12,15-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
15-Jul-2018 - 00:00,1.2,6.01,4.63,1.98,0.67,6.34,3.19,14.33,11.2,10.93,30.69,12.89,0.0,72.68,274.82,29.62,97.85,0.53,3.33,16-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
16-Jul-2018 - 00:00,1.2,6.0,4.63,1.98,0.73,6.42,3.01,14.1,11.19,4.61,34.52,14.5,1.48,90.72,175.03,26.93,158.65,0.51,3.25,17-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
17-Jul-2018 - 00:00,1.14,5.7,4.4,1.88,0.79,6.37,3.8,15.49,11.82,4.81,35.2,14.79,1.04,88.6,222.99,27.09,93.08,0.47,3.16,18-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
18-Jul-2018 - 00:00,1.2,6.0,4.64,1.98,0.71,6.28,3.23,14.49,11.4,0.84,40.63,17.06,0.0,86.21,234.14,27.76,131.33,0.51,3.11,19-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
19-Jul-2018 - 00:00,1.2,6.02,4.64,1.98,0.74,6.28,3.21,14.4,11.31,1.12,38.76,16.28,0.0,78.46,293.82,29.11,166.48,0.38,3.15,20-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
20-Jul-2018 - 00:00,1.2,6.02,4.64,1.98,0.79,6.43,3.1,14.01,10.98,5.42,35.54,14.93,0.0,79.62,232.79,29.18,182.87,0.36,3.2,21-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
21-Jul-2018 - 00:00,1.2,6.02,4.64,1.98,0.67,6.37,3.21,14.27,11.11,5.16,41.3,17.35,0.87,85.84,199.34,27.59,155.67,0.45,3.18,22-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
22-Jul-2018 - 00:00,1.2,6.01,4.64,1.98,0.73,6.36,2.95,13.9,11.02,5.61,26.99,11.34,0.0,86.68,218.62,27.07,120.86,0.55,3.32,23-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
23-Jul-2018 - 00:00,1.2,6.01,4.64,1.98,0.83,6.37,3.14,14.12,11.05,0.91,32.67,13.72,0.01,82.97,245.61,28.39,154.03,0.47,3.34,24-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
24-Jul-2018 - 00:00,1.2,6.02,4.64,1.98,0.79,6.42,2.8,13.51,10.82,2.62,30.04,12.62,0.0,73.48,316.88,29.82,150.16,0.33,3.26,25-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
25-Jul-2018 - 00:00,1.2,6.01,4.64,1.98,0.81,6.38,3.35,14.54,11.28,0.91,32.29,13.56,0.01,86.32,197.07,28.08,178.21,0.54,3.29,26-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
26-Jul-2018 - 00:00,1.2,6.01,4.63,1.98,0.67,6.41,3.45,14.57,11.25,7.69,32.81,13.78,0.0,85.21,234.71,27.07,116.3,0.63,3.2,27-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
27-Jul-2018 - 00:00,1.2,6.01,4.64,1.98,0.73,6.27,3.39,14.8,11.56,12.71,27.92,11.73,0.0,83.37,220.09,26.87,113.6,0.48,3.31,28-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
28-Jul-2018 - 00:00,1.2,6.01,4.64,1.99,0.6,5.92,2.93,13.59,10.83,17.07,40.4,16.97,0.0,79.98,261.99,27.86,144.29,0.34,3.17,29-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
29-Jul-2018 - 00:00,1.2,6.02,4.64,1.98,0.81,6.31,3.49,14.61,11.24,14.43,39.07,16.41,0.0,76.42,305.06,29.31,218.08,0.48,3.31,30-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
30-Jul-2018 - 00:00,1.2,6.02,4.64,1.98,0.71,6.32,3.5,14.77,11.46,14.44,49.44,20.77,0.0,75.14,304.55,29.53,239.97,0.72,3.22,31-Jul-2018 - 00:00,"Model Town, Patiala - PPCB"
31-Jul-2018 - 00:00,1.2,6.01,4.64,1.98,0.69,6.33,3.8,15.17,11.52,10.22,52.28,21.96,0.2,78.64,302.66,28.86,221.54,0.63,3.2,01-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
01-Aug-2018 - 00:00,1.2,6.02,4.64,1.98,0.65,6.56,6.6,18.21,11.94,18.19,112.43,76.03,0.01,74.29,316.74,28.89,195.14,0.64,3.09,02-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
02-Aug-2018 - 00:00,1.2,6.01,4.64,1.98,0.53,6.38,2.55,13.14,10.62,3.59,132.3,85.86,0.0,76.29,310.83,30.02,230.35,0.91,3.1,03-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
03-Aug-2018 - 00:00,1.2,6.02,4.64,1.98,0.62,6.39,2.94,13.59,10.75,5.12,85.01,35.87,0.0,76.33,290.06,29.55,204.55,0.8,3.18,04-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
04-Aug-2018 - 00:00,1.2,6.02,4.64,1.98,0.6,6.43,2.75,13.76,11.09,3.79,81.04,34.56,0.0,76.5,297.38,29.72,182.99,0.7,3.15,05-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
05-Aug-2018 - 00:00,1.2,6.02,4.64,1.99,0.73,6.44,3.06,13.91,10.91,1.11,61.34,26.29,0.0,73.9,284.09,29.37,187.68,0.9,3.24,06-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
06-Aug-2018 - 00:00,1.2,6.01,4.64,1.98,0.71,6.37,3.04,14.05,11.06,4.72,38.93,15.94,0.03,91.06,176.44,24.73,106.52,0.88,3.16,07-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
07-Aug-2018 - 00:00,1.2,6.02,4.64,1.98,0.69,6.46,3.29,14.37,11.23,17.48,38.35,15.34,0.01,88.35,188.88,25.26,162.38,0.4,3.15,08-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
08-Aug-2018 - 00:00,1.2,6.02,4.64,1.99,0.79,6.41,3.23,14.33,11.18,15.68,29.85,11.94,0.04,82.79,291.2,27.16,128.28,0.62,3.19,09-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
09-Aug-2018 - 00:00,1.2,6.02,4.64,1.98,0.7,6.34,2.99,14.18,11.25,18.56,40.39,16.16,0.01,77.74,268.47,28.46,94.38,0.51,3.12,10-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
10-Aug-2018 - 00:00,1.16,5.79,4.47,1.91,0.78,6.4,2.93,13.77,11.17,21.2,53.17,21.27,0.0,76.55,275.23,29.6,197.2,0.5,4.68,11-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
11-Aug-2018 - 00:00,1.2,6.02,4.64,1.98,0.69,6.32,3.23,14.3,11.21,26.73,46.14,18.46,0.01,79.93,288.58,29.12,237.33,0.56,3.13,12-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
12-Aug-2018 - 00:00,1.2,6.02,4.64,1.98,0.74,6.37,3.51,14.71,11.29,13.96,38.1,15.24,0.0,77.37,264.41,28.8,177.84,0.66,3.22,13-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
13-Aug-2018 - 00:00,1.2,6.01,4.64,1.98,0.79,6.36,3.44,14.64,11.36,16.77,32.31,12.92,0.03,84.11,199.89,26.98,108.95,0.59,3.26,14-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
14-Aug-2018 - 00:00,1.2,6.02,4.64,1.98,0.81,6.38,3.56,14.76,11.37,22.99,38.12,15.25,0.0,78.29,272.57,28.89,180.28,0.46,3.25,15-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
15-Aug-2018 - 00:00,1.2,6.03,4.65,1.99,0.81,6.33,3.6,14.97,11.49,20.11,40.06,16.02,0.0,78.29,251.49,28.51,181.66,0.49,3.23,16-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
16-Aug-2018 - 00:00,1.2,6.03,4.64,1.98,0.7,6.32,3.11,14.45,11.46,25.17,39.46,15.78,0.0,71.82,312.83,29.8,134.44,0.57,3.14,17-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
17-Aug-2018 - 00:00,1.2,6.01,4.64,1.99,0.85,6.43,3.12,14.38,11.41,12.75,34.72,13.89,0.41,82.57,211.39,27.98,111.76,0.45,3.18,18-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
18-Aug-2018 - 00:00,1.2,6.01,4.65,1.98,0.82,6.4,3.11,14.28,11.37,9.07,25.37,10.33,1.06,92.02,177.36,25.88,133.67,0.38,3.13,19-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
19-Aug-2018 - 00:00,1.2,6.02,4.64,1.99,0.78,6.32,3.19,14.33,11.27,12.0,23.63,9.93,0.0,84.98,266.36,27.8,225.38,0.45,3.19,20-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
20-Aug-2018 - 00:00,1.2,6.02,4.64,1.99,0.9,6.32,3.15,14.24,11.24,14.45,23.63,9.93,0.83,87.45,237.1,28.32,151.47,0.41,3.2,21-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
21-Aug-2018 - 00:00,1.2,6.02,4.65,1.99,0.76,6.39,3.11,14.11,11.1,20.72,18.44,8.07,0.0,79.06,290.32,28.75,128.42,0.56,3.08,22-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
22-Aug-2018 - 00:00,1.2,6.02,4.65,1.99,0.83,6.38,3.22,14.49,11.34,22.82,48.68,10.11,0.42,90.24,188.66,26.35,140.64,0.47,3.02,23-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
23-Aug-2018 - 00:00,1.2,6.02,4.64,1.99,0.97,6.36,3.41,14.61,11.32,22.04,70.14,13.54,0.0,87.49,228.67,26.93,108.03,0.5,3.01,24-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
24-Aug-2018 - 00:00,1.2,6.02,4.65,1.99,0.84,6.35,3.39,14.58,11.3,18.18,69.79,13.44,0.0,82.37,298.56,28.43,222.15,0.74,3.0,25-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
25-Aug-2018 - 00:00,1.2,6.02,4.64,1.99,0.8,6.47,3.28,14.15,10.97,18.16,69.97,13.44,0.0,79.11,290.19,28.66,232.51,0.92,3.0,26-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
26-Aug-2018 - 00:00,1.2,6.02,4.65,1.99,1.0,6.37,3.13,14.44,11.42,20.01,70.24,13.57,0.0,76.09,300.19,29.03,204.5,0.51,3.0,27-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
27-Aug-2018 - 00:00,1.2,6.02,4.65,1.99,0.74,6.34,3.13,14.3,11.26,20.88,70.48,13.46,0.0,76.66,263.0,28.94,217.25,0.44,3.01,28-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
28-Aug-2018 - 00:00,1.2,6.02,4.65,1.99,0.54,6.32,3.93,17.53,13.91,15.92,69.95,13.47,0.1,82.99,209.99,28.0,190.9,0.43,4.5,29-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
29-Aug-2018 - 00:00,1.2,6.01,4.65,1.99,0.52,7.48,9.44,24.67,15.23,12.0,69.97,13.48,0.02,83.07,243.77,28.06,147.46,0.53,6.34,30-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
30-Aug-2018 - 00:00,1.2,6.02,4.64,1.99,0.48,8.95,15.0,23.65,8.66,1.56,69.93,13.55,0.0,82.86,246.23,28.25,200.16,0.54,6.64,31-Aug-2018 - 00:00,"Model Town, Patiala - PPCB"
31-Aug-2018 - 00:00,1.2,6.02,4.65,1.99,0.39,8.91,15.26,24.27,9.01,3.82,70.3,13.4,0.01,82.41,236.46,29.19,182.11,0.53,6.57,01-Sep-2018 - 00:00,"Model Town, Patiala - PPCB"
01-Sep-2018 - 00:00,1.2,6.01,4.65,1.99,0.45,8.85,15.74,25.0,9.26,6.28,70.13,13.6,0.0,83.79,223.58,27.6,108.06,0.53,6.5,02-Sep-2018 - 00:00,"Model Town, Patiala - PPCB"
02-Sep-2018 - 00:00,1.2,6.01,4.65,1.99,0.42,8.93,15.49,24.47,8.98,10.85,69.74,13.49,0.17,89.92,178.66,25.15,157.09,0.31,6.48,03-Sep-2018 - 00:00,"Model Town, Patiala - PPCB"
