from date,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
24-Nov-2018 - 00:00,,,,,,,,227.94,87.98,46.98,6.6,53.58,1.21,,31.66,25-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
25-Nov-2018 - 00:00,,,,,,,,329.99,139.83,61.18,8.88,70.06,1.86,,35.42,26-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
26-Nov-2018 - 00:00,,,,,,,,481.63,226.13,76.34,10.56,86.9,2.83,,40.93,27-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
27-Nov-2018 - 00:00,,,,,,,,399.09,178.36,84.74,9.32,94.07,3.23,,29.3,28-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
28-Nov-2018 - 00:00,,,,,,,,368.79,168.98,72.54,9.0,81.55,2.51,,29.33,29-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
29-Nov-2018 - 00:00,,,,,,,,426.04,209.02,79.49,10.04,89.53,2.87,,43.84,30-Nov-2018 - 00:00,"Sector - 62, Noida - IMD"
30-Nov-2018 - 00:00,,,,,,,,377.6,174.92,78.47,11.28,89.76,2.37,,30.33,01-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
01-Dec-2018 - 00:00,,,,,,,,303.34,124.96,80.14,11.49,91.63,2.04,,28.48,02-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
02-Dec-2018 - 00:00,,,,,,,,398.05,165.21,95.8,13.93,109.73,2.98,,43.97,03-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
03-Dec-2018 - 00:00,,,,,,,,382.78,175.97,90.31,12.07,102.38,2.8,,59.56,04-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
04-Dec-2018 - 00:00,,,,,,,,495.58,242.56,98.28,13.68,111.95,3.65,,66.62,05-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
05-Dec-2018 - 00:00,,,,,,,,442.22,213.06,96.85,10.62,107.47,3.25,,69.41,06-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
06-Dec-2018 - 00:00,,,,,,,,461.09,228.42,86.95,13.77,100.72,3.3,,54.08,07-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
07-Dec-2018 - 00:00,,,,,,,,401.61,200.24,69.54,18.28,87.82,2.08,,33.29,08-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
08-Dec-2018 - 00:00,,,,,,,,368.1,179.54,68.62,18.26,86.88,2.13,0.0,25.93,09-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
09-Dec-2018 - 00:00,,,,,,,,342.17,173.21,49.77,13.93,63.7,1.83,,52.27,10-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
10-Dec-2018 - 00:00,,,,,,,,536.78,307.28,51.26,10.48,61.74,2.03,,19.49,11-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
11-Dec-2018 - 00:00,,,,,,,,478.65,250.51,46.91,9.34,55.0,0.92,0.0,19.94,12-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
12-Dec-2018 - 00:00,,,,,,,,342.49,185.92,44.66,9.02,53.67,0.0,,25.53,13-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
13-Dec-2018 - 00:00,,,,,,,,141.64,76.05,50.79,8.68,59.46,0.0,,25.45,14-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
14-Dec-2018 - 00:00,,,,,,,,157.01,77.13,49.95,7.44,57.39,0.0,,21.02,15-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
15-Dec-2018 - 00:00,,,,,,,,181.35,88.89,51.14,7.36,58.5,0.0,,20.29,16-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
16-Dec-2018 - 00:00,,,,,,,,279.69,140.92,54.47,7.29,61.75,0.0,,23.14,17-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
17-Dec-2018 - 00:00,,,,,,,,292.67,153.02,51.67,7.34,59.02,0.0,,37.66,18-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
18-Dec-2018 - 00:00,,,,,,,,307.57,145.62,33.66,9.48,40.18,0.58,0.0,29.59,19-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
19-Dec-2018 - 00:00,,,,,,,,383.35,184.24,37.63,15.83,53.47,1.49,,35.19,20-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
20-Dec-2018 - 00:00,,,,,,,,464.6,233.76,48.59,17.6,66.17,1.93,,53.45,21-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
21-Dec-2018 - 00:00,,,,,,,,412.19,209.91,37.39,13.92,51.31,1.36,,33.52,22-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
22-Dec-2018 - 00:00,,,,,,,,589.37,316.65,48.84,16.0,64.85,1.95,,42.28,23-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
23-Dec-2018 - 00:00,,,,,,,,669.81,427.46,38.22,11.3,49.53,2.66,,46.52,24-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
24-Dec-2018 - 00:00,,,,,,,,655.71,376.49,48.44,13.46,61.89,2.94,,45.17,25-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
25-Dec-2018 - 00:00,,,,,,,,363.74,206.24,53.16,14.67,67.83,1.22,,29.28,26-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
26-Dec-2018 - 00:00,,,,,,,,414.81,211.18,56.84,15.47,72.31,1.72,,32.99,27-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
27-Dec-2018 - 00:00,,,,,,,,470.23,251.74,67.67,19.67,87.34,1.97,,36.74,28-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
28-Dec-2018 - 00:00,,,,,,,,400.11,229.73,53.51,14.94,68.45,1.37,,25.8,29-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
29-Dec-2018 - 00:00,,,,,,,,457.93,,32.13,10.57,42.7,1.78,,,30-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
30-Dec-2018 - 00:00,,,,,,,,599.11,289.63,34.92,11.11,46.03,2.46,,,31-Dec-2018 - 00:00,"Sector - 62, Noida - IMD"
31-Dec-2018 - 00:00,,,,,,,,,365.62,32.29,10.39,42.68,2.46,,,01-Jan-2019 - 00:00,"Sector - 62, Noida - IMD"
