from date,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
20-May-2018 - 00:00,,,,,,,,269.43,65.96,17.4,30.06,47.47,0.0,,51.82,21-May-2018 - 00:00,"Sector - 62, Noida - IMD"
21-May-2018 - 00:00,,,,,,,,246.58,55.81,10.04,35.15,45.2,0.0,,57.91,22-May-2018 - 00:00,"Sector - 62, Noida - IMD"
22-May-2018 - 00:00,,,,,,,,307.42,71.73,19.45,30.81,50.21,0.0,,55.06,23-May-2018 - 00:00,"Sector - 62, Noida - IMD"
23-May-2018 - 00:00,,,,,,,,426.85,102.81,13.71,40.05,53.76,0.0,,72.85,24-May-2018 - 00:00,"Sector - 62, Noida - IMD"
24-May-2018 - 00:00,,,,,,,,386.86,106.56,17.67,26.8,44.43,0.0,,43.17,25-May-2018 - 00:00,"Sector - 62, Noida - IMD"
25-May-2018 - 00:00,,,,,,,,263.17,65.79,19.34,27.58,46.92,0.0,,47.7,26-May-2018 - 00:00,"Sector - 62, Noida - IMD"
26-May-2018 - 00:00,0.0,,39.89,9.64,352.48,977.52,13.59,266.17,71.05,23.42,27.15,50.57,0.0,,50.29,27-May-2018 - 00:00,"Sector - 62, Noida - IMD"
27-May-2018 - 00:00,0.0,3.98,35.36,18.71,253.8,977.28,13.6,297.74,80.31,15.43,31.8,47.22,0.0,,56.13,28-May-2018 - 00:00,"Sector - 62, Noida - IMD"
28-May-2018 - 00:00,0.0,1.58,34.8,26.46,269.95,975.5,13.6,297.69,84.4,18.03,28.85,46.83,0.0,,49.45,29-May-2018 - 00:00,"Sector - 62, Noida - IMD"
29-May-2018 - 00:00,0.0,7.35,33.35,31.11,24.0,976.0,13.6,352.77,88.02,14.75,32.4,47.15,0.0,,55.69,30-May-2018 - 00:00,"Sector - 62, Noida - IMD"
30-May-2018 - 00:00,0.0,4.06,33.71,34.2,251.14,978.16,13.6,264.14,52.28,9.06,35.34,44.4,0.0,,56.26,31-May-2018 - 00:00,"Sector - 62, Noida - IMD"
31-May-2018 - 00:00,0.0,12.5,35.1,33.15,259.53,979.62,13.6,235.01,59.76,10.44,33.12,43.56,0.0,,53.53,01-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
01-Jun-2018 - 00:00,0.0,,32.0,43.64,293.23,982.64,13.59,247.35,65.87,9.07,35.35,44.41,0.0,,56.41,02-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
02-Jun-2018 - 00:00,,,,,,,,123.44,34.36,8.19,37.73,45.92,0.0,,62.11,03-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
03-Jun-2018 - 00:00,,,,,,,,140.38,41.57,10.54,32.58,43.12,0.0,,51.72,04-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
04-Jun-2018 - 00:00,,,,,,,,177.94,46.56,8.27,37.34,45.61,0.0,,61.12,05-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
05-Jun-2018 - 00:00,,,,,,,,145.76,41.4,9.0,34.65,43.65,0.0,,54.22,06-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
06-Jun-2018 - 00:00,,,,,,,,147.65,41.88,10.51,30.15,40.66,0.0,,44.11,07-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
07-Jun-2018 - 00:00,,,,,,,,166.59,50.83,10.66,34.44,45.1,0.0,,58.64,08-Jun-2018 - 00:00,"Sector - 62, Noida - IMD"
