from date,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
05-Aug-2018 - 00:00,0.0,211.54,62.31,746.98,65.15,6.96,60.71,37.86,42.99,51.92,32.39,,0.65,4.16,1.59,0.67,2.63,0.15,0.07,1.0,06-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
06-Aug-2018 - 00:00,0.14,111.02,77.33,747.33,64.14,6.69,43.73,28.61,35.06,33.78,29.34,,0.7,7.39,0.9,0.9,4.7,0.06,0.18,1.18,07-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
07-Aug-2018 - 00:00,0.28,109.97,77.17,747.21,78.51,10.63,42.06,30.88,37.2,37.24,30.4,,0.98,11.66,0.91,2.49,8.6,1.37,1.6,1.83,08-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
08-Aug-2018 - 00:00,0.24,113.48,78.43,747.52,114.36,8.85,33.85,25.08,34.03,32.69,30.53,,1.17,7.59,1.02,1.62,5.59,1.15,0.88,1.22,09-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
09-Aug-2018 - 00:00,0.43,120.59,70.16,748.94,145.12,5.9,30.3,20.83,51.84,39.03,32.27,,1.02,6.8,1.24,1.05,3.29,0.27,0.06,1.05,10-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
10-Aug-2018 - 00:00,0.25,191.84,73.18,748.23,94.01,9.63,36.88,27.32,45.95,41.9,31.91,,1.03,9.42,0.73,2.38,4.73,1.26,1.57,1.54,11-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
11-Aug-2018 - 00:00,0.27,249.82,69.09,745.81,125.94,5.81,26.31,18.64,42.35,28.3,32.99,,0.77,6.31,1.41,3.03,2.65,1.29,1.99,1.72,12-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
12-Aug-2018 - 00:00,0.01,224.5,69.76,744.8,66.84,6.3,25.02,18.35,25.1,26.28,32.5,,0.83,8.42,1.13,2.02,2.31,1.3,0.91,2.06,13-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
13-Aug-2018 - 00:00,0.08,152.67,74.18,745.74,90.09,7.41,25.33,19.4,25.82,38.15,30.78,,2.09,8.65,0.9,0.66,0.0,0.0,0.01,0.0,14-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
14-Aug-2018 - 00:00,0.38,122.27,71.3,746.31,105.14,6.81,28.95,20.85,39.2,39.76,31.98,,3.96,11.52,0.83,0.73,0.37,0.05,0.68,0.18,15-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
15-Aug-2018 - 00:00,0.38,176.16,73.02,747.4,124.45,5.99,24.24,17.68,17.53,39.02,31.71,,3.76,6.48,1.06,0.64,0.0,0.0,0.0,0.0,16-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
16-Aug-2018 - 00:00,0.22,111.05,80.56,748.52,100.3,14.56,26.78,25.89,5.03,37.93,31.21,,2.02,10.25,0.73,1.39,3.61,0.03,0.14,0.76,17-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
17-Aug-2018 - 00:00,0.2,88.5,79.19,747.0,130.94,7.98,21.99,18.08,5.23,35.75,31.75,,0.54,5.8,1.32,1.85,6.29,0.0,0.26,1.43,18-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
18-Aug-2018 - 00:00,0.13,121.45,72.22,746.69,154.22,6.1,24.12,17.71,16.38,41.18,31.5,,0.99,8.94,1.1,1.79,6.67,0.83,0.54,1.7,19-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
19-Aug-2018 - 00:00,0.11,131.82,69.28,746.71,84.62,14.32,32.69,28.84,37.48,88.45,29.99,,0.38,8.87,0.72,2.58,11.09,2.77,2.36,2.55,20-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
20-Aug-2018 - 00:00,0.11,118.98,60.11,747.58,214.25,16.6,26.77,27.52,51.02,78.89,31.71,,0.34,6.76,0.87,1.56,5.95,1.63,0.9,1.63,21-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
21-Aug-2018 - 00:00,0.17,133.38,54.3,747.45,224.04,6.37,33.58,22.93,27.12,45.69,32.4,,0.38,8.86,1.11,0.97,3.42,0.29,0.11,0.79,22-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
22-Aug-2018 - 00:00,0.13,138.35,61.67,747.18,159.86,14.84,34.27,30.1,28.89,40.63,31.82,,0.39,9.39,0.99,1.44,6.72,2.12,1.92,1.51,23-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
23-Aug-2018 - 00:00,0.11,239.26,80.42,747.73,127.03,10.43,36.24,27.62,26.75,47.88,29.67,,0.44,9.33,1.05,0.63,2.09,0.63,0.0,1.4,24-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
24-Aug-2018 - 00:00,0.27,257.9,77.75,747.2,89.67,9.32,31.93,24.42,,61.99,30.68,,0.34,8.62,1.36,1.51,6.45,0.58,0.49,1.56,25-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
25-Aug-2018 - 00:00,-0.12,254.49,73.24,746.79,112.71,8.81,30.85,23.45,,51.79,30.64,,0.38,6.97,1.73,0.9,5.05,0.43,0.41,0.99,26-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
26-Aug-2018 - 00:00,-0.09,215.54,71.16,746.56,140.93,6.38,26.47,19.18,,38.92,31.11,,0.41,7.46,1.36,0.69,1.65,0.0,0.28,0.24,27-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
27-Aug-2018 - 00:00,-0.15,65.43,81.16,747.66,97.12,9.76,29.57,23.51,,53.41,30.32,,0.47,7.7,0.88,0.85,3.71,0.53,0.09,0.69,28-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
28-Aug-2018 - 00:00,-0.15,114.0,90.62,748.52,103.39,15.38,28.57,27.46,,40.58,28.8,,0.49,8.69,1.11,1.61,8.03,1.24,1.86,1.89,29-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
29-Aug-2018 - 00:00,-0.08,131.85,90.0,749.46,128.78,7.54,22.23,17.79,,35.6,29.36,,0.25,7.0,0.88,0.75,5.25,0.84,0.2,1.42,30-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
30-Aug-2018 - 00:00,0.03,230.34,76.57,747.42,257.97,7.6,29.68,21.86,,70.52,32.05,,0.47,8.31,0.74,1.32,9.44,3.07,5.62,2.68,31-Aug-2018 - 00:00,"Shadipur, Delhi - CPCB"
31-Aug-2018 - 00:00,0.04,211.71,77.65,747.87,167.08,7.96,26.47,20.42,,78.26,31.2,,0.5,7.82,1.08,1.38,7.93,1.72,3.13,1.72,01-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
01-Sep-2018 - 00:00,0.09,163.16,92.78,749.34,70.66,9.95,21.41,19.35,,62.66,28.74,,0.52,7.81,0.74,0.98,3.15,0.16,0.12,0.67,02-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
02-Sep-2018 - 00:00,0.14,139.22,97.39,749.26,94.66,7.56,16.84,14.99,,43.21,27.56,,0.38,5.25,0.85,1.19,5.03,0.0,0.0,1.0,03-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
03-Sep-2018 - 00:00,0.14,103.34,97.62,749.38,84.36,10.46,16.95,17.38,,45.08,27.6,,0.56,7.3,0.58,1.19,5.01,0.0,0.0,1.01,04-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
04-Sep-2018 - 00:00,0.13,174.58,95.18,749.74,85.43,23.62,41.97,41.19,,56.25,28.12,,0.61,8.55,0.58,1.19,5.01,0.0,0.0,1.0,05-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
05-Sep-2018 - 00:00,0.67,222.38,87.47,749.26,88.95,35.16,43.91,51.46,7.04,36.7,28.4,,0.92,3.03,0.8,4.33,23.88,8.46,17.14,5.94,06-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
06-Sep-2018 - 00:00,0.44,252.93,81.18,748.78,122.41,41.27,38.41,53.43,16.38,44.52,29.4,,0.94,5.25,0.99,3.0,17.22,5.57,11.36,4.33,07-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
07-Sep-2018 - 00:00,0.29,131.71,86.21,750.02,102.97,38.24,32.72,48.0,27.3,36.75,28.57,,0.62,6.71,0.69,2.64,17.82,3.29,6.25,3.48,08-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
08-Sep-2018 - 00:00,0.28,62.17,84.28,750.11,151.47,20.41,29.66,32.09,26.47,32.5,28.87,,0.42,11.37,1.25,0.9,5.77,0.1,0.28,0.82,09-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
09-Sep-2018 - 00:00,0.31,138.65,81.13,750.98,174.65,8.49,38.95,27.51,31.7,26.94,28.75,,0.13,,1.42,1.34,4.99,0.0,0.0,1.0,10-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
10-Sep-2018 - 00:00,0.3,170.02,82.43,751.96,122.76,17.18,52.38,41.6,42.66,40.39,29.02,,0.46,4.22,0.79,1.35,4.81,0.7,0.21,1.07,11-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
11-Sep-2018 - 00:00,0.3,258.14,77.6,751.46,139.19,15.85,33.27,30.37,25.56,37.14,30.31,,0.52,2.77,1.22,1.7,6.71,3.44,1.14,2.06,12-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
12-Sep-2018 - 00:00,0.15,259.66,72.54,749.71,163.64,10.73,31.45,25.31,10.38,37.3,30.62,,0.54,7.64,1.89,2.93,9.15,2.07,1.33,2.21,13-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
13-Sep-2018 - 00:00,0.02,258.29,64.95,749.64,163.77,6.36,29.3,20.66,20.38,34.45,30.71,,0.2,7.13,1.81,1.58,5.71,0.28,0.43,1.37,14-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
14-Sep-2018 - 00:00,0.0,257.15,64.96,751.19,161.38,8.5,31.93,23.72,17.98,44.48,30.92,,0.73,7.66,1.08,1.14,6.55,0.16,7.04,1.49,15-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
15-Sep-2018 - 00:00,-0.18,246.24,61.37,752.32,173.16,12.96,35.96,29.47,17.2,57.29,31.08,,0.84,10.94,0.98,3.03,10.25,1.2,10.12,2.69,16-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
16-Sep-2018 - 00:00,-0.28,239.65,64.42,751.46,136.88,10.58,36.38,27.82,18.56,52.3,31.56,,0.66,11.71,0.92,1.51,7.08,0.32,8.92,1.38,17-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
17-Sep-2018 - 00:00,-0.25,269.27,67.01,750.8,143.54,12.08,36.24,28.94,21.98,86.61,31.52,,0.87,16.12,0.66,1.45,6.95,0.03,9.16,1.37,18-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
18-Sep-2018 - 00:00,-0.16,244.94,61.36,750.86,151.5,7.14,35.18,24.42,27.11,68.49,31.64,,0.85,21.2,0.83,1.56,10.9,0.28,9.24,1.22,19-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
19-Sep-2018 - 00:00,-0.08,230.59,60.58,750.81,153.2,12.19,45.71,34.07,35.72,67.46,31.35,,0.78,30.01,0.69,1.94,10.26,0.68,10.27,2.61,20-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
20-Sep-2018 - 00:00,-0.01,100.15,61.26,750.99,149.82,21.82,50.75,44.45,41.01,93.72,31.82,,0.79,38.92,0.79,3.63,10.72,1.09,3.78,3.05,21-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
21-Sep-2018 - 00:00,0.05,121.73,66.64,752.66,153.01,6.7,29.55,21.08,33.74,54.07,30.12,,0.77,35.93,1.5,1.35,4.99,0.07,0.04,1.26,22-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
22-Sep-2018 - 00:00,0.07,82.35,91.86,752.95,100.0,6.56,27.66,19.96,31.81,28.09,26.43,,0.7,16.63,1.67,2.79,6.06,0.0,0.03,1.15,23-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
23-Sep-2018 - 00:00,0.05,118.52,91.73,752.64,93.97,5.14,22.0,15.81,34.68,37.82,27.65,,0.77,4.28,1.91,0.78,4.47,0.04,0.03,0.89,24-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
24-Sep-2018 - 00:00,0.1,177.52,97.6,751.52,92.78,8.25,29.83,22.47,21.59,23.67,26.02,,0.75,9.61,1.39,1.06,4.75,0.23,0.72,1.14,25-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
25-Sep-2018 - 00:00,0.32,265.53,95.91,752.52,98.13,11.72,32.49,26.58,20.59,28.03,24.86,,1.17,18.51,0.78,2.48,8.83,0.69,7.62,1.48,26-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
26-Sep-2018 - 00:00,0.25,249.67,84.1,752.28,176.1,24.84,40.65,41.49,29.65,47.84,27.71,,1.25,18.98,0.74,3.98,12.55,1.81,9.06,2.17,27-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
27-Sep-2018 - 00:00,0.15,176.39,80.68,752.71,172.47,101.18,39.04,101.69,27.57,109.99,28.86,,1.65,27.23,0.55,7.76,32.24,11.93,12.9,6.7,28-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
28-Sep-2018 - 00:00,0.13,189.24,70.66,753.12,167.48,128.16,46.7,127.37,31.9,107.34,29.86,,1.45,9.62,0.58,7.86,31.12,10.14,14.91,5.95,29-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
29-Sep-2018 - 00:00,0.13,232.75,68.77,753.54,155.27,59.86,50.75,74.89,40.78,96.27,29.91,,1.08,17.98,0.66,4.81,20.14,4.75,14.73,4.28,30-Sep-2018 - 00:00,"Shadipur, Delhi - CPCB"
30-Sep-2018 - 00:00,0.14,253.1,69.51,753.23,171.25,8.07,41.71,28.64,47.62,52.79,29.38,,1.11,18.68,0.63,1.54,8.64,1.02,14.84,1.23,01-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
01-Oct-2018 - 00:00,0.11,206.78,67.19,753.04,160.36,13.26,54.75,39.72,43.29,74.12,29.97,,1.09,16.45,0.52,2.14,17.24,2.1,8.34,2.77,02-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
02-Oct-2018 - 00:00,-0.19,198.63,66.12,753.46,151.29,33.86,61.97,60.03,39.0,92.83,30.95,,0.97,10.46,0.62,3.79,14.27,2.03,5.03,3.77,03-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
03-Oct-2018 - 00:00,-0.23,172.63,55.92,752.93,125.06,53.78,41.25,64.93,16.41,77.24,31.68,,1.09,7.65,0.5,3.76,16.84,3.64,5.39,4.23,04-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
04-Oct-2018 - 00:00,-0.39,132.23,63.6,754.04,123.32,76.64,46.58,86.0,81.23,111.71,31.61,,1.11,5.3,0.71,4.66,22.71,6.8,6.81,4.91,05-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
05-Oct-2018 - 00:00,-0.2,112.31,62.08,754.78,123.74,116.55,80.53,136.08,58.98,116.57,31.63,,1.03,20.43,0.71,6.97,30.82,9.49,13.76,6.18,06-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
06-Oct-2018 - 00:00,-0.12,215.35,57.99,754.59,139.18,40.73,70.51,70.09,44.2,32.96,30.75,,0.78,11.1,0.59,5.61,21.05,2.81,13.97,3.52,07-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
07-Oct-2018 - 00:00,-0.07,163.2,54.92,754.29,112.46,42.86,80.9,77.32,51.57,85.3,30.17,,0.86,5.0,0.57,3.47,16.04,3.5,11.14,4.19,08-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
08-Oct-2018 - 00:00,-0.12,121.28,52.98,753.21,101.71,48.98,97.95,91.29,62.88,87.12,30.13,,0.96,10.0,0.62,3.95,15.47,3.82,3.82,3.88,09-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
09-Oct-2018 - 00:00,-0.01,134.48,52.82,752.53,113.23,41.06,83.64,77.34,74.44,98.8,29.9,,0.94,22.73,0.98,4.65,13.89,4.45,2.36,3.07,10-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
10-Oct-2018 - 00:00,0.07,132.1,63.95,752.93,106.21,17.62,76.72,54.91,54.03,96.79,29.54,,0.68,15.54,1.24,2.38,9.33,1.95,0.92,2.46,11-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
11-Oct-2018 - 00:00,0.18,117.57,62.75,754.29,101.58,15.42,64.46,46.62,36.49,79.55,27.18,,0.46,5.66,1.38,1.47,6.98,0.1,0.15,2.19,12-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
12-Oct-2018 - 00:00,0.12,77.71,53.18,755.64,130.99,51.48,81.61,84.6,40.59,82.06,26.34,,0.63,6.51,0.83,2.42,20.37,2.81,2.79,2.38,13-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
13-Oct-2018 - 00:00,0.1,222.11,54.79,755.84,134.32,60.8,60.96,77.44,34.45,190.21,26.31,,0.84,27.9,0.57,9.59,30.17,3.41,7.31,4.21,14-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
14-Oct-2018 - 00:00,-0.06,228.15,53.56,755.25,137.11,35.47,89.86,75.2,43.22,101.22,26.48,,1.15,13.88,0.78,3.24,12.47,3.27,5.71,2.57,15-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
15-Oct-2018 - 00:00,-0.02,157.29,52.94,754.6,130.9,69.05,98.76,107.7,40.42,134.39,27.74,,1.48,31.24,0.69,4.68,18.52,5.8,3.99,4.33,16-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
16-Oct-2018 - 00:00,0.11,152.58,56.19,753.59,111.31,118.53,96.07,145.89,46.92,160.97,28.81,,2.64,16.28,0.57,9.24,30.63,12.29,8.04,8.82,17-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
17-Oct-2018 - 00:00,0.17,160.85,48.81,752.66,128.94,75.19,82.36,131.09,46.18,251.0,29.29,,2.19,14.33,0.62,7.71,37.28,11.6,13.98,7.31,18-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
18-Oct-2018 - 00:00,0.03,142.24,54.59,752.32,112.15,137.05,92.46,175.92,38.2,176.03,28.76,,2.75,14.16,0.79,9.72,34.94,14.96,9.42,9.41,19-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
19-Oct-2018 - 00:00,0.02,152.22,53.45,753.46,112.2,47.15,97.69,89.58,52.86,182.41,27.94,,1.81,21.33,0.56,4.14,16.38,3.9,5.03,5.28,20-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
20-Oct-2018 - 00:00,0.09,146.71,44.38,755.0,119.16,89.1,107.13,128.15,34.15,196.59,27.95,,1.62,26.97,0.54,5.1,28.08,5.68,8.86,5.78,21-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
21-Oct-2018 - 00:00,0.08,166.49,43.1,755.45,123.07,85.1,103.7,123.18,33.65,131.06,27.23,,1.57,27.52,0.61,4.34,20.16,4.95,10.29,5.03,22-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
22-Oct-2018 - 00:00,0.09,234.57,47.14,754.79,121.42,89.99,92.19,120.98,38.43,118.96,26.36,,1.86,15.02,0.69,6.68,26.29,7.27,13.19,7.14,23-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
23-Oct-2018 - 00:00,0.19,193.03,46.68,754.6,114.28,143.11,93.22,163.56,34.74,142.07,26.65,,2.49,11.77,0.6,7.81,36.35,13.52,14.75,9.2,24-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
24-Oct-2018 - 00:00,0.12,105.21,50.44,754.52,106.52,186.23,127.04,216.56,35.76,203.51,26.96,,3.04,9.73,0.66,11.85,43.2,20.26,17.86,12.31,25-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
25-Oct-2018 - 00:00,-0.18,87.11,54.11,755.4,96.6,118.18,114.66,155.53,50.26,198.77,26.47,,2.48,8.31,0.7,10.62,37.28,15.03,9.66,10.37,26-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
26-Oct-2018 - 00:00,-0.1,111.42,59.14,756.71,91.88,203.53,114.68,223.82,37.16,219.42,25.83,,2.96,9.81,0.5,15.92,55.89,19.32,16.8,11.4,27-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
27-Oct-2018 - 00:00,-0.05,153.07,62.01,756.86,105.18,177.31,115.71,231.82,46.13,194.61,25.74,,3.09,10.84,0.52,23.26,85.57,22.86,22.43,16.75,28-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
28-Oct-2018 - 00:00,0.03,195.44,62.54,756.57,113.2,77.31,52.85,86.23,36.12,207.33,26.08,,3.33,9.74,0.59,14.6,59.96,19.78,17.47,13.44,29-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
29-Oct-2018 - 00:00,0.04,192.03,63.99,756.05,99.2,53.02,47.82,67.56,40.47,228.87,25.97,,2.61,10.04,0.48,16.76,66.56,20.3,24.84,16.18,30-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
30-Oct-2018 - 00:00,0.04,148.32,63.06,755.95,92.94,62.46,77.73,91.32,39.31,227.88,26.28,,2.9,20.62,0.54,15.64,64.74,22.9,19.79,16.42,31-Oct-2018 - 00:00,"Shadipur, Delhi - CPCB"
31-Oct-2018 - 00:00,0.06,143.76,66.5,756.25,90.11,73.03,104.77,114.14,34.03,203.57,25.99,,2.1,15.33,0.53,9.46,39.32,15.52,10.62,9.83,01-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
01-Nov-2018 - 00:00,0.02,121.21,64.73,755.51,93.68,86.53,97.51,121.09,39.25,226.07,26.13,,2.93,24.1,0.65,12.83,41.58,19.5,11.72,11.5,02-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
02-Nov-2018 - 00:00,0.0,110.6,55.75,754.41,87.96,17.0,86.48,59.6,43.89,170.39,26.99,,1.42,9.92,0.88,7.27,19.22,5.52,2.48,5.6,03-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
03-Nov-2018 - 00:00,0.09,105.22,58.78,753.62,82.56,8.31,58.46,37.74,46.8,123.56,26.45,,0.96,3.01,1.42,3.84,8.01,0.27,0.17,2.44,04-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
04-Nov-2018 - 00:00,0.0,196.74,56.48,754.83,98.74,5.82,43.97,28.02,59.25,81.48,25.01,,0.72,2.89,1.07,1.18,4.12,0.03,1.37,0.56,05-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
05-Nov-2018 - 00:00,0.03,267.02,68.1,755.3,87.39,14.75,71.47,49.81,28.5,295.11,22.63,,1.52,19.39,0.84,5.13,15.09,2.24,4.04,2.24,06-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
06-Nov-2018 - 00:00,-0.03,275.68,42.62,755.55,120.76,14.28,68.05,47.6,37.35,161.34,23.49,,0.84,10.36,0.79,2.8,8.02,1.15,2.24,1.58,07-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
07-Nov-2018 - 00:00,0.02,240.5,39.98,755.94,114.41,58.92,79.12,89.22,42.02,225.2,22.55,,1.15,24.33,0.75,3.33,7.58,3.23,1.8,1.78,08-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
08-Nov-2018 - 00:00,0.3,143.01,55.28,756.06,98.78,177.88,121.82,207.1,21.49,461.28,21.7,,1.45,34.59,0.41,10.4,20.75,10.52,7.13,6.11,09-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
09-Nov-2018 - 00:00,0.23,152.62,63.16,754.91,102.52,197.04,125.16,224.19,39.5,243.74,22.71,,3.05,12.74,0.45,11.37,36.37,14.03,11.52,7.85,10-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
10-Nov-2018 - 00:00,0.26,148.15,69.5,755.39,99.92,178.56,142.68,218.73,31.54,216.64,23.02,,3.14,17.82,0.53,15.49,65.59,19.28,13.93,11.82,11-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
11-Nov-2018 - 00:00,0.37,153.85,61.84,755.56,103.13,157.04,124.87,192.01,51.44,206.26,24.22,,3.12,14.64,0.49,11.7,41.95,19.77,15.78,10.98,12-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
12-Nov-2018 - 00:00,0.27,106.49,67.04,754.25,87.36,124.18,126.49,166.6,45.54,212.43,24.42,,2.86,18.57,0.62,10.5,35.47,14.12,8.65,8.32,13-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
13-Nov-2018 - 00:00,0.12,121.47,67.94,752.81,67.58,109.36,138.11,160.92,22.43,184.45,24.31,,2.12,20.85,0.78,11.59,33.01,12.4,6.97,7.77,14-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
14-Nov-2018 - 00:00,0.06,134.54,71.62,753.35,92.57,40.44,101.4,86.21,20.72,81.27,24.52,,1.18,19.99,0.93,4.88,15.1,4.81,2.98,4.36,15-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
15-Nov-2018 - 00:00,0.04,197.15,71.24,755.63,101.04,19.89,78.31,57.53,31.78,60.39,23.67,,0.94,17.11,0.75,2.86,13.62,0.82,4.16,3.42,16-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
16-Nov-2018 - 00:00,0.11,273.0,56.23,755.15,98.76,10.54,65.14,43.07,36.91,98.33,22.62,,0.88,11.31,1.06,1.94,8.22,0.28,1.43,1.26,17-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
17-Nov-2018 - 00:00,0.08,247.82,56.24,754.16,83.16,56.47,89.45,92.75,35.43,118.65,22.48,,1.59,13.64,0.7,6.72,24.62,6.59,6.98,5.41,18-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
18-Nov-2018 - 00:00,0.28,145.28,59.61,754.7,76.6,115.22,98.25,144.46,42.81,132.12,23.45,,2.29,13.27,0.81,6.04,23.43,8.74,6.66,6.77,19-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
19-Nov-2018 - 00:00,0.14,127.29,56.48,755.91,67.23,6.95,75.71,45.82,57.88,125.77,24.12,,1.14,10.64,1.22,3.49,8.39,0.95,0.56,1.99,20-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
20-Nov-2018 - 00:00,0.1,215.54,57.16,756.28,95.47,57.88,119.85,110.05,53.66,235.77,25.89,,1.91,13.51,0.55,7.42,29.37,7.66,10.78,6.19,21-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
21-Nov-2018 - 00:00,0.12,219.91,56.54,756.66,71.01,87.2,95.47,120.54,31.32,162.45,23.14,,1.72,13.09,0.67,7.99,31.06,7.93,6.88,6.61,22-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
22-Nov-2018 - 00:00,0.2,164.65,48.75,757.07,64.15,144.85,117.46,178.5,30.7,112.51,22.89,,2.23,17.24,0.47,9.5,42.12,14.66,11.31,9.81,23-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
23-Nov-2018 - 00:00,0.26,233.69,48.51,757.95,58.39,110.32,96.3,139.12,26.84,150.96,22.99,,1.91,14.16,0.64,11.83,41.49,10.18,10.22,6.88,24-Nov-2018 - 00:00,"Shadipur, Delhi - CPCB"
