from date,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,SO2,WS,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,to date,station
03-Mar-2018 - 00:00,-0.36,167.6,42.95,750.02,65.64,17.65,23.33,26.53,19.4,95.99,27.6,,0.7,13.81,0.99,2.86,8.59,1.77,1.65,2.29,04-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
04-Mar-2018 - 00:00,-0.36,209.41,42.15,750.96,68.91,11.67,23.23,21.69,20.37,81.82,26.3,,0.49,13.13,1.23,1.15,6.89,0.56,1.22,1.43,05-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
05-Mar-2018 - 00:00,-0.13,260.17,45.99,753.51,103.28,10.37,23.19,20.63,26.06,57.36,25.38,,0.53,14.14,1.01,1.11,6.36,0.26,2.04,0.84,06-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
06-Mar-2018 - 00:00,0.02,288.02,43.69,753.98,123.36,9.25,24.38,20.37,31.66,55.39,25.01,,0.53,13.85,1.42,1.17,7.85,0.78,1.7,0.94,07-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
07-Mar-2018 - 00:00,0.1,273.01,40.5,753.31,99.3,16.66,25.26,26.76,38.02,82.03,25.43,,0.8,14.08,1.25,1.0,18.64,3.39,3.04,2.86,08-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
08-Mar-2018 - 00:00,0.36,142.39,41.9,753.83,90.29,48.1,30.4,54.65,42.28,167.15,26.87,,1.25,21.53,0.7,2.25,36.11,12.51,8.05,6.86,09-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
09-Mar-2018 - 00:00,0.28,243.97,34.79,753.85,94.43,25.74,26.68,34.78,31.15,129.83,27.71,,0.86,18.26,0.96,1.27,18.29,5.9,9.7,3.27,10-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
10-Mar-2018 - 00:00,0.33,290.2,34.12,753.18,102.5,9.01,23.96,19.96,31.79,52.81,27.8,,0.45,11.64,1.45,0.3,7.86,0.07,3.3,0.89,11-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
11-Mar-2018 - 00:00,0.38,264.43,39.55,752.58,96.76,13.96,25.11,24.53,33.74,81.69,27.4,,0.74,13.74,1.02,0.1,1.65,0.0,0.76,0.0,12-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
12-Mar-2018 - 00:00,0.17,220.25,38.5,752.53,132.28,11.87,26.55,23.62,27.1,91.35,28.45,,0.6,14.38,1.23,1.21,5.82,1.71,0.71,1.81,13-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
13-Mar-2018 - 00:00,0.02,201.27,36.04,751.42,134.68,35.37,37.11,48.04,25.58,125.35,29.7,,1.08,15.64,1.17,2.84,18.99,7.21,4.96,5.76,14-Mar-2018 - 00:00,"Shadipur, Delhi - CPCB"
