from date,Benzene,Eth-Benzene,MP-Xylene,BP,O Xylene,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
22-Mar-2018 - 00:00,0.38,0.01,0.0,756.18,1.53,130.07,79.22,0.0,33.24,188.38,27.46,259.28,1.48,0.47,25.55,3.92,8.26,12.17,59.38,23.38,23-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
23-Mar-2018 - 00:00,1.52,0.81,0.74,756.56,4.7,147.72,95.2,0.0,33.03,188.7,28.27,192.37,1.04,0.73,25.95,4.57,11.91,16.49,48.15,9.27,24-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
24-Mar-2018 - 00:00,0.95,0.21,0.1,757.68,5.49,140.44,66.57,0.0,26.01,188.12,30.3,195.74,1.04,0.65,34.26,5.26,14.2,19.46,46.6,10.31,25-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
25-Mar-2018 - 00:00,1.1,0.28,0.17,758.43,5.74,146.68,89.55,0.0,21.57,192.17,31.1,207.96,1.01,0.64,30.98,4.8,13.59,18.39,53.21,14.56,26-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
26-Mar-2018 - 00:00,1.78,0.51,0.16,757.79,5.97,170.67,96.71,0.0,21.36,182.49,31.29,175.8,0.91,1.03,32.89,7.68,15.46,23.14,44.78,28.36,27-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
27-Mar-2018 - 00:00,1.11,0.09,0.02,755.79,3.02,157.82,74.01,0.0,18.28,189.87,31.72,202.95,1.29,0.61,39.76,6.37,13.85,20.21,46.22,32.44,28-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
28-Mar-2018 - 00:00,2.04,1.12,0.74,755.39,3.62,154.22,79.03,0.0,19.07,200.55,32.72,230.17,1.09,0.83,32.94,7.59,15.06,22.64,36.7,17.26,29-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
29-Mar-2018 - 00:00,1.32,0.22,0.05,755.35,3.43,159.39,134.55,0.0,16.85,204.54,33.39,204.58,1.02,0.62,32.05,7.56,15.98,23.54,34.32,24.86,30-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
30-Mar-2018 - 00:00,1.29,0.24,0.06,754.4,3.2,147.27,89.92,0.0,15.35,207.84,33.59,215.22,1.3,0.65,34.25,4.97,12.37,17.34,42.12,28.29,31-Mar-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
31-Mar-2018 - 00:00,0.59,0.04,0.01,753.91,1.76,145.71,79.77,0.0,15.58,208.28,34.16,222.93,1.81,0.5,38.99,3.59,9.23,12.82,42.95,28.11,01-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
01-Apr-2018 - 00:00,0.74,0.09,0.02,754.66,2.05,169.93,88.72,0.0,15.45,211.63,33.89,207.36,1.46,0.5,38.0,4.11,11.8,15.92,39.32,26.23,02-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
02-Apr-2018 - 00:00,0.75,0.04,0.0,755.22,1.77,145.62,78.31,0.0,18.95,206.25,33.58,193.49,1.12,0.55,49.14,4.56,13.16,17.73,45.14,55.59,03-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
03-Apr-2018 - 00:00,0.61,0.03,0.0,755.15,2.13,141.93,76.11,0.0,19.58,210.91,33.7,228.76,1.5,0.55,50.14,3.94,10.75,14.7,44.41,31.23,04-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
04-Apr-2018 - 00:00,0.63,0.04,0.01,754.19,1.99,156.59,79.59,0.0,20.92,213.27,33.72,224.72,1.4,0.53,47.97,3.96,10.41,14.37,36.99,11.53,05-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
05-Apr-2018 - 00:00,0.54,0.04,0.0,753.21,2.19,188.72,93.32,0.0,26.38,209.97,33.41,223.86,1.46,0.53,53.74,3.98,10.63,14.62,36.24,18.34,06-Apr-2018 - 00:00,"Indira Colony Vistar, Pali - RSPCB"
