from date,NO,NOx,NO2,SO2,Ozone,PM2.5,WS,WD,AT,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,RH,VWS,SR,to date,CO,BP,station
16-Mar-2018 - 00:00,0.0,10.37,0.0,0.0,24.47,18.73,0.68,215.24,25.6,,,,,,,-0.1,0.0,17-Mar-2018 - 00:00,1.5,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Mar-2018 - 00:00,0.0,10.19,0.0,0.0,19.21,23.61,0.58,156.08,24.75,,,,,,,-0.12,0.0,18-Mar-2018 - 00:00,1.49,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Mar-2018 - 00:00,0.0,7.09,0.0,0.0,6.04,20.29,0.66,89.75,25.38,,,,,,,-0.12,-34.37,19-Mar-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Mar-2018 - 00:00,0.0,11.55,0.0,0.0,39.51,33.29,0.7,84.56,25.73,,,,,,,-0.11,0.0,20-Mar-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Mar-2018 - 00:00,0.0,19.62,0.0,0.0,32.3,38.32,0.69,68.53,27.73,,,,,,,-0.12,0.0,21-Mar-2018 - 00:00,4.57,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Mar-2018 - 00:00,0.0,17.21,0.0,0.0,18.39,28.6,0.61,155.41,28.95,,,,,,,-0.11,0.0,22-Mar-2018 - 00:00,3.93,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Mar-2018 - 00:00,0.0,18.59,0.0,0.0,0.0,24.98,0.63,232.71,26.18,,,,,,,-0.11,0.0,23-Mar-2018 - 00:00,5.04,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Mar-2018 - 00:00,0.0,22.97,0.0,0.0,0.0,25.7,0.65,184.27,26.05,,,,,,,-0.12,0.0,24-Mar-2018 - 00:00,1.6,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Mar-2018 - 00:00,0.0,17.49,0.0,0.0,0.0,25.21,0.66,95.6,25.07,,,,,,,-0.12,0.0,25-Mar-2018 - 00:00,0.8,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Mar-2018 - 00:00,0.0,17.28,0.0,0.0,0.0,35.32,0.74,94.28,23.61,,,,,,,-0.13,0.0,26-Mar-2018 - 00:00,0.66,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,27-Mar-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,28-Mar-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,29-Mar-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,30-Mar-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,31-Mar-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
31-Mar-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,01-Apr-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,02-Apr-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,03-Apr-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,04-Apr-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,05-Apr-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,06-Apr-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,07-Apr-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,08-Apr-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,09-Apr-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10-Apr-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,11-Apr-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Apr-2018 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,12-Apr-2018 - 00:00,0.0,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Apr-2018 - 00:00,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13-Apr-2018 - 00:00,0.2,0.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Apr-2018 - 00:00,0.0,4.92,0.0,0.0,0.0,11.59,0.16,23.09,14.54,0.0,0.0,0.0,0.13,0.0,,-0.04,49.78,14-Apr-2018 - 00:00,0.29,506.27,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,15-Apr-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,,,,,16-Apr-2018 - 00:00,,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Apr-2018 - 00:00,0.0,11.91,0.0,0.0,0.0,31.67,0.61,97.08,29.38,0.27,0.25,0.0,0.0,0.0,,-0.12,300.53,17-Apr-2018 - 00:00,0.79,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
