from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,Benzene,Toluene,P-Xylene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
03-Feb-2018 - 00:00,17.38,992.16,115.2,252.25,57.36,118.64,217.46,0.68,,,,36.03,76.34,62.41,147.94,1.3,,20.46,04-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Feb-2018 - 00:00,15.95,992.59,146.9,292.96,59.35,124.99,235.77,0.82,0.51,2.8,0.82,38.08,68.76,49.92,124.86,1.44,1.78,17.79,05-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Feb-2018 - 00:00,14.94,994.76,183.53,351.23,58.18,82.38,224.69,0.66,0.5,2.13,0.64,38.65,98.39,120.31,242.89,2.14,27.32,20.76,06-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Feb-2018 - 00:00,16.83,994.61,147.41,290.36,51.21,77.08,241.55,0.95,0.44,2.11,0.59,36.86,90.35,46.51,130.9,1.67,27.43,20.4,07-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Feb-2018 - 00:00,16.08,991.67,137.08,272.28,51.92,126.7,233.45,0.84,0.34,1.76,0.48,34.71,73.66,84.41,83.67,1.73,40.88,21.53,08-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Feb-2018 - 00:00,14.66,990.8,181.86,341.12,64.85,96.57,218.57,0.56,0.93,3.3,0.74,36.57,94.24,229.65,132.41,3.08,27.89,18.15,09-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Feb-2018 - 00:00,15.15,990.83,223.15,402.12,66.32,115.84,229.19,0.62,1.57,2.82,0.7,38.23,86.82,136.38,160.45,3.23,32.96,18.22,10-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-Feb-2018 - 00:00,15.72,993.08,207.79,414.25,65.4,97.53,194.57,0.55,2.3,3.36,0.85,30.77,86.88,139.12,81.36,4.55,39.95,15.21,11-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Feb-2018 - 00:00,16.93,992.64,163.37,332.27,62.05,81.23,141.81,0.78,0.81,1.81,0.59,35.44,79.21,125.02,117.75,2.71,20.02,18.43,12-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Feb-2018 - 00:00,16.17,994.88,76.39,157.32,77.84,59.75,104.7,1.18,0.17,0.9,0.41,37.9,43.63,13.46,55.54,0.8,18.03,15.4,13-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Feb-2018 - 00:00,16.64,998.52,111.73,190.39,78.97,106.56,206.32,0.69,0.27,1.67,0.49,41.08,70.36,88.27,169.43,1.36,29.44,18.16,14-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Feb-2018 - 00:00,17.16,998.69,68.37,147.43,61.35,124.57,255.23,1.1,0.19,1.11,0.4,28.66,44.49,8.07,47.51,0.66,32.75,15.66,15-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Feb-2018 - 00:00,18.08,996.65,84.13,174.02,62.32,118.93,253.62,1.02,0.2,1.14,0.38,33.08,50.56,10.15,58.9,0.88,36.58,18.71,16-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Feb-2018 - 00:00,18.15,995.2,151.62,258.57,71.41,117.15,237.56,0.8,0.39,1.49,0.45,42.0,71.77,41.42,116.65,1.3,29.24,20.73,17-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Feb-2018 - 00:00,18.64,990.03,143.49,281.74,69.51,125.32,238.77,0.82,0.33,1.69,0.46,40.97,72.26,43.3,120.59,1.37,30.88,23.66,18-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Feb-2018 - 00:00,18.35,989.26,132.7,291.24,66.0,135.92,228.19,0.71,0.33,1.51,0.48,37.48,78.24,114.01,113.68,1.72,36.47,18.71,19-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Feb-2018 - 00:00,18.13,990.73,154.23,323.32,63.15,132.91,220.61,0.61,0.52,2.66,0.74,36.59,93.03,211.69,135.3,2.79,39.03,21.95,20-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Feb-2018 - 00:00,19.44,990.35,174.71,360.92,65.1,133.48,213.95,0.67,1.22,2.76,0.57,40.92,86.02,122.35,147.75,2.91,39.34,19.65,21-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Feb-2018 - 00:00,21.66,988.15,159.92,372.38,64.3,126.37,199.42,0.56,2.19,2.59,0.97,32.59,102.72,108.91,104.16,4.38,38.17,15.47,22-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Feb-2018 - 00:00,22.35,987.19,151.08,320.67,66.75,115.8,211.95,0.57,0.64,3.03,0.69,42.78,89.88,174.56,149.53,2.64,36.01,19.8,23-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Feb-2018 - 00:00,23.01,987.44,152.67,348.54,64.8,95.78,211.09,0.54,0.51,2.58,0.69,47.43,97.23,186.53,227.55,2.89,31.59,23.55,24-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-Feb-2018 - 00:00,23.86,989.34,177.17,397.83,64.14,104.44,109.27,0.65,0.42,1.7,0.48,54.47,85.37,92.47,160.43,2.15,42.08,21.29,25-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-Feb-2018 - 00:00,23.14,992.43,103.5,248.46,58.98,120.46,254.94,1.03,0.26,1.04,0.41,43.55,56.9,27.28,73.04,0.97,35.59,22.46,26-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
26-Feb-2018 - 00:00,21.8,990.53,57.92,165.5,60.97,145.91,235.1,1.35,0.23,0.74,0.33,28.45,38.69,8.16,43.61,0.54,36.09,15.3,27-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
27-Feb-2018 - 00:00,22.54,989.9,77.14,202.99,64.93,127.28,222.67,0.83,0.29,1.26,0.46,34.28,62.14,54.78,93.04,1.22,27.84,18.19,28-Feb-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
28-Feb-2018 - 00:00,22.92,990.05,126.1,311.06,70.54,106.47,220.21,0.65,0.62,2.38,0.61,42.98,79.6,93.52,157.78,1.98,34.5,20.18,01-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
01-Mar-2018 - 00:00,22.27,988.55,104.79,272.3,64.52,109.21,209.8,0.63,0.41,2.27,0.58,38.4,77.48,125.39,193.14,2.08,28.28,21.2,02-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Mar-2018 - 00:00,23.29,986.96,111.61,266.18,63.52,130.99,223.9,0.76,0.42,1.29,0.59,37.08,82.65,125.6,203.76,2.3,35.02,16.6,03-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-Mar-2018 - 00:00,24.25,984.86,91.8,252.9,59.55,119.37,206.63,0.79,0.27,0.97,0.45,35.87,70.39,62.11,123.61,1.46,30.31,22.56,04-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Mar-2018 - 00:00,23.4,986.13,76.92,224.12,54.86,90.82,218.72,0.91,0.24,0.97,0.4,33.29,57.32,41.48,89.63,1.01,29.95,20.72,05-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Mar-2018 - 00:00,22.12,989.98,62.36,177.98,58.75,140.88,216.01,1.03,0.21,1.04,0.37,30.74,53.98,43.11,108.93,0.98,34.45,19.88,06-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Mar-2018 - 00:00,21.82,990.76,65.32,179.61,56.64,134.06,225.73,1.42,0.18,0.96,0.38,29.18,52.58,15.49,65.6,0.78,35.32,19.58,07-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Mar-2018 - 00:00,21.91,989.74,86.13,216.28,57.02,140.15,227.46,1.16,0.31,1.11,0.43,30.83,70.13,78.3,85.86,1.39,37.74,19.63,08-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Mar-2018 - 00:00,22.78,990.74,113.08,265.81,62.12,128.56,173.67,0.66,0.5,2.04,0.66,33.27,106.16,193.59,82.58,3.35,44.87,24.29,09-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Mar-2018 - 00:00,24.22,990.74,121.46,286.48,55.88,134.12,225.0,1.02,0.89,2.0,0.52,34.04,82.0,73.38,110.51,2.7,36.93,24.24,10-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-Mar-2018 - 00:00,25.06,989.7,69.53,176.34,48.16,148.49,234.34,1.53,0.17,0.96,0.38,33.2,53.78,8.57,58.34,0.75,32.6,22.51,11-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Mar-2018 - 00:00,24.36,988.65,90.76,236.1,53.98,137.57,220.92,1.14,0.17,1.0,0.41,36.49,65.8,55.94,116.12,1.28,36.67,23.56,12-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Mar-2018 - 00:00,25.58,988.67,101.94,241.39,51.57,143.71,210.05,1.13,0.3,1.28,0.53,36.28,79.68,66.85,145.6,1.53,31.39,22.46,13-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Mar-2018 - 00:00,26.26,987.05,101.37,268.59,49.76,147.63,200.16,0.99,0.54,1.45,0.68,35.55,87.78,111.25,149.45,2.29,25.22,21.49,14-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Mar-2018 - 00:00,25.87,985.19,109.85,370.97,46.19,126.6,151.45,0.7,0.74,1.44,0.68,33.13,79.83,123.87,142.3,2.26,28.52,18.69,15-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Mar-2018 - 00:00,25.48,985.44,102.43,318.04,49.83,123.16,212.74,1.15,0.25,1.09,0.49,38.2,85.41,60.16,127.35,1.19,20.95,22.33,16-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Mar-2018 - 00:00,24.57,986.64,109.68,284.07,50.98,130.29,224.07,1.05,0.28,1.13,0.44,39.41,66.87,69.99,152.29,1.22,31.63,22.75,17-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Mar-2018 - 00:00,21.36,987.89,112.46,255.59,54.75,118.27,216.01,1.3,0.21,0.83,0.38,36.62,54.98,19.11,68.88,0.84,23.68,28.27,18-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Mar-2018 - 00:00,28.14,989.49,57.27,156.46,28.67,211.39,226.1,1.26,0.17,0.84,0.37,26.54,48.15,4.85,49.88,0.74,63.77,21.75,19-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Mar-2018 - 00:00,25.42,990.58,84.26,224.76,44.47,134.36,194.73,1.0,0.25,1.36,0.49,29.98,87.81,111.49,174.64,1.58,30.23,23.15,20-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Mar-2018 - 00:00,26.51,987.66,111.39,284.21,46.68,129.53,184.38,0.76,0.32,1.77,0.61,35.52,104.13,139.97,203.34,2.17,43.6,29.36,21-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Mar-2018 - 00:00,26.47,985.39,141.81,336.62,49.62,106.94,188.63,0.98,0.36,1.39,0.52,47.72,69.53,59.72,126.15,1.61,47.35,33.6,22-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Mar-2018 - 00:00,25.0,986.34,78.06,189.47,53.5,87.81,235.38,0.95,0.16,0.79,0.36,38.24,47.14,7.15,50.09,0.85,45.32,29.01,23-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Mar-2018 - 00:00,24.5,987.61,62.79,156.52,51.77,139.28,232.86,1.17,0.25,0.71,0.32,29.09,52.66,24.36,79.39,0.85,44.71,17.52,24-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-Mar-2018 - 00:00,26.09,990.03,70.42,190.24,48.67,141.98,238.9,1.18,0.23,0.75,0.37,29.26,58.99,10.75,55.8,0.79,46.44,20.36,25-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-Mar-2018 - 00:00,26.23,991.3,75.35,220.2,49.1,139.08,227.45,1.33,0.19,0.59,0.34,33.02,59.59,6.0,55.84,0.88,47.09,22.92,26-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
26-Mar-2018 - 00:00,27.09,989.54,69.3,206.31,43.55,138.19,225.06,1.24,0.14,0.81,0.36,31.25,60.4,41.77,100.29,1.1,46.83,21.33,27-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
27-Mar-2018 - 00:00,27.64,986.13,86.79,248.0,38.27,144.27,202.69,0.88,0.43,0.94,0.4,28.78,80.28,62.0,120.1,1.94,38.09,21.02,28-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
28-Mar-2018 - 00:00,29.08,985.28,90.67,280.15,38.49,143.73,217.83,1.09,0.47,0.98,0.4,29.07,73.16,106.84,68.33,2.34,47.74,21.07,29-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
29-Mar-2018 - 00:00,28.57,984.92,94.25,225.3,37.6,172.82,227.01,1.17,0.0,0.0,0.0,30.97,61.05,25.93,90.93,1.03,48.95,30.37,30-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
30-Mar-2018 - 00:00,28.33,981.82,101.65,273.24,38.94,194.51,223.43,1.1,,,,34.45,79.54,54.45,133.37,1.38,48.41,25.44,31-Mar-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
31-Mar-2018 - 00:00,26.33,985.16,114.96,350.46,46.82,176.63,80.93,0.88,,,,43.34,73.36,60.03,86.48,1.41,55.15,27.15,01-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
01-Apr-2018 - 00:00,28.08,986.78,78.04,223.74,44.79,186.13,82.05,0.83,,,,40.04,63.47,17.11,79.65,1.01,55.03,23.56,02-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Apr-2018 - 00:00,28.71,987.08,92.71,259.46,46.33,165.26,91.24,0.67,,,,42.64,82.85,67.87,159.78,1.62,44.12,26.61,03-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-Apr-2018 - 00:00,30.13,985.59,104.79,292.92,44.51,149.39,92.04,0.68,0.1,0.52,0.19,46.69,92.17,71.71,171.73,1.58,47.21,24.09,04-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Apr-2018 - 00:00,30.67,983.17,101.71,296.42,45.09,157.74,149.73,0.71,0.29,0.54,0.25,47.19,93.83,96.06,150.53,2.23,47.6,20.75,05-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Apr-2018 - 00:00,30.9,981.81,138.79,391.0,45.72,156.1,217.46,0.65,0.5,1.06,0.33,47.33,92.32,126.26,140.23,2.73,62.24,25.24,06-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Apr-2018 - 00:00,28.81,983.87,98.96,237.09,45.72,105.46,184.19,1.05,0.16,0.47,0.16,39.01,71.74,45.18,112.56,1.2,51.44,30.47,07-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Apr-2018 - 00:00,27.62,986.18,46.5,149.58,53.22,181.45,108.16,0.82,0.11,0.33,0.14,36.32,50.52,25.69,81.2,0.83,50.59,17.95,08-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Apr-2018 - 00:00,29.12,986.89,46.58,149.17,47.62,174.18,68.99,0.91,0.12,0.23,0.11,35.25,45.03,6.1,51.96,0.75,44.89,19.54,09-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Apr-2018 - 00:00,25.86,988.03,44.5,133.29,61.66,100.63,110.37,0.88,0.09,0.41,0.15,38.11,60.7,52.29,91.75,1.19,31.31,21.41,10-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-Apr-2018 - 00:00,28.23,986.21,93.1,270.69,54.81,154.55,135.07,0.94,0.22,0.65,0.23,42.01,68.13,66.94,103.49,1.4,61.94,22.01,11-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Apr-2018 - 00:00,26.51,983.64,51.85,139.43,56.03,147.58,123.65,1.28,0.08,0.36,0.11,35.14,47.58,9.69,48.0,0.67,33.94,17.05,12-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Apr-2018 - 00:00,27.28,985.26,40.18,120.71,49.61,185.05,200.44,0.89,0.11,0.58,0.15,29.63,59.33,33.04,93.35,0.97,56.3,14.11,13-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Apr-2018 - 00:00,28.07,986.11,66.02,180.04,36.28,206.85,196.17,0.63,0.38,0.63,0.2,27.74,77.0,67.72,117.88,1.67,46.88,12.34,14-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Apr-2018 - 00:00,28.96,985.0,86.64,241.75,33.92,189.26,188.2,0.71,0.41,1.37,0.37,30.86,83.86,144.47,149.28,2.03,46.79,18.62,15-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Apr-2018 - 00:00,30.47,984.31,108.1,286.17,38.4,177.74,181.33,0.6,0.4,1.12,0.39,34.11,112.41,176.03,135.54,2.34,57.9,20.71,16-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Apr-2018 - 00:00,31.05,984.73,127.17,361.83,37.64,131.0,117.75,0.72,0.28,1.43,0.44,40.12,99.91,133.69,126.64,2.28,46.32,24.44,17-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Apr-2018 - 00:00,31.92,985.73,87.39,272.92,32.49,177.26,195.84,0.92,0.16,0.75,0.22,31.39,80.62,79.68,149.33,1.28,40.75,16.62,18-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Apr-2018 - 00:00,32.27,980.73,76.15,237.65,25.28,195.26,244.34,1.0,0.11,0.48,0.11,26.03,56.8,11.74,66.16,0.68,39.24,15.84,19-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Apr-2018 - 00:00,32.7,980.95,84.16,293.02,27.29,181.09,223.07,0.66,1.84,1.3,0.29,27.41,82.0,33.99,91.88,1.3,35.13,17.56,20-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Apr-2018 - 00:00,33.37,978.49,83.35,395.56,22.47,108.06,184.44,1.59,0.59,2.12,0.24,48.81,27.15,13.13,37.94,0.86,17.96,4.58,21-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Apr-2018 - 00:00,30.6,982.84,93.94,511.13,26.12,134.44,292.77,0.92,0.37,2.04,0.32,45.67,27.85,7.82,33.99,0.79,18.98,3.66,22-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Apr-2018 - 00:00,29.81,983.84,40.46,210.1,21.59,160.12,302.17,1.05,0.35,1.93,0.28,38.36,26.74,15.61,33.74,0.78,26.24,4.86,23-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Apr-2018 - 00:00,30.66,982.56,53.2,218.91,19.22,149.59,280.66,0.93,1.62,2.07,0.88,30.68,47.53,19.76,41.59,1.13,25.35,3.38,24-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-Apr-2018 - 00:00,32.07,981.78,84.33,279.41,19.82,141.11,254.69,0.8,3.22,3.92,0.73,35.91,76.03,35.98,64.45,1.68,21.25,3.95,25-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-Apr-2018 - 00:00,34.1,979.1,88.29,328.82,17.4,146.67,230.45,0.86,6.77,2.72,0.67,25.66,145.95,35.62,60.73,2.14,14.63,2.8,26-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
26-Apr-2018 - 00:00,34.74,977.68,133.69,464.26,19.71,107.16,118.65,0.87,3.88,4.85,0.64,46.32,86.45,36.55,69.76,1.76,39.78,4.99,27-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
27-Apr-2018 - 00:00,33.21,980.82,91.56,355.91,40.34,120.0,118.7,1.17,1.5,8.31,0.36,67.14,28.14,9.17,34.82,0.99,26.42,4.82,28-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
28-Apr-2018 - 00:00,33.89,980.57,77.49,350.32,40.03,119.88,118.62,1.24,1.05,9.43,0.2,59.31,21.72,2.3,23.81,0.87,27.98,5.28,29-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
29-Apr-2018 - 00:00,33.39,977.67,82.73,278.06,42.86,109.96,116.59,0.84,0.67,6.25,0.19,57.54,25.05,7.13,30.12,0.93,33.32,5.49,30-Apr-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
30-Apr-2018 - 00:00,33.12,976.1,81.72,233.8,42.59,121.67,126.2,1.0,1.12,7.5,0.34,69.34,28.8,22.58,47.44,0.95,29.72,4.16,01-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
01-May-2018 - 00:00,31.54,979.42,48.23,162.13,50.07,124.79,116.31,1.2,0.4,2.44,0.1,60.67,16.31,1.67,17.24,0.71,27.28,2.97,02-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-May-2018 - 00:00,30.6,980.92,51.31,175.2,51.02,118.77,122.46,1.42,1.46,1.08,0.12,28.57,17.9,1.53,32.17,0.73,24.39,1.82,03-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-May-2018 - 00:00,29.26,981.41,41.99,150.99,50.91,138.15,127.05,1.49,2.08,0.73,0.19,16.06,22.97,2.65,45.87,0.73,17.16,1.38,04-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-May-2018 - 00:00,30.69,981.63,43.69,128.4,51.86,142.42,102.08,1.03,1.96,1.79,0.57,16.37,28.99,3.35,46.77,0.85,22.18,1.64,05-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-May-2018 - 00:00,33.42,980.87,71.57,229.74,38.82,136.17,166.74,0.76,2.1,3.03,0.45,46.33,45.22,22.71,51.7,1.39,26.02,3.15,06-May-2018 - 00:00,"Okhla Phase-2, Delhi - DPCC"
