from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,VWS,Benzene,P-Xylene,Toluene,NH3,NO,NO2,NOx,Ozone,SO2,CO,to date,station
08-Feb-2018 - 00:00,15.45,913.68,405.79,236.96,69.14,103.61,146.15,0.46,0.0,2.4,0.54,3.37,31.45,46.16,109.97,73.78,33.42,11.2,1.42,09-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Feb-2018 - 00:00,15.87,921.47,423.21,250.46,69.82,114.13,160.15,0.49,0.0,2.32,0.61,4.14,33.55,37.28,79.4,68.57,39.28,13.24,1.42,10-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Feb-2018 - 00:00,16.02,901.17,498.88,269.71,71.42,106.32,118.46,0.64,0.0,10.81,0.43,2.61,22.66,38.3,183.86,45.8,44.46,7.16,3.03,11-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Feb-2018 - 00:00,17.93,,315.46,146.42,65.43,100.05,152.07,0.66,0.0,0.97,0.45,1.93,36.72,18.86,41.84,53.84,42.96,8.38,1.05,12-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Feb-2018 - 00:00,16.79,983.77,199.92,82.08,76.78,75.98,132.62,1.22,0.0,0.52,0.19,1.45,34.8,3.69,23.24,23.92,37.89,4.43,0.72,13-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Feb-2018 - 00:00,16.52,961.65,223.67,140.83,81.79,107.41,145.83,0.65,0.0,0.74,0.31,2.14,42.94,25.07,35.81,55.61,42.24,6.75,0.98,14-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Feb-2018 - 00:00,17.0,919.92,189.38,93.0,73.04,121.3,179.59,0.62,0.0,0.49,0.1,1.01,29.37,8.57,27.93,34.85,31.47,7.75,0.58,15-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Feb-2018 - 00:00,17.84,940.66,210.12,113.46,73.26,115.86,210.1,0.64,0.0,0.54,0.12,1.18,32.93,8.42,30.23,37.27,32.98,10.0,0.73,16-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Feb-2018 - 00:00,18.65,937.65,265.29,157.04,75.1,110.11,216.78,0.66,0.0,0.57,0.25,2.41,36.1,21.21,39.65,57.79,34.4,11.02,0.94,17-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Feb-2018 - 00:00,19.37,930.26,315.96,177.21,73.5,111.93,225.15,0.76,0.0,0.8,0.21,1.74,36.0,13.44,37.27,48.29,31.54,10.69,0.92,18-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Feb-2018 - 00:00,18.95,910.61,309.33,178.42,72.01,124.01,202.13,0.74,0.0,2.63,0.16,2.24,33.15,22.4,60.42,42.51,41.65,8.93,1.17,19-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Feb-2018 - 00:00,18.81,913.34,422.12,247.54,70.16,119.11,187.3,0.59,0.0,1.59,0.08,0.66,29.74,37.48,103.44,59.16,43.41,12.69,1.63,20-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Feb-2018 - 00:00,20.05,914.94,413.04,214.58,72.1,114.81,186.7,0.55,0.0,2.33,0.26,1.21,34.34,35.21,81.21,63.74,46.3,11.48,1.72,21-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Feb-2018 - 00:00,22.2,905.05,460.75,221.25,70.89,109.24,167.91,0.5,0.0,6.22,0.97,4.6,33.07,38.82,112.9,65.99,53.87,8.75,2.38,22-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Feb-2018 - 00:00,22.61,896.22,404.04,194.42,73.56,105.47,168.0,0.54,0.0,9.41,19.84,14.34,46.41,26.79,53.93,60.03,43.94,10.11,1.46,23-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Feb-2018 - 00:00,23.24,909.38,421.78,199.05,71.81,95.75,110.74,0.74,0.0,14.4,140.35,49.96,51.13,26.18,54.6,59.76,42.0,9.4,1.36,24-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Feb-2018 - 00:00,24.35,923.28,392.52,151.32,68.8,7.55,120.92,0.82,0.0,1.38,0.85,3.31,24.9,26.97,42.43,40.22,10.52,3.39,0.06,25-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Feb-2018 - 00:00,22.81,961.96,238.26,103.71,69.7,1.0,126.59,0.36,0.0,0.92,0.12,1.03,23.68,20.81,40.96,48.64,7.43,5.21,0.21,26-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Feb-2018 - 00:00,21.7,921.41,190.42,75.54,72.11,177.2,221.74,0.71,0.0,0.44,0.11,1.02,35.89,11.59,34.41,43.63,35.11,8.05,0.52,27-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Feb-2018 - 00:00,23.0,933.11,217.02,110.32,72.01,163.68,211.67,0.75,0.0,1.1,0.18,2.8,34.59,22.05,39.99,55.83,37.12,10.9,0.73,28-Feb-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Feb-2018 - 00:00,23.31,906.71,345.41,178.64,74.53,143.79,133.02,0.56,0.0,1.34,0.28,2.04,38.01,28.45,70.61,56.25,46.47,10.8,0.95,01-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Mar-2018 - 00:00,22.39,916.62,310.76,150.44,72.05,133.49,166.11,0.5,0.0,1.33,0.21,1.94,30.78,28.3,44.21,58.62,39.64,7.75,0.87,02-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Mar-2018 - 00:00,23.52,918.13,305.17,180.5,71.87,169.95,140.04,0.63,0.0,0.98,0.3,1.72,33.34,25.72,36.17,54.22,51.15,5.59,1.35,03-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Mar-2018 - 00:00,24.41,915.85,276.04,126.5,69.05,157.97,171.61,0.79,0.0,0.81,0.26,0.9,36.4,10.96,28.88,35.66,41.28,5.44,0.74,04-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Mar-2018 - 00:00,23.53,906.55,213.88,91.58,67.47,147.26,149.49,0.77,0.0,0.49,0.2,1.15,46.28,12.21,28.99,39.41,39.74,9.92,0.58,05-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Mar-2018 - 00:00,22.74,906.54,189.57,90.74,69.19,197.33,192.37,0.6,0.0,0.51,0.16,1.04,43.82,13.1,33.61,46.02,41.45,9.91,0.49,06-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Mar-2018 - 00:00,22.76,873.54,212.47,103.28,67.34,187.93,205.69,0.78,0.0,0.84,0.28,0.8,18.15,12.2,31.45,41.44,21.92,4.81,0.21,07-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Mar-2018 - 00:00,22.57,907.1,215.42,105.96,67.5,199.3,177.44,0.69,0.0,1.18,0.24,2.1,35.79,18.56,46.11,52.73,43.38,10.48,0.66,08-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Mar-2018 - 00:00,23.05,903.0,406.38,194.88,70.86,166.54,123.1,0.65,0.0,5.33,0.84,2.41,33.21,32.04,109.65,57.43,42.95,8.0,1.36,09-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Mar-2018 - 00:00,24.34,905.81,346.58,170.17,67.28,184.12,153.52,0.54,0.0,1.29,0.32,2.35,44.29,25.69,57.09,59.52,48.84,14.48,0.86,10-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Mar-2018 - 00:00,25.24,888.29,223.31,96.23,64.32,199.91,196.49,0.87,0.0,0.64,0.17,2.04,39.49,8.45,34.58,43.29,38.07,11.83,0.4,11-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Mar-2018 - 00:00,24.89,897.81,220.45,106.63,65.92,194.25,206.75,0.66,0.0,0.58,0.22,3.3,40.98,16.85,40.18,54.48,45.03,13.99,0.58,12-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Mar-2018 - 00:00,26.22,895.76,282.92,130.38,65.56,188.22,205.1,0.88,0.0,0.58,0.25,1.88,44.36,13.96,38.31,49.07,49.15,13.11,0.58,13-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Mar-2018 - 00:00,26.99,887.37,352.14,147.48,64.2,192.47,201.02,0.88,0.0,4.16,0.44,2.75,38.69,25.67,64.65,56.14,54.52,10.25,1.1,14-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Mar-2018 - 00:00,26.29,867.74,402.2,118.22,60.75,162.93,163.52,0.74,0.0,2.66,0.59,3.54,36.88,35.28,66.14,60.01,49.19,6.66,1.0,15-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Mar-2018 - 00:00,25.8,885.99,441.29,136.0,63.87,159.59,157.09,0.87,0.0,1.47,1.36,2.65,46.32,22.19,47.92,45.43,40.35,7.09,0.71,16-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Mar-2018 - 00:00,24.68,890.29,335.88,130.21,64.61,170.75,141.38,0.63,0.0,0.8,0.23,2.35,42.95,20.18,28.05,44.54,44.27,10.53,0.54,17-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Mar-2018 - 00:00,22.66,893.53,268.96,119.52,65.15,254.08,233.7,0.94,0.0,1.02,0.22,2.31,43.12,8.61,26.67,31.37,38.12,11.47,0.4,18-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Mar-2018 - 00:00,28.48,838.12,201.21,69.79,55.58,285.97,158.77,0.75,0.0,0.55,0.18,1.38,25.99,2.39,22.09,27.5,85.43,7.04,0.41,19-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Mar-2018 - 00:00,25.77,868.29,261.88,90.21,60.84,168.72,185.11,0.76,0.0,0.68,0.3,2.69,40.2,11.17,27.59,36.86,55.03,9.01,0.59,20-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Mar-2018 - 00:00,26.81,875.15,338.42,132.12,62.01,168.4,165.54,0.72,0.0,1.77,0.36,2.05,34.68,22.27,36.68,47.76,53.44,6.22,0.45,21-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Mar-2018 - 00:00,26.3,892.88,348.11,149.62,65.07,142.23,112.26,0.95,0.0,1.02,0.21,1.78,53.33,6.94,20.81,23.43,66.77,11.73,0.6,22-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Mar-2018 - 00:00,24.89,907.67,211.95,87.33,67.58,130.73,115.25,0.79,0.0,0.45,0.14,1.12,42.42,2.56,16.14,19.58,60.5,6.63,0.44,23-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Mar-2018 - 00:00,24.54,901.84,181.34,73.6,66.62,185.0,172.88,0.49,0.0,0.47,0.16,1.05,30.76,8.49,28.49,38.29,45.79,9.74,0.42,24-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Mar-2018 - 00:00,26.2,892.45,240.07,98.9,64.97,186.75,176.35,0.56,0.0,0.63,0.16,2.19,32.81,12.56,28.16,41.77,47.17,12.26,0.44,25-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Mar-2018 - 00:00,26.53,891.36,246.54,94.0,64.79,179.17,217.58,0.67,0.0,0.46,0.14,1.2,34.96,5.38,24.78,31.83,47.29,12.11,0.46,26-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Mar-2018 - 00:00,27.53,873.36,271.71,107.79,61.69,202.02,189.16,0.52,0.0,0.54,0.19,1.57,34.27,10.93,27.71,37.91,48.21,15.4,0.53,27-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Mar-2018 - 00:00,28.06,857.66,336.5,130.58,59.03,216.01,194.16,0.74,0.0,1.46,0.49,2.35,32.51,15.05,28.65,38.97,52.03,7.86,1.05,28-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Mar-2018 - 00:00,29.38,859.48,371.08,132.25,59.31,195.41,181.76,0.64,0.0,5.59,0.4,1.9,20.24,18.97,92.45,36.71,34.02,6.5,1.36,29-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Mar-2018 - 00:00,29.34,849.63,267.5,107.33,57.62,249.96,215.75,0.62,0.0,0.61,0.18,2.01,35.2,4.85,23.68,29.45,51.86,13.57,0.45,30-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Mar-2018 - 00:00,27.79,861.22,314.81,126.15,59.64,312.68,245.28,1.11,0.0,0.88,0.12,1.59,36.76,2.11,16.57,20.12,56.78,6.41,0.39,31-Mar-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-Apr-2018 - 00:00,29.25,867.17,311.43,105.14,60.58,13.08,113.16,1.24,0.0,0.72,0.35,1.11,36.67,1.02,19.23,25.2,67.97,5.64,0.78,02-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-Apr-2018 - 00:00,29.39,870.16,303.33,113.54,61.15,161.21,129.46,0.91,0.0,0.77,0.31,1.23,32.82,5.34,25.27,32.25,73.5,4.73,0.76,03-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-Apr-2018 - 00:00,31.18,861.56,313.71,115.58,59.63,155.09,147.67,0.77,0.0,0.83,0.37,2.22,34.53,3.04,22.99,35.17,84.05,7.75,0.75,04-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
04-Apr-2018 - 00:00,30.88,870.52,350.54,140.71,61.18,151.38,130.62,0.73,0.0,1.01,0.37,2.12,46.09,9.91,27.5,39.53,74.81,8.34,0.92,05-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
05-Apr-2018 - 00:00,30.95,871.49,449.75,218.17,61.42,146.65,127.48,0.65,0.0,1.01,0.31,2.25,45.67,9.37,33.81,31.59,30.84,13.79,0.9,06-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
06-Apr-2018 - 00:00,29.2,869.41,244.37,102.73,61.03,134.36,153.72,1.24,0.0,0.51,0.19,1.01,41.98,4.25,21.07,23.16,59.82,9.04,0.52,07-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
07-Apr-2018 - 00:00,28.37,885.0,160.91,52.9,63.71,210.64,148.24,1.02,0.0,0.42,0.13,0.91,46.95,4.71,20.47,25.81,78.98,6.48,0.47,08-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
08-Apr-2018 - 00:00,29.66,877.02,165.96,50.47,62.28,201.66,135.12,1.47,0.0,0.51,0.08,0.53,40.5,1.67,18.9,23.66,88.11,4.01,0.44,09-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
09-Apr-2018 - 00:00,25.83,921.2,157.25,54.62,70.75,131.17,133.41,1.17,0.0,1.18,,0.22,42.39,8.8,26.68,29.0,53.35,0.71,0.74,10-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
10-Apr-2018 - 00:00,28.58,899.29,331.25,103.46,66.14,185.35,165.4,1.02,0.0,1.36,0.21,0.66,54.89,16.84,27.34,38.3,76.27,3.64,0.64,11-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
11-Apr-2018 - 00:00,26.29,909.36,151.46,51.21,67.89,161.81,121.54,1.94,0.0,0.49,0.13,0.83,32.6,4.61,20.21,33.04,60.46,5.81,0.37,12-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
12-Apr-2018 - 00:00,27.47,885.53,129.92,50.04,63.84,234.57,169.85,0.91,0.0,0.52,0.24,1.39,31.73,11.85,24.88,38.94,64.83,7.11,0.53,13-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
13-Apr-2018 - 00:00,28.27,842.78,208.0,83.62,56.41,251.52,174.06,0.49,0.0,1.05,0.29,1.63,37.22,27.23,54.53,53.51,51.32,10.13,0.74,14-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
14-Apr-2018 - 00:00,29.85,827.17,252.33,97.29,53.71,237.8,191.1,0.52,0.0,0.93,0.32,2.47,40.91,24.78,45.26,58.35,55.66,16.13,0.65,15-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
15-Apr-2018 - 00:00,31.01,838.49,326.58,125.5,55.7,216.31,192.94,0.56,0.0,2.02,0.35,1.95,38.36,31.87,73.05,57.3,69.93,12.46,0.98,16-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
16-Apr-2018 - 00:00,31.5,841.1,404.67,130.42,56.23,159.55,139.58,1.05,0.0,1.4,0.4,2.06,51.15,22.95,48.78,51.53,66.05,13.15,0.91,17-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
17-Apr-2018 - 00:00,32.13,835.4,293.79,76.67,55.34,234.49,150.17,0.91,0.0,0.73,0.35,1.97,35.7,23.12,39.05,51.92,37.44,9.78,0.52,18-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
18-Apr-2018 - 00:00,32.64,818.72,317.46,75.86,52.49,306.25,195.39,0.63,0.0,0.83,0.11,0.87,35.44,10.98,28.28,38.74,46.12,9.71,0.36,19-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
19-Apr-2018 - 00:00,33.2,817.62,347.57,101.65,52.32,223.88,197.97,0.65,0.0,1.11,0.34,1.16,32.74,16.63,32.25,49.7,48.92,6.44,0.52,20-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
20-Apr-2018 - 00:00,33.1,814.06,447.55,96.0,51.75,188.18,191.37,1.21,0.0,0.47,0.15,0.78,30.33,3.83,22.24,27.66,49.28,8.13,0.38,21-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
21-Apr-2018 - 00:00,30.0,837.92,574.29,101.33,55.96,192.72,168.15,0.67,0.0,0.41,0.09,0.88,31.8,4.26,22.94,27.96,48.24,10.6,0.32,22-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
22-Apr-2018 - 00:00,29.62,814.27,281.92,84.83,51.92,284.93,178.75,0.55,0.0,0.38,0.1,0.78,28.14,5.99,28.7,34.24,51.7,17.93,0.33,23-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
23-Apr-2018 - 00:00,30.26,805.18,281.04,103.15,50.37,278.49,210.6,0.59,0.0,0.56,0.22,2.0,25.09,18.6,33.74,49.79,55.63,14.43,0.58,24-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
24-Apr-2018 - 00:00,31.41,807.19,354.08,155.67,50.76,308.12,218.98,0.65,0.0,2.02,0.24,1.92,28.63,18.08,50.05,42.48,59.1,13.63,0.88,25-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
25-Apr-2018 - 00:00,32.67,809.84,389.0,126.29,51.17,262.66,215.09,0.67,0.0,5.74,0.39,3.14,27.95,22.12,84.6,44.39,51.75,6.91,1.65,26-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
26-Apr-2018 - 00:00,34.49,804.96,509.92,146.12,50.31,207.53,153.35,0.95,0.0,2.68,0.39,1.65,27.02,21.65,63.33,47.99,55.47,6.74,1.18,27-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
27-Apr-2018 - 00:00,33.01,864.97,425.12,112.39,60.5,187.33,140.23,1.3,0.0,1.66,0.3,0.54,9.41,6.66,29.64,18.75,95.75,1.71,0.63,28-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
28-Apr-2018 - 00:00,33.67,864.94,409.79,89.18,60.53,189.45,138.13,1.54,0.0,0.82,0.39,0.5,22.86,1.69,20.25,20.11,90.17,2.85,0.52,29-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
29-Apr-2018 - 00:00,33.93,859.53,314.31,95.58,59.58,202.58,154.56,0.88,0.0,0.47,0.24,1.18,50.28,3.66,29.26,32.02,67.2,9.08,0.66,30-Apr-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
30-Apr-2018 - 00:00,34.12,848.69,249.14,81.13,57.76,230.24,161.03,1.07,0.0,0.59,0.27,1.24,42.27,8.42,29.54,34.1,63.35,6.16,0.56,01-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
01-May-2018 - 00:00,31.59,889.85,205.86,55.29,64.76,203.38,139.32,1.68,0.0,0.52,0.13,0.81,41.98,2.18,14.72,26.96,90.88,4.38,0.5,02-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
02-May-2018 - 00:00,30.42,893.16,181.23,62.46,65.3,186.44,144.19,1.62,0.0,0.56,0.11,0.32,23.66,2.29,15.92,35.47,83.19,1.95,0.43,03-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
03-May-2018 - 00:00,29.63,884.47,185.2,49.93,63.83,183.53,153.69,1.57,0.0,0.61,0.1,0.46,27.48,2.54,14.68,25.13,66.27,4.33,0.41,04-May-2018 - 00:00,"Ashok Vihar, Delhi - DPCC"
