from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene,to date,station
15-Feb-2018 - 00:00,,,,,,,,,,155.93,83.76,25.0,24.0,49.0,2.7,,10.0,0.0,0.0,0.0,,0.0,16-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
16-Feb-2018 - 00:00,,,,,,,,,,220.77,119.04,21.2,27.23,48.43,2.07,,19.7,0.0,0.0,0.0,,0.0,17-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
17-Feb-2018 - 00:00,,,,,,,,,,228.42,115.6,15.9,32.16,48.06,1.1,,35.27,0.0,0.0,0.0,,0.0,18-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
18-Feb-2018 - 00:00,,,,,,,,,,210.25,118.24,14.85,33.13,47.97,0.96,,40.44,0.0,0.0,0.0,,0.0,19-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
19-Feb-2018 - 00:00,,,,,,,,,,319.66,170.91,18.95,29.53,48.48,1.69,,30.3,0.0,0.0,0.0,,0.0,20-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
20-Feb-2018 - 00:00,,,,,,,,,,331.48,170.05,18.75,32.18,50.4,1.36,,27.43,0.0,0.0,0.0,,0.0,21-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
21-Feb-2018 - 00:00,,,,,,,,,,397.9,193.95,17.55,31.33,48.7,1.27,,30.46,0.0,0.0,0.0,,0.0,22-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
22-Feb-2018 - 00:00,,,,,,,,,,332.7,166.67,18.31,30.07,47.93,1.33,,25.48,0.0,0.0,0.0,,0.0,23-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
23-Feb-2018 - 00:00,,,,,,,,,,388.89,195.13,16.12,32.86,48.83,1.16,,32.76,0.0,0.0,0.0,,0.0,24-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
24-Feb-2018 - 00:00,,,,,,,,,,302.79,145.64,17.5,34.05,51.29,1.2,,28.58,0.0,0.0,0.0,,0.0,25-Feb-2018 - 00:00,"CRRI Mathura Road, Delhi - IMD"
