from date,PM2.5,PM10,RF,AT,SR,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,RH,BP,WD,WS,to date,station
14-Apr-2018 - 00:00,104.81,289.5,0.0,32.02,127.44,70.85,25.87,75.78,61.34,48.5,1.58,72.48,0.25,4.68,0.36,29.12,31.67,739.24,247.76,1.3,15-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
15-Apr-2018 - 00:00,113.28,346.26,0.0,33.68,122.55,54.56,83.98,85.66,113.83,55.73,2.57,63.69,0.25,5.4,0.37,29.18,34.2,738.64,260.16,0.82,16-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
16-Apr-2018 - 00:00,135.32,399.56,0.0,33.39,87.78,39.19,59.66,77.03,89.48,61.63,2.43,44.06,0.34,4.83,0.03,29.17,37.27,739.12,111.14,1.18,17-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
17-Apr-2018 - 00:00,76.95,293.29,0.0,34.14,114.9,43.58,15.72,61.71,45.6,50.02,1.26,57.82,0.18,4.42,0.24,29.14,34.26,740.12,174.44,1.56,18-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
18-Apr-2018 - 00:00,58.5,285.82,0.0,33.92,124.15,51.11,7.72,54.98,35.52,43.07,0.86,55.05,0.1,3.87,0.22,29.18,30.58,739.26,255.49,2.14,19-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
19-Apr-2018 - 00:00,83.98,319.62,0.0,35.13,116.91,57.77,14.95,70.84,49.84,44.59,1.2,55.73,0.14,4.18,0.22,29.04,29.56,736.01,247.49,1.38,20-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
20-Apr-2018 - 00:00,77.34,384.44,0.0,34.14,106.67,26.66,5.35,43.38,27.42,42.75,0.89,40.32,0.14,2.48,0.05,29.2,30.82,735.01,170.65,2.33,21-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
21-Apr-2018 - 00:00,154.73,571.87,0.0,32.9,114.39,51.67,2.89,44.27,24.32,40.17,0.98,57.46,0.1,3.26,0.17,28.94,28.14,739.15,243.24,1.98,22-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
22-Apr-2018 - 00:00,51.2,246.51,0.0,30.68,130.43,31.19,3.6,47.29,28.09,39.6,0.68,54.47,0.09,3.16,0.22,28.92,29.54,740.35,247.81,2.26,23-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
23-Apr-2018 - 00:00,62.85,245.35,0.0,32.08,128.9,33.06,21.79,59.77,49.5,38.63,1.08,66.73,0.12,3.33,0.12,28.94,25.59,739.25,261.53,1.66,24-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
24-Apr-2018 - 00:00,117.94,348.32,0.0,33.85,123.96,43.95,55.34,83.77,89.56,44.69,1.8,55.85,0.24,4.8,0.34,28.88,25.81,738.14,249.73,1.22,25-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
25-Apr-2018 - 00:00,111.35,367.11,0.0,35.61,123.15,28.11,127.07,97.94,155.32,50.2,2.94,47.25,0.31,5.56,0.07,28.92,24.36,735.48,230.33,0.97,26-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
26-Apr-2018 - 00:00,120.69,434.8,0.0,36.48,103.95,44.07,40.94,87.68,79.92,50.64,1.99,59.68,0.26,4.35,0.0,28.79,25.35,733.94,125.54,1.08,27-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
27-Apr-2018 - 00:00,81.08,350.47,0.0,33.74,103.5,21.83,3.28,34.92,21.23,62.12,1.04,52.97,0.13,2.27,0.0,28.66,49.04,737.3,133.74,2.04,28-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
28-Apr-2018 - 00:00,69.21,339.71,0.0,34.14,101.61,22.55,1.65,30.8,17.72,53.84,0.95,54.35,0.1,1.84,0.01,28.52,49.19,736.98,129.03,2.21,29-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
29-Apr-2018 - 00:00,81.92,283.11,0.0,34.89,98.72,24.02,4.76,45.97,28.33,52.11,1.28,52.43,0.14,2.62,0.0,28.55,46.68,734.06,140.91,1.27,30-Apr-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
30-Apr-2018 - 00:00,70.35,229.94,0.0,34.59,111.84,25.87,4.09,47.1,28.37,52.56,1.0,54.59,0.11,2.35,0.0,28.72,46.21,732.5,148.46,1.83,01-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
01-May-2018 - 00:00,43.61,171.1,0.0,31.91,109.91,16.65,1.6,23.47,13.79,56.23,1.19,51.13,0.1,1.42,0.0,28.7,58.16,735.94,132.65,2.53,02-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
02-May-2018 - 00:00,42.3,168.46,0.0,31.22,101.93,16.87,2.64,28.02,17.05,50.45,0.93,39.47,0.09,1.46,0.01,28.71,56.71,737.26,137.99,2.63,03-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
03-May-2018 - 00:00,68.23,164.21,0.0,30.26,91.5,15.9,2.2,27.5,16.42,40.83,0.71,37.53,0.08,1.49,0.0,28.9,55.88,737.85,139.77,2.64,04-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
04-May-2018 - 00:00,41.94,150.43,0.0,31.53,113.32,17.31,1.92,28.11,16.51,45.87,1.18,39.06,0.09,1.65,0.0,28.81,56.98,738.1,121.33,2.09,05-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
05-May-2018 - 00:00,426.54,251.22,0.0,34.91,112.57,26.6,9.99,58.6,39.28,43.82,2.26,51.07,0.15,3.19,0.01,28.81,45.7,737.17,165.97,0.99,06-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
06-May-2018 - 00:00,99.29,315.6,0.0,34.08,109.87,45.72,9.7,55.45,37.37,46.63,2.08,43.46,0.18,3.01,0.02,28.87,41.99,737.8,99.16,2.04,07-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
07-May-2018 - 00:00,159.85,422.7,0.0,35.13,106.66,65.05,24.65,68.69,56.58,43.53,2.49,87.42,0.25,3.97,0.26,28.98,37.39,735.84,170.8,1.05,08-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
08-May-2018 - 00:00,52.97,150.75,0.0,31.22,104.43,28.42,2.55,35.49,20.96,38.05,1.45,63.5,0.08,2.49,0.03,28.92,45.02,736.64,211.99,2.21,09-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
09-May-2018 - 00:00,93.19,208.12,0.01,30.14,96.15,49.06,8.64,62.8,40.44,40.92,1.95,46.57,0.16,3.37,0.11,28.86,51.25,738.33,151.6,1.15,10-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
10-May-2018 - 00:00,100.69,242.66,0.0,33.4,116.16,28.43,26.04,76.61,60.85,50.73,1.87,51.47,0.16,3.38,0.09,28.62,45.34,738.99,189.18,1.07,11-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
11-May-2018 - 00:00,145.96,333.26,0.0,36.46,108.92,42.51,13.8,92.09,60.2,56.13,1.97,54.06,0.19,3.84,0.03,28.48,38.97,735.91,188.2,1.09,12-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
12-May-2018 - 00:00,153.64,368.0,0.0,36.36,93.23,41.83,5.29,64.0,38.35,61.02,1.64,43.79,0.19,3.07,0.0,28.52,45.46,735.21,133.16,1.45,13-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
13-May-2018 - 00:00,68.36,210.34,0.01,33.12,99.11,21.81,2.5,25.22,15.46,70.09,0.89,28.19,0.08,1.81,0.0,28.48,55.68,735.49,126.0,2.83,14-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
14-May-2018 - 00:00,83.42,148.54,0.0,30.53,81.33,22.17,3.55,41.92,24.42,47.5,1.4,32.37,0.06,1.82,0.04,28.88,54.36,736.8,142.21,1.57,15-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
15-May-2018 - 00:00,69.5,197.64,0.0,33.25,109.17,27.26,3.7,43.04,25.9,54.07,1.34,32.69,0.12,2.14,0.03,28.56,54.77,735.59,131.12,1.53,16-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
16-May-2018 - 00:00,74.82,239.47,0.01,35.33,121.61,25.99,8.61,60.37,39.12,50.55,1.11,41.85,0.13,3.05,0.08,28.45,42.91,734.43,218.24,1.8,17-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
17-May-2018 - 00:00,114.33,347.32,0.0,36.67,114.69,54.14,5.0,61.08,36.55,48.05,1.21,53.74,0.12,3.19,0.44,28.64,33.59,734.43,174.34,1.48,18-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
18-May-2018 - 00:00,101.16,287.71,0.0,35.79,104.84,56.09,10.61,65.01,43.2,50.23,1.38,37.24,0.16,3.23,0.12,28.61,38.12,734.48,111.21,1.2,19-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
19-May-2018 - 00:00,108.18,339.88,0.0,36.17,104.52,32.68,39.87,83.42,76.79,56.42,1.81,51.11,0.22,4.06,0.1,28.66,39.84,734.2,204.34,1.14,20-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
20-May-2018 - 00:00,100.49,317.04,0.0,36.38,115.77,32.76,23.96,70.48,56.96,52.22,1.37,43.41,0.17,3.62,0.28,28.67,32.83,735.54,191.32,1.49,21-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
21-May-2018 - 00:00,82.83,300.79,0.0,37.45,124.51,41.83,4.21,55.47,32.93,44.56,1.06,45.84,0.15,3.03,0.35,28.9,22.29,735.8,198.15,2.13,22-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
22-May-2018 - 00:00,93.8,322.98,0.0,38.52,120.18,38.55,59.12,80.44,90.84,47.76,2.19,45.81,0.17,3.69,0.35,28.96,23.92,734.66,176.71,1.28,23-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
23-May-2018 - 00:00,175.04,470.79,0.0,38.45,114.35,77.84,66.99,91.58,103.17,63.8,2.55,64.44,0.32,5.46,1.3,28.81,31.95,733.64,137.74,1.03,24-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
24-May-2018 - 00:00,158.56,432.39,0.0,36.9,102.03,53.31,57.05,80.45,87.81,62.6,2.45,54.42,0.27,4.03,0.28,28.87,37.49,733.02,154.7,1.17,25-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
25-May-2018 - 00:00,92.0,298.32,0.0,38.56,127.35,45.43,34.15,87.65,74.37,50.87,1.65,49.22,0.24,4.36,0.63,29.0,22.73,733.16,239.69,1.27,26-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
26-May-2018 - 00:00,101.94,308.1,0.0,39.46,127.01,42.79,44.56,98.1,88.4,51.74,1.79,46.37,0.23,4.75,0.42,29.03,22.25,732.11,223.88,0.98,27-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
27-May-2018 - 00:00,81.7,315.49,0.0,39.2,121.04,20.4,9.34,75.22,47.61,49.69,1.32,44.75,0.17,3.3,0.0,29.0,23.77,731.46,178.94,1.44,28-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
28-May-2018 - 00:00,114.56,332.5,0.0,37.65,112.48,40.15,22.63,74.09,57.81,54.27,1.96,39.19,0.21,2.93,0.03,28.81,33.44,730.09,117.49,1.1,29-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
29-May-2018 - 00:00,95.78,341.7,0.0,38.15,118.14,21.48,15.53,55.67,42.23,64.44,1.42,45.74,0.18,2.96,0.0,28.64,39.69,729.03,160.38,1.81,30-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
30-May-2018 - 00:00,51.61,303.28,0.0,35.25,112.0,17.26,2.94,26.44,16.46,69.77,0.83,34.78,0.07,1.38,0.0,28.69,49.68,731.08,148.73,2.57,31-May-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
31-May-2018 - 00:00,67.78,259.33,0.0,36.75,114.39,19.0,3.27,34.8,21.17,56.06,1.06,30.54,0.11,2.23,0.0,28.72,47.75,732.61,152.64,1.67,01-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
01-Jun-2018 - 00:00,59.08,236.6,0.0,34.42,116.73,14.38,2.51,20.96,13.19,60.71,0.87,25.65,0.09,1.4,0.0,28.78,57.19,733.9,130.82,2.74,02-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
02-Jun-2018 - 00:00,37.73,148.29,0.0,32.14,114.43,14.02,2.08,24.06,14.48,46.48,0.66,30.21,0.06,1.43,0.0,28.68,55.99,734.72,139.53,2.33,03-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
03-Jun-2018 - 00:00,50.68,144.3,0.0,33.82,117.31,19.92,3.25,24.74,15.8,50.97,0.8,23.57,0.08,1.61,0.0,28.46,59.88,732.22,126.35,2.01,04-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
04-Jun-2018 - 00:00,53.34,186.46,0.0,36.14,110.89,12.08,2.32,18.61,11.79,52.18,0.86,18.04,0.09,1.44,0.0,28.44,55.73,731.23,137.73,2.53,05-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
05-Jun-2018 - 00:00,48.16,156.8,0.0,36.44,110.35,14.02,2.33,16.78,10.82,49.3,0.83,16.8,0.08,1.31,0.0,28.5,54.84,733.65,132.58,2.41,06-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
06-Jun-2018 - 00:00,52.74,156.91,0.0,33.3,71.06,14.58,2.97,22.83,14.56,51.14,0.84,62.9,0.09,1.88,0.02,28.63,65.66,735.24,103.47,1.83,07-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
07-Jun-2018 - 00:00,69.22,173.05,0.0,36.01,127.98,22.39,3.29,25.18,16.07,51.77,1.1,57.41,0.09,2.29,0.02,28.55,57.82,731.05,122.19,1.34,08-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
08-Jun-2018 - 00:00,69.01,219.57,0.0,35.75,120.85,12.93,2.7,17.29,11.4,59.6,0.91,52.73,0.09,1.6,0.0,29.13,62.09,727.9,137.15,2.55,09-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
09-Jun-2018 - 00:00,53.96,118.21,0.21,32.07,104.24,15.48,16.82,28.6,28.31,54.97,0.91,43.87,0.1,1.6,0.0,28.96,74.4,727.44,144.84,2.13,10-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
10-Jun-2018 - 00:00,76.06,172.32,0.0,34.11,142.33,23.96,13.49,48.87,36.96,55.59,1.08,66.79,0.12,3.16,0.08,29.03,64.01,727.72,170.26,1.12,11-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
11-Jun-2018 - 00:00,74.47,261.88,0.0,37.0,141.89,25.4,6.72,45.35,29.59,58.36,1.06,55.9,0.09,2.82,0.02,28.94,53.92,725.62,258.25,1.76,12-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
12-Jun-2018 - 00:00,134.98,491.12,0.0,38.8,124.71,16.09,12.73,55.09,39.66,49.31,0.99,36.02,0.09,3.29,0.01,28.88,47.41,723.3,254.05,1.59,13-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
13-Jun-2018 - 00:00,263.03,922.14,0.0,39.68,118.69,8.16,11.7,37.64,29.53,44.19,0.67,17.05,0.07,2.66,0.0,28.89,42.49,723.31,252.99,2.02,14-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
14-Jun-2018 - 00:00,197.58,847.65,0.0,38.75,113.12,11.81,13.7,47.22,36.25,36.87,0.65,15.82,0.04,2.7,0.0,28.84,40.3,725.32,254.81,2.0,15-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
15-Jun-2018 - 00:00,140.31,700.82,0.0,37.7,120.38,9.75,6.9,37.8,25.71,32.95,0.67,22.42,0.03,2.38,0.01,28.9,42.14,727.69,216.29,1.91,16-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
16-Jun-2018 - 00:00,134.97,607.39,0.0,35.49,105.57,15.91,3.43,28.81,18.11,38.7,0.72,31.91,0.1,2.31,0.03,29.03,55.98,730.12,142.99,1.67,17-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
17-Jun-2018 - 00:00,77.93,273.07,0.0,32.4,131.41,33.28,2.48,21.99,13.72,41.62,0.6,40.96,0.06,1.93,0.05,29.04,64.2,731.33,110.25,2.04,18-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
18-Jun-2018 - 00:00,78.04,214.58,0.0,33.67,118.97,43.26,3.87,36.86,22.75,37.73,0.87,49.34,0.12,2.51,0.09,29.1,56.01,731.2,175.51,1.66,19-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
19-Jun-2018 - 00:00,65.2,179.62,0.0,33.65,189.03,31.03,2.95,33.4,20.16,35.32,0.7,77.82,0.1,2.59,0.18,29.04,59.48,731.78,217.31,1.65,20-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
20-Jun-2018 - 00:00,342.57,239.41,0.0,37.38,37.9,48.51,1.75,37.69,18.61,50.15,1.51,53.27,0.09,2.14,0.06,28.89,50.3,730.77,69.03,1.4,21-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
21-Jun-2018 - 00:00,83.91,316.76,0.0,37.64,118.32,37.93,3.24,42.27,25.12,45.53,0.96,63.89,0.1,2.64,0.15,29.03,47.74,731.56,148.89,1.27,22-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
22-Jun-2018 - 00:00,101.79,319.52,0.0,39.25,117.23,40.96,13.68,61.25,43.71,46.57,1.39,87.89,0.14,3.59,0.23,28.67,45.44,730.19,130.57,1.0,23-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
23-Jun-2018 - 00:00,81.35,278.4,0.0,38.86,113.4,39.75,5.05,56.15,33.97,46.26,1.06,75.07,0.11,3.07,0.2,28.7,44.91,729.82,163.82,1.4,24-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
24-Jun-2018 - 00:00,76.54,253.3,0.0,38.31,128.25,46.0,3.41,44.47,26.42,43.71,1.03,65.45,0.1,2.78,0.34,28.79,43.9,729.23,170.21,1.48,25-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
25-Jun-2018 - 00:00,81.71,329.91,0.0,38.26,128.09,21.82,4.54,44.04,27.12,42.55,0.85,48.45,0.07,2.54,0.03,28.77,45.79,727.09,225.35,1.82,26-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
26-Jun-2018 - 00:00,60.9,205.58,0.01,34.1,47.46,28.56,5.78,47.99,30.23,42.03,0.92,28.86,0.08,2.65,0.12,28.92,57.59,727.86,186.08,1.4,27-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
27-Jun-2018 - 00:00,51.06,112.8,0.07,32.01,109.73,15.48,3.32,32.64,20.07,53.63,0.78,35.57,0.07,2.13,0.0,28.77,73.89,730.09,134.38,1.78,28-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
28-Jun-2018 - 00:00,26.38,56.03,0.6,30.9,109.18,8.8,5.02,29.85,19.95,56.35,0.68,22.81,0.04,1.74,0.01,28.91,80.49,731.58,136.09,2.21,29-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
29-Jun-2018 - 00:00,36.3,80.46,0.01,32.19,114.7,8.86,2.36,26.63,16.08,45.89,0.6,30.28,0.02,1.45,0.0,28.99,74.79,731.43,138.0,2.41,30-Jun-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
30-Jun-2018 - 00:00,39.77,87.51,0.0,33.19,115.16,10.79,3.13,35.29,21.32,43.37,0.72,36.21,0.06,2.02,0.04,29.0,72.28,731.9,173.05,1.53,01-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
01-Jul-2018 - 00:00,31.22,79.18,0.03,34.3,101.91,9.61,6.26,39.85,26.29,44.75,0.79,27.1,0.05,2.54,0.0,28.97,70.06,730.53,243.93,1.47,02-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
02-Jul-2018 - 00:00,31.5,104.78,0.15,33.97,112.5,11.61,4.74,36.49,23.26,41.04,0.63,38.58,0.01,2.18,0.08,28.91,66.6,728.27,236.43,1.88,03-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
03-Jul-2018 - 00:00,41.69,106.15,0.0,32.37,111.19,19.66,3.45,33.18,20.45,37.86,0.58,38.7,0.04,2.14,0.03,29.03,73.3,728.75,119.36,1.47,04-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
04-Jul-2018 - 00:00,40.33,104.82,0.0,32.86,122.78,12.59,2.01,27.88,16.46,39.1,0.61,53.59,0.04,2.23,0.08,28.97,70.55,729.0,121.9,1.57,05-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
05-Jul-2018 - 00:00,58.51,170.18,0.0,33.79,117.5,22.34,6.2,47.11,30.11,38.4,0.84,45.86,0.1,2.74,0.13,28.89,66.94,730.35,170.07,1.27,06-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
06-Jul-2018 - 00:00,72.83,208.23,0.0,34.95,121.45,28.78,2.37,41.21,23.3,48.63,0.81,62.55,0.1,3.24,0.37,28.96,62.6,730.47,204.04,1.45,07-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
07-Jul-2018 - 00:00,71.93,186.94,0.0,35.65,135.77,34.98,0.59,30.94,16.86,57.16,0.78,60.32,0.08,3.33,0.44,28.92,60.02,729.78,173.42,1.51,08-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
08-Jul-2018 - 00:00,72.96,188.34,0.0,37.02,138.71,22.88,0.86,30.67,17.0,59.48,0.79,73.6,0.08,2.48,0.24,28.8,56.2,728.76,136.94,1.13,09-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
09-Jul-2018 - 00:00,64.62,161.41,0.0,35.7,110.69,8.02,0.8,22.47,12.59,60.08,0.64,53.14,0.05,2.1,0.03,28.94,68.08,728.75,144.91,1.95,10-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
10-Jul-2018 - 00:00,40.18,107.27,0.0,34.59,114.19,11.41,0.89,20.31,11.49,54.01,0.57,36.68,0.01,1.71,0.05,28.99,73.15,729.44,133.94,1.91,11-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
11-Jul-2018 - 00:00,40.39,102.25,0.0,32.54,67.27,5.61,1.27,29.63,16.33,47.79,0.72,24.88,0.05,2.0,0.0,29.19,77.53,728.88,149.51,1.76,12-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
12-Jul-2018 - 00:00,50.83,137.8,0.0,33.33,98.6,8.72,0.99,30.53,16.03,51.47,0.88,36.05,0.06,2.45,0.17,29.05,72.82,728.39,148.09,1.65,13-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
13-Jul-2018 - 00:00,31.88,65.84,0.13,30.71,92.4,10.15,0.72,31.8,17.38,45.24,0.82,21.49,0.03,1.96,0.05,29.18,83.52,729.54,121.9,1.47,14-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
14-Jul-2018 - 00:00,35.17,60.7,0.0,30.15,109.55,24.79,0.93,32.16,17.82,42.52,0.94,12.94,0.06,2.27,0.02,29.09,86.77,729.24,107.52,1.46,15-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
15-Jul-2018 - 00:00,41.99,88.18,0.0,31.86,96.84,6.18,0.87,32.4,17.92,42.24,0.98,18.81,0.07,2.38,0.01,29.12,82.5,728.85,137.7,1.35,16-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
16-Jul-2018 - 00:00,45.49,99.95,0.0,32.28,85.73,10.04,0.88,30.61,16.91,51.05,0.95,21.58,0.05,2.16,0.2,29.61,83.68,729.46,130.85,1.8,17-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
17-Jul-2018 - 00:00,28.04,80.83,0.0,33.96,106.62,16.98,0.86,26.24,14.65,50.18,0.83,16.68,0.03,2.03,0.12,29.89,75.03,729.7,113.45,1.63,18-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
18-Jul-2018 - 00:00,34.88,89.25,0.0,33.71,119.32,11.56,0.92,27.36,15.28,52.61,0.85,18.02,0.06,2.16,0.09,29.91,75.36,730.43,106.73,1.86,19-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
19-Jul-2018 - 00:00,32.98,90.11,0.0,33.96,128.01,22.35,0.89,30.23,16.74,44.43,0.79,17.52,0.06,2.11,0.04,30.07,74.32,730.18,126.94,1.59,20-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
20-Jul-2018 - 00:00,51.47,92.2,0.32,31.22,54.06,16.37,0.9,46.46,25.41,48.84,1.19,20.3,0.11,3.34,0.19,30.02,85.5,729.67,161.83,1.16,21-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
21-Jul-2018 - 00:00,42.78,77.24,0.19,30.39,70.33,16.89,0.95,41.16,22.61,47.17,1.09,30.05,0.1,2.94,0.05,30.07,86.51,730.08,118.39,1.02,22-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
22-Jul-2018 - 00:00,29.74,41.86,1.06,28.95,85.76,4.59,0.8,31.66,17.49,42.43,0.77,19.36,0.05,2.69,0.03,30.23,93.05,730.98,117.81,0.84,23-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
23-Jul-2018 - 00:00,214.25,72.47,0.0,33.05,136.48,11.89,0.94,29.57,13.61,53.88,1.46,21.83,0.04,1.4,0.0,30.18,74.96,730.33,126.04,1.91,24-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
24-Jul-2018 - 00:00,37.71,77.32,0.0,33.39,108.25,11.51,1.02,35.76,19.83,47.94,0.83,26.29,0.07,2.52,0.04,29.93,75.95,730.84,134.71,1.14,25-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
25-Jul-2018 - 00:00,35.92,69.56,0.0,30.83,51.8,3.99,1.04,44.21,24.02,43.88,0.91,15.77,0.06,2.6,0.1,30.21,86.11,730.48,210.03,1.39,26-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
26-Jul-2018 - 00:00,35.59,53.01,2.03,28.44,30.54,5.21,0.97,38.4,21.17,45.43,0.86,40.5,0.08,2.98,0.19,30.03,94.61,730.46,198.93,1.2,27-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
27-Jul-2018 - 00:00,72.57,44.38,0.4,27.85,37.72,11.54,1.01,42.2,23.0,41.15,0.98,33.79,0.07,3.09,0.31,33.1,96.39,729.5,157.46,1.26,28-Jul-2018 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
