from date,WS,WD,Gust,Variance,AT,RH,SR,BP,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Xylene,to date,station
27-Feb-2018 - 00:00,,,,,,,,,,117.99,55.48,19.66,18.51,28.47,1.87,0.0,77.32,2.05,0.0,0.0,0.0,28-Feb-2018 - 00:00,"Pusa, Delhi - IMD"
28-Feb-2018 - 00:00,,,,,,,,,,177.74,81.57,19.51,26.38,45.88,2.39,,,1.5,0.0,0.0,0.0,01-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
01-Mar-2018 - 00:00,,,,,,,,,,149.63,62.09,15.11,19.25,30.66,2.3,0.0,17.78,2.28,0.0,0.0,0.0,02-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
02-Mar-2018 - 00:00,,,,,,,,,,144.31,70.82,19.28,16.53,33.16,2.61,,113.89,0.0,0.0,0.0,0.0,03-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
03-Mar-2018 - 00:00,,,,,,,,,,131.95,55.3,9.85,8.21,5.18,2.29,,65.7,0.0,0.0,0.0,0.0,04-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
04-Mar-2018 - 00:00,,,,,,,,,,107.18,45.81,24.03,16.98,38.25,2.12,,56.41,0.0,0.0,0.0,0.0,05-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
05-Mar-2018 - 00:00,,,,,,,,,,88.96,37.15,13.29,7.74,4.98,2.11,5.35,112.22,0.0,0.0,0.0,0.0,06-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
06-Mar-2018 - 00:00,,,,,,,,,,109.2,39.02,39.88,10.4,3.89,2.1,,125.06,0.0,0.0,0.0,0.0,07-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
07-Mar-2018 - 00:00,,,,,,,,,,101.18,41.15,9.31,7.53,1.52,2.23,,104.17,0.0,0.0,0.0,0.0,08-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
08-Mar-2018 - 00:00,,,,,,,,,,175.55,77.05,38.91,31.18,68.18,2.94,,91.57,3.71,0.0,0.0,0.0,09-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
09-Mar-2018 - 00:00,,,,,,,,,,176.01,81.39,10.51,13.6,10.13,2.8,,60.75,0.0,0.0,0.0,0.0,10-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
10-Mar-2018 - 00:00,,,,,,,,,,98.57,38.99,29.47,15.77,27.2,2.1,,44.84,0.0,0.0,0.0,0.0,11-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
11-Mar-2018 - 00:00,,,,,,,,,,121.04,49.16,15.42,12.2,16.35,2.24,,58.08,0.0,0.0,0.0,0.0,12-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
12-Mar-2018 - 00:00,,,,,,,,,,133.49,56.26,30.41,21.97,51.07,2.37,,50.02,0.0,0.0,0.0,0.0,13-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
13-Mar-2018 - 00:00,,,,,,,,,,176.27,60.72,25.05,16.43,26.56,2.56,,63.53,0.0,0.0,0.0,0.0,14-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
14-Mar-2018 - 00:00,,,,,,,,,,196.69,63.22,10.49,9.42,3.36,2.63,,40.39,0.0,0.0,0.0,0.0,15-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
15-Mar-2018 - 00:00,,,,,,,,,,192.6,60.4,17.55,12.1,17.47,2.37,,33.18,0.0,0.0,0.0,0.0,16-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
16-Mar-2018 - 00:00,,,,,,,,,,151.99,57.54,25.91,19.35,32.63,2.28,,6.25,0.0,0.0,0.0,0.0,17-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
17-Mar-2018 - 00:00,,,,,,,,,,120.32,44.68,28.68,17.6,39.83,2.19,,5.04,0.0,0.0,0.0,0.0,18-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
18-Mar-2018 - 00:00,,,,,,,,,,119.86,47.79,15.8,11.95,3.88,2.26,,6.09,0.0,0.0,0.0,0.0,19-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
19-Mar-2018 - 00:00,,,,,,,,,,112.95,42.88,36.84,36.62,54.01,2.25,,8.0,1.81,0.0,0.0,0.0,20-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
20-Mar-2018 - 00:00,,,,,,,,,,142.81,62.16,37.16,66.89,101.43,2.63,,13.79,2.07,0.0,0.0,0.0,21-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
21-Mar-2018 - 00:00,,,,,,,,,,179.21,71.04,37.58,65.81,99.08,2.77,,16.03,1.6,0.0,0.0,0.0,22-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
22-Mar-2018 - 00:00,,,,,,,,,,116.79,46.31,41.85,67.29,104.69,2.44,,13.16,0.0,0.0,0.0,0.0,23-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
23-Mar-2018 - 00:00,,,,,,,,,,97.12,37.45,40.82,67.5,101.91,2.42,,12.05,0.0,0.0,0.0,0.0,24-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
24-Mar-2018 - 00:00,,,,,,,,,,110.35,41.73,47.81,69.63,107.07,2.45,,10.94,0.0,0.0,0.0,0.0,25-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
25-Mar-2018 - 00:00,,,,,,,,,,140.76,48.33,41.59,66.69,105.84,2.48,,15.2,0.0,0.0,0.0,0.0,26-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
26-Mar-2018 - 00:00,,,,,,,,,,121.02,47.64,45.92,69.28,114.39,2.52,,13.81,0.0,0.0,0.0,0.0,27-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
27-Mar-2018 - 00:00,,,,,,,,,,151.66,56.97,47.57,69.45,110.11,2.9,,42.67,0.0,0.0,0.0,0.0,28-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
28-Mar-2018 - 00:00,,,,,,,,,,162.52,63.64,51.06,72.35,118.17,3.1,,81.85,0.0,0.0,0.0,0.0,29-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
29-Mar-2018 - 00:00,,,,,,,,,,136.4,49.89,35.13,63.86,92.69,2.53,,118.9,0.0,0.0,0.0,0.0,30-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
30-Mar-2018 - 00:00,,,,,,,,,,147.53,52.73,44.84,69.62,111.11,2.62,,92.48,0.0,0.0,0.0,0.0,31-Mar-2018 - 00:00,"Pusa, Delhi - IMD"
31-Mar-2018 - 00:00,,,,,,,,,,180.47,58.15,47.39,70.76,113.34,2.7,,140.72,0.0,0.0,0.0,0.0,01-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
01-Apr-2018 - 00:00,,,,,,,,,,125.64,43.72,47.38,70.2,115.39,2.55,,72.39,0.0,0.0,0.0,0.0,02-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
02-Apr-2018 - 00:00,,,,,,,,,,157.37,57.21,22.46,59.0,79.89,2.78,,24.72,0.0,0.0,0.0,0.0,03-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
03-Apr-2018 - 00:00,,,,,,,,,,165.06,60.99,38.77,66.39,103.89,2.79,,23.3,0.0,0.0,0.0,0.0,04-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
04-Apr-2018 - 00:00,,,,,,,,,,149.39,55.45,42.97,68.37,107.12,2.87,,93.05,0.0,0.0,0.0,0.0,05-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
05-Apr-2018 - 00:00,,,,,,,,,,223.13,98.59,45.2,69.5,101.49,3.34,,108.01,0.0,0.0,0.0,0.0,06-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
06-Apr-2018 - 00:00,,,,,,,,,,116.98,57.76,45.13,68.22,87.85,2.15,0.0,102.9,0.0,0.0,0.0,0.0,07-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
07-Apr-2018 - 00:00,,,,,,,,,,86.9,29.13,42.97,67.38,102.82,2.25,,,0.0,0.0,0.0,0.0,08-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
08-Apr-2018 - 00:00,,,,,,,,,,91.62,30.26,48.36,69.81,58.74,2.32,,,0.0,0.0,0.0,0.0,09-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
09-Apr-2018 - 00:00,,,,,,,,,,84.45,25.93,,,0.0,2.54,,,0.0,0.0,0.0,0.0,10-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
10-Apr-2018 - 00:00,,,,,,,,,,152.9,58.6,38.56,63.39,40.21,2.77,0.0,96.68,1.22,0.0,0.0,0.0,11-Apr-2018 - 00:00,"Pusa, Delhi - IMD"
