from date,CH4,PM2.5,RH,SR,VWS,WD,WS,CO,NH3,NOx,NO,NO2,SO2,to date,BP,THC,station
13-Feb-2018 - 00:00,535.99,110.4,85.38,,0.22,120.06,1.16,0.75,100.26,15.25,9.81,21.64,7.26,14-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
14-Feb-2018 - 00:00,775.45,66.2,86.21,,0.23,77.15,1.31,0.64,109.46,16.43,8.39,25.11,5.84,15-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
15-Feb-2018 - 00:00,736.36,76.27,86.69,,0.23,90.63,1.29,0.56,93.2,17.61,9.15,26.08,13.07,16-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
16-Feb-2018 - 00:00,653.06,69.64,84.99,,0.23,132.89,1.04,0.62,116.57,14.39,9.99,20.83,14.11,17-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
17-Feb-2018 - 00:00,511.09,70.92,85.12,,0.23,141.37,0.79,0.61,110.8,14.22,10.14,19.04,13.19,18-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
18-Feb-2018 - 00:00,513.14,102.33,77.14,,0.22,136.11,0.81,0.58,109.53,14.93,11.31,19.03,13.5,19-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
19-Feb-2018 - 00:00,539.3,87.67,77.12,,0.23,142.04,0.82,0.64,97.14,16.44,11.57,20.13,14.47,20-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
20-Feb-2018 - 00:00,588.33,80.99,76.96,,0.23,136.31,0.95,0.62,107.89,17.88,9.53,26.26,13.91,21-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
21-Feb-2018 - 00:00,553.51,80.22,78.68,,0.23,133.79,0.96,0.56,99.51,17.75,9.57,26.23,14.31,22-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
22-Feb-2018 - 00:00,537.9,74.54,79.71,,0.23,127.6,1.01,0.59,98.32,19.71,13.19,23.99,14.55,23-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
23-Feb-2018 - 00:00,576.35,62.59,73.45,,0.22,122.06,0.99,0.58,91.99,21.17,14.53,25.23,13.09,24-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
24-Feb-2018 - 00:00,696.75,67.24,77.02,,0.23,118.1,1.1,0.59,113.12,15.57,10.82,19.3,14.64,25-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
25-Feb-2018 - 00:00,675.96,37.1,81.69,,0.23,147.18,1.26,0.61,94.92,18.26,15.4,17.69,14.11,26-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
26-Feb-2018 - 00:00,669.63,58.07,76.16,,0.23,134.99,1.23,0.61,101.39,21.62,18.1,20.29,14.99,27-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
27-Feb-2018 - 00:00,468.99,94.54,78.29,,0.22,114.6,1.08,0.73,111.66,21.0,15.07,23.91,13.9,28-Feb-2018 - 00:00,,,"Manali, Chennai - CPCB"
28-Feb-2018 - 00:00,594.66,134.54,80.31,,0.23,143.33,1.01,0.58,113.1,20.88,12.89,26.58,13.99,01-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
01-Mar-2018 - 00:00,418.23,156.65,81.82,,0.23,157.7,0.79,0.61,103.3,18.13,14.03,20.24,15.19,02-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
02-Mar-2018 - 00:00,316.19,65.95,74.82,,0.23,153.09,0.75,0.61,96.13,19.67,16.41,20.61,14.6,03-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
03-Mar-2018 - 00:00,290.33,57.55,67.47,,0.23,164.32,0.82,0.58,95.93,17.72,12.52,21.57,14.57,04-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
04-Mar-2018 - 00:00,482.24,75.74,71.47,,0.22,167.8,0.85,0.57,83.62,20.15,15.03,21.87,12.38,05-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
05-Mar-2018 - 00:00,409.44,54.43,75.14,,0.22,158.95,0.75,0.58,92.23,17.65,15.3,16.47,12.76,06-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
06-Mar-2018 - 00:00,519.42,59.0,81.43,,0.23,170.03,0.8,0.61,71.92,23.08,24.14,16.01,12.53,07-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
07-Mar-2018 - 00:00,375.61,93.54,74.36,,0.22,181.43,0.71,0.62,68.59,22.61,19.41,21.07,7.82,08-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
08-Mar-2018 - 00:00,416.8,106.06,81.29,,0.22,144.09,0.88,0.65,29.98,32.84,30.06,24.94,12.5,09-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
09-Mar-2018 - 00:00,590.78,73.13,84.13,,0.23,149.13,0.97,0.6,24.22,20.61,14.84,23.09,13.06,10-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
10-Mar-2018 - 00:00,524.71,79.88,85.69,,0.23,152.2,0.92,0.61,24.2,22.86,15.39,26.78,13.3,11-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
11-Mar-2018 - 00:00,598.18,80.91,80.94,,0.22,142.6,0.83,0.58,28.07,18.12,13.21,20.57,29.38,12-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
12-Mar-2018 - 00:00,330.89,214.52,87.53,,0.23,126.73,0.81,0.62,32.56,14.44,11.83,20.46,27.62,13-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
13-Mar-2018 - 00:00,0.0,44.53,95.63,,0.23,104.65,1.05,0.62,32.98,17.05,16.47,13.48,12.7,14-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
14-Mar-2018 - 00:00,135.6,34.36,90.19,,0.23,131.52,0.87,0.58,43.38,15.91,15.8,15.04,11.12,15-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
15-Mar-2018 - 00:00,0.0,37.43,89.24,,0.23,165.0,0.97,0.62,23.0,19.21,16.34,16.14,10.58,16-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
16-Mar-2018 - 00:00,320.55,33.14,88.51,,0.23,144.71,1.02,0.58,24.12,16.44,13.59,14.7,9.33,17-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
17-Mar-2018 - 00:00,533.31,52.39,97.22,,0.22,171.42,0.7,0.6,33.2,22.59,17.35,27.79,15.68,18-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
18-Mar-2018 - 00:00,0.0,55.72,80.96,,0.23,123.91,0.76,0.67,43.19,21.25,20.13,20.83,39.12,19-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
19-Mar-2018 - 00:00,411.64,56.11,79.82,,0.22,155.46,0.75,0.6,21.23,21.91,17.06,20.53,19.73,20-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
20-Mar-2018 - 00:00,412.66,86.93,83.72,,0.22,153.15,0.79,0.64,28.07,26.26,23.82,20.29,22.07,21-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
21-Mar-2018 - 00:00,332.32,64.55,85.66,,0.23,169.55,1.01,0.83,28.71,19.71,17.0,17.27,18.91,22-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
22-Mar-2018 - 00:00,478.93,45.97,82.78,,0.23,167.69,1.07,1.13,28.53,17.16,15.74,12.47,14.31,23-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
23-Mar-2018 - 00:00,0.0,75.66,88.58,,0.23,156.22,1.04,0.9,34.02,14.01,11.75,14.37,2.69,24-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
24-Mar-2018 - 00:00,0.0,103.66,87.2,,0.22,154.41,1.04,1.01,29.46,12.99,11.96,12.17,5.95,25-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
25-Mar-2018 - 00:00,0.0,76.48,83.79,,0.23,118.61,0.8,0.95,25.04,13.41,13.34,9.44,1.97,26-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
26-Mar-2018 - 00:00,0.0,68.77,82.72,,0.23,150.65,0.78,0.81,24.0,16.85,14.99,14.76,18.53,27-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
27-Mar-2018 - 00:00,223.45,82.04,87.37,,0.23,164.43,0.95,0.91,26.7,15.89,15.64,12.06,9.83,28-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
28-Mar-2018 - 00:00,357.54,31.63,86.25,,0.23,173.32,1.22,1.26,20.7,15.69,15.66,10.58,4.19,29-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
29-Mar-2018 - 00:00,500.66,24.0,83.52,,0.23,170.08,1.29,0.63,29.35,11.39,10.46,12.37,6.49,30-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
30-Mar-2018 - 00:00,679.42,50.68,85.06,,0.23,161.71,1.43,0.6,23.94,13.13,11.87,10.59,10.83,31-Mar-2018 - 00:00,,,"Manali, Chennai - CPCB"
31-Mar-2018 - 00:00,679.33,57.99,86.92,,0.23,151.34,1.35,0.61,17.41,13.37,11.98,10.85,11.32,01-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
01-Apr-2018 - 00:00,495.16,50.85,94.88,,0.23,138.83,0.95,0.55,20.74,13.62,13.07,9.72,11.87,02-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
02-Apr-2018 - 00:00,496.47,39.37,91.24,,0.23,137.05,0.97,0.62,30.02,11.71,10.1,13.69,8.75,03-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
03-Apr-2018 - 00:00,557.27,36.83,88.06,,0.23,129.04,0.93,0.61,30.34,14.42,14.03,11.78,8.77,04-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
04-Apr-2018 - 00:00,419.4,44.24,83.52,,0.22,146.2,0.88,0.64,24.68,15.23,14.02,12.76,8.46,05-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
05-Apr-2018 - 00:00,759.85,52.5,79.65,,0.23,124.35,0.91,0.61,29.78,14.19,12.64,12.86,11.23,06-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
06-Apr-2018 - 00:00,591.08,58.78,81.77,,0.23,149.45,0.93,0.6,23.34,14.95,12.07,14.09,8.24,07-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
07-Apr-2018 - 00:00,469.01,57.26,83.67,,0.22,139.36,0.9,0.62,20.68,14.75,13.89,11.92,5.83,08-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
08-Apr-2018 - 00:00,586.82,41.38,80.79,,0.22,124.62,1.05,0.67,28.47,19.33,19.72,12.15,19.04,09-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
09-Apr-2018 - 00:00,746.1,37.8,77.24,,0.22,92.27,0.82,0.61,164.88,13.78,38.09,7.56,52.81,10-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
10-Apr-2018 - 00:00,866.45,48.91,81.57,,0.22,75.12,0.97,0.8,19.09,13.16,13.22,8.58,60.11,11-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
11-Apr-2018 - 00:00,586.41,42.55,81.09,,0.22,108.96,0.91,0.92,38.25,13.04,12.24,9.8,36.24,12-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
12-Apr-2018 - 00:00,64.56,33.77,85.17,,0.22,130.27,0.96,0.84,59.22,11.63,10.98,8.85,7.95,13-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
13-Apr-2018 - 00:00,244.05,39.82,85.24,,0.23,128.8,0.94,0.91,56.06,13.91,11.23,13.04,5.8,14-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
14-Apr-2018 - 00:00,574.91,34.95,83.83,,0.23,145.03,1.04,0.95,56.71,13.36,10.91,12.41,4.68,15-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
15-Apr-2018 - 00:00,631.71,25.64,85.26,,0.23,134.99,0.97,0.91,42.98,13.17,10.8,12.18,4.73,16-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
16-Apr-2018 - 00:00,143.72,31.77,83.78,,0.22,131.23,0.88,0.84,43.59,13.3,10.79,12.48,4.04,17-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
17-Apr-2018 - 00:00,0.0,35.98,83.94,,0.23,146.84,1.05,0.96,35.52,13.38,10.88,12.48,2.83,18-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
18-Apr-2018 - 00:00,0.0,39.68,84.14,,0.23,158.98,1.1,0.86,27.42,13.57,11.23,12.36,3.66,19-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
19-Apr-2018 - 00:00,0.0,30.41,80.15,,0.23,174.15,1.44,0.96,38.81,13.27,10.7,12.53,2.86,20-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
20-Apr-2018 - 00:00,0.0,48.55,83.82,,0.23,166.66,1.57,0.83,25.61,13.41,11.04,12.32,4.1,21-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
21-Apr-2018 - 00:00,0.0,40.19,84.76,,0.23,162.66,1.39,0.9,36.01,13.02,10.46,12.42,3.97,22-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
22-Apr-2018 - 00:00,0.0,31.21,84.34,,0.23,166.86,1.37,0.89,28.55,13.18,10.62,12.48,3.17,23-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
23-Apr-2018 - 00:00,0.0,39.38,82.28,,0.23,155.34,1.25,0.85,29.57,13.34,10.97,12.27,3.12,24-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
24-Apr-2018 - 00:00,0.0,47.26,82.05,,0.23,159.45,1.37,0.92,29.35,20.13,13.8,14.18,4.39,25-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
25-Apr-2018 - 00:00,0.0,41.05,81.97,,0.23,159.22,1.2,0.93,40.85,20.34,21.43,11.56,2.86,26-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
26-Apr-2018 - 00:00,266.18,42.38,84.45,,0.23,154.77,1.22,0.86,55.84,20.01,18.9,14.91,5.62,27-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
27-Apr-2018 - 00:00,670.79,36.3,80.47,,0.23,146.54,1.18,0.91,71.74,22.83,15.05,25.32,6.47,28-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
28-Apr-2018 - 00:00,367.1,35.75,80.12,,0.23,154.6,0.96,0.84,72.22,25.25,15.44,29.53,4.8,29-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
29-Apr-2018 - 00:00,496.08,33.34,80.47,,0.23,161.84,1.28,0.83,82.68,22.68,12.71,28.46,4.05,30-Apr-2018 - 00:00,,,"Manali, Chennai - CPCB"
30-Apr-2018 - 00:00,725.9,37.93,77.7,,0.23,165.48,1.72,0.93,90.21,23.35,11.93,31.42,2.27,01-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
01-May-2018 - 00:00,769.09,41.55,82.99,,0.23,136.4,1.49,4.76,100.3,22.39,12.85,27.93,2.02,02-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
02-May-2018 - 00:00,562.52,59.13,75.38,,0.22,174.5,2.54,0.96,78.67,31.93,12.47,47.84,6.39,03-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
03-May-2018 - 00:00,787.69,43.81,83.44,,0.23,164.17,2.39,0.8,112.0,43.72,19.69,62.35,10.76,04-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
04-May-2018 - 00:00,619.02,98.18,77.88,,0.23,169.2,2.43,0.84,178.49,128.42,60.24,113.3,4.91,05-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
05-May-2018 - 00:00,379.57,31.43,79.92,,0.23,164.44,2.12,0.9,124.37,78.7,39.32,111.46,4.39,06-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
06-May-2018 - 00:00,236.33,38.02,80.85,,0.23,187.14,2.72,0.87,31.54,17.52,8.48,24.39,5.3,07-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
07-May-2018 - 00:00,722.44,48.74,81.87,,0.23,181.92,2.76,0.93,46.02,18.41,8.54,26.1,8.31,08-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
08-May-2018 - 00:00,762.52,26.54,77.27,,0.23,190.94,3.29,0.86,70.37,16.52,8.18,22.83,16.17,09-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
09-May-2018 - 00:00,0.0,45.69,98.28,,0.23,184.44,2.58,0.93,70.05,17.77,9.07,24.01,9.51,10-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
10-May-2018 - 00:00,0.0,27.91,79.79,,0.23,178.11,2.6,0.95,64.75,17.26,8.56,23.75,9.87,11-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
11-May-2018 - 00:00,0.0,30.06,79.84,,0.23,179.84,2.62,1.01,47.94,22.08,9.5,32.03,6.9,12-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
12-May-2018 - 00:00,0.0,25.31,80.52,,0.23,175.57,2.44,0.97,27.95,18.48,8.9,25.69,7.76,13-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
13-May-2018 - 00:00,0.0,26.29,81.62,,0.23,179.53,2.53,0.89,24.5,17.36,8.62,23.86,7.83,14-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
14-May-2018 - 00:00,0.0,27.87,83.07,,0.23,152.71,2.35,0.94,29.6,18.19,8.71,25.4,7.82,15-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
15-May-2018 - 00:00,330.27,25.38,79.43,,0.2,165.05,2.33,0.95,29.16,19.4,8.88,27.58,9.28,16-May-2018 - 00:00,968.05,,"Manali, Chennai - CPCB"
16-May-2018 - 00:00,520.26,27.36,79.38,,0.23,161.71,1.18,0.9,36.37,20.38,9.15,29.17,8.14,17-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
17-May-2018 - 00:00,476.48,29.51,78.27,,0.23,160.8,1.19,0.92,33.32,19.98,9.12,28.37,11.01,18-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
18-May-2018 - 00:00,697.64,48.96,79.09,,0.23,162.42,1.24,0.9,49.8,20.48,8.66,30.14,6.64,19-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
19-May-2018 - 00:00,764.19,31.11,78.88,,0.23,156.85,1.19,0.95,45.7,19.35,8.73,27.76,9.22,20-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
20-May-2018 - 00:00,358.83,35.54,82.54,,0.23,151.6,1.48,1.01,32.61,18.91,8.92,26.63,10.57,21-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
21-May-2018 - 00:00,245.79,34.63,83.46,,0.23,139.71,1.83,0.9,54.38,17.83,8.18,25.48,9.2,22-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
22-May-2018 - 00:00,611.39,47.26,78.8,,0.22,134.59,1.02,0.9,32.63,25.39,9.35,39.03,7.75,23-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
23-May-2018 - 00:00,152.72,38.62,82.96,,0.23,141.16,1.37,0.98,41.59,17.91,8.42,25.28,7.22,24-May-2018 - 00:00,,,"Manali, Chennai - CPCB"
