from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,RH,WS,WD,VWS,RF,SR,BP,to date,station
21-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
01-Feb-2018 - 00:00,49.67,3.12,51.65,28.36,16.88,1.55,35.38,97.56,190.16,8.09,48.94,1.05,285.27,0.08,0.0,146.19,996.0,02-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
02-Feb-2018 - 00:00,53.6,9.96,63.52,29.78,23.27,1.81,22.61,134.87,224.0,11.05,59.76,0.94,243.56,0.08,0.0,146.54,997.03,03-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
03-Feb-2018 - 00:00,59.35,16.21,75.49,31.66,28.82,2.27,24.19,174.78,247.54,19.76,61.11,0.72,245.76,0.08,0.0,141.47,997.98,04-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
04-Feb-2018 - 00:00,67.97,18.85,86.78,30.06,36.83,2.02,21.56,169.9,272.13,17.67,54.24,0.89,260.72,0.08,0.0,149.11,997.4,05-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
05-Feb-2018 - 00:00,47.74,5.57,53.17,30.61,25.27,1.51,32.23,119.13,209.79,10.08,54.2,0.88,244.56,0.08,0.0,145.49,,06-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
06-Feb-2018 - 00:00,46.19,6.28,52.4,26.95,21.22,1.35,29.5,95.34,164.44,7.04,43.5,0.98,247.84,0.08,0.0,147.46,999.05,07-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
07-Feb-2018 - 00:00,49.22,8.58,57.75,28.5,31.46,1.71,23.18,101.67,192.99,17.83,43.96,0.92,244.67,0.08,0.0,135.13,996.52,08-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
08-Feb-2018 - 00:00,46.02,4.74,50.68,27.39,30.68,1.48,18.93,84.93,160.04,1.44,42.77,1.06,254.62,0.08,0.0,153.1,996.05,09-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
09-Feb-2018 - 00:00,64.83,10.75,75.53,23.73,38.24,1.73,20.83,104.42,182.93,1.46,44.8,0.99,249.93,0.08,0.0,134.38,996.25,10-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
10-Feb-2018 - 00:00,44.71,2.84,47.44,21.17,30.9,1.33,30.21,81.83,157.38,0.96,34.96,1.25,293.22,0.07,0.0,122.3,999.72,11-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
11-Feb-2018 - 00:00,62.7,20.81,83.45,21.34,42.35,2.05,22.21,107.28,182.24,1.32,40.14,0.87,238.93,0.08,0.0,133.15,,12-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
12-Feb-2018 - 00:00,50.04,15.68,65.63,24.55,21.63,1.47,24.86,120.91,206.18,1.3,47.93,1.0,226.79,0.08,0.0,153.87,,13-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
13-Feb-2018 - 00:00,36.74,3.79,40.29,26.86,23.79,1.25,19.52,65.46,118.55,0.31,55.32,1.29,274.86,0.08,0.0,138.04,,14-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
14-Feb-2018 - 00:00,48.32,3.57,51.72,29.87,27.97,1.41,20.38,60.88,109.27,14.56,59.21,1.36,285.54,0.08,0.0,137.73,,15-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
15-Feb-2018 - 00:00,65.67,4.82,70.18,25.05,25.41,1.26,30.1,54.17,115.09,14.63,45.92,1.26,264.09,0.08,0.0,167.75,,16-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
16-Feb-2018 - 00:00,73.58,7.76,80.95,26.87,29.0,1.4,26.98,61.16,129.62,15.42,50.63,1.15,261.89,0.08,0.0,164.24,,17-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
17-Feb-2018 - 00:00,67.7,4.05,70.98,29.83,27.43,1.18,25.02,64.59,146.01,13.59,52.69,1.14,264.46,0.08,0.0,162.77,997.06,18-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
18-Feb-2018 - 00:00,100.63,18.24,118.85,30.82,31.52,1.81,22.46,84.0,195.0,39.48,46.64,1.03,232.07,0.07,0.0,154.31,996.46,19-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
19-Feb-2018 - 00:00,94.96,14.81,109.73,31.89,27.54,1.53,25.48,101.06,188.36,26.82,47.48,0.85,209.69,0.07,0.0,150.22,996.71,20-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
20-Feb-2018 - 00:00,55.32,3.96,59.21,39.55,20.26,1.23,30.75,76.43,157.48,13.09,52.55,0.93,165.01,0.07,0.0,144.63,996.75,21-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
21-Feb-2018 - 00:00,85.17,7.09,92.23,36.04,28.7,1.37,29.89,86.6,182.94,25.34,49.3,0.95,257.02,0.07,0.0,142.39,995.39,22-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
22-Feb-2018 - 00:00,121.16,25.57,145.04,37.67,26.14,1.66,18.17,108.91,215.99,30.47,57.05,0.78,223.92,0.07,0.0,127.96,995.15,23-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
23-Feb-2018 - 00:00,121.73,15.65,137.22,35.3,22.64,1.3,20.01,126.75,256.29,38.6,45.45,0.82,251.11,0.08,0.0,149.42,994.96,24-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
24-Feb-2018 - 00:00,80.91,6.53,87.43,37.64,13.65,1.44,23.54,91.61,178.03,19.43,45.46,0.85,235.66,0.08,0.0,157.08,997.11,25-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
25-Feb-2018 - 00:00,74.25,4.88,79.12,55.76,19.37,1.61,21.06,109.35,222.08,21.74,62.12,1.01,198.39,0.07,0.0,138.39,996.64,26-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
26-Feb-2018 - 00:00,61.53,4.73,66.23,42.64,15.3,1.12,27.34,60.09,132.72,13.78,47.56,1.5,266.03,0.08,0.03,173.91,995.46,27-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
27-Feb-2018 - 00:00,70.76,4.72,75.46,37.5,25.81,1.35,29.54,71.4,140.48,23.64,48.16,1.26,264.03,0.08,0.0,185.35,996.61,28-Feb-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
28-Feb-2018 - 00:00,72.98,5.42,78.38,42.71,22.7,1.37,28.67,80.21,148.2,25.97,58.2,0.98,268.46,0.08,0.0,164.17,996.41,01-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
01-Mar-2018 - 00:00,67.07,4.59,71.63,37.79,27.87,1.39,25.57,82.97,151.85,17.38,49.03,1.19,278.91,0.08,0.0,172.8,995.35,02-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
02-Mar-2018 - 00:00,65.48,5.55,71.02,35.21,25.66,1.55,22.97,75.91,146.74,17.38,40.38,1.14,279.32,0.08,0.0,179.87,993.27,03-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
03-Mar-2018 - 00:00,64.15,5.47,69.46,32.82,25.2,1.37,21.04,60.9,164.51,20.41,33.94,1.46,270.5,0.08,0.0,183.91,991.13,04-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
04-Mar-2018 - 00:00,70.68,6.4,77.06,31.89,26.2,1.48,21.31,69.72,152.59,16.95,32.31,1.05,250.45,0.08,0.0,179.64,992.37,05-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
05-Mar-2018 - 00:00,67.98,4.42,72.32,35.65,28.63,1.45,21.63,73.69,179.7,14.6,37.96,1.6,281.13,0.08,0.0,139.44,994.98,06-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
06-Mar-2018 - 00:00,61.14,2.37,63.2,33.47,31.84,1.34,25.82,57.19,123.26,12.08,37.29,1.48,290.53,0.08,0.0,171.24,995.18,07-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
07-Mar-2018 - 00:00,81.33,4.99,86.06,26.49,42.91,0.59,23.67,39.38,117.8,18.04,22.73,1.14,244.8,0.08,0.0,177.32,996.35,08-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
08-Mar-2018 - 00:00,100.75,8.52,109.0,29.06,21.39,1.4,21.49,76.01,186.82,25.04,35.38,0.84,214.11,0.08,0.0,180.61,997.6,09-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
09-Mar-2018 - 00:00,81.13,2.34,83.29,31.08,17.43,1.12,21.65,69.76,139.26,25.98,34.29,1.01,269.99,0.08,0.0,175.52,996.31,10-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
10-Mar-2018 - 00:00,75.57,2.0,77.27,26.86,21.16,1.32,16.9,63.87,149.14,18.13,30.62,1.36,261.02,0.07,0.0,185.04,995.99,11-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
11-Mar-2018 - 00:00,86.61,8.58,95.1,25.8,21.0,1.57,13.75,60.68,138.15,21.0,28.57,1.22,261.12,0.07,0.0,181.64,995.92,12-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
12-Mar-2018 - 00:00,101.43,15.06,116.37,28.16,29.9,1.63,15.69,98.19,197.58,28.57,31.24,1.01,261.56,0.07,0.0,157.32,995.18,13-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
13-Mar-2018 - 00:00,92.42,6.87,98.95,29.82,20.38,1.41,14.1,86.02,198.88,21.35,31.97,1.2,253.82,0.06,0.0,182.02,994.59,14-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
14-Mar-2018 - 00:00,101.38,13.89,115.03,27.42,21.88,1.65,12.7,67.56,189.53,35.74,29.75,1.15,263.69,0.06,0.0,185.52,993.53,15-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
15-Mar-2018 - 00:00,92.4,9.05,101.26,45.76,19.93,1.52,13.07,100.9,211.74,23.23,48.03,0.93,166.72,0.07,0.0,131.46,993.13,16-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
16-Mar-2018 - 00:00,56.77,3.23,59.57,43.02,28.51,1.32,28.18,62.34,126.67,10.5,40.17,1.37,250.72,0.07,0.0,153.39,992.33,17-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
17-Mar-2018 - 00:00,57.63,1.75,59.13,36.42,25.37,1.28,24.1,54.74,119.67,8.88,45.7,1.17,262.71,0.08,0.0,170.09,993.59,18-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
18-Mar-2018 - 00:00,77.58,2.43,79.82,29.34,28.07,1.37,19.53,82.25,152.98,15.11,37.07,1.27,272.96,0.08,0.0,174.69,995.6,19-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
19-Mar-2018 - 00:00,94.77,6.92,101.48,23.93,25.7,1.42,32.88,193.48,159.04,30.56,24.68,1.07,265.78,0.08,0.0,186.93,997.1,20-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
20-Mar-2018 - 00:00,98.31,8.61,106.71,24.92,25.81,1.53,26.97,158.55,183.49,21.88,24.13,1.23,281.32,0.08,0.0,189.19,994.45,21-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
21-Mar-2018 - 00:00,79.08,3.23,82.02,30.44,23.77,1.12,30.87,81.01,191.35,17.92,29.32,0.96,216.57,0.08,0.0,168.08,993.41,22-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
22-Mar-2018 - 00:00,66.61,1.79,68.06,40.54,28.47,1.49,33.44,98.8,197.34,19.44,39.29,0.72,145.06,0.07,0.0,155.0,990.79,23-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
23-Mar-2018 - 00:00,56.48,2.75,59.09,45.65,14.86,1.35,30.21,76.6,151.88,11.98,49.96,0.71,167.31,0.07,0.0,162.9,991.65,24-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
24-Mar-2018 - 00:00,40.78,3.37,44.09,57.35,7.91,1.14,22.55,78.78,134.98,7.11,61.15,0.73,145.53,0.07,0.0,162.48,995.13,25-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
25-Mar-2018 - 00:00,59.88,3.61,63.46,48.18,12.63,1.28,33.46,70.45,130.41,17.17,64.12,0.76,170.3,0.06,0.03,158.41,996.82,26-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
26-Mar-2018 - 00:00,82.84,9.13,92.03,31.13,11.96,1.49,57.26,66.81,131.99,14.56,42.33,1.16,267.84,0.07,0.0,196.33,995.19,27-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
27-Mar-2018 - 00:00,73.68,5.44,75.54,30.96,23.18,1.25,85.14,76.23,174.6,11.91,34.92,1.17,231.0,0.07,0.0,189.43,993.54,28-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
28-Mar-2018 - 00:00,65.75,3.36,69.04,44.65,14.66,1.42,34.06,102.02,189.18,18.14,52.55,0.88,175.3,0.07,0.0,179.91,992.64,29-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
29-Mar-2018 - 00:00,37.97,3.98,41.93,50.43,7.79,1.0,33.2,54.06,107.0,6.78,56.57,0.83,187.13,0.08,0.0,195.73,991.82,30-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
30-Mar-2018 - 00:00,27.75,3.06,30.74,49.08,5.4,1.01,28.38,27.38,90.45,5.69,62.37,0.9,137.86,0.08,0.0,204.76,991.36,31-Mar-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
31-Mar-2018 - 00:00,31.77,3.17,34.9,37.99,8.1,1.06,25.42,32.96,81.52,7.17,67.75,0.96,56.95,0.08,0.0,158.35,993.53,01-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
01-Apr-2018 - 00:00,37.62,3.25,40.72,34.68,10.56,1.09,30.51,43.38,82.92,7.29,71.0,1.07,109.88,0.07,0.41,176.81,994.77,02-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
02-Apr-2018 - 00:00,59.23,3.79,62.99,26.77,9.75,1.19,29.8,39.01,64.82,8.84,66.08,0.97,164.55,0.0,0.0,169.8,995.52,03-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
03-Apr-2018 - 00:00,57.92,6.86,64.75,30.62,4.85,0.97,29.11,42.16,85.67,16.22,66.25,0.78,154.14,0.04,0.0,212.04,993.87,04-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
04-Apr-2018 - 00:00,29.1,3.43,32.5,38.91,1.85,1.02,17.78,30.04,62.2,6.08,68.43,0.76,173.26,0.07,0.0,219.07,991.87,05-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
05-Apr-2018 - 00:00,27.56,3.44,30.97,36.92,3.82,1.01,40.86,22.48,59.57,13.07,67.24,0.89,124.51,0.07,0.0,206.62,990.46,06-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
06-Apr-2018 - 00:00,39.34,3.67,43.16,36.65,11.32,1.14,37.97,42.91,82.08,7.18,72.63,0.86,48.25,0.07,0.0,167.12,992.03,07-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
07-Apr-2018 - 00:00,32.57,3.61,36.06,37.7,5.54,1.1,35.73,46.34,83.08,19.58,80.77,0.98,82.03,0.06,0.77,159.7,994.43,08-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
08-Apr-2018 - 00:00,33.05,3.35,36.39,31.22,6.15,1.1,40.18,35.57,61.52,6.95,68.32,0.9,178.09,0.0,0.0,213.47,995.43,09-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
09-Apr-2018 - 00:00,28.87,3.45,32.28,33.97,2.97,1.05,28.54,29.44,53.14,5.35,76.28,0.9,167.99,-0.0,0.31,202.46,995.22,10-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
10-Apr-2018 - 00:00,37.34,3.61,40.93,30.37,4.69,1.13,26.81,31.28,62.62,5.72,76.24,0.84,199.01,-0.0,0.0,149.73,993.87,11-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
11-Apr-2018 - 00:00,45.14,5.25,50.28,29.47,9.35,1.42,27.54,41.38,83.66,14.39,68.34,0.88,188.11,0.01,0.03,198.93,992.82,12-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
12-Apr-2018 - 00:00,35.64,7.36,42.95,29.97,7.82,1.23,41.3,38.62,73.28,6.27,70.99,1.02,209.19,0.07,0.06,196.89,992.61,13-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
13-Apr-2018 - 00:00,26.96,10.13,37.07,30.78,8.87,1.17,52.43,45.72,70.38,5.87,64.31,0.94,194.55,0.07,0.0,223.04,992.62,14-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
14-Apr-2018 - 00:00,32.33,5.78,38.11,32.2,11.63,1.22,60.82,58.72,83.77,6.67,56.97,1.13,234.48,0.07,0.0,217.03,991.3,15-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
15-Apr-2018 - 00:00,47.36,6.37,53.72,23.19,15.92,1.18,69.17,46.61,73.19,7.47,41.89,1.31,245.52,0.07,0.0,223.8,991.82,16-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
16-Apr-2018 - 00:00,54.11,6.84,60.95,30.73,6.47,1.29,47.25,82.98,135.99,14.01,60.84,0.76,151.5,0.07,0.0,204.55,992.32,17-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
17-Apr-2018 - 00:00,32.6,6.02,38.61,36.63,5.91,1.07,43.47,74.88,117.52,4.86,62.59,0.84,167.22,0.07,0.0,202.04,991.86,18-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
18-Apr-2018 - 00:00,22.73,5.92,28.65,34.92,5.88,1.1,37.26,48.03,71.1,13.02,66.83,0.83,161.29,0.07,0.0,208.24,991.09,19-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
19-Apr-2018 - 00:00,42.22,6.18,48.38,26.76,7.79,1.01,55.32,64.89,109.75,7.87,49.38,0.97,214.99,0.07,0.0,207.17,988.82,20-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
20-Apr-2018 - 00:00,21.87,6.19,27.85,36.13,3.95,1.04,37.15,58.7,85.75,4.43,61.94,0.78,177.47,0.06,0.0,218.83,988.77,21-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
21-Apr-2018 - 00:00,20.36,5.91,26.32,36.92,4.59,1.11,39.91,46.18,95.64,5.07,66.45,0.87,166.22,0.07,0.0,212.11,988.61,22-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
22-Apr-2018 - 00:00,33.16,6.17,39.33,32.82,6.16,1.3,37.01,68.97,103.83,6.32,64.89,0.78,163.12,0.07,0.0,163.66,990.92,23-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
23-Apr-2018 - 00:00,33.51,6.33,39.85,28.32,5.09,1.08,50.98,68.31,116.15,5.82,51.33,1.07,227.83,0.06,0.0,213.49,991.88,24-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
24-Apr-2018 - 00:00,34.97,6.01,40.98,24.94,8.34,1.16,35.68,88.49,125.8,5.61,44.62,0.93,215.77,0.06,0.0,208.59,991.08,25-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
25-Apr-2018 - 00:00,35.51,5.93,41.43,28.18,9.71,1.3,31.46,90.44,131.52,13.44,55.1,0.8,155.85,0.06,0.0,202.29,989.46,26-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
26-Apr-2018 - 00:00,26.49,5.77,32.26,30.85,3.72,1.01,22.98,58.43,98.76,6.48,69.82,0.94,105.46,0.06,0.04,177.14,990.44,27-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
27-Apr-2018 - 00:00,37.5,6.09,43.6,26.29,8.29,1.02,41.38,44.58,70.21,7.82,65.5,0.71,155.34,0.0,0.0,223.06,992.85,28-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
28-Apr-2018 - 00:00,36.14,5.83,41.97,23.97,11.92,0.94,52.48,47.74,69.79,8.35,57.09,0.8,147.64,0.03,0.01,216.29,991.99,29-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
29-Apr-2018 - 00:00,21.3,5.88,27.18,29.6,4.28,1.06,34.77,46.4,72.29,6.6,71.54,0.71,98.41,0.06,0.0,209.79,989.53,30-Apr-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
30-Apr-2018 - 00:00,21.51,5.93,27.44,28.47,3.77,1.03,21.5,28.37,51.72,6.79,88.03,0.99,90.49,0.06,1.32,83.46,989.46,01-May-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
01-May-2018 - 00:00,,,,,,0.7,97.35,57.52,73.13,14.75,71.72,0.75,63.68,0.06,0.0,201.08,990.94,02-May-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
02-May-2018 - 00:00,34.09,6.01,40.1,28.37,5.84,1.08,86.14,46.73,68.15,6.79,72.21,0.75,99.48,0.06,0.0,190.99,991.87,03-May-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
03-May-2018 - 00:00,31.51,5.94,37.45,27.49,8.48,1.13,49.95,41.4,59.78,13.99,70.97,0.71,103.33,0.06,0.0,210.28,993.56,04-May-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
04-May-2018 - 00:00,31.51,5.73,37.24,28.82,5.9,1.14,47.85,52.88,73.33,6.26,71.02,0.76,133.32,0.06,0.0,210.49,991.76,05-May-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
05-May-2018 - 00:00,21.87,5.96,27.83,30.58,3.2,1.21,39.66,49.75,72.15,13.36,69.64,0.73,118.03,0.06,0.0,233.64,990.4,06-May-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
06-May-2018 - 00:00,19.19,5.86,25.05,30.03,2.96,1.1,37.94,50.3,75.05,5.64,64.0,0.75,190.17,0.06,0.0,223.17,989.96,07-May-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
07-May-2018 - 00:00,36.47,5.93,42.39,27.21,5.46,1.35,51.54,61.69,93.68,6.12,60.42,0.82,174.19,0.07,0.0,213.69,987.74,08-May-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
08-May-2018 - 00:00,35.81,6.26,42.07,26.33,4.24,1.33,45.26,66.86,101.28,12.13,60.98,0.74,152.34,0.07,0.0,214.45,987.24,09-May-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
09-May-2018 - 00:00,21.98,6.06,28.04,26.19,0.73,1.23,30.47,65.59,93.83,4.39,65.32,0.94,191.56,0.07,0.0,222.43,989.36,10-May-2018 - 00:00,"Asansol Court Area, Asansol - WBPCB"
