from date,NO2,SO2,CO,Ozone,PM2.5,PM10,NH3,Benzene,RH,SR,WS,WD,RF,to date,station
18-Jan-2018 - 00:00,,,,,,,,,,,,,,19-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
19-Jan-2018 - 00:00,,,,,,,,,,,,,,20-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
20-Jan-2018 - 00:00,,,,,,,,,,,,,,21-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
21-Jan-2018 - 00:00,,,,,,,,,,,,,,22-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
22-Jan-2018 - 00:00,,,,,,,,,,,,,,23-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
23-Jan-2018 - 00:00,,,,,,,,,,,,,,24-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
24-Jan-2018 - 00:00,,,,,,,,,,,,,,25-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
25-Jan-2018 - 00:00,,,,,,,,,,,,,,26-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
26-Jan-2018 - 00:00,,,,,,,,,,,,,,27-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
27-Jan-2018 - 00:00,,,,,,,,,,,,,,28-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
28-Jan-2018 - 00:00,,,,,,,,,,,,,,29-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
29-Jan-2018 - 00:00,,,,,,,,,,,,,,30-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
30-Jan-2018 - 00:00,,,,,,,,,,,,,,31-Jan-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
31-Jan-2018 - 00:00,,,,,,,,,,,,,,01-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
01-Feb-2018 - 00:00,,,,,,,,,,,,,,02-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
02-Feb-2018 - 00:00,,,,,,,,,,,,,,03-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
03-Feb-2018 - 00:00,,,,,,,,,,,,,,04-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
04-Feb-2018 - 00:00,,,,,,,,,,,,,,05-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
05-Feb-2018 - 00:00,,,,,,,,,,,,,,06-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
06-Feb-2018 - 00:00,,,,,,,,,,,,,,07-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
07-Feb-2018 - 00:00,,,,,,,,,,,,,,08-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
08-Feb-2018 - 00:00,,,,,,,,,,,,,,09-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
09-Feb-2018 - 00:00,,,,,,,,,,,,,,10-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
10-Feb-2018 - 00:00,,,,,,,,,,,,,,11-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
11-Feb-2018 - 00:00,,,,,,,,,,,,,,12-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
12-Feb-2018 - 00:00,,,,,,,,,,,,,,13-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
13-Feb-2018 - 00:00,,,,,,,,,,,,,,14-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
14-Feb-2018 - 00:00,,,,,,,,,,,,,,15-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
15-Feb-2018 - 00:00,,,,,,,,,,,,,,16-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
16-Feb-2018 - 00:00,,,,,,,,,,,,,,17-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
17-Feb-2018 - 00:00,,,,,,,,,,,,,,18-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
18-Feb-2018 - 00:00,,,,,,,,,,,,,,19-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
19-Feb-2018 - 00:00,,,,,,,,,,,,,,20-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
20-Feb-2018 - 00:00,,,,,,,,,,,,,,21-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
21-Feb-2018 - 00:00,,,,,,,,,,,,,,22-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
22-Feb-2018 - 00:00,,,,,,,,,,,,,,23-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
23-Feb-2018 - 00:00,,,,,,,,,,,,,,24-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
24-Feb-2018 - 00:00,,,,,,,,,,,,,,25-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
25-Feb-2018 - 00:00,,,,,,,,,,,,,,26-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
26-Feb-2018 - 00:00,,,,,,,,,,,,,,27-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
27-Feb-2018 - 00:00,,,,,,,,,,,,,,28-Feb-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
28-Feb-2018 - 00:00,,,,,,,,,,,,,,01-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
01-Mar-2018 - 00:00,,,,,,,,,,,,,,02-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
02-Mar-2018 - 00:00,,,,,,,,,,,,,,03-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
03-Mar-2018 - 00:00,,,,,,,,,,,,,,04-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
04-Mar-2018 - 00:00,,,,,,,,,,,,,,05-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
05-Mar-2018 - 00:00,,,,,,,,,,,,,,06-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
06-Mar-2018 - 00:00,,,,,,,,,,,,,,07-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
07-Mar-2018 - 00:00,,,,,,,,,,,,,,08-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
08-Mar-2018 - 00:00,,,,,,,,,,,,,,09-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
09-Mar-2018 - 00:00,,,,,,,,,,,,,,10-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
10-Mar-2018 - 00:00,,,,,,,,,,,,,,11-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
11-Mar-2018 - 00:00,,,,,,,,,,,,,,12-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
12-Mar-2018 - 00:00,,,,,,,,,,,,,,13-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
13-Mar-2018 - 00:00,,,,,,,,,,,,,,14-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
14-Mar-2018 - 00:00,,,,,,,,,,,,,,15-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
15-Mar-2018 - 00:00,,,,,,,,,,,,,,16-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
16-Mar-2018 - 00:00,,,,,,,,,,,,,,17-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
17-Mar-2018 - 00:00,,,,,,,,,,,,,,18-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
18-Mar-2018 - 00:00,,,,,,,,,,,,,,19-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
19-Mar-2018 - 00:00,,,,,,,,,,,,,,20-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
20-Mar-2018 - 00:00,,,,,,,,,,,,,,21-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
21-Mar-2018 - 00:00,,,,,,,,,,,,,,22-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
22-Mar-2018 - 00:00,,,,,,,,,,,,,,23-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
23-Mar-2018 - 00:00,,,,,,,,,,,,,,24-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
24-Mar-2018 - 00:00,,,,,,,,,,,,,,25-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
25-Mar-2018 - 00:00,,,,,,,,,,,,,,26-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
26-Mar-2018 - 00:00,,,,,,,,,,,,,,27-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
27-Mar-2018 - 00:00,,,,,,,,,,,,,,28-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
28-Mar-2018 - 00:00,,,,,,,,,,,,,,29-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
29-Mar-2018 - 00:00,,,,,,,,,,,,,,30-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
30-Mar-2018 - 00:00,,,,,,,,,,,,,,31-Mar-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
31-Mar-2018 - 00:00,,,,,,,,,,,,,,01-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
01-Apr-2018 - 00:00,,,,,,,,,,,,,,02-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
02-Apr-2018 - 00:00,,,,,,,,,,,,,,03-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
03-Apr-2018 - 00:00,,,,,,,,,,,,,,04-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
04-Apr-2018 - 00:00,,,,,,,,,,,,,,05-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
05-Apr-2018 - 00:00,,,,,,,,,,,,,,06-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
06-Apr-2018 - 00:00,,,,,,,,,,,,,,07-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
07-Apr-2018 - 00:00,,,,,,,,,,,,,,08-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
08-Apr-2018 - 00:00,,,,,,,,,,,,,,09-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
09-Apr-2018 - 00:00,,,,,,,,,,,,,,10-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
10-Apr-2018 - 00:00,,,,,,,,,,,,,,11-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
11-Apr-2018 - 00:00,,,,,,,,,,,,,,12-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
12-Apr-2018 - 00:00,,,,,,,,,,,,,,13-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
13-Apr-2018 - 00:00,,,,,,,,,,,,,,14-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
14-Apr-2018 - 00:00,,,,,,,,,,,,,,15-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
15-Apr-2018 - 00:00,,,,,,,,,,,,,,16-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
16-Apr-2018 - 00:00,12.27,13.59,0.73,24.69,45.79,169.91,36.63,3.52,32.79,132.54,0.5,127.36,0.0,17-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
17-Apr-2018 - 00:00,9.69,62.25,0.33,42.24,33.89,96.86,19.45,2.34,35.51,365.61,1.9,272.32,0.0,18-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
18-Apr-2018 - 00:00,5.17,28.97,0.61,27.86,35.87,138.27,20.62,3.66,36.39,301.54,2.45,306.07,0.0,19-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
19-Apr-2018 - 00:00,5.81,41.77,0.6,50.62,45.5,137.47,14.38,2.24,35.48,315.13,0.96,250.19,0.0,20-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
20-Apr-2018 - 00:00,5.87,,0.5,6.41,35.91,151.79,23.43,2.47,46.56,216.04,1.09,127.87,0.0,21-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
21-Apr-2018 - 00:00,,29.8,3.49,,45.83,451.0,,,40.67,90.09,1.76,318.02,0.0,22-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
22-Apr-2018 - 00:00,,39.43,0.48,,34.07,100.85,,,32.07,358.9,2.05,309.19,0.0,23-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
23-Apr-2018 - 00:00,,,,,,,,,25.13,354.46,2.19,304.77,0.0,24-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
24-Apr-2018 - 00:00,34.29,45.69,0.66,74.18,45.04,112.69,21.67,2.06,23.64,358.39,1.28,281.56,0.0,25-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
25-Apr-2018 - 00:00,18.56,49.8,0.85,59.38,55.34,152.36,23.13,0.77,26.23,338.93,0.79,218.08,,26-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
26-Apr-2018 - 00:00,33.67,23.36,0.98,13.51,58.53,175.57,2.06,3.06,27.11,228.52,0.7,192.09,,27-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
27-Apr-2018 - 00:00,19.21,28.27,0.81,37.96,55.34,191.59,0.65,4.79,36.17,339.02,1.72,162.38,,28-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
28-Apr-2018 - 00:00,20.13,27.97,0.6,61.46,38.52,135.48,0.49,5.05,34.96,340.25,1.54,131.77,,29-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
29-Apr-2018 - 00:00,,,0.75,53.63,35.27,124.16,,,35.76,340.69,0.99,202.72,,30-Apr-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
30-Apr-2018 - 00:00,23.9,26.6,0.84,58.74,49.69,162.52,1.13,3.96,34.34,354.86,1.35,161.23,,01-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
01-May-2018 - 00:00,13.82,13.46,0.68,62.89,35.7,128.12,0.71,5.41,41.0,358.96,2.36,139.98,,02-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
02-May-2018 - 00:00,8.7,17.4,0.79,34.78,42.83,135.73,4.05,4.25,57.27,251.08,1.9,131.62,,03-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
03-May-2018 - 00:00,0.46,40.48,0.58,26.59,30.17,77.4,3.46,4.88,54.35,362.16,1.98,157.21,,04-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
04-May-2018 - 00:00,19.6,1.32,0.61,40.88,24.35,77.33,2.22,4.4,46.93,373.0,1.28,185.97,,05-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
05-May-2018 - 00:00,23.69,1.17,0.82,44.83,52.13,157.99,0.7,6.13,40.19,363.71,1.29,231.61,,06-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
06-May-2018 - 00:00,,,0.89,23.16,34.0,105.1,,,48.58,257.66,1.37,257.89,,07-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
07-May-2018 - 00:00,0.28,6.27,0.64,48.73,29.67,81.89,4.81,2.8,42.05,353.6,2.08,298.39,,08-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
08-May-2018 - 00:00,,90.51,0.59,40.48,23.26,63.38,5.57,0.0,46.73,339.52,1.09,135.12,,09-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
09-May-2018 - 00:00,,,0.9,24.58,38.26,110.85,,,49.85,197.12,0.71,250.78,,10-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
10-May-2018 - 00:00,,,1.09,52.46,53.54,153.75,,,35.1,346.8,1.1,214.74,,11-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
11-May-2018 - 00:00,3.88,10.92,1.27,49.93,71.46,172.53,10.94,2.36,32.09,369.51,1.35,311.31,,12-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
12-May-2018 - 00:00,3.88,3.93,1.21,8.89,75.21,174.58,12.53,6.72,39.19,320.61,1.51,164.76,,13-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
13-May-2018 - 00:00,,,0.48,8.48,35.24,95.88,,,43.98,355.23,2.31,202.72,,14-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
14-May-2018 - 00:00,3.49,10.36,0.57,7.16,30.56,78.08,13.08,2.87,51.85,302.01,1.12,161.1,0.0,15-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
15-May-2018 - 00:00,3.62,2.16,0.64,7.77,,118.95,13.82,4.71,47.38,343.69,1.29,211.06,0.0,16-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
16-May-2018 - 00:00,3.6,22.56,0.71,12.27,,186.23,14.07,1.37,36.45,366.79,1.95,288.06,0.0,17-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
17-May-2018 - 00:00,3.73,12.06,1.1,8.46,68.92,197.52,12.95,2.14,32.41,316.11,1.68,292.8,0.0,18-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
18-May-2018 - 00:00,4.17,11.2,0.94,8.87,63.38,180.43,10.19,5.29,34.35,312.9,0.71,237.6,0.0,19-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
19-May-2018 - 00:00,4.42,7.69,0.88,9.05,55.71,182.82,10.67,4.52,33.23,340.29,1.62,278.68,0.0,20-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
20-May-2018 - 00:00,4.47,8.05,0.74,10.4,38.58,125.71,10.22,4.17,22.69,401.79,1.86,301.47,0.0,21-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
21-May-2018 - 00:00,4.44,8.18,0.78,9.84,39.54,135.78,9.94,3.95,18.63,363.39,2.24,317.39,0.0,22-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
22-May-2018 - 00:00,16.18,12.69,0.91,14.09,41.14,137.21,10.99,4.19,17.15,356.04,2.13,314.99,0.0,23-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
23-May-2018 - 00:00,44.65,18.72,1.1,17.9,49.88,163.3,6.74,1.36,20.04,343.83,1.67,293.18,0.0,24-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
24-May-2018 - 00:00,46.99,14.47,1.01,15.91,34.98,116.85,2.56,2.83,15.17,393.95,1.95,313.17,0.0,25-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
25-May-2018 - 00:00,58.11,14.53,1.1,,41.04,129.1,4.95,1.11,16.79,382.6,1.53,274.88,0.0,26-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
26-May-2018 - 00:00,61.23,34.31,1.15,11.64,41.52,125.46,2.27,2.82,20.88,342.79,0.63,254.71,0.0,27-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
27-May-2018 - 00:00,51.76,32.68,1.1,15.38,46.75,163.75,1.73,1.32,20.11,304.17,1.16,188.46,0.0,28-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
28-May-2018 - 00:00,56.11,19.18,0.97,13.31,49.68,165.86,1.35,1.89,23.53,372.75,1.23,215.11,0.0,29-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
29-May-2018 - 00:00,43.21,12.24,0.8,14.55,44.79,134.41,4.46,1.22,30.56,317.76,1.23,141.41,0.0,30-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
30-May-2018 - 00:00,53.65,40.41,0.72,13.57,49.83,153.69,27.3,3.13,38.68,354.84,1.98,143.26,0.0,31-May-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
31-May-2018 - 00:00,51.72,56.63,0.52,14.74,42.04,121.5,42.27,4.91,40.75,361.39,1.65,142.13,0.0,01-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
01-Jun-2018 - 00:00,41.13,39.32,0.75,10.55,46.38,179.38,37.99,4.38,51.56,242.98,1.79,144.67,0.0,02-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
02-Jun-2018 - 00:00,24.86,45.56,0.52,15.14,29.32,78.65,22.71,4.04,50.95,348.59,2.11,141.08,0.0,03-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
03-Jun-2018 - 00:00,,48.24,0.54,12.73,35.53,83.74,,4.42,47.41,419.72,1.87,142.07,0.0,04-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
04-Jun-2018 - 00:00,,68.24,0.55,14.29,42.4,122.65,,4.6,49.62,369.53,1.9,142.13,0.0,05-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
05-Jun-2018 - 00:00,23.45,43.19,0.47,11.14,43.68,106.77,27.04,4.08,47.99,349.44,2.14,140.57,0.0,06-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
06-Jun-2018 - 00:00,15.31,23.71,0.9,7.98,39.34,107.71,15.24,2.43,58.3,397.07,1.33,184.64,0.0,07-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
07-Jun-2018 - 00:00,10.99,13.77,0.78,3.1,40.79,98.12,20.97,5.42,55.86,378.47,0.63,148.27,0.0,08-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
08-Jun-2018 - 00:00,7.92,4.31,0.55,4.28,42.08,111.67,13.02,6.16,53.28,355.79,1.49,132.55,0.0,09-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
09-Jun-2018 - 00:00,6.82,4.55,0.55,0.49,26.49,64.76,9.86,5.0,77.95,284.03,1.68,190.42,0.0,10-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
10-Jun-2018 - 00:00,6.67,6.48,0.55,1.26,35.68,76.55,11.53,6.28,67.93,391.47,0.78,218.26,0.0,11-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
11-Jun-2018 - 00:00,6.33,6.88,0.4,13.6,42.29,105.65,10.77,5.24,54.25,381.47,1.55,240.67,0.0,12-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
12-Jun-2018 - 00:00,6.28,6.71,0.21,35.86,43.37,117.18,10.85,5.44,43.45,383.76,1.0,237.39,0.0,13-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
13-Jun-2018 - 00:00,6.35,7.27,0.23,16.84,148.3,436.88,10.94,5.67,39.25,297.05,0.69,231.97,0.0,14-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
14-Jun-2018 - 00:00,6.2,7.63,0.2,9.45,284.81,910.92,10.43,4.5,40.75,321.17,0.64,212.09,0.0,15-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
15-Jun-2018 - 00:00,6.22,8.22,0.22,5.4,418.61,652.35,10.45,4.61,47.41,223.82,0.73,158.66,0.0,16-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
16-Jun-2018 - 00:00,6.36,8.84,0.23,5.72,75.75,192.37,10.3,3.54,77.09,237.93,1.87,148.65,0.0,17-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
17-Jun-2018 - 00:00,17.58,7.55,0.21,9.51,32.56,77.32,10.06,3.96,79.78,271.27,0.97,174.93,0.0,18-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
18-Jun-2018 - 00:00,20.25,5.99,0.2,11.78,35.21,87.79,9.65,5.39,77.66,273.77,0.73,218.47,0.0,19-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
19-Jun-2018 - 00:00,19.12,5.56,0.21,15.15,40.41,87.18,8.65,5.14,65.1,402.68,1.1,288.97,0.0,20-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
20-Jun-2018 - 00:00,19.15,9.02,0.25,16.91,43.16,98.46,8.46,4.73,54.0,410.17,0.78,238.14,0.0,21-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
21-Jun-2018 - 00:00,19.5,4.42,0.35,17.73,57.57,119.27,8.41,5.38,51.46,338.32,1.22,278.61,0.0,22-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
22-Jun-2018 - 00:00,24.44,4.91,0.61,16.1,44.53,149.89,8.55,5.01,45.72,344.86,1.16,233.76,0.0,23-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
23-Jun-2018 - 00:00,22.75,8.65,0.4,9.29,45.99,130.44,8.53,4.85,46.78,310.13,2.21,303.6,0.0,24-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
24-Jun-2018 - 00:00,21.99,4.33,0.38,15.86,21.5,84.28,8.64,5.54,46.75,364.36,1.4,264.15,0.0,25-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
25-Jun-2018 - 00:00,21.09,8.77,0.34,15.45,32.8,109.94,8.43,5.38,45.98,355.91,1.14,245.85,0.0,26-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
26-Jun-2018 - 00:00,19.63,6.43,0.32,14.32,27.16,96.59,8.05,4.97,53.06,314.9,0.86,165.67,0.0,27-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
27-Jun-2018 - 00:00,18.47,9.87,0.3,13.25,24.75,46.55,7.73,3.53,69.06,214.32,1.63,234.02,0.0,28-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
28-Jun-2018 - 00:00,17.37,8.03,0.3,6.18,13.34,29.71,8.51,3.65,88.22,195.0,1.9,287.71,0.0,29-Jun-2018 - 00:00,"Kalal Majra, Khanna - PPCB"
